"","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2007-01-03",51.55,52.3,50.25,50.63,3795500,45.84
"2007-01-04",53,53.2,49.8,50.09,1932800,45.35
"2007-01-05",50.08,50.15,49.43,49.66,1893800,44.96
"2007-01-08",49.56,49.56,48.33,48.72,1973300,44.11
"2007-01-09",48.72,49.14,48.49,48.78,1295400,44.17
"2007-01-10",48.79,49.23,48.34,49.02,1485700,44.38
"2007-01-11",49.23,50.11,49.03,49.94,1801500,45.22
"2007-01-12",49.94,50.63,49.78,50.15,1692200,45.41
"2007-01-16",49.68,50.48,49.05,49.72,2188700,45.02
"2007-01-17",51,52.26,50.67,51.95,6884400,47.04
"2007-01-18",52.06,52.95,51.87,52.05,3368600,47.13
"2007-01-19",52.19,53.69,51.95,53.48,2981100,48.42
"2007-01-22",53.46,53.75,52.72,53.5,2128800,48.44
"2007-01-23",52.95,53.83,52.27,53.24,4341100,48.2
"2007-01-24",53.15,53.77,52.32,53.63,2084100,48.56
"2007-01-25",53.63,53.65,51.79,51.89,3505200,46.98
"2007-01-26",52.14,52.34,51.39,51.71,2202100,46.82
"2007-01-29",51.71,52.39,51.51,51.92,2034500,47.01
"2007-01-30",52.15,52.63,51.71,51.83,1604000,46.93
"2007-01-31",52,54.62,51.97,54.38,4157700,49.24
"2007-02-01",54.62,55.65,54.44,55.02,4449300,49.96
"2007-02-02",55.05,56.54,55.02,56.11,2861400,50.95
"2007-02-05",56.12,56.45,55.02,55.49,1488100,50.39
"2007-02-06",55.41,55.47,54.7,55.33,1625200,50.24
"2007-02-07",55.33,55.76,54.69,55.06,1079500,50
"2007-02-08",54.5,55.39,53.27,53.54,3875500,48.62
"2007-02-09",53.54,53.77,52.44,52.71,1764800,47.86
"2007-02-12",52.51,53,51.84,52.18,2003300,47.38
"2007-02-13",52.4,53,52.13,52.76,1878400,47.91
"2007-02-14",52.6,53.47,52.49,52.74,1698800,47.89
"2007-02-15",52.79,53.6,52.78,53.2,1409700,48.31
"2007-02-16",52.95,53,52.02,52.96,1623500,48.09
"2007-02-20",52.96,53.6,52.6,53.11,1531500,48.23
"2007-02-21",52.7,52.96,51.52,52.7,1567200,47.86
"2007-02-22",53.11,53.26,51.6,51.96,1822100,47.18
"2007-02-23",51.89,51.89,50.66,50.97,2357900,46.28
"2007-02-26",51.08,51.43,50.6,50.99,1531900,46.3
"2007-02-27",50.2,50.5,49.01,49.6,3025200,45.04
"2007-02-28",49.75,50.1,48.76,49.19,2475100,44.67
"2007-03-01",48.5,49.9,47.55,49.25,3107000,44.72
"2007-03-02",49.16,49.41,48.53,48.7,1707500,44.22
"2007-03-05",48.11,48.11,47.01,47.05,3171600,42.72
"2007-03-06",47.57,48.39,47.26,47.9,2384700,43.5
"2007-03-07",48.41,48.9,47.86,48.25,2404400,43.81
"2007-03-08",48.5,49.46,48.38,48.74,1850500,44.26
"2007-03-09",48.89,49.1,47.55,48.25,2148400,43.81
"2007-03-12",48.25,48.25,45.66,45.9,4392100,41.68
"2007-03-13",45.64,45.64,43.07,43.83,5234300,39.8
"2007-03-14",44,45.62,43.18,45.18,5497200,41.03
"2007-03-15",44.68,45.93,44.68,45.59,2158200,41.4
"2007-03-16",45.77,46.32,45.03,45.18,2989400,41.03
"2007-03-19",45.35,45.95,45.31,45.49,1914200,41.31
"2007-03-20",45.5,46.18,44.95,45.55,2506400,41.36
"2007-03-21",45.56,47.19,45.35,46.76,3798800,42.46
"2007-03-22",46.09,47.67,45.79,46.11,2863900,41.87
"2007-03-23",45.76,46.43,45.13,45.58,4449800,41.39
"2007-03-26",45.84,45.9,43.9,44.54,5133800,40.45
"2007-03-27",42.95,44.78,42.64,44.5,7392600,40.41
"2007-03-28",43.95,43.98,42.95,43.54,5692700,39.54
"2007-03-29",43.93,43.93,42.8,43.05,3772900,39.09
"2007-03-30",43.06,43.37,42.16,42.21,3712400,38.33
"2007-04-02",42.35,42.42,41.44,41.5,3907800,37.69
"2007-04-03",41.5,42.31,41.32,41.92,3273800,38.07
"2007-04-04",42.03,42.15,41.66,41.9,5000600,38.05
"2007-04-05",41.9,42.71,41.6,42.7,4022800,38.77
"2007-04-09",42.9,43,42.22,42.91,2496200,38.97
