"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2007-01-03",52.45,52.88,51.92,52.25,10305500,37.59
"2007-01-04",51.99,52.51,51.9,52.36,6827100,37.67
"2007-01-05",52.52,52.58,51.87,52.04,4114400,37.44
"2007-01-08",52.21,52.21,51.75,51.8,3804200,37.26
"2007-01-09",52.04,52.1,51.75,51.83,6272000,37.28
"2007-01-10",51.59,51.83,51.57,51.66,3400300,37.16
"2007-01-11",51.76,52.33,51.66,52.23,4432200,37.57
"2007-01-12",52.4,52.92,52.27,52.6,5533100,37.84
"2007-01-16",52.8,52.9,52.51,52.88,4181300,38.04
"2007-01-17",52.88,53.17,52.54,52.85,5018000,38.02
"2007-01-18",52.6,53.21,52.6,53.04,3943000,38.16
"2007-01-19",53.3,53.45,52.83,52.96,3837200,38.1
"2007-01-22",52.57,53.12,52.52,52.73,5872300,37.93
"2007-01-23",52.85,52.95,52.47,52.65,4397700,37.87
"2007-01-24",52.74,53.4,52.68,53.33,3934000,38.36
"2007-01-25",53.2,53.3,52.85,53.13,5061100,38.22
"2007-01-26",53.05,53.45,52.6,52.79,3966100,37.98
"2007-01-29",52.9,53,52.55,52.85,3472700,38.02
"2007-01-30",52.87,53,52.6,52.73,2671200,37.93
"2007-01-31",52.7,54.37,52.55,54.12,10521200,38.93
"2007-02-01",54.65,55.04,54.5,54.77,6648100,39.4
"2007-02-02",54.68,54.78,54.37,54.6,4973400,39.28
"2007-02-05",54.43,54.72,54.03,54.67,5090500,39.33
"2007-02-06",54.6,54.82,54.39,54.64,4486200,39.31
"2007-02-07",54.7,54.78,54.34,54.42,4679100,39.15
"2007-02-08",54.05,54.72,54.05,54.21,3124600,39
"2007-02-09",54.2,54.7,54.11,54.23,3591600,39.01
"2007-02-12",54.75,54.75,54.23,54.41,3300400,39.14
"2007-02-13",54.39,54.5,54.05,54.28,3356500,39.35
"2007-02-14",54.37,54.89,54.23,54.86,3773400,39.78
"2007-02-15",54.85,55.11,54.75,54.96,3092000,39.85
"2007-02-16",54.76,55.04,54.57,54.99,3680800,39.87
"2007-02-20",55.03,55.2,54.76,54.97,3228800,39.85
"2007-02-21",54.65,54.8,54.37,54.52,3370600,39.53
"2007-02-22",54.6,54.6,54.01,54.14,3344100,39.25
"2007-02-23",54,54.36,53.75,54.21,3380500,39.3
"2007-02-26",54.46,54.66,54.25,54.4,3847900,39.44
"2007-02-27",53.71,54.52,52.58,53,8073700,38.43
"2007-02-28",53.52,53.52,52.3,52.59,7682500,38.13
"2007-03-01",52.01,52.52,51.9,52.25,6262800,37.88
"2007-03-02",52.14,52.19,51.71,51.77,6537200,37.53
"2007-03-05",51.48,52.1,51.21,51.63,7562800,37.43
"2007-03-06",51.75,52.28,51.56,52.23,5054300,37.87
"2007-03-07",52.07,52.44,51.65,51.86,4844600,37.6
"2007-03-08",52.11,52.39,52,52.36,3296500,37.96
"2007-03-09",52.55,52.92,52.38,52.59,5052100,38.13
"2007-03-12",52.39,53.04,52.25,52.8,3643200,38.28
"2007-03-13",52.37,52.88,52,52.07,5432200,37.75
"2007-03-14",52.26,52.3,51.35,51.9,5342900,37.63
"2007-03-15",51.75,52.09,51.53,52.05,3769600,37.74
"2007-03-16",52.15,52.42,51.79,52.18,6181800,37.83
"2007-03-19",52.23,52.72,52.12,52.68,3265300,38.19
"2007-03-20",52.6,52.88,52.38,52.77,3532300,38.26
"2007-03-21",52.65,53.91,52.65,53.82,6668200,39.02
