"","LO.Open","LO.High","LO.Low","LO.Close","LO.Volume","LO.Adjusted"
"2008-06-10",74,77.35,72.55,76.63,96906000,18.88
"2008-06-11",76.8,78.56,76.65,77.18,16387500,19.02
"2008-06-12",78.24,79,74,75.12,13220400,18.51
"2008-06-13",75.5,76,72.55,72.76,15424500,17.93
"2008-06-16",72.63,73.15,70.35,70.75,9884700,17.43
"2008-06-17",72.28,73.5,71.25,71.58,7484400,17.64
"2008-06-18",72.28,73,71,71.75,15321300,17.68
"2008-06-19",72.48,72.48,70.93,71.33,11581800,17.58
"2008-06-20",71.46,71.46,70,70.91,6308100,17.47
"2008-06-23",71.2,71.48,68.5,70.17,9543600,17.29
"2008-06-24",70.84,72.15,68.4,68.83,8786700,16.96
"2008-06-25",69.25,73.22,69.15,71.59,13944000,17.64
"2008-06-26",70.05,71.4,68.52,68.91,8800800,16.98
"2008-06-27",69.12,69.85,66.7,67.98,6716100,16.75
"2008-06-30",67.03,69.54,67.03,69.16,4131000,17.04
"2008-07-01",67.35,68.34,62.7,68,20959500,16.76
"2008-07-02",68.15,69.08,67.97,68.25,3391500,16.82
"2008-07-03",69,69,66.92,67.26,2696400,16.57
"2008-07-07",67.43,69.2,66.47,68.24,3306900,16.81
"2008-07-08",67.62,68.86,66.66,68.71,6361500,16.93
"2008-07-09",68,68.78,67.08,67.41,3662700,16.61
"2008-07-10",66.5,70.76,66.5,70.52,6228000,17.38
"2008-07-11",69.29,71.47,69.25,70.5,8257800,17.37
"2008-07-14",71.51,72.25,69.94,70.93,4385700,17.48
"2008-07-15",70.18,71.54,69.04,69.69,5349900,17.17
"2008-07-16",69.43,70.07,67.76,68.03,4331700,16.76
"2008-07-17",67.16,69.77,66.49,69.05,7438800,17.01
"2008-07-18",68.77,69.49,67.71,68.5,5217600,16.88
"2008-07-21",69,69.26,67.38,67.69,4173600,16.68
"2008-07-22",67.69,69.41,67.15,69.35,4613400,17.09
"2008-07-23",69.17,69.98,67.75,69.61,4459200,17.15
"2008-07-24",69.92,69.92,66.39,66.99,5658900,16.51
"2008-07-25",66.66,67.88,64.95,66,6968100,16.26
"2008-07-28",65,69,63.54,68.73,9004500,16.94
"2008-07-29",69.73,70.37,68.34,70.02,4959900,17.25
"2008-07-30",70.27,71.5,68.05,68.72,5177100,16.93
"2008-07-31",67.57,69.22,66.03,67.11,8859300,16.54
"2008-08-01",67.31,68.5,66.83,67.44,7839000,16.62
"2008-08-04",67.48,68.59,67.47,67.57,3692700,16.65
"2008-08-05",68.35,69.93,67.6,69.93,4111800,17.23
"2008-08-06",71.39,71.39,67.55,68.55,6153600,16.89
"2008-08-07",67.36,68.02,66.63,67.31,3900900,16.59
"2008-08-08",66.94,68.62,66.84,68.41,7084800,16.86
"2008-08-11",68.18,70.2,68.18,70.2,4537800,17.3
