"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"2007-01-03",15.46,15.78,15.35,15.52,7007400,15.16
"2007-01-04",15.5,15.85,15.42,15.76,7568700,15.39
"2007-01-05",15.8,15.85,15.42,15.5,5059700,15.14
"2007-01-08",15.48,15.8,15.34,15.78,6256800,15.41
"2007-01-09",15.89,15.98,15.7,15.81,7097100,15.44
"2007-01-10",16,16.05,15.8,16.05,9463100,15.67
"2007-01-11",16.01,16.15,16,16.15,11504200,15.77
"2007-01-12",16.13,16.28,16.01,16.22,10524100,15.84
"2007-01-16",16.28,16.58,16.22,16.57,11919300,16.18
"2007-01-17",16.14,16.3,15.85,15.9,17090700,15.53
"2007-01-18",15.96,16.18,15.82,15.84,8471300,15.47
"2007-01-19",15.85,15.94,15.68,15.91,5599000,15.54
"2007-01-22",15.9,15.92,15.36,15.51,9120700,15.15
"2007-01-23",15.34,15.42,15.25,15.37,13407900,15.01
"2007-01-24",15.33,15.37,15.25,15.29,9347200,14.93
"2007-01-25",15.26,15.34,15.1,15.13,6466100,14.78
"2007-01-26",15.07,15.12,14.95,15.08,12677000,14.73
"2007-01-29",15,15.3,15,15.14,9112600,14.79
"2007-01-30",15.13,15.2,15.01,15.14,8063500,14.79
"2007-01-31",15.03,15.17,14.96,15.1,7734900,14.75
"2007-02-01",15.12,15.38,15,15.35,9809500,14.99
"2007-02-02",15.39,15.47,15.23,15.26,5894400,14.9
"2007-02-05",15.27,15.32,15.02,15.03,7286100,14.68
"2007-02-06",15.03,15.25,15.02,15.21,7018700,14.85
"2007-02-07",15.19,15.2,15.03,15.13,6945300,14.78
"2007-02-08",15.14,15.3,15.09,15.16,6835400,14.81
"2007-02-09",15.2,15.36,15.14,15.15,6758400,14.8
"2007-02-12",15.64,15.85,15.48,15.77,11123600,15.4
"2007-02-13",15.87,15.95,15.62,15.8,10512300,15.43
"2007-02-14",15.86,16.14,15.76,16.09,6960600,15.71
"2007-02-15",15.95,16.05,15.71,15.76,8913200,15.39
"2007-02-16",15.79,15.92,15.65,15.7,7409200,15.33
"2007-02-20",15.75,15.78,15.59,15.64,6521300,15.27
"2007-02-21",15.59,15.7,15.55,15.61,4925200,15.25
"2007-02-22",15.72,15.79,15.58,15.61,4139200,15.25
"2007-02-23",15.61,15.61,15.35,15.4,5424600,15.04
"2007-02-26",15.4,15.49,15.3,15.35,5640600,14.99
"2007-02-27",15.22,15.28,15.04,15.1,9872500,14.75
"2007-02-28",15.12,15.19,15.04,15.12,12386600,14.77
"2007-03-01",15.05,15.37,14.94,15.34,12673500,14.99
"2007-03-02",15.5,15.59,15.15,15.2,7596000,14.85
"2007-03-05",15.03,15.28,15.03,15.09,6859000,14.74
"2007-03-06",15.16,15.21,14.92,15.05,12262800,14.7
"2007-03-07",15.11,15.12,14.95,14.95,7823700,14.61
"2007-03-08",15.02,15.2,15,15.15,7072600,14.8
"2007-03-09",15.17,15.24,15.05,15.07,5190800,14.72
"2007-03-12",15.05,15.15,15.02,15.06,3623800,14.71
"2007-03-13",15.05,15.05,14.77,14.78,9534600,14.44
"2007-03-14",14.92,14.95,14.56,14.88,13289300,14.54
"2007-03-15",14.88,14.94,14.82,14.9,3966700,14.56
"2007-03-16",15.05,15.15,14.93,15,7650500,14.65
"2007-03-19",15.05,15.05,14.95,15,4399200,14.65
"2007-03-20",14.96,15.16,14.95,15.12,5519000,14.77
"2007-03-21",15.12,15.27,15.02,15.26,4460900,14.91
"2007-03-22",15.09,15.26,14.95,14.98,5688000,14.63
"2007-03-23",14.96,15.1,14.96,15,6448400,14.65
"2007-03-26",14.96,15.01,14.83,14.88,5243600,14.54
"2007-03-27",14.85,14.95,14.81,14.86,5547200,14.52
"2007-03-28",14.85,14.85,14.66,14.69,10303300,14.35
"2007-03-29",14.74,14.74,14.5,14.63,5823900,14.29
"2007-03-30",14.65,14.75,14.61,14.7,12156700,14.36
"2007-04-02",14.75,14.79,14.69,14.75,4895400,14.41
"2007-04-03",14.85,15.08,14.8,15.08,7498300,14.73
"2007-04-04",15.12,15.29,15.08,15.1,6748800,14.75
"2007-04-05",15,15.13,14.99,15.08,4334000,14.73
"2007-04-09",15.07,15.15,15.01,15.13,3008500,14.78
"2007-04-10",15.1,15.15,15,15.01,3944000,14.66
"2007-04-11",15.01,15.29,15,15.24,8373700,14.89
"2007-04-12",15.15,15.25,15.09,15.2,6843100,14.85
"2007-04-13",15.1,15.2,15.06,15.16,4651400,14.81
"2007-04-16",15.14,15.34,15.12,15.29,5279800,14.94
"2007-04-17",15.28,15.41,15.15,15.2,6062800,14.85
"2007-04-18",15.3,15.9,15.22,15.66,14911600,15.3
"2007-04-19",15.5,15.76,15.06,15.37,19923100,15.02
"2007-04-20",15.37,15.41,14.86,14.97,23495900,14.62
"2007-04-23",15.01,15.01,14.75,14.76,15378300,14.42
"2007-04-24",14.91,14.95,14.34,14.53,22389200,14.2
"2007-04-25",14.55,14.63,14.46,14.55,13213600,14.21
"2007-04-26",14.6,14.8,14.47,14.51,12695400,14.18
"2007-04-27",14.48,14.53,14.28,14.29,12176300,13.96
"2007-04-30",14.31,14.53,14.21,14.35,12539400,14.02
"2007-05-01",14.32,14.33,14.15,14.26,12390400,13.93
"2007-05-02",14.24,14.65,14.14,14.56,14241000,14.22
"2007-05-03",14.56,14.67,14.35,14.51,10044900,14.18
"2007-05-04",14.59,14.7,14.53,14.68,8530200,14.34
"2007-05-07",14.75,14.82,14.71,14.75,6222300,14.41
"2007-05-08",14.7,14.72,14.51,14.69,6514200,14.35
"2007-05-09",14.55,14.71,14.37,14.54,7683700,14.2
"2007-05-10",14.5,14.5,14.28,14.32,7126100,13.99
"2007-05-11",14.33,14.45,14.27,14.31,5256900,13.98
"2007-05-14",14.3,14.35,14.21,14.35,8066500,14.02
"2007-05-15",14.32,14.49,14.21,14.22,6999400,13.89
"2007-05-16",14.27,14.45,14.26,14.42,7466800,14.09
"2007-05-17",14.43,14.56,14.3,14.36,11717700,14.03
"2007-05-18",14.4,14.54,14.36,14.51,7223100,14.18
"2007-05-21",14.44,14.51,14.32,14.39,4732300,14.06
"2007-05-22",14.4,14.57,14.29,14.51,8492000,14.18
"2007-05-23",14.57,14.65,14.45,14.49,5668300,14.16
"2007-05-24",14.48,14.59,14.38,14.47,4874500,14.14
"2007-05-25",14.48,14.5,14.4,14.47,3928200,14.14
"2007-05-29",14.41,14.41,14.2,14.25,10455700,13.92
"2007-05-30",14.24,14.39,14.22,14.35,6389700,14.02
"2007-05-31",14.31,14.4,14.27,14.31,5503600,13.98
"2007-06-01",14.38,14.4,14.2,14.26,6649700,13.93
"2007-06-04",14.23,14.35,14.21,14.27,7552000,13.94
"2007-06-05",14.21,14.28,14.18,14.19,7157300,13.87
"2007-06-06",14.19,14.24,14.03,14.22,8004000,13.9
"2007-06-07",14.16,14.22,14.1,14.13,7402800,13.81
"2007-06-08",14.23,14.53,14.18,14.51,10426800,14.18
"2007-06-11",14.46,14.6,14.36,14.53,7796500,14.2
"2007-06-12",14.39,14.59,14.37,14.47,6965900,14.14
"2007-06-13",14.46,14.47,14.15,14.35,8845400,14.02
"2007-06-14",14.25,14.72,14.25,14.65,9040900,14.32
"2007-06-15",14.65,14.7,14.51,14.54,8846000,14.21
"2007-06-18",14.56,14.61,14.45,14.51,11945400,14.18
"2007-06-19",14.43,14.81,14.42,14.7,8779500,14.37
"2007-06-20",14.71,14.95,14.71,14.88,10487800,14.54
"2007-06-21",14.85,14.95,14.65,14.88,7966200,14.54
"2007-06-22",14.84,15.1,14.74,15.05,10153000,14.71
"2007-06-25",15.06,15.15,14.96,15,9141900,14.66
"2007-06-26",15.01,15.03,14.63,14.64,8731600,14.31
"2007-06-27",14.64,14.88,14.54,14.83,9767800,14.49
"2007-06-28",14.92,15.03,14.79,14.93,13582500,14.59
"2007-06-29",14.91,15,14.78,14.91,6161700,14.57
"2007-07-02",14.84,14.99,14.84,14.94,7135900,14.6
"2007-07-03",14.97,15.15,14.95,15.12,4638700,14.78
"2007-07-05",15,15.41,15,15.38,10752200,15.03
"2007-07-06",15.38,15.58,15.25,15.55,10562300,15.2
"2007-07-09",15.54,15.6,15.32,15.55,8947700,15.2
"2007-07-10",15.35,15.53,15.32,15.34,7260500,14.99
"2007-07-11",15.33,15.58,15.3,15.55,7275200,15.2
"2007-07-12",15.51,15.59,15.41,15.5,8047400,15.15
"2007-07-13",15.43,15.59,15.36,15.5,5564500,15.15
"2007-07-16",15.46,15.68,15.46,15.63,6315600,15.28
"2007-07-17",15.58,15.74,15.43,15.59,9549900,15.24
"2007-07-18",15.5,15.77,15.45,15.72,13381400,15.36
"2007-07-19",15.8,16.49,15.8,16.4,17860000,16.03
"2007-07-20",16.09,16.39,16.09,16.35,12141000,15.98
"2007-07-23",16.27,16.5,16.25,16.42,7578900,16.05
"2007-07-24",16.42,16.57,16.26,16.29,7570800,15.92
"2007-07-25",16.29,16.36,16.14,16.29,9454100,15.92
"2007-07-26",15.98,16.06,15.31,15.65,14921800,15.29
"2007-07-27",15.61,15.82,15.47,15.66,9730100,15.3
"2007-07-30",15.75,16.1,15.59,16,10459100,15.64
"2007-07-31",15.97,16.07,15.66,15.66,11549400,15.3
"2007-08-01",15.58,15.81,15.55,15.77,6026300,15.41
"2007-08-02",15.55,16.03,15.55,15.9,8948800,15.54
"2007-08-03",15.6,15.94,15.6,15.6,11228800,15.25
"2007-08-06",15.7,15.76,15.31,15.76,11198400,15.4
"2007-08-07",15.76,16.02,15.49,15.95,9975100,15.59
"2007-08-08",15.94,16.65,15.82,16.6,9481000,16.22
"2007-08-09",15.94,16.96,15.65,16.6,16730300,16.22
"2007-08-10",16.3,16.65,16.01,16.19,13590600,15.82
"2007-08-13",16.16,16.39,15.75,15.95,7356800,15.59
"2007-08-14",15.99,16.02,15.63,15.77,7504900,15.41
"2007-08-15",15.84,15.99,15.15,15.19,7716800,14.85
"2007-08-16",15.24,15.45,14.66,15.17,11550500,14.83
"2007-08-17",15.08,15.54,14.88,15.04,11532800,14.7
"2007-08-20",15.01,15.25,14.96,15.1,4102600,14.76
"2007-08-21",15.11,15.49,15.11,15.28,4900900,14.93
"2007-08-22",15.36,15.55,15.28,15.49,4329400,15.14
"2007-08-23",15.6,15.6,15.15,15.28,4083400,14.93
"2007-08-24",15.34,15.52,15.28,15.52,2585100,15.17
"2007-08-27",15.48,15.49,15.19,15.23,3818900,14.88
"2007-08-28",15.26,15.31,14.99,15,4337300,14.66
"2007-08-29",15.08,15.32,15.01,15.29,2908200,14.95
"2007-08-30",15.16,15.35,14.94,15.1,4260500,14.76
"2007-08-31",15.16,15.21,14.98,15.11,3124300,14.77
"2007-09-04",15.11,15.4,15.03,15.3,3432900,14.96
"2007-09-05",15.22,15.37,15.07,15.09,3780300,14.75
"2007-09-06",15.15,15.23,14.95,15.15,3069100,14.81
"2007-09-07",15,15.04,14.77,14.82,4356200,14.49
"2007-09-10",14.98,15.01,14.64,14.66,4689800,14.33
"2007-09-11",14.7,14.91,14.62,14.89,2809200,14.56
"2007-09-12",14.81,14.86,14.45,14.47,6173600,14.15
"2007-09-13",14.51,14.59,14.32,14.41,6427100,14.09
"2007-09-14",14.37,14.45,14.21,14.26,8844400,13.94
