"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2010-04-28",22.25,22.25,21.7,22,5244400,16.69
"2010-04-29",22,23.25,21.9,23,8773600,17.45
"2010-04-30",22.95,23,22.25,22.3,1644400,16.92
"2010-05-03",22.75,22.95,22.65,22.8,3302700,17.3
"2010-05-04",22.8,22.8,21.5,21.5,2276500,16.31
"2010-05-05",22,22,20,20.59,6999200,15.62
"2010-05-06",20.5,20.55,18.45,19.45,8029400,14.76
"2010-05-07",19.5,19.55,17.9,18.6,3881500,14.11
"2010-05-10",19.75,19.85,18.7,19.01,3861100,14.42
"2010-05-11",18.75,19.28,18.75,18.9,2626900,14.34
"2010-05-12",19.2,20.04,19.2,19.8,5714300,15.02
"2010-05-13",19.85,20.1,19.6,19.65,2475900,14.91
"2010-05-14",19.3,19.4,18.75,18.75,3133400,14.23
"2010-05-17",19,19.2,18.7,18.85,10117000,14.3
"2010-05-18",19.05,19.32,18.25,18.79,6219800,14.26
"2010-05-19",18.9,18.93,17.55,17.7,6227700,13.43
"2010-05-20",17.14,17.14,16.2,16.9,10248400,12.82
"2010-05-21",16.35,17.12,16.25,16.55,4560800,12.56
"2010-05-24",16.7,17.15,16.68,16.9,1761300,12.82
"2010-05-25",16.79,16.79,16.2,16.57,4649600,12.57
"2010-05-26",16.99,17.4,16.8,17.15,2079300,13.01
"2010-05-27",17.65,18,17.65,17.9,3156100,13.58
"2010-05-28",17.9,17.9,16.25,17.77,222200,13.48
"2010-06-01",17.65,17.8,17.2,17.5,900800,13.28
"2010-06-02",17.61,17.66,17.22,17.33,829900,13.15
"2010-06-03",17.45,17.5,17.15,17.33,2173600,13.15
"2010-06-04",17.05,17.1,16.75,17.05,3147200,12.94
"2010-06-07",17.15,17.2,16.74,16.89,2826800,12.81
"2010-06-08",17.03,17.03,16.5,16.75,2037700,12.71
"2010-06-09",16.79,17.1,16.7,16.79,1410200,12.74
"2010-06-10",16.97,17.07,16.85,16.97,1401000,12.88
"2010-06-11",16.94,17.19,16.94,17.14,452500,13
"2010-06-14",17.19,17.58,17.19,17.49,1008500,13.27
"2010-06-15",17.48,18,17.35,17.97,1974300,13.63
"2010-06-16",17.93,17.97,17.63,17.64,1041500,13.38
"2010-06-17",17.68,17.75,17.14,17.3,1090600,13.13
"2010-06-18",17.33,17.35,17.15,17.21,1373700,13.06
"2010-06-21",17.45,17.53,17.09,17.1,514100,12.97
"2010-06-22",17.09,17.1,16.8,16.84,1502900,12.78
"2010-06-23",16.9,16.95,16.6,16.65,1125700,12.63
"2010-06-24",16.69,16.92,16.35,16.8,2151600,12.75
"2010-06-25",16.9,16.92,16.7,16.82,612000,12.76
"2010-06-28",16.87,16.87,16.7,16.87,355800,12.8
"2010-06-29",16.74,16.74,16.25,16.25,2561000,12.33
"2010-06-30",16.27,16.5,16.15,16.15,1534100,12.25
"2010-07-01",16.24,16.3,15.4,15.55,4006100,11.8
"2010-07-02",15.58,15.69,15.4,15.48,231700,11.75
"2010-07-06",15.5,15.59,14.9,15.06,833700,11.43
"2010-07-07",15.05,15.15,14.86,15,2137200,11.38
"2010-07-08",14.95,15.15,14.95,15.05,2422200,11.42
"2010-07-09",15.1,16.02,15,15.8,1478700,11.99
"2010-07-12",15.82,16.02,15.8,15.82,786100,12
"2010-07-13",15.83,16.5,15.83,16.4,1647300,12.44
"2010-07-14",16.4,16.45,16.25,16.4,1537200,12.44
"2010-07-15",16.43,16.43,16,16.37,905900,12.42
"2010-07-16",16.3,16.3,16,16.2,624700,12.29
"2010-07-19",16.18,16.7,16.11,16.45,497300,12.48
"2010-07-20",16.44,16.44,16.15,16.19,1244700,12.28
"2010-07-21",16.19,16.3,16.19,16.24,1801200,12.32
"2010-07-22",16.26,16.59,16.26,16.55,1126300,12.56
"2010-07-23",16.55,16.79,16.52,16.78,1415100,12.73
"2010-07-26",17,17.7,17,17.65,3400400,13.39
"2010-07-27",17.92,18.34,17.25,18.23,5778800,13.83
"2010-07-28",18.22,18.22,17.82,17.93,2440000,13.6
"2010-07-29",18.1,18.15,17.84,17.94,1598500,13.61
"2010-07-30",17.92,18.07,17.68,18,2023100,13.66
"2010-08-02",18.15,18.26,18.05,18.06,1543000,13.7
"2010-08-03",18.09,18.12,17.7,17.9,1558700,13.58
"2010-08-04",17.9,18.46,17.9,18.3,4194300,13.88
"2010-08-05",18.3,18.3,18.2,18.24,252300,13.84
"2010-08-06",18.22,18.25,17.92,18,500600,13.66
"2010-08-09",18,18.15,17.99,18.05,1252900,13.7
"2010-08-10",18.05,18.05,17.9,17.99,1056300,13.65
"2010-08-11",17.8,17.8,17.6,17.61,2021000,13.36
"2010-08-12",17.63,17.63,17.4,17.5,3260500,13.28
"2010-08-13",17.51,18.03,17.51,18.02,2973700,13.67
