"","M.Open","M.High","M.Low","M.Close","M.Volume","M.Adjusted"
"2007-01-03",38.2,38.72,37.09,37.51,10278900,32.87
"2007-01-04",37.6,38.3,37.3,37.31,10699000,32.69
"2007-01-05",37.35,37.42,36.72,36.89,10002000,32.32
"2007-01-08",37.07,37.75,36.12,37.6,10049900,32.95
"2007-01-09",37.6,38.91,37.6,38.85,8865300,34.04
"2007-01-10",38.7,38.97,38.2,38.82,4737800,34.02
"2007-01-11",39,39.7,38.83,39.33,5895500,34.46
"2007-01-12",39.03,39.33,38.61,39.24,3992700,34.38
"2007-01-16",39.1,39.28,38.61,39.13,4568800,34.29
"2007-01-17",39.05,39.3,38.67,38.91,3365700,34.09
"2007-01-18",39.65,39.65,38.83,39.43,4416300,34.55
"2007-01-19",39.7,40.52,39.56,40.22,8269300,35.24
"2007-01-22",40.4,40.72,39.57,39.9,6614200,34.96
"2007-01-23",39.75,39.97,39.11,39.6,4588200,34.7
"2007-01-24",39.55,41.09,39.53,40.72,6490700,35.68
"2007-01-25",40.78,40.81,39.61,39.82,3743400,34.89
"2007-01-26",39.7,40.43,39.38,40.27,5085700,35.29
"2007-01-29",40.4,40.55,39.79,40.35,4663600,35.36
"2007-01-30",40.35,40.73,40.15,40.35,3292900,35.36
"2007-01-31",40.23,41.61,40.16,41.49,6083200,36.36
"2007-02-01",41.6,42.2,41.46,41.87,4829100,36.69
"2007-02-02",42,42.06,41.62,41.88,3620600,36.7
"2007-02-05",41.55,41.83,41.14,41.31,2777600,36.2
"2007-02-06",41.27,41.75,41.17,41.62,3153500,36.47
"2007-02-07",41.49,41.51,40.88,41.32,2738500,36.21
"2007-02-08",42.03,43.38,42.03,42.86,9878600,37.56
"2007-02-09",42.71,43.63,42.71,43.04,8268300,37.71
"2007-02-12",43,43.58,42.75,43.36,5189100,37.99
"2007-02-13",43.25,44.03,43.12,43.95,6559600,38.51
"2007-02-14",44,44.47,43.85,44.33,8155500,38.84
"2007-02-15",44.5,44.82,44.05,44.53,4285000,39.02
"2007-02-16",44.45,44.49,44,44.1,3351000,38.64
"2007-02-20",44.35,44.7,44.1,44.42,3550300,38.92
"2007-02-21",44.15,44.28,43.89,43.98,5686500,38.54
"2007-02-22",44.05,44.49,43.32,44.25,7807800,38.77
"2007-02-23",44.48,44.63,44.04,44.29,6331600,38.81
"2007-02-26",44.94,44.94,43.86,44.2,7901200,38.73
"2007-02-27",42.85,44.67,42.78,43.35,17766500,37.99
"2007-02-28",44.48,45,43.53,44.67,13038000,39.14
"2007-03-01",44,44.75,43.45,44.29,10133100,38.81
"2007-03-02",44,44.55,43.95,44.25,10056800,38.77
"2007-03-05",44,44.37,43.74,44.17,9211100,38.7
"2007-03-06",44.46,44.81,43.82,43.89,8907100,38.46
"2007-03-07",43.71,44.37,43.66,43.8,6661700,38.38
"2007-03-08",43.81,44.99,43.79,44.94,8372000,39.38
"2007-03-09",44.95,45,44.21,44.49,8126700,38.98
"2007-03-12",44.5,45.45,44.4,45.07,15569200,39.49
"2007-03-13",44.7,44.77,43.79,44.1,8094300,38.75
"2007-03-14",44.5,44.5,42.52,43.97,8595200,38.64
"2007-03-15",43.82,44.63,43.7,44.29,4781400,38.92
"2007-03-16",44.23,44.47,44.02,44.36,4903300,38.98
"2007-03-19",44.57,45.22,44.56,44.99,5818700,39.53
"2007-03-20",45.1,45.6,44.9,45.54,6007100,40.02
"2007-03-21",45.58,46.36,45.44,46.22,6770500,40.62
"2007-03-22",45.77,46.43,45.35,46.15,5255200,40.55
"2007-03-23",46.24,46.7,46.14,46.51,6756200,40.87
"2007-03-26",46.28,46.64,45.86,46.49,5587600,40.85
"2007-03-27",46.31,46.41,45.94,46.23,4960500,40.62
"2007-03-28",45.48,46.63,45.25,45.33,8050900,39.83
"2007-03-29",45.8,45.92,44.88,45.36,5194100,39.86
"2007-03-30",45.36,45.67,44.73,45.05,5257500,39.59
"2007-04-02",45.3,45.31,44.65,45.06,6053000,39.6
"2007-04-03",45.36,45.87,45.28,45.55,5280100,40.03
"2007-04-04",45.55,45.96,45.37,45.5,3881600,39.98
"2007-04-05",45.35,46.19,45.35,46,3773600,40.42
"2007-04-09",46.24,46.39,45.83,46.31,6004100,40.69
"2007-04-10",46.17,46.52,45.62,45.73,6164200,40.18
"2007-04-11",45.76,45.86,44.78,44.86,8522300,39.42
"2007-04-12",44.21,45.79,43.83,45.4,8111600,39.89
"2007-04-13",45.8,45.85,44.87,45.1,4280900,39.63
"2007-04-16",45.35,45.5,44.7,45.4,3791600,39.89
"2007-04-17",45.38,45.82,45.04,45.22,4144500,39.74
"2007-04-18",44.95,45.17,44.66,44.8,14262800,39.37
"2007-04-19",44.75,45.37,44.02,44.81,8286800,39.38
"2007-04-20",45.43,45.43,44.76,45.06,6806200,39.6
"2007-04-23",44.96,45.4,44.78,44.87,4077600,39.43
"2007-04-24",44.4,44.78,44,44.56,4912200,39.16
"2007-04-25",44.85,45.18,44.63,45.08,3789100,39.61
"2007-04-26",45,45.42,44.88,45.23,4121100,39.75
"2007-04-27",44.38,44.99,44.38,44.76,4231200,39.33
"2007-04-30",45.3,45.61,43.83,43.92,7863600,38.59
"2007-05-01",43.46,44.17,43,43.98,6994900,38.65
"2007-05-02",44.85,44.85,43.62,43.81,5332200,38.5
"2007-05-03",43.84,44.05,43.41,43.43,6656600,38.16
"2007-05-04",43.44,43.92,43.41,43.66,3915400,38.37
"2007-05-07",43.59,44.17,43.48,43.89,4288900,38.57
"2007-05-08",43.41,44.05,43.2,43.54,5074800,38.26
"2007-05-09",43.56,44.1,43.4,43.82,5705000,38.51
"2007-05-10",42.94,43.65,42.1,42.1,16178200,37
"2007-05-11",42.5,42.62,41.19,41.48,12476800,36.45
"2007-05-14",41.45,41.81,40.77,40.9,13341300,35.94
