"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2007-01-03",99.55,99.68,95.63,96.41,26289000,9.42
"2007-01-04",96.9,101.85,95.3,101.14,27024000,9.89
"2007-01-05",100.99,102.2,99,101.06,29632000,9.88
"2007-01-08",99.01,102.25,99,101.08,16006000,9.88
"2007-01-09",101.1,105.75,100.6,105.74,36952000,10.34
"2007-01-10",105.62,106.5,103,104.74,35099000,10.25
"2007-01-11",105.2,108.03,103.54,105.5,37671000,10.32
"2007-01-12",105.75,107.25,104.85,105.25,18233000,10.3
"2007-01-16",105.3,107.47,104.63,106,18028000,10.37
"2007-01-17",107,110.22,105.77,109.04,45903000,10.67
"2007-01-18",109.95,109.99,101.8,102.49,42816000,10.03
"2007-01-19",102.5,105.35,102,105.03,30029000,10.28
"2007-01-22",105.99,108,104.5,107.61,21033000,10.53
"2007-01-23",108.71,109.14,107.02,108.41,21414000,10.61
"2007-01-24",108.9,113.08,108.7,111.42,31643000,10.9
"2007-01-25",112.25,112.28,106.97,107.87,21785000,10.55
"2007-01-26",109.19,109.88,106.5,108.52,17501000,10.62
"2007-01-29",109,111,108.7,109.74,12105000,10.74
"2007-01-30",109.64,111.61,109.24,110.75,11493000,10.84
"2007-01-31",111.05,112.17,110.75,111.55,13665000,10.91
"2007-02-01",112.14,112.98,111.61,111.92,16003000,10.95
"2007-02-02",112.49,112.7,110.6,110.96,11290000,10.86
"2007-02-05",110.5,110.95,109.89,110.25,9910000,10.79
"2007-02-06",110.74,111.54,109.9,110.55,10621000,10.82
"2007-02-07",110.5,112.63,110.33,111.9,21132000,10.95
"2007-02-08",112,115.43,111.05,114.74,37535000,11.23
"2007-02-09",118.03,118.07,99.63,103.6,282063000,10.14
"2007-02-12",101.97,102.75,98.61,102.08,82177000,9.99
"2007-02-13",104,105.04,102.86,104.69,73214000,10.24
"2007-02-14",104.21,108.82,104.1,108.02,49005000,10.57
"2007-02-15",108,108.8,107.09,108.04,34999000,10.57
"2007-02-16",108.01,109.12,106.05,108.32,20471000,10.6
"2007-02-20",108.32,108.5,106.54,107.82,19803000,10.55
"2007-02-21",107.65,109.25,105.66,107.29,20648000,10.5
"2007-02-22",107.9,109,105.11,105.9,21767000,10.36
"2007-02-23",105.9,106.57,103.72,104.57,30432000,10.23
"2007-02-26",104.82,106,103.5,104.06,11669000,10.18
"2007-02-27",101.75,105.9,99.99,103,51236000,10.08
"2007-02-28",103,107.3,102.01,107.18,35401000,10.49
"2007-03-01",105.27,107.9,102.31,106.29,38166000,10.4
"2007-03-02",105.4,107.5,102.81,103.06,18023000,10.08
"2007-03-05",101.15,104.2,100.9,100.94,29906000,9.88
"2007-03-06",102.78,104.71,102.44,103.99,31967000,10.17
"2007-03-07",103.99,104.1,99.4,99.72,51432000,9.76
"2007-03-08",101.2,103.4,99.28,102.76,63268000,10.05
"2007-03-09",103.7,104.25,100.75,102.36,34646000,10.01
"2007-03-12",102.01,103.5,101.39,103.25,20854000,10.1
"2007-03-13",102.51,105.03,101.7,103.86,46278000,10.16
"2007-03-14",103.71,106.2,102.35,105.5,35349000,10.32
"2007-03-15",105.5,106.15,104.53,105.26,19609000,10.3
"2007-03-16",105.34,105.93,104.74,105.27,15751000,10.3
"2007-03-19",105.52,107.57,105.52,106.89,23120000,10.46
"2007-03-20",107,107.91,106.4,107.49,16206000,10.52
"2007-03-21",107.26,112.32,106.76,110.7,38077000,10.83
"2007-03-22",111,111,109,109.57,13239000,10.72
"2007-03-23",109.5,110,109.02,109.86,6348000,10.75
"2007-03-26",108.7,109.25,107.56,108.48,17044000,10.61
"2007-03-27",108.36,108.36,106.54,107.25,14708000,10.49
"2007-03-28",106.6,107.93,105.8,106.68,14781000,10.44
"2007-03-29",107.4,107.68,105.75,107.19,7855000,10.49
"2007-03-30",107.35,108,105.84,106.24,7578000,10.39
"2007-04-02",107.1,107.82,105.93,106.96,17479000,10.46
"2007-04-03",108.75,109.4,108.11,108.53,15394000,10.62
"2007-04-04",108.89,108.95,106.25,107.21,19401000,10.5
"2007-04-05",107.55,108.34,107.4,108.01,5559000,10.58
"2007-04-09",108.4,108.79,107.2,108.34,6124000,10.61
"2007-04-10",108.9,111.4,107.77,110.01,26531000,10.78
"2007-04-11",110.01,110.51,109,109.81,11034000,10.76
"2007-04-12",109.56,110.22,108.85,109.82,7762000,10.76
"2007-04-13",109.95,111.05,108.88,109.4,7612000,10.72
"2007-04-16",110,110.18,108.53,109.4,12008000,10.72
"2007-04-17",109.52,110.79,108.92,109.65,9546000,10.74
"2007-04-18",109.66,110.04,109.07,109.21,8459000,10.7
"2007-04-19",108.83,110.17,108.2,109.33,6797000,10.71
"2007-04-20",110.3,110.88,109.29,110.1,11008000,10.79
"2007-04-23",110,110.6,109.5,110.04,13499000,10.78
"2007-04-24",110,110.07,107.64,108.1,11928000,10.59
"2007-04-25",108.25,109.57,107.65,109.34,10207000,10.71
"2007-04-26",109.48,110.5,108.04,108.56,9821000,10.64
"2007-04-27",108.3,114.66,107.96,114.1,43062000,11.18
"2007-04-30",114.25,117.97,111.47,111.68,38711000,10.94
"2007-05-01",111.2,115.58,111.01,114.85,34290000,11.25
"2007-05-02",125.67,130.15,124.3,126.35,160434000,12.38
"2007-05-03",127.01,135.15,126.5,134.82,84794000,13.21
"2007-05-04",135.8,135.95,132.04,134.66,44950000,13.19
"2007-05-07",134.3,138.74,132.9,134.11,44291000,13.14
"2007-05-08",135.5,137.19,133.5,137.05,32483000,13.43
"2007-05-09",136.98,142.32,136.33,139.55,41856000,13.67
"2007-05-10",140.46,143.24,138,138.82,49973000,13.6
"2007-05-11",139.1,142.27,135.2,138.83,59698000,13.6
