"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2007-01-03",47.7,47.85,47.19,47.34,2575300,40.9
"2007-01-04",46.8,46.98,45.7,46.17,3576300,39.89
"2007-01-05",45.9,46,44.99,45.1,3720100,38.96
"2007-01-08",45.17,46.06,44.79,45.63,3012500,39.42
"2007-01-09",45.53,46.34,45.53,46.23,3695800,39.94
"2007-01-10",46.23,46.5,45.92,46.45,1996900,40.13
"2007-01-11",46.65,46.95,46.4,46.86,2322400,40.48
"2007-01-12",46.75,47.34,46.75,47.18,1621300,40.76
"2007-01-16",47.03,47.52,46.85,47.4,2032300,40.95
"2007-01-17",47.41,47.56,47.1,47.25,2726200,40.82
"2007-01-18",47.3,47.4,46.83,46.93,1944500,40.54
"2007-01-19",46.96,47.54,46.93,47.08,2261400,40.67
"2007-01-22",47.03,47.14,46.62,46.84,1829100,40.47
"2007-01-23",46.91,47.4,46.79,47.2,2265800,40.78
"2007-01-24",47.21,47.87,47.13,47.67,2449300,41.18
"2007-01-25",47.58,47.81,46.94,46.95,3023000,40.56
"2007-01-26",47,47.35,46.6,47.06,2522600,40.66
"2007-01-29",47.07,47.25,46.78,46.81,2401000,40.44
"2007-01-30",47.2,47.33,46.55,46.73,2614700,40.37
"2007-01-31",46.89,48.31,46.89,48.14,2993900,41.59
"2007-02-01",48.15,49.12,48.04,49.02,2843700,42.35
"2007-02-02",48.97,49.13,48.5,48.79,2071500,42.15
"2007-02-05",48.85,49.39,48.79,49.36,1955000,42.64
"2007-02-06",49.3,49.91,48.95,49.59,2230800,42.84
"2007-02-07",49.59,50.54,49.59,50.13,2897600,43.31
"2007-02-08",50.13,51.5,49.95,51.21,2935200,44.24
"2007-02-09",50.49,51.12,48.88,49.09,4456500,42.41
"2007-02-12",49.28,49.38,48.68,48.9,2633700,42.25
"2007-02-13",49,49.61,48.77,49.04,3290500,42.37
"2007-02-14",49.05,49.62,48.88,49.09,5191900,42.41
"2007-02-15",49.19,49.57,49.11,49.38,2146800,42.66
"2007-02-16",49.13,49.55,48.91,49.34,2090800,42.63
"2007-02-20",49.25,49.89,49.06,49.65,2070000,42.89
"2007-02-21",49.31,49.77,49.25,49.73,1666400,42.96
"2007-02-22",49.6,49.75,49.13,49.46,1867300,42.73
"2007-02-23",49.61,49.67,49.34,49.49,2380500,42.76
"2007-02-26",49.53,49.73,48.83,49.07,1836800,42.39
"2007-02-27",48.83,48.84,47.26,47.5,3513000,41.04
"2007-02-28",47.08,48.22,46.36,47.91,4206200,41.39
"2007-03-01",47.4,47.87,46.65,47.68,3267100,41.19
"2007-03-02",47.52,47.99,47.25,47.55,3618800,41.08
"2007-03-05",47,47.2,46.43,46.46,3501000,40.14
"2007-03-06",46.73,47.61,46.73,47.3,2507100,40.86
"2007-03-07",46.75,47.73,46.75,47.55,1777900,41.08
"2007-03-08",48.11,48.68,47.92,48.45,2262300,41.86
"2007-03-09",48.73,48.95,48.2,48.54,2165900,41.94
"2007-03-12",48.55,48.79,48.19,48.43,1353900,41.84
"2007-03-13",48.35,48.41,47.83,47.86,2204900,41.35
"2007-03-14",47.76,48.14,46.79,47.74,2882100,41.24
"2007-03-15",47.63,48.17,47.63,47.82,2123000,41.31
"2007-03-16",47.83,48.03,47.24,47.43,2892300,40.98
"2007-03-19",47.95,48.58,47.58,48.29,2556700,41.72
"2007-03-20",48.55,49.37,48.38,49.21,2201000,42.51
"2007-03-21",49.03,50.02,48.91,49.9,2139300,43.11
"2007-03-22",50,50.4,49.66,49.88,2038400,43.09
"2007-03-23",49.79,50.09,49.6,49.61,1961500,42.86
"2007-03-26",49.57,49.81,49.08,49.77,2324900,43
"2007-03-27",49.7,49.7,49.16,49.38,2196800,42.66
"2007-03-28",49.38,49.38,48.58,48.77,1887300,42.19
"2007-03-29",49,49.32,48.37,48.73,1534700,42.15
"2007-03-30",48.95,49.2,48.56,48.96,1826300,42.35
"2007-04-02",48.81,49.72,48.48,49.64,2302500,42.94
"2007-04-03",49.76,50.08,49.75,49.95,1835700,43.21
"2007-04-04",49.95,50.4,49.71,50.38,1494100,43.58
"2007-04-05",50.4,50.4,49.91,50.02,1161800,43.27
"2007-04-09",50.07,50.19,49.7,49.85,1378000,43.12
"2007-04-10",49.64,50.05,49.64,49.85,1292200,43.12
"2007-04-11",49.95,49.95,49.45,49.47,1724300,42.79
"2007-04-12",49.57,49.91,49.27,49.85,1469100,43.12
"2007-04-13",50,50.5,49.95,50.14,2341200,43.37
"2007-04-16",50.48,51.42,50.39,51.1,2497100,44.2
"2007-04-17",51.25,51.76,51.14,51.66,2251100,44.69
"2007-04-18",51.45,52,51.09,51.87,2391300,44.87
"2007-04-19",51.03,51.03,47.71,47.99,10914200,41.51
"2007-04-20",48.75,48.75,47.93,48.14,7102200,41.64
"2007-04-23",48.4,48.41,47.84,48,3734800,41.52
"2007-04-24",48.01,48.08,47.23,47.47,3895400,41.06
"2007-04-25",47.8,47.81,46.58,46.88,5373900,40.55
"2007-04-26",47.75,47.75,46.09,46.19,5525400,39.96
"2007-04-27",46.2,46.92,45.58,46.42,3726700,40.16
"2007-04-30",46.6,46.6,45.21,45.21,4162500,39.11
"2007-05-01",45.19,45.55,45.03,45.34,3268600,39.22
"2007-05-02",45.25,46.15,45.01,45.54,2892500,39.39
"2007-05-03",46.12,46.28,45.3,45.51,2166800,39.37
"2007-05-04",45.61,45.81,45.3,45.56,2563800,39.41
"2007-05-07",45.41,45.7,45.31,45.68,1616600,39.51
"2007-05-08",45.36,45.65,45.26,45.43,2090100,39.3
"2007-05-09",45.38,45.39,44.61,44.96,4244400,38.89
"2007-05-10",44.6,44.85,44.06,44.06,3535500,38.11
"2007-05-11",44.23,44.42,43.9,44.05,3309400,38.1
"2007-05-14",44.11,45.56,44.11,45.41,4612700,39.28
"2007-05-15",45.51,45.81,45.18,45.2,3250700,39.1
"2007-05-16",45.3,45.42,44.76,45.39,1854900,39.26
"2007-05-17",45.39,45.44,44.89,45.02,1950300,38.94
"2007-05-18",45.08,45.3,44.94,45.27,1815900,39.16
"2007-05-21",45.12,45.29,44.57,44.74,1992300,38.7
"2007-05-22",45.25,45.83,44.96,45.19,2821600,39.09
"2007-05-23",45.53,45.72,44.93,45.1,3061600,39.01
"2007-05-24",45.1,45.22,44.07,44.23,2594800,38.26
"2007-05-25",44.17,44.5,44,44.09,1832000,38.14
"2007-05-29",44.8,45.4,44.52,44.75,2300800,38.71
"2007-05-30",44.9,45.4,44.76,45.31,2499100,39.19
"2007-05-31",45.41,46.24,45.39,46.05,3764600,39.84
"2007-06-01",46.11,47.18,46.11,46.61,2535300,40.32
"2007-06-04",46.21,49.48,46.06,47.88,6767000,41.42
"2007-06-05",48.99,48.99,46.93,47.23,3380700,40.86
"2007-06-06",46.9,47.18,45.91,46.05,2716800,39.84
"2007-06-07",45.64,46.05,45.1,45.15,2974600,39.06
"2007-06-08",45.06,45.58,44.76,45.58,2229700,39.43
"2007-06-11",45.4,45.67,45.07,45.41,2491100,39.28
"2007-06-12",45.41,45.97,45.08,45.13,2450400,39.04
"2007-06-13",45.3,46.16,44.6,46.11,3723300,39.89
"2007-06-14",46.22,46.48,45.69,45.78,2657900,39.6
"2007-06-15",46.08,47.03,46.08,46.6,3029800,40.31
"2007-06-18",46.63,46.92,46.18,46.25,1391900,40.01
"2007-06-19",45.97,46.42,45.92,46.24,1585100,40.06
"2007-06-20",46.2,46.42,45.51,45.62,1933100,39.53
"2007-06-21",45.45,45.65,45.06,45.43,1980600,39.36
"2007-06-22",45.18,45.4,44.7,44.89,2185600,38.89
"2007-06-25",45.3,45.42,44.55,44.69,2674400,38.72
"2007-06-26",45.12,45.3,43.86,43.92,3620100,38.05
"2007-06-27",43.81,43.96,43.22,43.71,3611800,37.87
"2007-06-28",43.61,44.02,43.32,43.76,2527900,37.92
"2007-06-29",43.79,44.21,42.99,43.24,3482200,37.47
"2007-07-02",43.4,43.77,43.22,43.77,2490600,37.92
"2007-07-03",43.89,44.65,43.78,44.46,1302200,38.52
"2007-07-05",48.77,48.85,46.82,47.57,7027000,41.22
"2007-07-06",47.25,47.49,46.71,47.11,2310800,40.82
"2007-07-09",47,47.25,46.35,47,1995800,40.72
"2007-07-10",46.7,46.8,45.55,45.71,2253500,39.61
"2007-07-11",45.68,46.5,45.19,46.35,2787100,40.16
"2007-07-12",45.67,46.35,44.35,45.04,6869200,39.02
"2007-07-13",45.14,45.2,43.52,44.08,9267700,38.19
"2007-07-16",44,45.04,43.89,44.41,6550500,38.48
"2007-07-17",44.95,45.18,44.58,45.15,5074000,39.12
"2007-07-18",45.15,45.81,44.64,45.12,3736700,39.09
"2007-07-19",45.12,45.34,44.84,45.11,2795500,39.09
"2007-07-20",45.08,45.48,44.22,44.27,4664000,38.36
"2007-07-23",44.59,45.09,44.31,44.87,2758200,38.88
"2007-07-24",44.69,44.76,43.83,43.94,3331100,38.07
"2007-07-25",44.15,44.2,43,43.16,3626400,37.4
"2007-07-26",42.75,42.84,40.38,41.2,7578100,35.7
"2007-07-27",40.84,41.22,39.89,39.9,7345200,34.57
"2007-07-30",40.26,41.35,40.09,41.16,5130300,35.66
"2007-07-31",41.6,42.2,41.35,41.55,4747800,36
"2007-08-01",42.03,42.25,40.96,42.1,5360400,36.48
"2007-08-02",42.5,43.43,41.8,43.31,5802500,37.53
"2007-08-03",43.48,43.61,41.47,41.55,4673700,36
"2007-08-06",42.49,42.62,41,42.34,4387600,36.69
"2007-08-07",42,42.87,41.83,42.58,3655600,36.89
"2007-08-08",42.97,44.05,42.7,43.94,3162300,38.07
"2007-08-09",43.75,44.05,43.01,43.52,3638300,37.71
"2007-08-10",42.85,43.1,41.97,42.5,4078200,36.82
"2007-08-13",42.65,43.72,42.25,42.52,2910100,36.84
"2007-08-14",42.75,42.8,41.7,41.7,2467200,36.13
"2007-08-15",41.46,42.48,41.19,41.27,2741000,35.76
"2007-08-16",41.2,41.53,39.7,41.31,3615500,35.79
"2007-08-17",42.15,43.94,41.27,42.33,2854100,36.68
"2007-08-20",42.35,42.79,42.09,42.61,1519000,36.92
"2007-08-21",42.27,43.02,42.11,42.81,1751500,37.09
"2007-08-22",43.25,43.59,42.38,43.32,2627600,37.53
"2007-08-23",43.63,43.95,43.38,43.74,2155800,37.9
"2007-08-24",43.6,44.23,43.55,44.1,1813000,38.21
"2007-08-27",44.06,44.15,43.55,43.65,1585600,37.82
"2007-08-28",43.49,43.68,42.36,42.46,2507800,36.79
"2007-08-29",42.67,42.96,41.96,42.96,2527900,37.22
"2007-08-30",42.73,44.05,42.58,43.76,2769700,37.92
"2007-08-31",44.22,44.74,43.75,44.42,1794600,38.49
"2007-09-04",44.27,44.53,43.86,44.35,2416100,38.49
"2007-09-05",43.87,44.2,43.4,43.64,2437800,37.88
"2007-09-06",43.55,43.79,43.3,43.62,1850800,37.86
"2007-09-07",43.25,43.25,42.35,42.41,2697400,36.81
"2007-09-10",42.55,42.65,41.59,41.95,2507000,36.41
"2007-09-11",42.5,42.89,42.35,42.75,2304100,37.1
"2007-09-12",42.5,42.8,41.96,42.21,2065700,36.63
"2007-09-13",42.65,42.98,41.99,42.79,2560700,37.14
"2007-09-14",42.4,43.74,42.14,43.03,1984200,37.35
"2007-09-17",43.22,43.3,42.77,42.88,1340000,37.22
"2007-09-18",43.03,44.3,42.88,44.18,2328200,38.34
"2007-09-19",44.4,45,44.23,44.65,1707900,38.75
"2007-09-20",44.52,44.8,44.07,44.07,1369100,38.25
"2007-09-21",44.46,44.77,44.07,44.65,2341200,38.75
"2007-09-24",44.59,45,44.59,44.71,1875800,38.8
"2007-09-25",44.45,44.48,43.02,43.25,5208200,37.54
"2007-09-26",43.56,43.56,42.8,42.97,2705200,37.29
"2007-09-27",43.17,43.5,43.11,43.33,2002100,37.61
"2007-09-28",43.5,43.84,43.35,43.47,1643100,37.73
"2007-10-01",43.5,44.3,43.5,44.04,1892400,38.22
