"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2007-01-03",29.85,30.07,29.09,29.28,3141000,23.59
"2007-01-04",29.3,29.39,28.95,29.26,2804900,23.57
"2007-01-05",29.2,29.31,29,29.25,2293800,23.57
"2007-01-08",29.25,29.25,28.99,29.14,2707200,23.48
"2007-01-09",29.2,29.75,29.05,29.7,2514900,23.93
"2007-01-10",29.6,29.8,29.4,29.78,3096400,23.99
"2007-01-11",29.78,30.22,29.76,30.06,2064300,24.22
"2007-01-12",29.98,30.38,29.83,30.28,3632500,24.4
"2007-01-16",30.76,31,30.71,30.9,5259800,24.89
"2007-01-17",30.9,31.23,30.76,31.09,5632400,25.05
"2007-01-18",31.05,31.15,30.73,30.92,3638400,24.91
"2007-01-19",31.15,31.91,30.89,31.88,4166000,25.68
"2007-01-22",31.95,31.95,31.29,31.35,3029700,25.26
"2007-01-23",31.34,31.71,31.34,31.43,3663800,25.32
"2007-01-24",31.44,31.74,31.35,31.67,1691700,25.52
"2007-01-25",31.68,31.8,31.22,31.24,2003500,25.17
"2007-01-26",31.34,31.36,30.81,30.9,2423700,24.89
"2007-01-29",30.91,31.17,30.77,30.97,1877100,24.95
"2007-01-30",31,31.2,30.9,31.04,1600500,25.01
"2007-01-31",31.02,32.06,31.01,31.99,3659900,25.77
"2007-02-01",32,34.04,31.96,33.62,6737800,27.09
"2007-02-02",33.57,34.72,33.4,33.93,7319600,27.34
"2007-02-05",33.95,34,32.89,33.1,4302000,26.67
"2007-02-06",33.1,33.13,32.4,32.7,4761900,26.34
"2007-02-07",32.7,32.83,32.5,32.63,2384100,26.29
"2007-02-08",32.6,32.6,32.15,32.15,3240300,25.9
"2007-02-09",32.23,32.37,31.9,31.97,2273200,25.76
"2007-02-12",31.94,32.11,31.66,31.87,1953800,25.68
"2007-02-13",32,32.12,31.65,31.81,3650800,25.63
"2007-02-14",30.25,31.74,30.01,31.7,6074000,25.54
"2007-02-15",31.65,31.75,31.11,31.18,4213300,25.12
"2007-02-16",31.18,31.34,30.67,31.17,4036100,25.11
"2007-02-20",31.18,31.48,31.02,31.32,2763900,25.23
"2007-02-21",31.07,31.39,30.81,31.15,2186400,25.1
"2007-02-22",31.3,31.36,30.56,30.71,3335700,24.74
"2007-02-23",30.75,30.85,30.48,30.54,2340100,24.6
"2007-02-26",30.6,30.76,30.12,30.31,3022100,24.42
"2007-02-27",29.87,30.13,29.64,30.07,4290000,24.23
"2007-02-28",30.01,30.16,29.64,29.83,4510400,24.03
"2007-03-01",29.8,29.8,29,29.46,4083000,23.73
"2007-03-02",29.47,29.48,28.9,28.92,3843600,23.3
"2007-03-05",28.6,29.02,28.46,28.46,3686100,22.93
"2007-03-06",28.62,28.88,28.49,28.64,3951300,23.07
"2007-03-07",28.4,28.85,28.36,28.41,4718400,22.89
"2007-03-08",28.59,28.97,28.46,28.7,3512700,23.12
"2007-03-09",28.75,28.81,28.1,28.15,3501100,22.68
"2007-03-12",28.16,28.17,27.8,27.95,4445600,22.52
"2007-03-13",27.75,27.99,27.65,27.87,5179800,22.45
"2007-03-14",27.85,28.52,27.56,28.41,8768100,22.89
"2007-03-15",28.23,28.48,27.77,27.88,4330600,22.46
"2007-03-16",27.95,28.16,27.4,27.52,4222100,22.17
"2007-03-19",27.57,27.99,27.57,27.79,3429000,22.39
"2007-03-20",27.93,28.42,27.8,28.13,4050200,22.66
"2007-03-21",28.1,28.6,28.06,28.54,3305600,22.99
"2007-03-22",27.9,28.73,27.9,28.3,3959900,22.8
"2007-03-23",28.3,28.53,27.98,27.98,4096600,22.54
"2007-03-26",28.08,28.2,27.57,27.95,5423100,22.52
"2007-03-27",27.83,27.86,27.41,27.8,5475600,22.4
"2007-03-28",27.72,27.72,27.08,27.08,8039700,21.82
"2007-03-29",27.44,27.62,27,27.23,5639100,21.94
"2007-03-30",27.34,27.71,27.2,27.4,4203200,22.07
"2007-04-02",27.29,27.44,26.74,26.82,4764200,21.61
"2007-04-03",26.55,27.13,26.55,27.02,4363300,21.96
"2007-04-04",27.05,27.27,27.01,27.04,2879800,21.97
"2007-04-05",27.04,27.26,26.95,27.18,2515700,22.09
"2007-04-09",27.2,27.28,26.83,26.89,2803200,21.85
"2007-04-10",26.89,27.06,26.61,26.62,2824200,21.63
"2007-04-11",26.67,26.78,26.5,26.6,3556000,21.62
"2007-04-12",26.5,26.78,26.26,26.73,3335900,21.72
"2007-04-13",26.98,26.98,26.55,26.87,3676600,21.84
"2007-04-16",26.95,27.12,26.66,26.89,3168100,21.85
"2007-04-17",27.45,27.45,27.02,27.31,3746900,22.19
"2007-04-18",27.19,27.62,26.93,27.23,4077200,22.13
"2007-04-19",27.05,27.35,26.84,27.12,3453700,22.04
"2007-04-20",27.36,27.7,27.33,27.61,5572800,22.44
"2007-04-23",27.67,27.92,27.51,27.62,3278800,22.44
"2007-04-24",27.71,27.79,27.22,27.59,3492500,22.42
"2007-04-25",27.71,27.91,27.48,27.64,4466000,22.46
"2007-04-26",27.59,28.29,27.36,28.14,8602000,22.87
"2007-04-27",28.16,28.16,27.7,27.82,3494500,22.61
"2007-04-30",27.83,27.96,27.21,27.21,4545600,22.11
"2007-05-01",29.51,31.58,29.21,29.8,14481700,24.22
"2007-05-02",29.81,29.9,29.41,29.77,9330800,24.19
"2007-05-03",29.8,30.18,29.77,30,7043000,24.38
"2007-05-04",30,30.82,29.51,30.5,4954300,24.78
"2007-05-07",30.85,30.93,30.36,30.71,3953500,24.96
"2007-05-08",30.78,30.99,30.22,30.37,4038400,24.68
"2007-05-09",30.44,30.61,30.17,30.33,4345400,24.65
"2007-05-10",30.28,30.28,29.64,29.73,4274400,24.16
"2007-05-11",29.75,29.93,29.4,29.59,5021200,24.05
"2007-05-14",29.62,29.93,29.6,29.79,3893100,24.21
"2007-05-15",29.83,30.04,29.14,29.16,4124900,23.7
"2007-05-16",29.17,29.44,28.87,29.15,3572800,23.69
"2007-05-17",29.08,29.36,29,29.21,2697100,23.74
"2007-05-18",29.41,29.65,29.2,29.64,2724500,24.09
"2007-05-21",29.55,30.21,29.45,30.03,4911300,24.4
"2007-05-22",30,30.33,29.93,30.12,3639300,24.48
"2007-05-23",30.14,30.53,30.12,30.24,2990900,24.57
"2007-05-24",30.23,30.88,30.09,30.4,3814200,24.7
"2007-05-25",30.64,30.72,29.72,29.89,3683200,24.29
"2007-05-29",29.97,30.2,29.66,29.75,3806800,24.18
"2007-05-30",29.74,29.94,29.43,29.88,3029400,24.28
"2007-05-31",30.01,30.31,29.85,30.21,2462700,24.55
"2007-06-01",30.25,30.36,29.36,29.44,4527900,23.92
"2007-06-04",29.36,30.2,29.31,30.16,3411600,24.51
