"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"2007-01-03",33.04,34.07,32.68,33.21,2278100,24.37
"2007-01-04",33.28,33.89,32.87,33.72,1718600,24.74
"2007-01-05",33.88,33.92,33.1,33.53,2010900,24.6
"2007-01-08",33.65,34.45,33.56,34.03,2249800,24.97
"2007-01-09",34,34.86,33.97,34.6,2263800,25.38
"2007-01-10",34.34,35.29,34.15,35.15,1597500,25.79
"2007-01-11",35.3,36.2,35.21,35.87,2715700,26.32
"2007-01-12",35.76,36.14,35.51,35.86,1699300,26.31
"2007-01-16",35.89,36.09,35.36,35.97,2437000,26.39
"2007-01-17",35.5,36.03,35.45,35.79,2175300,26.26
"2007-01-18",35.75,35.99,34.63,34.65,3585800,25.42
"2007-01-19",34.55,35.15,34.44,34.83,2616900,25.55
"2007-01-22",34.75,34.99,34.09,34.46,3198400,25.28
"2007-01-23",34.5,35.22,34.33,34.64,1742700,25.41
"2007-01-24",34.72,35.28,34.69,35.16,1911100,25.8
"2007-01-25",35.09,35.55,34.66,34.89,1869500,25.6
"2007-01-26",34.78,35.57,34.63,35.08,2117300,25.74
"2007-01-29",34.94,35.23,34.7,34.99,1456600,25.67
"2007-01-30",35.25,35.28,34.57,34.6,1782600,25.38
"2007-01-31",34.5,34.92,34.26,34.76,3014300,25.5
"2007-02-01",35.39,36.18,35.25,35.8,3748400,26.27
"2007-02-02",35.57,35.9,35.26,35.58,3862400,26.1
"2007-02-05",34.98,35.55,34.8,35.18,2877000,25.81
"2007-02-06",35.21,35.34,34.69,35.13,2150000,25.77
"2007-02-07",35.37,35.91,35.05,35.7,1762300,26.19
"2007-02-08",35.83,35.85,35.5,35.65,1954500,26.16
"2007-02-09",36.02,36.33,35.36,35.41,2590600,25.98
"2007-02-12",35.75,35.81,34.94,35.3,1593200,26.09
"2007-02-13",35.5,35.82,35.12,35.5,1569700,26.24
"2007-02-14",35.73,36.4,35.62,36.19,2218900,26.75
"2007-02-15",36.14,36.32,35.89,36.1,1261500,26.69
"2007-02-16",36.21,36.21,35.81,36.02,981100,26.63
"2007-02-20",35.87,36.3,35.53,36.25,1357900,26.8
"2007-02-21",36.16,36.16,35.72,36.04,1601600,26.64
"2007-02-22",36.5,37.41,36.41,37.25,3261500,27.54
"2007-02-23",37.37,37.76,37.16,37.49,2612900,27.71
"2007-02-26",37.63,37.71,37.05,37.18,1531400,27.48
"2007-02-27",36.97,37,36.01,36.05,2814000,26.65
"2007-02-28",35.79,36.46,35.5,35.6,2629700,26.32
"2007-03-01",34.9,35.76,34.87,35.36,3121200,26.14
"2007-03-02",35.25,35.82,35.13,35.17,2509200,26
"2007-03-05",34.78,35.95,34.66,35.44,3903000,26.2
"2007-03-06",36.71,36.99,36.17,36.35,3257700,26.87
"2007-03-07",36.2,36.6,35.91,36.25,2011100,26.8
"2007-03-08",36.6,36.89,36.35,36.69,1675100,27.12
"2007-03-09",36.88,37.01,36.57,36.96,2660700,27.32
"2007-03-12",37.01,37.08,36.72,37,1649500,27.35
"2007-03-13",36.8,37,36.47,36.53,2252800,27
"2007-03-14",36.63,36.71,35.85,36.56,2609500,27.03
"2007-03-15",36.65,36.93,36.44,36.75,1799500,27.17
"2007-03-16",36.72,36.88,36.36,36.44,2141100,26.94
"2007-03-19",36.67,36.77,35.99,36.06,1787400,26.66
"2007-03-20",36.19,36.44,35.97,36.16,1666200,26.73
"2007-03-21",36.34,36.93,35.95,36.91,2212300,27.28
"2007-03-22",36.92,37.06,36.39,36.7,1458900,27.13
"2007-03-23",36.87,36.96,36.51,36.51,1378900,26.99
"2007-03-26",36.65,36.84,36.18,36.63,1327300,27.08
"2007-03-27",36.56,36.57,36.28,36.31,940000,26.84
"2007-03-28",36.34,36.34,35.85,35.91,1109800,26.54
"2007-03-29",35.92,36.08,34.99,35.35,1952900,26.13
"2007-03-30",35.4,35.73,35.08,35.53,2171800,26.26
"2007-04-02",35.5,35.74,35.14,35.47,1182800,26.22
"2007-04-03",35.6,35.85,35.45,35.59,1686900,26.31
"2007-04-04",35.73,35.81,35.3,35.7,1405000,26.39
"2007-04-05",35.62,36.31,35.52,36.31,1302700,26.84
"2007-04-09",36.32,36.39,35.68,36.15,1497300,26.72
"2007-04-10",36.05,36.77,36.05,36.76,1979200,27.17
"2007-04-11",36.68,36.76,36.12,36.47,2632200,26.96
"2007-04-12",36.37,37.02,36.3,36.92,1518900,27.29
"2007-04-13",37,37.03,36.66,36.9,1725500,27.28
