"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"2007-01-03",53.08,53.57,52.4,52.57,5864500,45.53
"2007-01-04",52.57,53.32,52.21,53.2,6061600,46.07
"2007-01-05",52.91,53.6,52.76,53.36,4437500,46.21
"2007-01-08",53.36,54.19,53.36,53.7,5466200,46.51
"2007-01-09",53.96,54.4,53.79,53.85,7599300,46.64
"2007-01-10",53.85,54.5,53.38,54.21,4264400,46.95
"2007-01-11",54.22,54.35,53.51,53.95,7007500,46.72
"2007-01-12",54.12,54.27,53.64,53.72,2856000,46.52
"2007-01-16",53.42,54.54,53.41,54.51,4237200,47.21
"2007-01-17",54.51,54.6,53.96,54.3,6429200,47.03
"2007-01-18",54.5,54.86,54,54.14,5383000,46.89
"2007-01-19",54.14,54.14,53.15,53.77,7425200,46.57
"2007-01-22",53.65,53.9,53.06,53.18,4893600,46.06
"2007-01-23",53.06,53.37,52.71,52.83,5485500,45.75
"2007-01-24",53,53.46,52.85,53.44,3594500,46.28
"2007-01-25",53.37,53.82,52.93,53.39,3704700,46.24
"2007-01-26",53.5,53.56,52.97,53.14,4445800,46.02
"2007-01-29",53.98,53.98,52.52,52.71,4421900,45.65
"2007-01-30",52.85,53.21,52.71,53.12,3433200,46
"2007-01-31",52.9,53.6,52.67,53.45,4247300,46.29
"2007-02-01",53.45,53.58,53,53.34,5218900,46.19
"2007-02-02",53.33,53.8,53.22,53.7,7275300,46.51
"2007-02-05",53.7,53.76,53.29,53.31,4502000,46.17
"2007-02-06",53.32,53.67,52.98,53.24,3513000,46.11
"2007-02-07",53.14,53.32,52.87,53.24,4028900,46.11
"2007-02-08",53.4,54.02,53.3,53.9,4388500,46.68
"2007-02-09",53.84,54.1,53.57,53.78,3934900,46.58
"2007-02-12",53.79,54,53.58,53.59,2601800,46.41
"2007-02-13",53.59,54.45,53.53,54.42,4498500,47.13
"2007-02-14",54.42,54.67,54.19,54.58,4041600,47.27
"2007-02-15",54.49,54.62,53.96,54.06,4540800,46.82
"2007-02-16",53.84,54.69,53.73,54.13,5728400,46.88
"2007-02-20",53.52,54.63,53.5,54.54,6281800,47.23
"2007-02-21",52.45,52.57,51.48,52.02,23595000,45.05
"2007-02-22",51.9,51.97,50.99,51.25,11122800,44.38
"2007-02-23",51.07,51.5,50.84,51.35,5925600,44.47
"2007-02-26",51.5,51.5,50.75,50.92,4697000,44.1
"2007-02-27",50.41,50.99,49.69,49.94,11025000,43.25
"2007-02-28",50.87,51.08,49.94,50.36,14156100,43.61
"2007-03-01",50.38,50.97,49.9,50.15,12112800,43.43
"2007-03-02",50.05,50.08,48.98,49.15,11056600,42.57
"2007-03-05",48.61,49.6,48.5,49.1,10999100,42.52
