"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"2007-01-03",38.4,38.52,38.1,38.4,768700,32.46
"2007-01-04",38.42,38.49,38,38.22,585200,32.31
"2007-01-05",38.19,38.39,37.91,37.99,464800,32.12
"2007-01-08",37.94,38.05,37.44,37.9,683600,32.04
"2007-01-09",38.01,38.16,37.93,38.03,595100,32.15
"2007-01-10",38,38.05,37.76,37.98,359500,32.11
"2007-01-11",38.08,38.4,37.97,38.14,459700,32.24
"2007-01-12",38.16,38.16,37.86,37.98,531400,32.11
"2007-01-16",38.05,38.15,37.96,38.04,752700,32.16
"2007-01-17",37.93,38.21,37.83,38.03,438300,32.15
"2007-01-18",37.15,38.09,37.15,38,419100,32.13
"2007-01-19",38.04,38.23,37.89,38.13,445000,32.24
"2007-01-22",38.14,38.61,38.11,38.43,429900,32.49
"2007-01-23",38.44,39.28,38.36,38.74,883100,32.75
"2007-01-24",38.7,38.84,37.44,38.49,527900,32.54
"2007-01-25",38.6,39.36,38.5,39.19,760100,33.13
"2007-01-26",38.65,38.96,38.44,38.5,532600,32.55
"2007-01-29",38.37,38.82,38.23,38.54,470000,32.58
"2007-01-30",38.79,38.96,38.53,38.83,435500,32.83
"2007-01-31",38.75,39.1,38.57,39.04,417800,33
"2007-02-01",39.11,39.24,38.92,39.2,324900,33.14
"2007-02-02",39.27,39.46,39.09,39.18,335500,33.12
"2007-02-05",39.04,39.31,38.92,39.24,322000,33.17
"2007-02-06",39.24,39.33,39.05,39.11,307800,33.06
"2007-02-07",39.09,39.28,38.98,39.16,267100,33.11
"2007-02-08",39.23,39.28,38.9,39.14,325000,33.09
"2007-02-09",39.11,39.31,38.92,39.03,256500,33
"2007-02-12",38.96,39.15,38.84,38.93,201200,32.91
"2007-02-13",39.01,39.3,38.93,39.27,168900,33.2
"2007-02-14",39.25,39.4,39.1,39.27,269100,33.2
"2007-02-15",39.12,39.49,39.09,39.14,335900,33.09
"2007-02-16",39.01,39.29,39,39.28,431100,33.21
"2007-02-20",39.28,39.53,39.01,39.47,257600,33.37
"2007-02-21",39.4,39.5,39.03,39.4,250500,33.31
"2007-02-22",39.39,39.56,39.25,39.35,217700,33.27
"2007-02-23",39.38,39.48,39.25,39.36,204200,33.27
"2007-02-26",39.35,39.59,39.28,39.52,187500,33.41
"2007-02-27",39.52,39.52,38,38.11,709600,32.22
"2007-02-28",38.06,38.53,37.94,38.29,577100,32.37
"2007-03-01",37.94,38.12,37.21,37.89,658500,32.03
"2007-03-02",37.85,37.99,37.48,37.48,437200,31.69
"2007-03-05",37.38,37.52,37.03,37.28,516700,31.52
"2007-03-06",37.28,37.47,36.82,36.89,904500,31.19
"2007-03-07",36.89,37.05,36.68,36.7,796700,31.03
"2007-03-08",36.93,37.63,36.93,37.42,760500,31.63
"2007-03-09",37.44,37.75,37.44,37.53,403500,31.73
"2007-03-12",37.56,38.21,37.35,38.04,682900,32.16
"2007-03-13",38.01,38.08,37.54,37.54,452300,31.74
"2007-03-14",37.54,37.78,37.03,37.54,590900,31.74
"2007-03-15",37.58,37.94,37.5,37.81,377000,31.96
"2007-03-16",37.9,38,37.54,37.64,721900,31.82
"2007-03-19",37.77,38,37.73,37.91,378300,32.05
"2007-03-20",37.76,38.14,37.76,38.01,507000,32.13
"2007-03-21",38,38.99,37.89,38.86,456900,32.85
"2007-03-22",39.72,39.73,38.73,38.88,648900,32.87
"2007-03-23",38.99,39.29,38.82,39.18,354600,33.12
"2007-03-26",39.05,39.29,38.8,39.11,308100,33.06
"2007-03-27",39.5,39.5,38.24,38.68,875400,32.7
"2007-03-28",37.84,38.72,37.66,38.28,1224500,32.36
"2007-03-29",38.43,38.61,38.27,38.46,1022900,32.51
"2007-03-30",38.42,38.76,38.13,38.52,782100,32.56
"2007-04-02",38.7,38.7,38.07,38.18,1178800,32.28
"2007-04-03",38.27,38.47,38.27,38.4,817700,32.46
"2007-04-04",38.23,38.42,38.08,38.15,640700,32.42
"2007-04-05",38.38,38.38,37.92,38.25,601800,32.51
"2007-04-09",38.21,38.38,37.89,37.93,746800,32.23
"2007-04-10",37.86,37.93,37.29,37.57,1334600,31.93
"2007-04-11",37.57,37.61,37.32,37.52,697100,31.89
"2007-04-12",37.52,37.69,37.27,37.46,756700,31.83
"2007-04-13",37.9,38.58,37.57,38.46,1258200,32.68
"2007-04-16",38.41,38.84,38.41,38.64,843500,32.84
"2007-04-17",38.58,38.67,38.36,38.49,475000,32.71
"2007-04-18",38.4,38.43,38.05,38.16,383000,32.43
"2007-04-19",38.88,38.88,37.78,37.87,418100,32.18
"2007-04-20",38.19,38.26,37.89,38.1,578900,32.38
"2007-04-23",38.25,38.42,38.13,38.25,439600,32.51
"2007-04-24",38.16,38.42,38.07,38.12,594000,32.4
"2007-04-25",38.34,38.4,37.97,38.02,475600,32.31
"2007-04-26",37.93,38.11,37.41,37.51,488100,31.88
"2007-04-27",37.49,37.54,37,37.3,318400,31.7
"2007-04-30",37.31,37.53,37.12,37.12,367400,31.55
"2007-05-01",37.07,37.25,36.8,37.2,632800,31.61
"2007-05-02",37.2,37.3,37.08,37.14,553600,31.56
"2007-05-03",37.16,37.42,37.13,37.37,666300,31.76
"2007-05-04",37.39,37.42,37.03,37.27,678900,31.67
"2007-05-07",37.27,37.52,37.16,37.28,349400,31.68
"2007-05-08",37.03,37.25,36.85,36.92,368000,31.38
"2007-05-09",36.93,37.13,36.84,36.94,340500,31.39
"2007-05-10",36.83,36.84,36.58,36.69,637900,31.18
"2007-05-11",36.78,36.99,36.66,36.97,534200,31.42
"2007-05-14",37.01,37.27,37.01,37.27,725200,31.67
"2007-05-15",37.24,37.37,37.14,37.22,838800,31.63
"2007-05-16",37.32,37.53,37.25,37.53,482400,31.89
"2007-05-17",37.41,37.53,37.32,37.38,553200,31.77
"2007-05-18",37.44,37.54,37.31,37.41,517600,31.79
"2007-05-21",37.31,37.61,37.25,37.26,440100,31.66
"2007-05-22",37.08,37.41,37.07,37.2,525900,31.61
"2007-05-23",37.2,37.36,37.12,37.34,452600,31.73
"2007-05-24",37.24,37.44,37.16,37.21,577200,31.62
"2007-05-25",37.3,37.44,37.22,37.32,391200,31.72
"2007-05-29",37.35,37.57,37.19,37.24,751500,31.65
"2007-05-30",37.18,37.51,37.13,37.5,589600,31.87
"2007-05-31",37.52,37.59,37.21,37.29,628100,31.69
"2007-06-01",37.29,37.38,37.12,37.32,649100,31.72
"2007-06-04",37.15,37.17,36.98,37.04,592100,31.48
"2007-06-05",37,37.03,36.61,36.62,773400,31.12
"2007-06-06",36.61,36.82,36.52,36.65,666900,31.15
"2007-06-07",37.75,38,37.07,37.09,1284900,31.52
"2007-06-08",37.09,37.41,36.81,37.36,838400,31.75
"2007-06-11",36.82,37.73,36.82,37.59,508400,31.94
"2007-06-12",37.6,37.6,37.08,37.2,1200100,31.61
"2007-06-13",37.32,37.66,37.27,37.66,550300,32
"2007-06-14",37.66,37.81,37.3,37.52,760500,31.89
"2007-06-15",37.59,38,37.44,37.62,896000,31.97
"2007-06-18",36.8,37.73,36.8,37.46,555000,31.83
"2007-06-19",37.56,37.59,37.13,37.26,544700,31.66
"2007-06-20",37.31,37.73,37.08,37.08,790000,31.51
"2007-06-21",37.08,37.44,36.98,37.41,553400,31.79
"2007-06-22",37.35,37.5,36.79,36.93,758400,31.38
"2007-06-25",37,37.33,36.53,36.66,1147300,31.15
"2007-06-26",36.66,37.1,35.5,35.5,912700,30.17
"2007-06-27",36.29,38.52,36.26,38.38,2242200,32.62
