"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"2007-01-03",31,31.53,30.92,31.26,3277400,25.16
"2007-01-04",31.37,31.75,30.98,31.63,2960300,25.46
"2007-01-05",31.47,31.5,31,31.34,2640500,25.23
"2007-01-08",31.16,31.3,30.87,31.04,2906000,24.99
"2007-01-09",31.05,31.51,30.95,31.13,2216500,25.06
"2007-01-10",31,31.23,30.74,31.18,1966600,25.1
"2007-01-11",31.17,31.34,31.09,31.21,1803200,25.12
"2007-01-12",30.95,31.42,30.42,31.36,2996000,25.24
"2007-01-16",31.35,31.42,31.06,31.34,1950500,25.23
"2007-01-17",31.4,31.4,30.77,30.89,1743300,24.87
"2007-01-18",30.89,31.05,30.57,30.58,1640300,24.62
"2007-01-19",30.65,30.78,30.25,30.64,1978000,24.66
"2007-01-22",30.52,30.63,30.3,30.4,2324800,24.62
"2007-01-23",30.45,30.5,30.2,30.32,1321200,24.56
"2007-01-24",30.4,30.43,30.01,30.08,2546700,24.36
"2007-01-25",30.1,30.17,29.52,29.6,3151700,23.98
"2007-01-26",29.61,29.83,29.37,29.76,3767900,24.11
"2007-01-29",29.9,30.05,29.67,29.77,1542200,24.11
"2007-01-30",29.8,29.9,29.45,29.59,1956700,23.97
"2007-01-31",29.59,29.75,29.46,29.5,2259400,23.89
"2007-02-01",30,30.17,29.5,29.94,5732500,24.25
"2007-02-02",29.87,29.92,29.09,29.31,4426600,23.74
"2007-02-05",29.3,29.56,29.23,29.34,1971500,23.77
"2007-02-06",29.16,29.51,28.95,29.25,2185200,23.69
"2007-02-07",29.24,29.44,29.17,29.24,2152100,23.68
"2007-02-08",29.11,29.41,29.05,29.32,2182600,23.75
"2007-02-09",29.4,29.88,29.32,29.49,3391400,23.89
"2007-02-12",29.5,29.95,29.5,29.83,2861100,24.16
"2007-02-13",30.09,30.49,29.29,29.34,6484600,23.77
"2007-02-14",29.45,29.57,29.24,29.38,2337800,23.8
"2007-02-15",29.32,30.12,29.32,30.1,5025700,24.38
"2007-02-16",29.98,30.27,29.98,30.15,2449300,24.42
"2007-02-20",30.18,30.31,30.07,30.14,2039400,24.41
"2007-02-21",30.02,30.1,29.72,29.75,2158700,24.1
