"","MO.Open","MO.High","MO.Low","MO.Close","MO.Volume","MO.Adjusted"
"2007-01-03",86.1,87.15,86,86.51,9392700,13.2
"2007-01-04",87.4,87.87,86.75,87.65,12399500,13.38
"2007-01-05",87.89,87.94,86.95,87.15,8214400,13.3
"2007-01-08",87.17,88.03,86.6,87.98,8408000,13.43
"2007-01-09",88.03,88.58,87.9,88.12,9030800,13.45
"2007-01-10",88.47,89.42,87.9,89.19,11717000,13.61
"2007-01-11",89.42,90.5,89.35,89.4,13994300,13.64
"2007-01-12",89.42,89.66,87.81,88.42,13296500,13.5
"2007-01-16",88.67,89.5,87.99,89.29,8900800,13.63
"2007-01-17",89.42,89.59,88.34,88.57,8146500,13.52
"2007-01-18",87.79,89.08,87.79,87.95,8723800,13.42
"2007-01-19",87.95,88.07,86.99,87.26,9968800,13.32
"2007-01-22",87.01,87.5,86.62,87.07,8506300,13.29
"2007-01-23",87.07,87.99,87,87.76,6666900,13.39
"2007-01-24",87.95,88.26,87.57,87.92,6368200,13.42
"2007-01-25",88.29,88.7,87.79,87.85,7096800,13.41
"2007-01-26",88.3,88.5,87.65,88,7690000,13.43
"2007-01-29",88.85,89.95,88.06,88.06,12336900,13.44
"2007-01-30",88.25,88.5,87.5,87.54,11144300,13.36
"2007-01-31",87.54,88.47,86.25,87.39,18530600,13.34
"2007-02-01",87.48,87.85,86.73,87.48,11644700,13.35
"2007-02-02",87.48,87.6,86.31,86.56,9716800,13.21
"2007-02-05",86.63,86.99,86.36,86.88,6640000,13.26
"2007-02-06",86.87,86.92,85.8,86.02,10904900,13.13
"2007-02-07",86.02,86.38,85.7,85.98,7122000,13.12
"2007-02-08",85.6,85.9,84.74,85.22,11438000,13.01
"2007-02-09",85.05,85.8,85,85.39,7404200,13.03
"2007-02-12",85.26,85.93,85.16,85.6,7683100,13.06
"2007-02-13",85.71,86.17,85.53,86.05,7984800,13.13
"2007-02-14",86.03,86.47,85.5,86.39,7843400,13.19
"2007-02-15",86.38,86.61,85.9,86.08,10067300,13.14
"2007-02-16",85.99,86.26,85.57,86.2,7223700,13.16
"2007-02-20",86.2,86.75,85.5,85.95,7839300,13.12
"2007-02-21",86,86.49,85.3,85.36,7461400,13.03
"2007-02-22",85.37,85.5,84.65,84.84,10768200,12.95
"2007-02-23",84.84,85.72,84.4,85.38,6053500,13.03
"2007-02-26",85.22,85.9,85.16,85.67,5473300,13.08
"2007-02-27",85.24,85.5,81.17,82.67,17586100,12.62
"2007-02-28",83.03,85,83,84.28,17958200,12.86
"2007-03-01",83.34,84.88,83.05,84.34,13663000,12.87
"2007-03-02",83.79,84.5,83.12,83.48,10234400,12.74
"2007-03-05",83,86.69,82.19,82.21,12478000,12.55
"2007-03-06",83.35,84.56,83.08,84.42,14670100,12.88
"2007-03-07",84.5,85.66,84.02,85.08,15053700,12.99
"2007-03-08",85.64,86.25,85.24,85.96,11299800,13.12
"2007-03-09",86,86.93,85.21,86.86,19918000,13.26
"2007-03-12",86.36,87.35,86.35,86.66,29609000,13.23
"2007-03-13",84.5,85.64,84.02,84.04,26815200,12.96
"2007-03-14",83.87,84.5,83.16,83.9,34761500,12.93
"2007-03-15",83.39,85.1,83.38,84.75,17374700,13.06
"2007-03-16",84.69,85.06,84.43,84.73,25986300,13.06
"2007-03-19",83.99,85.36,83.45,85.22,19125400,13.14
"2007-03-20",85.22,85.83,84.81,85.83,13591700,13.23
"2007-03-21",85.64,86.25,85.15,86.1,16834000,13.27
"2007-03-22",85.85,86.68,85,86.15,12424900,13.28
"2007-03-23",86.2,86.83,85.47,85.47,11688700,13.18
"2007-03-26",85.21,85.64,84.59,84.95,15346700,13.1
"2007-03-27",84.76,85.45,84.42,85.08,10827900,13.12
"2007-03-28",85.09,86.71,85.08,86.21,16112500,13.29
"2007-03-29",86.65,87.34,86.01,87.14,10862100,13.43
"2007-03-30",86.7,87.81,86.4,87.81,12766800,13.54
"2007-04-02",67.13,68.43,66.91,68.22,23953400,14.01
"2007-04-03",68.81,69.8,68.76,69.65,28127100,14.31
"2007-04-04",70.2,70.6,69.9,70.44,27808900,14.47
"2007-04-05",70.71,70.98,70.53,70.75,16856300,14.53
"2007-04-09",71.1,71.1,69.65,69.9,12901200,14.36
"2007-04-10",70.3,70.5,70.1,70.16,10903800,14.41
"2007-04-11",70.28,70.5,69.34,69.5,11542200,14.28
"2007-04-12",69.5,70.01,69.4,69.95,9781900,14.37
"2007-04-13",70.37,70.38,69.45,69.56,7980900,14.29
"2007-04-16",69.9,69.94,69.2,69.37,8731200,14.25
"2007-04-17",69.48,69.75,69.21,69.57,9047600,14.29
"2007-04-18",69.63,70.56,69.58,70.08,15720200,14.39
"2007-04-19",69.55,70.2,68.64,69.4,14000200,14.26
"2007-04-20",70.03,70.06,69.26,69.55,10940900,14.29
"2007-04-23",69.59,69.9,69.31,69.33,8460100,14.24
"2007-04-24",69.33,70,69.06,69.92,9056700,14.36
"2007-04-25",70.22,70.63,69.57,70.47,19888800,14.47
"2007-04-26",70.4,70.7,69.32,69.33,9055200,14.24
"2007-04-27",69.46,69.81,69.34,69.6,6166100,14.3
"2007-04-30",69.95,69.96,68.9,68.92,9005700,14.16
"2007-05-01",69.25,69.5,68.22,68.81,7175700,14.13
"2007-05-02",69.01,69.3,68.5,69.11,5519800,14.2
"2007-05-03",69.1,69.9,69.1,69.77,8553900,14.33
"2007-05-04",70.04,70.15,69,69.36,6422700,14.25
"2007-05-07",69.67,69.86,69.11,69.18,7235300,14.21
"2007-05-08",69.15,69.17,68.28,68.66,7421500,14.1
"2007-05-09",68.51,68.86,68.28,68.57,7604300,14.08
"2007-05-10",68.5,68.87,68,68.04,9483400,13.98
"2007-05-11",68.2,68.65,67.85,68.59,10903800,14.09
"2007-05-14",68.58,69.13,68.48,68.83,5407000,14.14
"2007-05-15",68.9,69.74,68.51,69.41,7272200,14.26
"2007-05-16",69.74,70.05,69.56,69.99,7832600,14.38
"2007-05-17",69.96,70.1,69.7,69.7,8248800,14.32
"2007-05-18",69.94,70.15,69.56,69.95,10547600,14.37
"2007-05-21",70.4,71.13,69.95,70.85,18780600,14.55
"2007-05-22",71.16,71.86,70.86,71.68,14158800,14.72
"2007-05-23",71.99,72,71.25,71.39,7792000,14.66
"2007-05-24",71.58,71.8,70.42,70.47,8440400,14.47
"2007-05-25",70.65,70.81,70.18,70.78,5935200,14.54
"2007-05-29",71.15,71.48,70.8,71.34,9123000,14.65
"2007-05-30",71.31,71.49,70.91,71.49,15376000,14.68
"2007-05-31",71.49,72.2,71.03,71.1,14095100,14.6
"2007-06-01",71.1,71.84,70.62,71.82,14434300,14.75
"2007-06-04",71.77,71.91,71.2,71.8,7881400,14.75
"2007-06-05",71.65,71.7,70.61,70.68,12779300,14.52
