"","MOLX.Open","MOLX.High","MOLX.Low","MOLX.Close","MOLX.Volume","MOLX.Adjusted"
"2007-01-03",31.7,32.34,31.56,31.68,915700,26.12
"2007-01-04",31.51,31.85,31.35,31.7,958300,26.14
"2007-01-05",31.49,31.56,30.46,30.8,832400,25.4
"2007-01-08",29.1,30.23,29.1,29.28,2500400,24.14
"2007-01-09",29.23,29.34,28.36,28.54,1626400,23.53
"2007-01-10",28.49,28.5,28.16,28.34,945400,23.37
"2007-01-11",28.59,28.79,28.41,28.62,1101000,23.6
"2007-01-12",28.44,29.4,28.44,29.06,1089200,23.96
"2007-01-16",29.01,29.51,28.85,29.4,939700,24.24
"2007-01-17",29.4,29.84,29.4,29.65,1301400,24.45
"2007-01-18",29.64,29.85,29.18,29.4,1263800,24.24
"2007-01-19",29.98,30.2,28.9,28.99,2100800,23.9
"2007-01-22",28.94,29.06,28.37,28.48,963000,23.48
"2007-01-23",28.59,29.29,28.42,29.25,1096100,24.12
"2007-01-24",29.29,29.9,29.15,29.56,1236500,24.37
"2007-01-25",30.02,30.07,29.38,29.49,1111500,24.32
"2007-01-26",29.66,29.73,29.34,29.7,853700,24.49
"2007-01-29",29.62,29.82,29.54,29.61,953300,24.42
"2007-01-30",29.79,29.83,29.2,29.26,830400,24.13
"2007-01-31",29.36,29.55,29.14,29.39,782700,24.23
"2007-02-01",29.55,30.15,29.4,30.1,866500,24.82
"2007-02-02",30.11,30.15,29.75,29.86,657200,24.62
"2007-02-05",29.98,30.2,29.93,29.99,795700,24.73
"2007-02-06",30.03,30.03,29.58,29.73,829700,24.51
"2007-02-07",29.74,30.07,29.74,29.99,615900,24.73
"2007-02-08",30.06,30.15,29.87,29.93,519500,24.68
"2007-02-09",30.08,30.13,29.63,29.79,622600,24.56
"2007-02-12",29.71,30.09,29.71,29.9,756400,24.66
"2007-02-13",30.05,30.19,29.7,29.75,820200,24.53
"2007-02-14",29.86,30.29,29.74,30.08,854400,24.8
"2007-02-15",30.18,30.2,29.84,29.93,602200,24.68
"2007-02-16",29.84,30.13,29.82,29.85,1088300,24.61
"2007-02-20",29.73,30.05,29.69,29.97,1005300,24.71
"2007-02-21",29.79,30.01,29.74,29.88,724900,24.64
"2007-02-22",30.1,30.78,30.01,30.76,1207800,25.36
"2007-02-23",30.75,30.78,30.61,30.78,1116300,25.38
"2007-02-26",30.65,31,30.49,30.68,909700,25.3
"2007-02-27",30.39,30.46,29.25,29.38,1004200,24.23
"2007-02-28",29.98,29.98,29.28,29.33,864600,24.19
"2007-03-01",29.07,29.37,28.73,29.22,694600,24.09
"2007-03-02",29.24,29.24,28.37,28.45,866900,23.46
"2007-03-05",28.42,28.59,28.1,28.34,698800,23.37
"2007-03-06",28.38,28.63,28.2,28.43,708200,23.44
"2007-03-07",28.26,28.54,28.11,28.34,631600,23.37
"2007-03-08",28.58,28.78,28.41,28.56,447500,23.55
"2007-03-09",28.69,29.04,28.56,28.67,444500,23.64
"2007-03-12",28.6,29.05,28.57,28.91,540100,23.84
"2007-03-13",28.72,29.04,28.11,28.17,1041600,23.23
"2007-03-14",28.11,28.53,28.11,28.53,476400,23.53
"2007-03-15",28.44,28.65,28.08,28.25,465500,23.29
"2007-03-16",28.35,28.71,28.11,28.61,1237500,23.59
"2007-03-19",28.7,29.15,28.62,29.06,724900,23.96
"2007-03-20",29.16,29.22,29,29.08,658200,23.98
"2007-03-21",29.15,29.41,28.84,29.4,503200,24.24
"2007-03-22",29.23,29.4,29.09,29.4,276500,24.24
"2007-03-23",29.05,29.31,28.97,29.04,305700,23.95
"2007-03-26",28.93,29.14,28.63,28.94,372600,23.86
"2007-03-27",28.82,28.99,28.59,28.59,393600,23.57
"2007-03-28",28.52,28.56,28.15,28.19,544400,23.31
"2007-03-29",28.3,28.49,28.02,28.15,466200,23.27
"2007-03-30",28.16,28.28,27.85,28.2,587400,23.31
"2007-04-02",28.13,28.29,27.95,28.1,584000,23.23
"2007-04-03",28.21,28.81,28.18,28.78,733500,23.79
"2007-04-04",28.75,28.86,28.65,28.78,620400,23.79
"2007-04-05",28.6,28.74,28.47,28.69,518300,23.72
"2007-04-09",28.89,28.89,28.52,28.61,583300,23.65
"2007-04-10",28.53,28.66,28.36,28.4,644000,23.48
"2007-04-11",28.37,28.49,27.9,28.01,867800,23.16
"2007-04-12",27.86,28.4,27.6,28.36,698100,23.45
"2007-04-13",28.4,28.63,28.15,28.62,634200,23.66
"2007-04-16",28.67,29.04,28.6,29.04,460100,24.01
"2007-04-17",29.04,29.11,28.68,29.04,523500,24.01
"2007-04-18",29,29.31,28.93,29.24,555300,24.17
"2007-04-19",29.26,29.4,28.8,29.3,695600,24.22
"2007-04-20",29.75,31.05,29.36,30.5,1339700,25.22
"2007-04-23",30.61,30.62,30.28,30.5,940000,25.22
"2007-04-24",30.49,30.5,30.21,30.24,609300,25
"2007-04-25",30.41,30.78,30.2,30.72,530600,25.4
