"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume","MON.Adjusted"
"2007-01-03",52,53.43,50.67,51.68,4956700,46.9
"2007-01-04",50.95,51.21,50.42,50.79,4582800,46.09
"2007-01-05",50.85,51.37,50,51.22,3569100,46.48
"2007-01-08",51,51,50.37,50.55,3174800,45.88
"2007-01-09",50.57,50.87,49.7,50.2,3053500,45.56
"2007-01-10",49.9,50.04,49.1,49.85,3330800,45.24
"2007-01-11",50.08,50.6,49.71,50,3489000,45.38
"2007-01-12",50.35,51.84,50.25,51.15,4734400,46.42
"2007-01-16",52.5,54.77,52.5,53.68,7075500,48.72
"2007-01-17",54.15,54.28,53.7,54.22,3879000,49.21
"2007-01-18",54.48,54.5,53.6,54.01,2886400,49.02
"2007-01-19",54.25,54.46,53.84,54.31,2136200,49.29
"2007-01-22",54.41,54.5,52.72,53.31,2980500,48.38
"2007-01-23",53.72,55.1,53.49,54.98,3835800,49.9
"2007-01-24",55.1,56.07,54.95,56.04,4981000,50.86
"2007-01-25",56.14,56.24,54.56,54.84,4184500,49.77
"2007-01-26",54.8,55.81,54.68,55.64,3332000,50.5
"2007-01-29",55.53,55.73,54.71,55.18,3628100,50.08
"2007-01-30",55.4,55.74,54.78,55.01,1942500,49.92
"2007-01-31",54.93,55.48,54.78,55.09,2168800,50
"2007-02-01",55.24,55.74,54.6,54.84,3918300,49.77
"2007-02-02",55.07,56,54.5,55.55,2964800,50.41
"2007-02-05",55.3,55.39,54.04,54.3,2399400,49.28
"2007-02-06",54.87,54.95,54.15,54.61,2200600,49.56
"2007-02-07",54.61,55,54.39,54.62,2604600,49.57
"2007-02-08",54.76,55,53.9,54.22,2351700,49.21
"2007-02-09",54.55,55,54,54.22,1585700,49.21
"2007-02-12",54.32,54.75,53.52,53.76,1563700,48.79
"2007-02-13",53.94,54.75,53.84,54.45,2594500,49.42
"2007-02-14",54.88,56.01,54.68,55.75,4109800,50.6
"2007-02-15",55.9,56.41,55.34,55.61,2773900,50.47
"2007-02-16",55.29,55.65,55.02,55.65,1981900,50.51
"2007-02-20",55.79,55.87,54.78,55.83,1667500,50.67
"2007-02-21",55.72,56.46,55.16,56.27,1959300,51.07
"2007-02-22",56.5,57.08,56,56.48,2540600,51.26
"2007-02-23",56.55,56.6,55.62,55.74,1986600,50.59
"2007-02-26",55.96,56.09,54.59,54.79,2584900,49.72
"2007-02-27",53.56,54,51.04,52.45,4790700,47.6
"2007-02-28",52.31,53.21,51.44,52.71,4206200,47.84
"2007-03-01",51.39,53.09,50.65,52.37,3724400,47.53
"2007-03-02",52.07,52.19,50.75,50.92,3154000,46.21
"2007-03-05",50.58,51.84,50.01,50.8,2896400,46.1
"2007-03-06",52.41,52.84,51.75,52.66,3467900,47.79
"2007-03-07",52.25,53.84,52.13,52.99,3978800,48.09
"2007-03-08",53.51,54.45,53.35,54.01,2660600,49.02
"2007-03-09",54.36,54.73,53.61,54.03,1943500,49.03
"2007-03-12",53.81,54.82,53.71,54.66,1406600,49.61
"2007-03-13",54.04,54.53,52.27,52.48,2854800,47.63
"2007-03-14",52.6,53.12,51.49,52.91,2674900,48.02
"2007-03-15",52.66,53.3,52.24,52.77,2217000,47.89
"2007-03-16",52.99,53.1,51.48,51.55,4822700,46.78
"2007-03-19",52,53.34,51.85,53.22,2600100,48.3
"2007-03-20",53.17,53.64,52.91,53.26,2052600,48.34
"2007-03-21",53.41,55,53.02,55,2551600,49.92
"2007-03-22",55.12,55.35,54.24,54.51,1936200,49.47
"2007-03-23",54.41,54.91,54.09,54.83,1800800,49.76
"2007-03-26",55.15,55.63,54.67,55.61,4017800,50.47
"2007-03-27",55.29,55.5,54.23,54.45,4517700,49.42
"2007-03-28",53.7,54.83,53.5,54.28,2234000,49.26
"2007-03-29",54.44,55.25,54.32,54.87,3202100,49.8
"2007-03-30",55.7,55.9,53.95,54.96,2844400,49.88
"2007-04-02",55.01,55.29,54.34,55.01,2063400,49.92
"2007-04-03",55.2,56,54.56,56,3185200,50.94
"2007-04-04",57,59.66,56.87,57.79,10216500,52.57
"2007-04-05",58.3,58.3,56.8,57.55,4680800,52.35
"2007-04-09",57.92,58.35,57.55,58.29,2865400,53.02
"2007-04-10",58.29,58.5,57.46,57.54,2558800,52.34
"2007-04-11",57.57,57.85,56.75,57.18,4007500,52.01
"2007-04-12",57.3,58.27,56.93,58.17,2443600,52.91
"2007-04-13",58.17,58.56,57.66,58.38,2036300,53.1
"2007-04-16",58.6,59.2,58.27,58.86,1868700,53.54
"2007-04-17",58.85,59.2,58.49,58.76,1843400,53.45
"2007-04-18",58.65,58.8,58.13,58.31,1880600,53.04
"2007-04-19",58,58.49,57.5,58.2,2096100,52.94
"2007-04-20",58.88,59.27,58.27,59.22,2815000,53.87
"2007-04-23",59.12,59.6,58.65,59,1815300,53.67
"2007-04-24",59,59.38,58.45,58.94,2619400,53.61
"2007-04-25",59.35,60.11,59.24,60.09,3133400,54.66
"2007-04-26",60.09,60.46,59.64,59.97,2587700,54.55
"2007-04-27",59.83,60.41,59.31,60.3,2236700,54.85
"2007-04-30",60.35,60.35,58.93,58.99,3637700,53.66
"2007-05-01",58.84,59.07,56.8,57.74,3567900,52.52
"2007-05-02",57.96,58.78,57.76,58.63,2337300,53.33
"2007-05-03",58.99,60.11,58.88,59.5,2846800,54.12
"2007-05-04",59.87,59.98,59.02,59.47,1929700,54.09
