"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2007-01-03",21.61,21.95,21.41,21.65,1890600,20.1
"2007-01-04",21.64,21.64,20.72,20.91,1336700,19.41
"2007-01-05",20.75,20.86,20.32,20.38,920100,18.92
"2007-01-08",20.31,20.39,19.7,20.24,1517700,18.79
"2007-01-09",20.25,20.27,19.95,20.04,1377700,18.6
"2007-01-10",20.03,20.07,19.5,19.76,2332900,18.34
"2007-01-11",19.76,20.8,19.49,20.78,2887700,19.29
"2007-01-12",20.8,22.3,20.74,22.1,3068300,20.51
"2007-01-16",22.1,22.57,22.02,22.11,2963600,20.52
"2007-01-17",21.98,22.05,21.48,21.54,1343700,19.99
"2007-01-18",21.55,22.34,21.48,21.94,1717600,20.37
"2007-01-19",21.94,22.2,21.69,21.7,1624500,20.14
"2007-01-22",21,21.37,20.8,21.17,2814600,19.65
"2007-01-23",21.3,21.78,21.26,21.6,3116300,20.05
"2007-01-24",21.45,21.87,20.7,21.34,2869000,19.81
"2007-01-25",21.27,21.31,20.1,20.45,4148200,18.98
"2007-01-26",20.43,20.56,19.7,19.95,3048500,18.52
"2007-01-29",21.39,21.98,20.15,20.81,4579100,19.32
"2007-01-30",20.8,20.83,19.98,20.4,4518300,18.94
"2007-01-31",20.4,20.4,19.84,19.92,2122100,18.49
"2007-02-01",20.01,20.71,19.96,20.7,5666300,19.21
"2007-02-02",20.73,20.96,20.65,20.85,3173800,19.35
"2007-02-05",20.94,20.94,20.09,20.14,1989300,18.7
"2007-02-06",20.14,20.74,19.9,20.71,2045700,19.22
"2007-02-07",20.78,21,20.46,20.69,1756200,19.21
"2007-02-08",20.47,20.85,20.38,20.56,1947800,19.08
"2007-02-09",20.55,21.34,20.55,21.23,3279100,19.71
"2007-02-12",21.43,22.44,21.43,22.36,5841900,20.76
"2007-02-13",22.56,23.99,22.5,23.64,4346900,21.94
"2007-02-14",23.97,24.2,23.69,23.74,2911700,22.04
"2007-02-15",23.45,24.38,23.45,24.26,2500200,22.52
"2007-02-16",24.3,26.07,23.79,25.23,3081600,23.42
"2007-02-20",25.73,26.18,25.38,25.97,3024900,24.11
"2007-02-21",25.85,26.91,25.74,26.9,2305000,24.97
"2007-02-22",26.87,27.23,25.52,26.24,3240900,24.36
"2007-02-23",26.38,26.8,26.18,26.47,2304000,24.57
"2007-02-26",26.88,27.06,26.2,26.4,1645300,24.51
"2007-02-27",25.66,25.66,24.27,25.1,3082000,23.3
"2007-02-28",25.15,25.49,24.35,25.44,2910400,23.61
"2007-03-01",25.25,25.45,24.29,25.18,1455900,23.37
"2007-03-02",25.18,25.3,24.57,24.66,1818500,22.89
"2007-03-05",24.35,24.77,24.02,24.28,2323900,22.54
"2007-03-06",24.85,25.72,24.45,25.48,2064200,23.65
"2007-03-07",25.6,26.22,25.52,25.95,1829800,24.09
"2007-03-08",26.5,26.95,26.12,26.68,1886500,24.77
"2007-03-09",27.1,27.35,26.53,26.69,1837800,24.78
"2007-03-12",26.69,27.32,26.65,27.17,1716500,25.22
"2007-03-13",26.85,28.84,26.58,26.69,4704800,24.78
"2007-03-14",26.78,27.33,25.91,26.97,3792900,25.04
"2007-03-15",27.01,27.46,26.5,26.73,1857600,24.81
"2007-03-16",26.74,27.02,26.28,26.53,1684400,24.63
"2007-03-19",26.95,27.2,26.7,27.01,1933300,25.07
"2007-03-20",26.96,27.1,26.78,26.91,2046400,24.98
"2007-03-21",26.91,28.14,26.91,28,2004400,25.99
"2007-03-22",28,28.11,27.28,27.49,1223800,25.52
"2007-03-23",27.2,27.82,26.99,27.65,1046900,25.67
"2007-03-26",27.6,27.73,26.7,27.5,1963300,25.53
"2007-03-27",27.5,27.6,26.6,26.88,1284400,24.95
"2007-03-28",26.75,26.85,26.03,26.47,1621600,24.57
"2007-03-29",26.47,27.06,26.08,26.37,1887400,24.48
"2007-03-30",26.5,27,25.95,26.66,2479400,24.75
"2007-04-02",26.66,26.91,26.44,26.85,1973200,24.92
"2007-04-03",26.98,27.7,26.9,27.39,1458100,25.42
"2007-04-04",27.53,28.18,27.11,27.95,1880300,25.94
"2007-04-05",28.24,29.4,28.03,28.82,2645800,26.75
"2007-04-09",29.01,29.45,28.87,29.1,1732900,27.01
"2007-04-10",27.43,28.5,27.25,27.51,6685500,25.54
"2007-04-11",28.39,28.59,27.81,28.45,4390100,26.41
"2007-04-12",28.7,29.9,28.66,29.79,3509300,27.65
"2007-04-13",29.99,30.71,29.9,30.25,4467900,28.08
"2007-04-16",31.3,31.3,30.5,31.12,3713700,28.89
"2007-04-17",31.23,31.46,30.72,30.9,2346800,28.68
"2007-04-18",30.65,30.94,30.23,30.73,1719600,28.53
"2007-04-19",29.56,29.85,29.17,29.64,4200100,27.51
"2007-04-20",29.65,29.99,28.97,29.24,3202600,27.14
"2007-04-23",29.28,29.9,29.24,29.77,2240300,27.63
"2007-04-24",29.89,30.12,29.69,30.01,1953000,27.86
"2007-04-25",30.01,30.66,29.83,30.56,1999400,28.37
"2007-04-26",30.89,32.03,30.5,31.77,3607500,29.49
"2007-04-27",31.47,31.5,30.65,30.75,2565600,28.54
"2007-04-30",30.62,30.62,29.48,29.5,2739500,27.38
"2007-05-01",29.46,29.5,28.86,29.18,2465200,27.09
"2007-05-02",29.18,30.04,29.18,29.58,2655900,27.46
"2007-05-03",29.8,30.85,29.65,30.82,2074700,28.61
"2007-05-04",30.7,30.7,28.85,29.27,2682800,27.17
"2007-05-07",29.49,30.18,29.27,30.06,1387500,27.9
"2007-05-08",29.83,29.95,29.19,29.74,1323700,27.61
"2007-05-09",29.88,30.15,29.71,29.75,1273100,27.62
"2007-05-10",30.05,30.5,29.08,29.17,1395400,27.08
"2007-05-11",29.19,29.75,29.19,29.47,1076300,27.36
"2007-05-14",29.68,30.98,29.27,30.11,2894300,27.95
"2007-05-15",29.91,30.99,29.6,30.38,1924900,28.2
"2007-05-16",30.77,30.91,29.82,30.63,1270000,28.43
"2007-05-17",30.63,31.35,30.54,31.11,2340800,28.88
"2007-05-18",31.39,31.79,30.86,31.61,1627500,29.34
"2007-05-21",31.61,32,31.36,31.94,1269900,29.65
"2007-05-22",32.2,32.99,32,32.27,2209100,29.95
"2007-05-23",32.46,33.4,32.46,32.92,1881700,30.56
"2007-05-24",32.95,33.29,31.65,31.66,1763800,29.39
"2007-05-25",31.81,32.97,31.75,32.97,1393400,30.6
"2007-05-29",32.49,32.9,32.24,32.51,1861100,30.18
"2007-05-30",32.41,34.73,32.23,34.52,4836200,32.04
"2007-05-31",35,36.47,34.53,35.13,6890100,32.61
"2007-06-01",35.22,35.77,35.17,35.58,2139300,33.03
"2007-06-04",36.47,36.71,35.58,36.6,1856000,33.97
"2007-06-05",36.5,37,36.35,36.72,2049900,34.09
"2007-06-06",36.72,36.74,35.73,35.85,2760000,33.28
"2007-06-07",35.85,36.39,34.23,34.62,2676600,32.14
"2007-06-08",34.62,35.68,34.33,35.34,2332900,32.8
"2007-06-11",35.3,36.3,35.3,35.6,1307600,33.05
"2007-06-12",35.89,36.41,35.01,35.57,2046600,33.02
"2007-06-13",35.57,39.75,35.57,37.83,3985300,35.12
"2007-06-14",37.84,38.68,37.8,37.96,3445000,35.24
"2007-06-15",38.66,39.39,38.35,38.86,3173900,36.07
"2007-06-18",39.82,41,39.42,39.77,3086600,36.92
"2007-06-19",39.74,40.19,39.24,39.98,3221500,37.11
"2007-06-20",40,40.04,38.54,38.54,2654500,35.77
"2007-06-21",38.88,39.24,37.7,39.04,3612600,36.24
"2007-06-22",38.84,40.4,38.75,39.74,2978600,36.89
"2007-06-25",40.1,40.5,39.18,39.4,2000500,36.57
"2007-06-26",39.65,40.25,38.79,38.81,2609600,36.03
"2007-06-27",37,38.05,35.8,38.01,4338400,35.28
"2007-06-28",38,39.04,38,38.93,1988000,36.14
"2007-06-29",39.36,39.76,38.44,39.02,2311900,36.22
"2007-07-02",39.02,39.83,38.69,39.78,3398900,36.93
"2007-07-03",40,40.21,39.1,39.12,1147200,36.31
"2007-07-05",39.01,39.38,38.48,39.05,1551100,36.25
"2007-07-06",38.87,39.36,38.25,39.1,1382600,36.29
"2007-07-09",39.36,39.65,38.97,39.3,1289800,36.48
"2007-07-10",39.15,39.47,38.2,38.28,1533900,35.53
"2007-07-11",38.36,38.79,37.72,38.39,1520700,35.64
"2007-07-12",38.75,39.91,38.63,39.74,1611400,36.89
"2007-07-13",39.9,40.9,39.52,40.79,2659500,37.86
"2007-07-16",40.85,41.86,40.19,40.24,2902800,37.35
"2007-07-17",40.15,40.92,39.89,40.06,1522200,37.19
"2007-07-18",40.06,40.09,39.23,39.45,1817000,36.62
"2007-07-19",39.45,40.25,39.45,39.83,1134700,36.97
