"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume","MRK.Adjusted"
"2007-01-03",44.03,44.89,43.97,44.02,15019300,32.58
"2007-01-04",43.62,45.45,43.62,45.11,12515200,33.38
"2007-01-05",45.1,45.1,44.18,44.3,10656900,32.78
"2007-01-08",43.16,44.52,43.16,44.29,7046300,32.78
"2007-01-09",44.3,44.5,43.83,43.88,8623200,32.47
"2007-01-10",43.85,44.39,43.63,44.12,7585000,32.65
"2007-01-11",44.25,44.6,43.92,44.26,7683100,32.75
"2007-01-12",44.48,45.09,44.32,44.79,9420400,33.15
"2007-01-16",44.8,45.17,44.71,44.95,6279100,33.27
"2007-01-17",44.95,45.23,44.7,45.01,7676900,33.31
"2007-01-18",45.05,46.01,45.05,45.74,10613600,33.85
"2007-01-19",45.86,46.16,45.43,45.6,9455200,33.75
"2007-01-22",45.42,45.91,45.03,45.3,8103700,33.52
"2007-01-23",45.53,45.97,45.31,45.73,8343500,33.84
"2007-01-24",45.78,46.33,45.68,46.22,6179400,34.21
"2007-01-25",46.01,46.55,45.72,46,8094000,34.04
"2007-01-26",45.99,46.39,45.42,45.99,7054300,34.03
"2007-01-29",46.19,46.23,45.31,45.51,7427600,33.68
"2007-01-30",45.76,45.93,44.6,44.91,12493200,33.24
"2007-01-31",44.9,45.09,44.5,44.75,9760100,33.12
"2007-02-01",44.9,45.44,44.69,45.13,7955700,33.4
"2007-02-02",45.12,45.31,43.91,44.73,14693200,33.1
"2007-02-05",44.61,44.7,44.25,44.58,11200900,32.99
"2007-02-06",44.74,44.78,44.21,44.64,7904700,33.04
"2007-02-07",44.88,44.89,43.97,44.26,8652900,32.75
"2007-02-08",44.02,44.75,43.81,43.92,7229700,32.5
"2007-02-09",44.06,44.28,43.66,43.82,5494400,32.43
"2007-02-12",44,44.24,43.7,43.85,8852000,32.45
"2007-02-13",44.1,44.15,43.69,43.95,7138100,32.53
"2007-02-14",44.14,44.23,43.9,44.06,6559300,32.61
"2007-02-15",43.91,44.06,43.66,43.88,9547600,32.47
"2007-02-16",44.07,44.75,43.91,44.28,13737300,32.77
"2007-02-20",44.39,44.7,44.21,44.5,8403900,32.93
"2007-02-21",44.45,44.45,43.81,43.95,9417800,32.53
"2007-02-22",43.85,44.02,43.13,43.2,12399500,31.97
"2007-02-23",43.2,43.22,42.8,42.94,9358600,31.78
"2007-02-26",44.34,44.93,43.87,44.48,19375200,32.92
"2007-02-27",44.28,44.5,42.35,43.18,15443800,31.96
"2007-02-28",44.26,44.7,43.67,44.15,20877600,32.67
"2007-03-01",43.95,44.48,43.51,43.99,12601100,32.55
"2007-03-02",44.25,44.43,43.56,44.19,12624500,32.7
"2007-03-05",43.94,44.85,43.68,44.25,13906400,32.75
"2007-03-06",44.25,44.96,44.2,44.67,11934200,33.06
"2007-03-07",44.26,44.84,43.82,43.86,11602100,32.74
"2007-03-08",43.98,44.39,43.98,44.36,8372500,33.11
"2007-03-09",44.53,44.85,44.3,44.61,8270700,33.3
"2007-03-12",44.43,44.7,44.11,44.29,8251100,33.06
"2007-03-13",43.95,44.5,43.25,43.37,12319100,32.37
"2007-03-14",43.65,43.65,42.76,43.27,12335200,32.3
"2007-03-15",43.16,43.28,42.87,43.19,9183000,32.24
"2007-03-16",43.29,43.63,42.98,43.09,11515900,32.16
"2007-03-19",43.34,43.7,43.11,43.42,11028500,32.41
"2007-03-20",43.29,43.8,43.14,43.63,5927900,32.57
"2007-03-21",43.5,44.43,43.44,44.25,11261800,33.03
"2007-03-22",43.8,44.37,43.76,44.17,8924400,32.97
"2007-03-23",44.32,44.72,44.23,44.45,8383200,33.18
"2007-03-26",44.26,44.46,43.75,44.07,9625100,32.89
"2007-03-27",43.84,43.96,43.59,43.65,9328800,32.58
"2007-03-28",43.41,43.64,43.22,43.23,10596600,32.27
"2007-03-29",43.68,44.04,43.52,43.95,11658600,32.8
"2007-03-30",44.08,44.2,43.33,44.17,7851400,32.97
"2007-04-02",44.59,45.29,44.52,45.01,13418200,33.6
"2007-04-03",45.29,45.57,45.03,45.38,7868200,33.87
"2007-04-04",45.23,45.41,45.04,45.37,5892400,33.86
"2007-04-05",45.25,45.84,45.11,45.54,5622800,33.99
"2007-04-09",45.46,45.66,45.24,45.65,6071900,34.07
"2007-04-10",45.7,45.99,45.52,45.86,6583100,34.23
"2007-04-11",45.8,45.88,45.34,45.65,8108900,34.07
"2007-04-12",45.52,46.5,45.45,46.36,11761300,34.6
"2007-04-13",49.39,50.8,49.25,50.21,46730700,37.48
"2007-04-16",50.01,50.63,50,50.32,14358200,37.56
"2007-04-17",50.3,50.45,49.82,50.01,11688700,37.33
"2007-04-18",49.59,49.96,49.25,49.69,13349100,37.09
"2007-04-19",49.76,50.39,49.5,50.15,17125800,37.43
"2007-04-20",50.79,51.62,50.35,51.49,18680100,38.43
"2007-04-23",51.31,52.1,51,51.67,14738700,38.57
"2007-04-24",51.65,52.26,51.01,51.6,8922500,38.51
"2007-04-25",51.69,52.5,51.36,52.39,12074100,39.1
"2007-04-26",52.38,52.63,52.08,52.43,10245200,39.13
"2007-04-27",52.26,52.36,51.54,51.86,11201900,38.71
"2007-04-30",51.81,51.91,51.15,51.44,10265800,38.39
"2007-05-01",51.65,51.73,50.54,50.98,10716300,38.05
"2007-05-02",51.3,51.5,51.11,51.23,7883000,38.24
"2007-05-03",51.4,51.8,51.08,51.55,8215400,38.48
"2007-05-04",51.64,52.29,51.55,51.92,8681400,38.75
"2007-05-07",51.85,52.06,51.8,52.03,6664500,38.84
"2007-05-08",51.87,52.28,51.64,52.24,7888500,38.99
"2007-05-09",52.19,52.35,51.79,52.05,8922900,38.85
"2007-05-10",51.67,51.87,51,51.08,9342800,38.13
"2007-05-11",51.1,52.14,51.1,52,9679700,38.81
"2007-05-14",52,52.62,51.87,52.08,8261400,38.87
"2007-05-15",52.06,52.68,51.98,52.62,11726800,39.28
"2007-05-16",53,53,52.15,52.69,10858900,39.33
"2007-05-17",52.69,52.98,52.33,52.46,9237100,39.16
"2007-05-18",52.56,53.25,52.25,53.25,13741500,39.75
"2007-05-21",53.03,54.69,53,53.79,19675700,40.15
"2007-05-22",54.1,55.14,54,54.15,14547000,40.42
"2007-05-23",54.38,54.7,54.1,54.35,10026100,40.57
"2007-05-24",53.9,54.59,53.23,53.75,10111900,40.12
"2007-05-25",53.69,53.75,53.48,53.7,12639800,40.08
"2007-05-29",53.82,54.01,53,53.4,9946100,39.86
"2007-05-30",53.15,53.15,51.96,52.71,14986800,39.34
"2007-05-31",52.62,53.18,52.45,52.45,11213700,39.15
"2007-06-01",52.52,52.9,51.88,52.14,11117000,38.92
"2007-06-04",52.05,52.05,51.39,51.75,14617200,38.63
"2007-06-05",51.67,51.69,50.73,51.44,14600700,38.39
"2007-06-06",51,51.31,50.64,50.76,11693800,38.17
"2007-06-07",50.44,50.76,50.23,50.34,13526400,37.85
"2007-06-08",50.3,50.49,49.63,50.14,11341100,37.7
"2007-06-11",50.3,51.35,50.04,51.05,12446700,38.39
"2007-06-12",50.67,51.05,50.21,50.22,11288900,37.76
"2007-06-13",50.36,50.87,49.71,50.67,11509100,38.1
"2007-06-14",50.65,50.65,50.1,50.23,10470400,37.77
"2007-06-15",50.89,51.58,50.45,50.73,13653100,38.15
"2007-06-18",50.9,51,50.29,50.63,7462400,38.07
"2007-06-19",50.65,50.99,50.18,50.32,9361700,37.84
"2007-06-20",50,50.09,49.21,49.26,14037000,37.04
"2007-06-21",49.05,49.53,48.46,49.3,11822500,37.07
"2007-06-22",48.92,49.4,48.26,48.55,14505000,36.51
"2007-06-25",48.7,49.25,48,48.34,11229500,36.35
"2007-06-26",48.43,49.74,48.4,49.12,16110100,36.94
"2007-06-27",49.08,50.7,48.77,50.33,18912400,37.85
"2007-06-28",50.59,51.1,50.28,50.48,12755400,37.96
"2007-06-29",50.95,50.95,49.47,49.8,14435500,37.45
"2007-07-02",49.91,50.3,49.22,49.57,13141000,37.27
"2007-07-03",49.95,50.26,49.58,49.83,5204400,37.47
"2007-07-05",49.7,49.89,49.36,49.82,8102200,37.46
"2007-07-06",49.9,49.97,48.87,49.46,9235600,37.19
"2007-07-09",49.5,49.57,49.04,49.42,9180400,37.16
"2007-07-10",49.02,49.53,48.6,48.66,12297000,36.59
"2007-07-11",48.5,49.15,48.43,48.9,13832300,36.77
"2007-07-12",49.2,50.87,48.9,50.77,16683500,38.18
"2007-07-13",50.55,51.13,50.47,50.85,10138900,38.24
"2007-07-16",50.51,50.86,50.19,50.83,8421700,38.22
"2007-07-17",50.65,51.1,50.13,50.27,7724600,37.8
"2007-07-18",50,50.38,49.33,49.94,10643700,37.55
"2007-07-19",49.98,50.06,49.12,49.34,11300400,37.1
"2007-07-20",49.55,50,48.81,49.02,13696700,36.86
"2007-07-23",51.54,53.35,51.18,52.33,39947100,39.35
"2007-07-24",52.95,53.81,51.53,51.72,17102700,38.89
"2007-07-25",52.35,53.68,52.2,53.38,18993900,40.14
"2007-07-26",53,53.73,51.49,51.97,21829500,39.08
"2007-07-27",51.97,52.17,50.07,50.12,16674800,37.69
"2007-07-30",50.37,50.37,49.45,50.12,11567500,37.69
"2007-07-31",50.3,50.46,49.5,49.65,14382200,37.33
"2007-08-01",49.62,51.27,49.57,51.02,16472000,38.36
"2007-08-02",51.43,52.13,50.82,51.64,12617100,38.83
"2007-08-03",51.66,51.72,50.24,50.29,11209100,37.82
"2007-08-06",51.2,51.58,50.46,51.35,13097800,38.61
"2007-08-07",50.88,52.35,50.8,51.63,13516400,38.82
"2007-08-08",52.17,52.74,50.92,52.36,11431800,39.37
"2007-08-09",51.58,52.5,50.25,51.44,14787700,38.68
"2007-08-10",51.44,51.7,50.05,50.88,15304800,38.26
"2007-08-13",50.41,51.6,50.41,50.56,8071100,38.02
"2007-08-14",50.56,50.74,49.85,49.93,8473700,37.54
"2007-08-15",50.05,50.6,49.39,49.78,10465000,37.43
"2007-08-16",49.6,49.97,48.11,49.46,20289500,37.19
"2007-08-17",50.08,50.26,48.6,49.62,16421700,37.31
"2007-08-20",49.62,50.99,49.38,49.98,8115900,37.58
"2007-08-21",50.02,50.52,48.74,49.77,8317300,37.42
"2007-08-22",50.27,50.76,49.62,50.36,10726300,37.87
"2007-08-23",50.71,50.74,49.96,50.5,9818000,37.97
"2007-08-24",50.5,50.86,50.09,50.82,7147400,38.21
"2007-08-27",50.85,50.94,50,50.12,7643500,37.69
"2007-08-28",49.83,50.09,49.11,49.21,7822800,37
"2007-08-29",49.22,50,48.73,49.92,6296800,37.54
"2007-08-30",49.43,50.09,49.26,49.66,7346200,37.34
