"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume","MRO.Adjusted"
"2007-01-03",91.5,91.5,86.86,87.35,18630700,21.86
"2007-01-04",87,87,84.05,84.24,21492400,21.08
"2007-01-05",84.25,86.37,84,85.92,18986400,21.5
"2007-01-08",87,87.75,85.08,86.74,13706300,21.71
"2007-01-09",84.95,86.95,84.07,85.81,17734800,21.47
"2007-01-10",84.92,85.6,83.5,84.9,16102300,21.25
"2007-01-11",84.45,86.89,83,83.43,17888300,20.88
"2007-01-12",84.4,87.02,83.7,86.77,15087000,21.71
"2007-01-16",85.8,87.09,84.71,85.17,12140200,21.31
"2007-01-17",85.48,86.87,85.17,86.02,12172000,21.53
"2007-01-18",86.95,87.51,83.78,85.18,14233000,21.32
"2007-01-19",85.7,87.17,85.14,87.17,10621600,21.81
"2007-01-22",87.54,88.18,86.54,87.49,12092900,21.89
"2007-01-23",87.88,90.5,87.88,90.22,13118500,22.58
"2007-01-24",89.82,90.78,88.1,90.75,11521500,22.71
"2007-01-25",90.6,90.71,88.1,88.86,9152700,22.24
"2007-01-26",89.21,90.09,88.42,88.82,8167300,22.23
"2007-01-29",88.3,89.59,86.91,87.2,16974000,21.82
"2007-01-30",87.8,89.53,87.8,89.31,8778200,22.35
"2007-01-31",88.7,90.44,88,90.34,10983700,22.61
"2007-02-01",89.65,91.64,88.87,90.91,16939500,22.75
"2007-02-02",91.11,91.25,88.85,89.62,11193000,22.43
"2007-02-05",89.88,90.56,89.62,90.19,8595800,22.57
"2007-02-06",90.65,90.92,88.75,89.53,7804500,22.4
"2007-02-07",89.46,90.9,88.68,89.25,10015400,22.33
"2007-02-08",89.88,92.57,89.58,92.18,15358900,23.07
"2007-02-09",91.95,92.94,90.84,91.13,8821800,22.8
"2007-02-12",90.75,91.3,89.55,90.02,8378200,22.53
"2007-02-13",91.02,92.46,90.65,92.39,7915800,23.12
"2007-02-14",92.39,93.5,92.01,92.8,9277800,23.22
"2007-02-15",92.06,92.96,90.68,91.27,9515500,22.84
"2007-02-16",90.6,91.46,90.51,91.03,8781600,22.88
"2007-02-20",90.4,90.51,89.34,90.41,7887300,22.72
"2007-02-21",90.14,92.24,90.07,91.81,10785900,23.08
"2007-02-22",92.2,92.84,91.19,92.12,10100900,23.15
"2007-02-23",92.42,93.54,92.27,92.59,7523600,23.27
"2007-02-26",92.78,94.14,92.6,92.75,7704600,23.31
"2007-02-27",91.73,93.48,88.78,89.78,15846100,22.57
"2007-02-28",89.88,91.44,89.85,90.72,13796100,22.8
"2007-03-01",89.8,92.32,88.6,91.13,12336000,22.91
"2007-03-02",90.65,91.13,89,89.24,9951400,22.43
"2007-03-05",87.86,89.86,87.55,89.17,14509000,22.41
"2007-03-06",90,91.25,89.82,91.05,9591600,22.88
"2007-03-07",91.14,94.7,90.77,93.02,14178000,23.38
"2007-03-08",93.66,94.81,93.05,94.15,14039600,23.66
"2007-03-09",94.5,95.13,93.87,94.73,12490500,23.81
"2007-03-12",93.71,94.35,93.01,93.52,11477300,23.51
"2007-03-13",93.41,94.7,91.64,91.84,11566100,23.08
"2007-03-14",92.92,93.41,90.63,93.41,15979200,23.48
"2007-03-15",94.4,95.06,93.5,93.9,18150500,23.6
"2007-03-16",94.3,94.4,92.66,93.29,14466700,23.45
"2007-03-19",94,95.5,93.75,95.5,15846100,24
"2007-03-20",95.38,98,94.99,98,17970200,24.63
"2007-03-21",99.24,99.49,97.41,99.24,15994300,24.94
"2007-03-22",99.3,103.29,99.25,101.47,20597200,25.5
"2007-03-23",101.71,102.79,100.79,101.12,13964800,25.42
"2007-03-26",101.54,102.95,100.51,102.56,14360100,25.78
"2007-03-27",102.56,103.47,101.85,102.41,13458200,25.74
"2007-03-28",102.96,103.39,101.75,102.3,14207900,25.71
"2007-03-29",103.08,103.47,101.64,101.86,15005500,25.6
"2007-03-30",102.12,102.12,98.75,98.83,15558400,24.84
"2007-04-02",98.99,100.91,98.97,100.46,12805000,25.25
"2007-04-03",98.76,101,98,100.72,11097100,25.32
"2007-04-04",100.53,102.39,99.71,102,16559900,25.64
"2007-04-05",102.8,103.22,102,102.79,10503300,25.84
"2007-04-09",102.86,104.23,101.55,101.93,13837700,25.62
"2007-04-10",102.5,102.75,100.2,101.36,15422600,25.48
"2007-04-11",101.11,103,100.7,101.35,13608400,25.47
"2007-04-12",102.01,102.99,101.06,102.45,12304100,25.75
"2007-04-13",102.97,103.44,101.32,101.99,12449600,25.63
"2007-04-16",102.01,102.78,100.85,102.2,9377400,25.69
"2007-04-17",102.49,102.8,99.09,99.93,13726700,25.12
"2007-04-18",99.66,101.51,99.42,101.32,16687000,25.47
"2007-04-19",100.88,101.3,99.82,100.52,9656300,25.27
"2007-04-20",100.43,100.69,98.9,100.55,16501300,25.27
"2007-04-23",100.02,101.75,99.95,100.38,11366600,25.23
"2007-04-24",99.8,100.76,99.3,99.78,9261400,25.08
"2007-04-25",100.95,103.48,99.92,102.55,18205200,25.78
"2007-04-26",103.49,104.5,102.34,103.2,14006000,25.94
"2007-04-27",102.81,103.64,102.1,102.8,9263000,25.84
"2007-04-30",102.9,104.39,101.55,101.55,10550500,25.52
