"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2007-01-03",121.94,123.21,121.57,122.68,317800,95.41
"2007-01-04",122.68,122.83,121.35,122.55,392100,95.31
"2007-01-05",121.55,122.25,120.01,120.41,462400,93.65
"2007-01-08",120.3,121.43,119.67,121.26,329300,94.31
"2007-01-09",121.26,121.98,120.04,120.96,301200,94.07
"2007-01-10",120.97,122.94,120.54,122.68,609700,95.41
"2007-01-11",122.7,122.7,120.39,121.42,313500,94.43
"2007-01-12",121.22,121.22,119.56,120.31,404100,93.57
"2007-01-16",120.49,120.49,118.63,119.86,455800,93.22
"2007-01-17",119.87,120,118.71,118.93,366900,92.5
"2007-01-18",118.97,119.81,118.93,119.07,351200,92.6
"2007-01-19",119.85,119.94,118.47,119.07,480200,92.6
"2007-01-22",119.08,119.74,118.97,119.33,336600,92.81
"2007-01-23",119.34,119.79,118.58,119.57,218300,92.99
"2007-01-24",119.52,121.3,119.5,121.14,430500,94.21
"2007-01-25",121.07,121.23,119.86,119.89,441400,93.24
"2007-01-26",119.9,120.14,118.56,119.47,291700,92.92
"2007-01-29",119.72,120.3,119.2,120.17,301100,93.46
"2007-01-30",120.06,121.05,119.61,121.05,230400,94.14
"2007-01-31",121.05,121.58,119.94,121.31,261400,94.35
"2007-02-01",121.41,121.66,120.82,121.64,410800,94.6
"2007-02-02",122.54,122.77,121.55,122.35,207900,95.16
"2007-02-05",122,122.2,120.99,121.79,177500,94.72
"2007-02-06",121.99,122.42,121.76,122.14,219200,94.99
"2007-02-07",122.14,122.99,121.94,122.95,155400,95.62
"2007-02-08",122.95,122.95,121.87,122.44,157100,95.23
"2007-02-09",122.64,122.87,121.37,121.67,296000,94.63
"2007-02-12",121.67,122.38,121.17,122,234300,94.88
"2007-02-13",122.25,123.13,121.96,123.13,213700,95.76
"2007-02-14",123.14,124.23,122.95,124.03,212300,96.46
"2007-02-15",124,124.49,123.56,124.13,245000,96.54
"2007-02-16",124.02,124.68,123.77,124.42,226800,96.77
"2007-02-20",124.42,125.12,123.57,124.74,257400,97.01
"2007-02-21",124.1,125.01,124.1,124.55,280000,96.87
"2007-02-22",124.93,125.13,123.79,124.24,227000,96.63
"2007-02-23",124.94,124.99,123.13,124.18,324800,96.58
"2007-02-26",123.73,124.04,122.64,123.13,306300,96.23
"2007-02-27",123.14,123.57,119.44,119.89,486300,93.7
"2007-02-28",119.94,120.69,118.8,119.92,575600,93.72
"2007-03-01",119.42,120.03,115.57,119.42,664400,93.33
"2007-03-02",119.42,119.6,118.28,118.28,332800,92.44
"2007-03-05",118.03,118.21,116.61,116.61,425000,91.13
"2007-03-06",117.11,118.48,117.02,118.32,443700,92.47
"2007-03-07",118.07,118.15,117.07,117.07,269400,91.49
"2007-03-08",117.5,118.25,117.23,117.45,486500,91.79
"2007-03-09",117.8,118.21,117.12,117.44,370800,91.78
"2007-03-12",117.21,117.31,116.24,117.01,478200,91.44
"2007-03-13",116.7,116.7,113.64,113.64,764600,88.81
"2007-03-14",113.9,114.39,112.05,114.04,848700,89.12
"2007-03-15",114.14,116.03,114.05,115.25,497600,90.07
"2007-03-16",115.25,117.7,115.25,116,996700,90.66
"2007-03-19",117,117.31,116.12,116.32,611500,90.91
"2007-03-20",116.18,117.38,116.18,117.09,261300,91.51
"2007-03-21",117.08,119.84,116.21,119.71,537300,93.55
"2007-03-22",119.71,119.8,118.03,118.27,514200,92.43
