"","MWV.Open","MWV.High","MWV.Low","MWV.Close","MWV.Volume","MWV.Adjusted"
"2007-01-03",29.85,30.74,29.71,30.54,1883000,22.64
"2007-01-04",30.53,30.57,29.54,29.6,1530200,21.94
"2007-01-05",29.42,29.52,28.88,28.91,1325700,21.43
"2007-01-08",29.13,29.36,28.89,29,1222100,21.49
"2007-01-09",28.99,29.13,28.52,28.96,2293100,21.46
"2007-01-10",28.96,28.96,28.56,28.69,1245000,21.26
"2007-01-11",28.82,29.34,28.8,29.01,1821300,21.5
"2007-01-12",29.07,29.48,29.04,29.31,2033700,21.72
"2007-01-16",29.43,29.63,29.21,29.4,1862900,21.79
"2007-01-17",29.41,29.56,29.13,29.32,798100,21.73
"2007-01-18",29.44,29.54,29.1,29.19,967000,21.63
"2007-01-19",29.29,29.59,29.25,29.48,1231400,21.85
"2007-01-22",29.55,29.55,29.19,29.51,903100,21.87
"2007-01-23",29.53,29.9,29.5,29.8,722000,22.09
"2007-01-24",29.9,29.95,29.73,29.88,550000,22.15
"2007-01-25",29.9,29.9,29.5,29.59,782200,21.93
"2007-01-26",29.6,29.78,29.47,29.78,1247400,22.07
"2007-01-29",29.86,30.14,29.7,29.8,1397800,22.09
"2007-01-30",29.94,30.13,29.55,29.78,1582800,22.07
"2007-01-31",29.4,30.3,29.2,30.14,1599100,22.51
"2007-02-01",30.14,30.39,29.99,30.01,890300,22.42
"2007-02-02",30.03,30.47,30.03,30.38,978500,22.69
"2007-02-05",30.26,30.6,30.01,30.06,1139000,22.45
"2007-02-06",30.18,30.55,30.07,30.55,973600,22.82
"2007-02-07",30.5,30.65,30.34,30.51,974400,22.79
"2007-02-08",30.75,31.35,30.64,31.33,1578600,23.4
"2007-02-09",31.21,31.44,30.92,31.09,1220400,23.22
"2007-02-12",31.18,31.31,30.91,31.15,625000,23.27
"2007-02-13",31.07,32.02,31.07,31.91,2439400,23.83
"2007-02-14",31.8,32.11,31.8,31.93,1249300,23.85
"2007-02-15",31.93,32.32,31.78,32.2,1188400,24.05
"2007-02-16",32.1,32.25,31.72,31.88,919200,23.81
"2007-02-20",31.94,32.03,31.7,31.9,707100,23.83
"2007-02-21",31.9,32.08,31.71,32.05,678500,23.94
"2007-02-22",32,32.22,31.67,31.89,549500,23.82
"2007-02-23",31.81,31.9,31.61,31.73,521500,23.7
