"","MYL.Open","MYL.High","MYL.Low","MYL.Close","MYL.Volume","MYL.Adjusted"
"2007-01-03",19.96,20.36,19.9,20.04,1862500,19.92
"2007-01-04",20.04,20.38,20.04,20.36,1086800,20.24
"2007-01-05",20.36,20.44,20.11,20.28,1028500,20.16
"2007-01-08",20.23,20.69,20.22,20.65,1570200,20.52
"2007-01-09",20.66,20.72,20.26,20.56,1555800,20.44
"2007-01-10",20.56,20.65,20.3,20.59,1572800,20.47
"2007-01-11",20.58,20.9,20.58,20.86,1597000,20.73
"2007-01-12",20.85,20.86,20.52,20.8,1274600,20.67
"2007-01-16",20.77,20.97,20.76,20.91,1128600,20.78
"2007-01-17",20.91,20.93,20.75,20.86,1470100,20.73
"2007-01-18",20.8,20.89,20.61,20.89,1409700,20.76
"2007-01-19",20.92,20.97,20.81,20.95,957600,20.82
"2007-01-22",20.95,21.14,20.87,21.03,2127900,20.9
"2007-01-23",21.06,21.1,20.87,20.92,1357500,20.79
"2007-01-24",20.88,21.14,20.85,21.07,1061000,20.94
"2007-01-25",21.07,21.18,20.82,21.11,1288600,20.98
"2007-01-26",21.1,21.6,20.96,21.57,1691600,21.44
"2007-01-29",21.57,21.92,21.47,21.75,1703700,21.62
"2007-01-30",21.8,22.09,21.61,22.03,2008300,21.9
"2007-01-31",22.07,22.15,21.75,22.14,1682600,22.01
"2007-02-01",22.61,22.61,22,22.49,4409400,22.35
"2007-02-02",22.6,22.75,22.45,22.61,2391000,22.47
"2007-02-05",22.53,22.53,22.26,22.4,1323100,22.26
"2007-02-06",22.4,22.53,22.24,22.46,2084000,22.32
"2007-02-07",22.46,22.5,21.99,22.24,2915200,22.11
"2007-02-08",22.17,22.48,22.07,22.4,1887300,22.26
"2007-02-09",22.4,22.5,22.29,22.35,1161700,22.21
"2007-02-12",22.35,22.44,22.09,22.17,1532800,22.04
"2007-02-13",22.17,22.29,21.94,22.02,1279500,21.89
"2007-02-14",22.3,22.49,21.87,21.91,1885300,21.78
"2007-02-15",21.88,22.06,21.88,21.97,1068900,21.84
"2007-02-16",22.63,22.63,21.75,22.05,1218900,21.92
"2007-02-20",22.05,22.05,21.58,21.7,1636800,21.57
"2007-02-21",21.77,22,21.7,21.95,1706000,21.82
"2007-02-22",21.9,22.12,21.61,21.72,1763400,21.59
"2007-02-23",21.69,22,21.53,21.82,1329000,21.69
"2007-02-26",21.91,22.02,21.78,21.84,1332100,21.71
"2007-02-27",21.84,21.84,20.99,21.41,3595000,21.28
"2007-02-28",21.33,21.47,21.16,21.17,2419400,21.04
"2007-03-01",21.17,21.17,20.11,20.26,6762100,20.14
"2007-03-02",19.92,20.15,19.78,19.87,24261200,19.75
"2007-03-05",19.71,20.01,19.5,19.66,6526900,19.54
"2007-03-06",20.5,20.5,19.75,19.88,5755500,19.76
"2007-03-07",19.87,20.16,19.61,19.65,3881700,19.53
"2007-03-08",19.66,19.99,19.6,19.88,5682800,19.76
"2007-03-09",19.97,19.97,19.75,19.87,8953100,19.75
"2007-03-12",19.82,20.06,19.77,19.92,3495500,19.8
"2007-03-13",19.84,20.03,19.56,19.56,4009500,19.44
"2007-03-14",20.14,20.14,19.33,19.55,3106300,19.43
"2007-03-15",19.64,19.82,19.51,19.73,2091300,19.61
"2007-03-16",19.85,19.95,19.35,19.42,5159500,19.3
"2007-03-19",19.45,19.55,19.18,19.52,3330600,19.4
"2007-03-20",19.52,19.74,19.5,19.6,1819800,19.48
"2007-03-21",19.59,19.73,19.45,19.54,2645800,19.42
"2007-03-22",19.93,20.8,19.48,20.55,11173800,20.43
"2007-03-23",20.46,21.01,19.99,20.32,5751200,20.2
"2007-03-26",20.5,20.55,20.06,20.22,12085900,20.1
"2007-03-27",20.53,21.71,20.44,21.28,17778600,21.15
"2007-03-28",20.93,21.52,20.33,21.11,12074000,21.04
"2007-03-29",21.14,21.24,20.91,21.01,2454100,20.94
"2007-03-30",21.05,21.21,20.77,21.14,2373600,21.07
"2007-04-02",21.15,21.15,20.83,20.99,1691300,20.92
"2007-04-03",21.01,21.28,20.9,21.09,2231700,21.02
"2007-04-04",21.11,21.26,20.95,21.04,1992700,20.97
"2007-04-05",20.97,21.11,20.89,21.01,2368900,20.94
"2007-04-09",21.13,21.32,20.96,21.2,3076400,21.13
"2007-04-10",22.08,22.1,21.6,21.8,6499100,21.73
"2007-04-11",21.83,22.01,21.55,21.68,5018400,21.61
"2007-04-12",21.69,21.83,21.52,21.62,3267900,21.55
"2007-04-13",21.61,21.83,21.43,21.75,2808400,21.68
"2007-04-16",21.79,21.92,21.7,21.8,2380100,21.73
"2007-04-17",21.71,21.9,21.63,21.7,2026200,21.63
"2007-04-18",21.6,21.89,21.41,21.86,1969800,21.79
"2007-04-19",22.48,22.48,21.75,21.88,2190500,21.81
"2007-04-20",21.94,22.13,21.82,21.92,2497800,21.85
"2007-04-23",21.88,21.97,21.56,21.64,2309500,21.57
"2007-04-24",21.69,22.02,21.65,22.02,2551500,21.95
"2007-04-25",22.02,22.09,21.69,22.03,1475600,21.96
"2007-04-26",22.1,22.1,21.8,22.1,1630800,22.03
"2007-04-27",22.05,22.09,21.76,22.05,1729200,21.98
"2007-04-30",21.99,22.14,21.89,21.93,2215500,21.86
"2007-05-01",22.48,22.48,21.85,22.25,3427300,22.18
"2007-05-02",22.2,22.53,22.1,22.45,1510200,22.38
"2007-05-03",22.41,22.46,22,22.21,1683900,22.14
"2007-05-04",22.21,22.4,22.06,22.29,1656000,22.22
"2007-05-07",22.5,22.5,22.3,22.39,1121400,22.32
"2007-05-08",22.2,22.3,22.03,22.08,1707400,22.01
"2007-05-09",22.22,22.9,22.22,22.64,3631600,22.57
"2007-05-10",22.52,22.6,22.09,22.09,4797600,22.02
"2007-05-11",22.09,22.41,22.09,22.4,3636000,22.33
"2007-05-14",19.58,20.06,19.08,19.7,29858200,19.64
"2007-05-15",19.78,19.84,19.51,19.73,7691100,19.67
"2007-05-16",19.8,19.8,19.62,19.75,4327400,19.69
"2007-05-17",19.75,19.82,19.68,19.73,4305200,19.67
"2007-05-18",19.77,19.82,19.72,19.75,3874900,19.69
"2007-05-21",19.84,19.96,19.76,19.85,4636300,19.79
"2007-05-22",20,20.06,19.81,20.01,3459100,19.95
"2007-05-23",20.09,20.3,20.03,20.24,4332300,20.17
"2007-05-24",19.65,20.02,19.5,19.83,5535600,19.77
"2007-05-25",19.84,19.92,19.59,19.68,2981200,19.62
"2007-05-29",19.77,19.85,19.58,19.69,2926400,19.63
"2007-05-30",19.7,19.79,19.52,19.73,3839200,19.67
"2007-05-31",20.43,20.44,19.56,19.77,3453400,19.71
"2007-06-01",19.77,19.77,19.61,19.7,2732200,19.64
"2007-06-04",19.67,19.71,19.59,19.63,1849200,19.57
"2007-06-05",19.7,19.7,19.37,19.59,3839500,19.53
"2007-06-06",19.59,19.59,19.35,19.41,2940500,19.35
"2007-06-07",19.41,19.41,18.91,19,4232300,18.94
"2007-06-08",19.04,19.09,18.66,18.8,5511300,18.74
"2007-06-11",18.8,18.96,18.67,18.74,7067900,18.68
"2007-06-12",18.65,18.72,18.48,18.6,3981000,18.54
"2007-06-13",18.6,18.68,18.5,18.64,2102100,18.58
"2007-06-14",18.65,18.65,18.37,18.46,2236300,18.4
"2007-06-15",18.46,18.7,18.46,18.55,2989400,18.49
"2007-06-18",18.55,18.78,18.55,18.7,2182500,18.64
"2007-06-19",18.8,18.93,18.75,18.87,2564600,18.81
"2007-06-20",18.88,18.93,18.77,18.8,3770300,18.74
"2007-06-21",18.75,18.79,18.63,18.79,3222200,18.73
"2007-06-22",18.79,19,18.76,18.9,4284400,18.84
"2007-06-25",18.91,19,18.62,18.65,3691800,18.59
"2007-06-26",18.96,18.96,18.45,18.49,3347900,18.43
"2007-06-27",18.36,18.47,18.25,18.47,2848700,18.47
"2007-06-28",18.48,18.52,18.34,18.37,1533900,18.37
"2007-06-29",18.57,18.57,17.95,18.19,4112800,18.19
"2007-07-02",18.15,18.27,17.98,18.19,2459900,18.19
"2007-07-03",18.17,18.34,18.13,18.17,1256800,18.17
"2007-07-05",18.28,18.28,18.05,18.17,1666600,18.17
"2007-07-06",18.11,18.2,18.04,18.05,1469800,18.05
"2007-07-09",18.15,18.21,17.85,17.88,3015100,17.88
"2007-07-10",17.89,17.99,17.74,17.75,4316000,17.75
"2007-07-11",17.75,17.81,17.65,17.73,3034400,17.73
"2007-07-12",17.76,17.96,17.73,17.96,4017300,17.96
"2007-07-13",18.06,18.06,17.71,17.9,3528600,17.9
"2007-07-16",18,18,17.87,17.94,2271100,17.94
"2007-07-17",17.96,18,17.84,17.92,1682400,17.92
"2007-07-18",17.85,17.97,17.81,17.92,4825800,17.92
"2007-07-19",17.99,18.04,17.62,17.74,3776200,17.74
"2007-07-20",17.69,17.77,17.37,17.44,4643800,17.44
"2007-07-23",17.4,17.79,17.4,17.73,3713400,17.73
"2007-07-24",17.57,17.79,17.55,17.62,3602900,17.62
"2007-07-25",17.71,18.1,17.62,17.92,5098500,17.92
"2007-07-26",17.35,17.48,16.66,16.66,7066100,16.66
"2007-07-27",16.29,16.78,15.67,15.8,7843100,15.8
"2007-07-30",15.97,16.2,15.75,16.17,4445100,16.17
"2007-07-31",16.37,16.37,15.99,16.03,3608700,16.03
"2007-08-01",15.86,16.14,15.81,16.1,4435400,16.1
"2007-08-02",16.1,16.17,15.86,15.97,4020600,15.97
"2007-08-03",15.81,16.2,15.61,15.74,6805000,15.74
"2007-08-06",15.8,15.87,15.5,15.52,4773800,15.52
"2007-08-07",15.23,15.64,14.99,15.09,6359200,15.09
"2007-08-08",15.04,15.1,14.59,14.63,9300400,14.63
"2007-08-09",14.57,14.6,14,14,9503400,14
"2007-08-10",14.02,15,13.88,14.66,11994100,14.66
"2007-08-13",14.8,15.12,14.75,14.82,8476800,14.82
"2007-08-14",14.91,14.99,14.44,14.46,4921100,14.46
"2007-08-15",14.38,14.5,14,14.02,4739900,14.02
"2007-08-16",14.06,14.29,13.9,14.11,3698300,14.11
"2007-08-17",14.44,15.01,14.27,15,5084500,15
"2007-08-20",15.28,15.63,15.1,15.58,5483900,15.58
"2007-08-21",15.15,15.44,14.82,14.99,7343900,14.99
"2007-08-22",15.05,15.33,14.84,15.29,3652700,15.29
"2007-08-23",15.45,15.45,15.02,15.02,5006900,15.02
"2007-08-24",15.11,15.27,15.04,15.23,3851800,15.23
