"","NBR.Open","NBR.High","NBR.Low","NBR.Close","NBR.Volume","NBR.Adjusted"
"2007-01-03",29.45,29.45,27.76,28.05,14063800,27.72
"2007-01-04",28,28.48,27.68,28.2,11862300,27.87
"2007-01-05",28.2,28.78,28.11,28.55,7879200,28.22
"2007-01-08",28.55,29.27,28.37,28.75,8551800,28.41
"2007-01-09",28.3,28.95,28.03,28.53,8601600,28.2
"2007-01-10",29.43,29.43,27.53,28.45,7322800,28.12
"2007-01-11",28.46,30.46,28.24,28.28,8034100,27.95
"2007-01-12",28.53,29.35,28.5,29.27,7821000,28.93
"2007-01-16",29.26,29.5,28.79,29.03,5171200,28.69
"2007-01-17",28.95,29.31,28.77,29.13,6256000,28.79
"2007-01-18",29.48,29.59,28.63,28.93,5470100,28.59
"2007-01-19",28.94,29.61,28.89,29.55,5748000,29.21
"2007-01-22",29.98,30.24,29.54,29.74,6233600,29.39
"2007-01-23",30,30.51,30,30.26,7091100,29.91
"2007-01-24",30.21,30.27,29.67,30.05,5941800,29.7
"2007-01-25",29.96,29.96,29.09,29.27,5409400,28.93
"2007-01-26",29.5,29.74,29.24,29.34,3749400,29
"2007-01-29",29.5,29.7,29.01,29.14,4334300,28.8
"2007-01-30",29.38,30.1,29.32,29.98,5700900,29.63
"2007-01-31",29.9,30.5,29.73,30.28,5588600,29.93
"2007-02-01",30.49,30.53,29.8,30.2,5153000,29.85
"2007-02-02",30.25,32.74,29.93,31.55,21052900,31.18
"2007-02-05",31.55,31.55,30.77,30.85,8181900,30.49
"2007-02-06",31.08,31.11,30.39,30.84,5012200,30.48
"2007-02-07",30.8,31.19,29.85,30.11,7547700,29.76
"2007-02-08",30.11,30.17,29.55,29.92,6420800,29.57
"2007-02-09",30.02,30.31,29.52,29.9,4023100,29.55
"2007-02-12",29.65,29.76,29.27,29.34,4425800,29
"2007-02-13",29.37,29.89,29.3,29.86,4203100,29.51
"2007-02-14",29.78,30.29,29.71,29.85,4925900,29.5
"2007-02-15",29.86,30.49,29.59,30.2,7088100,29.85
"2007-02-16",30.12,30.29,29.88,29.96,3240700,29.61
"2007-02-20",29.88,30.09,29.6,30,4408600,29.65
"2007-02-21",30,30.61,29.92,30.58,5376000,30.22
"2007-02-22",30.6,30.92,30.39,30.58,3814200,30.22
"2007-02-23",30.98,31.24,30.54,30.64,4646900,30.28
"2007-02-26",31.15,31.38,30.75,31.01,4249500,30.65
"2007-02-27",30.63,30.93,29.63,30.07,6444300,29.72
"2007-02-28",30.06,30.28,29.77,29.96,7960600,29.61
"2007-03-01",29.65,30.05,29.18,29.66,8755300,29.31
"2007-03-02",29.55,29.8,28.87,29.17,5383600,28.83
"2007-03-05",28.83,29.25,28.51,28.81,5134100,28.47
"2007-03-06",29.1,30.33,28.87,29.45,8977700,29.11
"2007-03-07",29.35,30.26,29.29,29.74,5650000,29.39
