"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2007-01-03",45.5,45.67,43.73,44.2,7628200,39.03
"2007-01-04",43.97,44.42,43.54,44,6392300,38.86
"2007-01-05",43.31,43.69,42.85,43.65,7844800,38.55
"2007-01-08",43.4,43.45,42.46,42.84,7591200,37.83
"2007-01-09",42.85,43.27,42.4,42.97,6947000,37.95
"2007-01-10",42.97,42.98,41.91,42.37,7960200,37.42
"2007-01-11",42.39,43.16,42.31,42.52,5681800,37.55
"2007-01-12",42.6,43.4,42.54,43.21,5000800,38.16
"2007-01-16",43.2,43.21,42.16,42.57,4929100,37.59
"2007-01-17",42.72,43.35,42.54,42.78,5324300,37.78
"2007-01-18",43.21,43.34,42.16,42.42,6492600,37.46
"2007-01-19",42.42,43.3,42.35,43.24,6598700,38.18
"2007-01-22",43.34,43.82,42.69,43.06,6585200,38.03
"2007-01-23",43.65,44.25,43.65,44.04,7409500,38.89
"2007-01-24",43.9,44.77,43.61,44.61,6135200,39.39
"2007-01-25",44.84,45.03,43.9,44.22,7155100,39.05
"2007-01-26",44.21,44.5,43.86,44.26,3569600,39.09
"2007-01-29",44.25,44.75,43.82,43.88,5774600,38.75
"2007-01-30",44.05,44.9,44.05,44.75,6007200,39.52
"2007-01-31",44.5,45.5,44.45,45.1,5645200,39.83
"2007-02-01",45.85,45.89,45.08,45.15,7261800,39.87
"2007-02-02",45.15,45.15,44.47,44.89,5006500,39.64
"2007-02-05",45.09,45.18,44.55,44.71,3574500,39.48
"2007-02-06",45.13,45.18,44.6,44.88,3976100,39.63
"2007-02-07",44.81,45.31,44.64,44.96,4209300,39.7
"2007-02-08",45.12,45.96,44.72,45.81,7455700,40.45
"2007-02-09",46,46.63,45.75,45.81,6924800,40.45
"2007-02-12",45.78,46.05,45.09,45.34,4729000,40.04
"2007-02-13",45.56,46.05,45.53,45.91,4272400,40.54
"2007-02-14",46.2,46.56,45.78,46.3,7386600,40.89
"2007-02-15",46.42,46.56,46.05,46.51,4202300,41.07
"2007-02-16",46.42,46.42,46.01,46.26,4380600,40.85
"2007-02-20",45.87,46.04,45.51,45.9,4906500,40.53
"2007-02-21",45.94,47.47,45.5,46.98,7585600,41.49
"2007-02-22",47.9,48.33,47.44,47.71,9992300,42.13
"2007-02-23",47.77,48.12,46.58,46.85,8708100,41.37
"2007-02-26",47.02,47.26,46.41,47.06,7436100,41.56
"2007-02-27",45.96,46.2,43.79,44.3,12343900,39.12
"2007-02-28",44.72,45.4,44.23,45.1,10377800,39.83
"2007-03-01",44.16,45.09,44,44.53,11712700,39.32
"2007-03-02",44.13,44.44,42.8,43.12,10651100,38.08
"2007-03-05",42.28,43.23,42.1,42.48,9019100,37.6
"2007-03-06",43.13,43.52,42.8,43.26,6040700,38.29
"2007-03-07",42.88,43.53,42.69,42.73,5832400,37.82
"2007-03-08",43.3,43.37,42.53,42.76,6807000,37.85
"2007-03-09",43,43.14,42.15,42.29,6597900,37.43
"2007-03-12",42.28,42.93,41.9,42.85,6367800,37.93
"2007-03-13",42.54,42.94,41.32,41.42,8386300,36.66
"2007-03-14",41.4,41.83,40.53,41.44,10786900,36.68
"2007-03-15",41.51,42.5,41.5,42.14,8625600,37.3
"2007-03-16",43.35,43.58,42.51,42.93,14116300,38
"2007-03-19",42.93,43.46,42.76,43.24,6397100,38.27
"2007-03-20",43.75,43.94,43.39,43.4,5853000,38.41
"2007-03-21",43.68,44.24,43.02,44.14,8822000,39.07
"2007-03-22",44.16,44.28,43.32,43.51,7462600,38.51
"2007-03-23",43.8,43.86,43.15,43.54,6179800,38.54
"2007-03-26",43.8,43.9,42.92,43.73,7180300,38.71
"2007-03-27",43.34,43.36,42.51,42.75,7467600,37.84
"2007-03-28",43.11,43.11,42.55,42.77,6655700,37.86
"2007-03-29",42.46,42.94,42.19,42.49,6612600,37.61
"2007-03-30",42.51,42.83,41.92,41.99,6543000,37.17
"2007-04-02",41.92,42.58,41.51,42.33,5961400,37.47
"2007-04-03",42.33,43.08,42.1,42.89,5809500,37.96
"2007-04-04",43.33,43.8,43.02,43.45,6961300,38.46
"2007-04-05",43.46,43.9,43.46,43.63,5014000,38.62
"2007-04-09",43.56,43.9,43.4,43.57,4616700,38.57
"2007-04-10",44,44.18,43.58,43.7,4204600,38.68
"2007-04-11",44,44.17,43,43.31,5459900,38.34
"2007-04-12",43.18,43.39,42.94,43.34,3704800,38.36
"2007-04-13",43.85,44.77,43.52,44.61,8012100,39.49
"2007-04-16",44.74,45.11,44.56,45,8198900,39.83
"2007-04-17",45,45.25,44.71,44.91,6802300,39.75
"2007-04-18",44.8,45.21,44.2,44.29,6391700,39.2
"2007-04-19",44,44,43.01,43.66,7770300,38.64
"2007-04-20",44.38,44.73,44.16,44.28,6495100,39.19
"2007-04-23",44.01,44.18,43.67,43.9,3919000,38.86
"2007-04-24",44.08,44.22,43.46,43.72,4125400,38.7
"2007-04-25",44,44.43,43.75,44.23,4352600,39.15
"2007-04-26",43.26,43.5,42.4,43.18,12109900,38.22
"2007-04-27",42.83,43.06,42.14,42.55,7239300,37.66
"2007-04-30",42.46,42.48,41.64,41.7,5182300,36.91
"2007-05-01",41.53,41.7,40.9,41.32,7512500,36.57
"2007-05-02",41.29,41.8,40.92,41.77,18027600,36.97
"2007-05-03",41.94,42.33,41.49,41.9,10540500,37.09
"2007-05-04",42.23,42.33,41.55,41.95,9322400,37.13
"2007-05-07",42.12,42.35,41.85,41.97,5210800,37.15
"2007-05-08",41.74,41.85,41.45,41.78,4953300,36.98
"2007-05-09",41.63,42.02,41.15,41.6,5237800,36.82
"2007-05-10",41.44,41.51,40.5,40.68,5404700,36.01
"2007-05-11",40.97,41.28,40.8,41.09,3826300,36.37
"2007-05-14",41.18,41.3,40.24,40.5,6114000,35.85
"2007-05-15",40.52,40.73,40.1,40.21,7360300,35.59
"2007-05-16",40.15,40.23,39.25,39.64,13270400,35.09
"2007-05-17",39.51,39.54,38.85,39.07,12233300,34.58
"2007-05-18",39.3,39.37,38.94,39.19,8239200,34.69
"2007-05-21",39.08,39.92,38.81,39.45,11550900,34.92
"2007-05-22",39.65,39.74,38.64,38.77,7386800,34.32
"2007-05-23",38.99,39.82,38.97,39.38,9196200,34.86
"2007-05-24",39.39,39.8,39.28,39.45,13804300,34.92
"2007-05-25",39.69,39.7,38.83,39.2,6415100,34.7
"2007-05-29",39.54,39.6,39.04,39.17,6681100,34.67
"2007-05-30",38.99,39.66,38.83,39.4,7093700,34.87
