"","NFX.Open","NFX.High","NFX.Low","NFX.Close","NFX.Volume","NFX.Adjusted"
"2007-01-03",45.35,45.36,41.86,42.29,4455400,42.29
"2007-01-04",41.8,42.05,40.22,40.43,4387000,40.43
"2007-01-05",40.44,41.1,39.85,41,3722100,41
"2007-01-08",41.72,42.42,41.38,42.12,2464200,42.12
"2007-01-09",41.4,41.95,40.78,41.24,2170300,41.24
"2007-01-10",41.04,41.4,40.71,41.3,1734300,41.3
"2007-01-11",41.15,42,40.76,40.9,2581500,40.9
"2007-01-12",41.02,42.51,41.01,42.3,1250000,42.3
"2007-01-16",42.3,42.71,41.28,41.47,1077200,41.47
"2007-01-17",41.25,41.64,40.8,41.45,2396200,41.45
"2007-01-18",41.45,41.99,40.32,40.39,2010400,40.39
"2007-01-19",40.31,40.97,39.3,40.83,4422900,40.83
"2007-01-22",41.2,41.36,40.33,41.02,1793600,41.02
"2007-01-23",41.49,42.65,41.47,42.13,1891500,42.13
"2007-01-24",42.05,42.19,41.2,41.87,1806800,41.87
"2007-01-25",41.86,41.98,40.9,41.09,963400,41.09
"2007-01-26",41.29,42.04,41.19,41.72,1356300,41.72
"2007-01-29",41.88,42.08,40.92,41.1,1724800,41.1
"2007-01-30",41.36,42.36,41.33,42.16,1940600,42.16
"2007-01-31",42.26,43.69,42.05,42.81,2351400,42.81
"2007-02-01",43.09,43.63,42.17,43.63,1778600,43.63
"2007-02-02",43.68,44,42.99,43.46,1390100,43.46
"2007-02-05",43.75,44.06,42.79,43.03,1015100,43.03
"2007-02-06",43.41,43.5,42.25,43.06,1138400,43.06
"2007-02-07",42.9,43.35,42.1,42.7,976000,42.7
"2007-02-08",41.89,41.95,40.16,40.85,4750100,40.85
"2007-02-09",41.35,42.36,41.09,41.73,2666800,41.73
"2007-02-12",41.04,41.29,39.83,40.39,1706900,40.39
"2007-02-13",40.64,41.12,40.53,41,957800,41
"2007-02-14",40.95,41.99,40.9,41.7,2009100,41.7
"2007-02-15",42.52,42.52,40.87,41.32,1175100,41.32
"2007-02-16",41.32,42.01,41.32,41.69,850000,41.69
"2007-02-20",40.86,41.31,40.66,41.17,1014900,41.17
"2007-02-21",41.28,42.03,40.76,41.95,1483200,41.95
"2007-02-22",42.49,43.28,42.17,42.97,2229400,42.97
"2007-02-23",43.1,43.54,42.59,42.69,1385200,42.69
"2007-02-26",42.69,44.59,42.69,44.2,1838700,44.2
"2007-02-27",43.35,44.13,42.61,42.91,1705100,42.91
"2007-02-28",42.94,43.73,42.35,43.18,1565200,43.18
"2007-03-01",42.97,43.29,41.91,42.92,2159900,42.92
"2007-03-02",42.83,43,41.8,41.83,950100,41.83
"2007-03-05",41.47,41.62,40.88,40.96,1434200,40.96
"2007-03-06",41.33,41.44,40.94,41.04,1471300,41.04
"2007-03-07",41,42.96,40.99,42.15,1214300,42.15
"2007-03-08",42.39,42.55,41.71,41.96,764400,41.96
"2007-03-09",42.15,42.33,41.2,41.37,1034900,41.37
"2007-03-12",41.38,41.54,40.82,41.27,836500,41.27
"2007-03-13",41.11,41.78,40.17,40.25,1350200,40.25
"2007-03-14",40.35,40.56,39.37,40.25,1497100,40.25
"2007-03-15",40.07,40.52,39.97,40.18,666600,40.18
"2007-03-16",40.25,40.41,39.9,39.94,782700,39.94
"2007-03-19",40.34,40.72,40.1,40.49,846500,40.49
"2007-03-20",40.38,41.16,40,41.16,1246900,41.16
"2007-03-21",41.23,42.57,41.08,42.35,1665300,42.35
"2007-03-22",42.69,42.98,42.38,42.52,1196300,42.52
"2007-03-23",42.61,42.75,41.97,42.2,1622300,42.2
"2007-03-26",42.32,42.63,41.91,42.43,1117100,42.43
"2007-03-27",42.25,42.26,41.73,42.11,1121800,42.11
"2007-03-28",42.4,42.48,41.6,41.91,1092900,41.91
"2007-03-29",42.4,42.4,41.28,41.84,2046000,41.84
"2007-03-30",42.46,42.5,41.52,41.71,1317900,41.71
"2007-04-02",41.66,42.25,41.59,41.84,1025000,41.84
"2007-04-03",41.63,42.18,41.15,42.08,1111600,42.08
"2007-04-04",42.09,42.57,41.69,42.55,1513000,42.55
"2007-04-05",42.55,43.66,42.4,43.5,1914000,43.5
"2007-04-09",43.71,44.08,43.21,43.6,1317800,43.6
"2007-04-10",43.77,44.56,43.55,43.99,1708600,43.99
"2007-04-11",44.36,44.72,43.22,43.56,1394500,43.56
"2007-04-12",43.71,44.32,43.53,44.14,1144900,44.14
"2007-04-13",44.26,44.46,43.86,44.44,664900,44.44
"2007-04-16",44.5,44.66,44.06,44.37,591100,44.37
"2007-04-17",44.76,44.9,44.13,44.48,1103400,44.48
"2007-04-18",44.15,44.48,43.62,43.64,945800,43.64
"2007-04-19",43.5,43.5,42.28,42.33,1174100,42.33
"2007-04-20",42.7,43.05,42.63,43.05,893900,43.05
"2007-04-23",43.2,43.58,42.9,43.21,921500,43.21
"2007-04-24",43.13,44.37,43.01,44.34,1721500,44.34
"2007-04-25",44.65,45.82,44.37,45.46,1520500,45.46
"2007-04-26",45.1,46.31,44.49,45.91,2005900,45.91
"2007-04-27",45.91,45.91,44.9,44.9,1331800,44.9
"2007-04-30",44.91,45.19,43.66,43.75,1051100,43.75
"2007-05-01",43.74,43.78,43.03,43.36,1393100,43.36
"2007-05-02",43.5,44.87,43.46,44.7,1259800,44.7
"2007-05-03",44.61,45.75,44.26,45.22,2584300,45.22
"2007-05-04",45.47,45.55,44.89,45.13,1189800,45.13
"2007-05-07",45.14,45.39,44.69,44.99,1232200,44.99
"2007-05-08",45.17,45.17,43.98,44.79,1060100,44.79
"2007-05-09",44.67,44.72,44.21,44.51,895700,44.51
"2007-05-10",44.52,44.59,43.3,43.57,1096400,43.57
"2007-05-11",43.71,44.25,43.65,44.02,870500,44.02
"2007-05-14",44.6,46.09,44.6,46.09,3402000,46.09
"2007-05-15",49.31,51.6,46.75,47.11,3544200,47.11
"2007-05-16",47.12,47.83,46.18,47.06,1895600,47.06
"2007-05-17",46.89,48.18,46.54,47.72,1800100,47.72
"2007-05-18",47.84,48.44,47.84,48.15,1232500,48.15
"2007-05-21",48.05,48.82,47.86,48.24,1520800,48.24
"2007-05-22",48.25,48.43,47.45,47.62,1159100,47.62
"2007-05-23",47.74,48.09,47.28,47.31,937400,47.31
"2007-05-24",47.27,47.87,45.92,45.98,1382100,45.98
"2007-05-25",46.4,46.89,46.28,46.82,524300,46.82
"2007-05-29",46.79,46.79,45.84,45.94,992000,45.94
"2007-05-30",45.5,47.35,45.48,47.26,1528500,47.26
"2007-05-31",48,48.1,46.8,48.04,2515400,48.04
"2007-06-01",48.74,52.65,48.65,52.61,7494400,52.61
"2007-06-04",52.05,54.28,51.34,51.65,3649600,51.65
"2007-06-05",52.53,52.53,50.81,51.05,1976700,51.05
"2007-06-06",50.95,50.96,49.83,50.14,1341000,50.14
"2007-06-07",50.02,50.85,49.01,49.07,1462500,49.07
