"","NI.Open","NI.High","NI.Low","NI.Close","NI.Volume","NI.Adjusted"
"2007-01-03",24.1,24.49,24.1,24.27,1268100,17.01
"2007-01-04",24.27,24.41,24.1,24.18,1053100,16.94
"2007-01-05",24.13,24.13,23.49,23.57,1623600,16.52
"2007-01-08",23.57,23.78,23.37,23.53,1355500,16.49
"2007-01-09",23.55,23.67,23.44,23.6,1681700,16.54
"2007-01-10",23.53,23.84,23.47,23.76,1469000,16.65
"2007-01-11",23.8,23.84,23.65,23.67,1710100,16.59
"2007-01-12",23.7,23.84,23.55,23.58,1642700,16.52
"2007-01-16",23.54,23.79,23.5,23.64,1754100,16.57
"2007-01-17",23.64,23.75,23.52,23.56,1784300,16.51
"2007-01-18",23.62,23.65,23.35,23.4,1456300,16.4
"2007-01-19",23.32,23.39,23.11,23.28,1541000,16.31
"2007-01-22",23.24,23.31,23.04,23.22,1409000,16.27
"2007-01-23",23.22,23.52,23.09,23.42,962000,16.41
"2007-01-24",23.42,23.72,23.4,23.71,883200,16.61
"2007-01-25",23.78,24.02,23.7,23.95,2126000,16.78
"2007-01-26",24.42,24.42,23.88,24.2,1612500,16.96
"2007-01-29",24.1,24.21,23.79,23.81,2006900,16.84
"2007-01-30",23.79,23.93,23.66,23.83,1935600,16.86
"2007-01-31",23.83,23.87,23.53,23.8,2504400,16.84
"2007-02-01",23.8,23.93,23.79,23.9,1614300,16.91
"2007-02-02",23.94,24.02,23.86,23.94,1144200,16.94
"2007-02-05",23.9,24.07,23.76,23.95,817200,16.94
"2007-02-06",24.01,24.2,23.93,24.05,1180200,17.01
"2007-02-07",24.05,24.13,23.96,24.1,888100,17.05
"2007-02-08",24.11,24.42,24.07,24.32,674700,17.21
"2007-02-09",24.33,24.54,24.23,24.35,671500,17.23
"2007-02-12",23.87,24.43,23.87,24.17,1339400,17.1
"2007-02-13",24.29,24.5,24.23,24.4,2038200,17.26
"2007-02-14",24.42,24.74,24.42,24.59,1393300,17.4
"2007-02-15",24.62,24.62,24.42,24.47,991800,17.31
"2007-02-16",24.47,24.52,24.25,24.31,1587600,17.2
"2007-02-20",24.31,24.63,24.18,24.58,1925800,17.39
"2007-02-21",24.48,24.56,24.16,24.33,1266400,17.21
"2007-02-22",24.41,24.44,24.15,24.29,782100,17.18
"2007-02-23",24.57,24.62,24.15,24.3,1172800,17.19
"2007-02-26",24.4,24.8,24.35,24.48,1281900,17.32
"2007-02-27",24.49,24.63,23.77,23.93,1515300,16.93
"2007-02-28",23.99,24.2,23.67,23.79,1666000,16.83
"2007-03-01",23.54,24.02,23.54,23.83,1224000,16.86
"2007-03-02",23.75,23.8,23.38,23.54,3273100,16.65
"2007-03-05",23.46,23.46,23.19,23.3,2210300,16.48
"2007-03-06",23.37,23.69,23.22,23.65,1404800,16.73
"2007-03-07",23.61,23.7,23.39,23.42,1301500,16.57
"2007-03-08",23.55,23.65,23.4,23.44,818400,16.58
"2007-03-09",23.5,23.6,23.38,23.55,803100,16.66
