"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2007-01-03",98,99.71,96.81,97.67,8649600,21.89
"2007-01-04",97.67,98.97,96.86,98.67,7501600,22.11
"2007-01-05",98.1,99.41,97.7,98.83,7498400,22.15
"2007-01-08",98.5,98.99,97.63,98.53,5054800,22.08
"2007-01-09",98.53,99.94,98.36,99.76,7583600,22.35
"2007-01-10",99.24,99.85,98.9,99.76,6506400,22.35
"2007-01-11",99.9,100.35,99.43,99.98,7158000,22.4
"2007-01-12",99.55,100.02,99.32,99.76,4648000,22.35
"2007-01-16",99.5,99.99,99.21,99.97,4632400,22.4
"2007-01-17",99.8,99.9,99.05,99.82,5381200,22.37
"2007-01-18",99.82,100.25,99,99.67,8175600,22.33
"2007-01-19",100,100.19,99.48,99.94,5561600,22.39
"2007-01-22",100.15,100.15,97.45,97.7,9757200,21.89
"2007-01-23",97.7,98.3,96.21,96.76,6797200,21.68
"2007-01-24",96.8,97.28,96.59,96.84,4435600,21.7
"2007-01-25",96.9,97.67,95.83,95.84,5070800,21.48
"2007-01-26",96,96.66,94.92,95.2,5490800,21.33
"2007-01-29",95.36,96.62,95.35,96.32,8154000,21.58
"2007-01-30",96.5,97.79,96.5,97.75,9876400,21.9
"2007-01-31",97.75,99.25,97.5,98.81,8608000,22.14
"2007-02-01",98.62,101.03,98.44,100.68,12366400,22.56
"2007-02-02",101,101.42,99.81,100.2,5472000,22.45
"2007-02-05",99.6,100.32,98.45,99.42,5893200,22.28
"2007-02-06",99.42,101.28,99.42,101.17,5745600,22.67
"2007-02-07",101.86,103,101.42,102.9,10046000,23.06
"2007-02-08",102.7,103.7,102.24,103.39,7752000,23.17
"2007-02-09",103.07,104.13,103.07,103.6,8289200,23.21
"2007-02-12",103.61,104.42,103.23,104.37,10014400,23.39
"2007-02-13",103.43,105.57,103.43,105.2,9102400,23.57
"2007-02-14",105.2,105.78,104.95,105.38,6679200,23.61
"2007-02-15",105.24,105.7,104.8,105.51,5670800,23.64
"2007-02-16",106.5,107.51,105.68,106.3,7586800,23.82
"2007-02-20",106.3,107.1,105.64,106.81,7330400,23.93
"2007-02-21",106.79,107.37,106.51,107.11,5532800,24
"2007-02-22",106.9,108.3,106.64,108.23,5725600,24.25
"2007-02-23",108.23,108.23,107.18,108.04,3616000,24.21
"2007-02-26",108.9,108.9,107.2,107.83,6624000,24.16
"2007-02-27",107.44,107.84,103.25,103.97,9209600,23.3
"2007-02-28",104.75,105.11,103.29,104.47,8936000,23.41
"2007-03-01",103.1,105.97,102.17,105.29,8468400,23.59
"2007-03-02",105.2,105.89,103.86,103.86,5662000,23.27
"2007-03-05",103.87,104.26,102.46,102.46,7235200,22.96
"2007-03-06",102.95,105.5,102.81,105.1,6431600,23.55
"2007-03-07",104.91,105.51,103.54,104.59,9444800,23.44
"2007-03-08",105.2,106.39,104.5,104.6,6391200,23.52
"2007-03-09",105.35,106.28,104.9,105.85,5294400,23.8
"2007-03-12",105.7,106.1,105.2,105.6,4397200,23.75
"2007-03-13",105.01,105.4,102.91,104.6,5577600,23.52
"2007-03-14",104.61,105.14,102.75,104.82,6760400,23.57
"2007-03-15",104.75,106.26,104.75,105.66,5875600,23.76
"2007-03-16",105.8,107.71,105.66,107.47,9646400,24.17
"2007-03-19",107.8,108.61,107.46,108.32,5774400,24.36
"2007-03-20",108.32,109.34,107.99,109.25,4373600,24.57
"2007-03-21",109.24,110.1,108.16,108.85,7657600,24.48
"2007-03-22",108.79,108.98,106.83,108.6,12651600,24.42
"2007-03-23",107.01,109.27,105.01,109.05,17509200,24.52
"2007-03-26",109.04,109.4,107.42,108.79,5800000,24.46
"2007-03-27",108.5,108.51,106.36,106.57,8927600,23.97
"2007-03-28",106.4,106.41,104.89,105.13,9018800,23.64
"2007-03-29",105.1,105.75,104.5,104.97,6586800,23.61
"2007-03-30",105.2,106.69,104.76,106.26,6232400,23.9
"2007-04-02",106.8,107.18,105.91,106.43,4515600,23.93
"2007-04-03",53.25,53.8,53.05,53.2,5382400,23.93
"2007-04-04",53.45,54,53.2,53.59,5954200,24.1
"2007-04-05",53.59,53.83,53.24,53.48,4563000,24.05
"2007-04-09",53.41,54.09,53.41,53.9,5815400,24.24
"2007-04-10",53.73,54.06,53.34,54.01,6876000,24.29
"2007-04-11",54.32,54.81,53.81,53.99,5341400,24.28
"2007-04-12",53.83,54.32,53.4,54.23,4026200,24.39
