"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2007-01-03",67.6,68.7,67.56,68.13,1365400,49.75
"2007-01-04",67.88,68.17,66.88,66.95,2124000,48.89
"2007-01-05",66.23,67.55,66.23,67.28,1646600,49.13
"2007-01-08",67.03,67.81,66.8,67.67,1418600,49.42
"2007-01-09",67.88,68.37,67.37,68.09,1303900,49.72
"2007-01-10",68.24,68.71,67.84,68.66,1141300,50.14
"2007-01-11",68.6,69.35,68.45,69.2,1127800,50.53
"2007-01-12",68.92,69.74,68.79,69.58,1339200,50.81
"2007-01-16",69.38,69.81,69.29,69.79,989800,50.96
"2007-01-17",69.87,69.87,69.2,69.72,1283000,50.91
"2007-01-18",69.72,70.25,69.66,69.92,1426000,51.06
"2007-01-19",70.17,70.43,69.98,70.29,1663500,51.33
"2007-01-22",69.65,70.22,69.05,70.08,2238500,51.18
"2007-01-23",70.26,71.82,70.16,71.59,2349000,52.28
"2007-01-24",71.45,71.92,71.11,71.8,2120800,52.43
"2007-01-25",70.27,71.8,70.27,71.3,1333100,52.07
"2007-01-26",71.31,71.43,70.35,70.49,1450500,51.48
"2007-01-29",70.9,71.07,70.43,70.74,1703200,51.66
"2007-01-30",70.94,71.25,70.67,70.97,1288800,51.83
"2007-01-31",70.55,71.15,70.55,70.94,1184900,51.8
"2007-02-01",70.9,71.32,70.83,71.3,2139500,52.07
"2007-02-02",71.67,72.77,71.5,72.43,2041600,52.89
"2007-02-05",71.97,73.04,71.7,73,1637000,53.31
"2007-02-06",73,73.44,72.65,73.25,1599100,53.49
"2007-02-07",73.37,73.81,73.26,73.63,1402000,53.77
"2007-02-08",73.64,74.55,73.45,74.39,2152700,54.32
"2007-02-09",74.2,74.44,73.67,74,1754000,54.04
"2007-02-12",74.01,74.66,74,74.4,2362800,54.33
"2007-02-13",74.41,74.99,74.36,74.6,1633800,54.48
"2007-02-14",74.6,74.96,73.84,74.48,2635300,54.39
"2007-02-15",74.54,75,74.35,74.96,2893700,54.74
"2007-02-16",74.99,75.05,74.76,75.01,2676800,54.78
"2007-02-20",75.14,75.49,74.91,75.45,1418300,55.1
"2007-02-21",75.41,75.72,75.06,75.29,1003500,54.98
"2007-02-22",75.1,75.35,74.45,74.72,1144000,54.56
"2007-02-23",74.25,74.65,73.81,74.42,1455500,54.35
"2007-02-26",73.9,74.6,73.39,73.84,1676000,53.92
"2007-02-27",73.15,73.64,71.55,71.91,2730700,52.51
"2007-02-28",70.75,72.63,70.5,71.85,2282600,52.47
"2007-03-01",71.05,72.51,70.5,72.23,2632500,53.02
"2007-03-02",72.23,72.62,71.6,71.81,1705700,52.71
"2007-03-05",71.31,72.33,71.31,71.63,2435100,52.58
"2007-03-06",71.89,72.4,71.74,72.09,2779600,52.92
"2007-03-07",72.27,72.43,71.92,72.11,1279800,52.93
"2007-03-08",72.5,73.3,72.25,72.87,2045400,53.49
