"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2007-01-03",61.95,61.95,57.56,58.24,10080800,27.32
"2007-01-04",58.24,58.24,55.57,56.09,8414800,26.31
"2007-01-05",56.09,56.81,55.61,56.35,7737000,26.44
"2007-01-08",56.8,57.71,56.29,56.83,6658800,26.66
"2007-01-09",56.37,56.59,54.68,55.78,9268200,26.17
"2007-01-10",55.68,55.85,55,55.14,6945000,25.87
"2007-01-11",55.01,56.32,53.75,53.99,8102200,25.33
"2007-01-12",54.18,56.11,54.06,56.04,5532800,26.29
"2007-01-16",55.78,56.56,55.26,55.94,7194800,26.24
"2007-01-17",55.94,57.43,55.87,57.11,5595200,26.79
"2007-01-18",57.63,57.82,56.02,56.28,4977600,26.4
"2007-01-19",56.5,58.37,56.3,58.2,4748200,27.3
"2007-01-22",59.6,59.87,58.11,58.63,7099200,27.51
"2007-01-23",59.25,61.27,59.25,60.89,5426800,28.57
"2007-01-24",60.4,60.77,59.29,60.16,5500200,28.22
"2007-01-25",60.17,60.17,58.36,58.57,4141200,27.48
"2007-01-26",58.9,59.44,58.27,58.48,4714200,27.44
"2007-01-29",58.48,58.88,57.48,57.61,4444600,27.03
"2007-01-30",57.8,60.01,57.79,59.6,5405400,27.96
"2007-01-31",59.26,61,58.88,60.64,5834200,28.45
"2007-02-01",60.9,61.05,59.7,60.1,4328000,28.2
"2007-02-02",60.45,61.2,59.69,60.61,3943400,28.43
"2007-02-05",60.76,61.01,59.82,60.03,4116200,28.16
"2007-02-06",63,66.08,62.99,65.68,19893600,30.81
"2007-02-07",66.7,67.5,65.47,66.11,9359200,31.01
"2007-02-08",66.12,68.47,66.03,68.09,7828800,31.94
"2007-02-09",68,68.21,66.18,66.54,5961600,31.22
"2007-02-12",65.52,67.35,65.52,66.53,4696600,31.21
"2007-02-13",67.95,69.03,67.42,69.03,5619000,32.38
"2007-02-14",69.03,69.4,68,68.94,5549000,32.34
"2007-02-15",68.94,68.94,67.56,68.29,5961400,32.04
"2007-02-16",68.26,68.31,67.6,67.79,4788400,31.8
"2007-02-20",67.51,67.69,66.66,66.72,5185600,31.3
