"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2007-01-03",50.46,50.98,48.94,49.23,3402600,41.09
"2007-01-04",49.44,49.46,47.94,48.41,3983100,40.4
"2007-01-05",49,49.62,48.62,49.2,4319400,41.06
"2007-01-08",48.95,49.35,48.5,48.92,2320300,40.83
"2007-01-09",49.03,49.21,48.27,48.57,1879000,40.54
"2007-01-10",48.1,48.32,47.42,48.19,2285600,40.22
"2007-01-11",48.44,49.24,48.28,49.14,2970900,41.01
"2007-01-12",49.25,50.3,49.25,50.3,1922300,41.98
"2007-01-16",50.14,52.13,50.14,52.02,4241900,43.42
"2007-01-17",52.02,52.09,50.41,51.41,3589900,42.91
"2007-01-18",52.2,52.96,51.32,52.49,4186100,43.81
"2007-01-19",52.8,53.65,52.25,52.98,3961200,44.22
"2007-01-22",52.98,52.98,51.65,52.11,2499000,43.49
"2007-01-23",51.88,53.84,51.07,53.73,4794200,44.84
"2007-01-24",52.99,52.99,50.37,50.61,6977800,42.24
"2007-01-25",50.4,50.48,48.63,48.82,5358800,40.75
"2007-01-26",48.8,48.82,47.8,48,7968400,40.06
"2007-01-29",48,48.36,47.25,47.56,7175100,39.7
"2007-01-30",47.49,47.87,47.41,47.54,4429000,39.68
"2007-01-31",47.3,49.92,47.05,49.65,7908700,41.63
"2007-02-01",49.55,50.77,49.45,50.35,5477900,42.22
"2007-02-02",50.36,51.35,50.25,50.88,4538600,42.66
"2007-02-05",50.55,50.79,49.86,49.99,3206200,41.92
"2007-02-06",49.98,50.14,49.58,49.87,4204300,41.82
"2007-02-07",50.1,50.9,49.45,49.69,5543300,41.67
"2007-02-08",49.65,49.73,48.86,49.01,3328200,41.1
"2007-02-09",49.15,49.86,48.71,48.94,3833700,41.04
"2007-02-12",49.01,49.2,48.15,48.42,3862500,40.6
"2007-02-13",48.75,50.62,48.52,50.41,4902800,42.27
"2007-02-14",50.5,52.54,50.35,52.25,5108400,43.81
"2007-02-15",52.55,52.68,50.91,51.54,6470300,43.22
"2007-02-16",51.46,51.9,50.62,51.18,4386300,42.92
"2007-02-20",51,51.6,50.64,51.43,2725400,43.12
"2007-02-21",50.5,52.39,50.16,52.03,2785900,43.63
"2007-02-22",52.1,52.6,50.91,51.19,3988300,42.92
"2007-02-23",50.98,51.19,50.22,50.95,2517700,42.72
"2007-02-26",50.85,50.85,49.57,49.7,3458700,41.67
"2007-02-27",48.95,49.17,46.68,47.35,4731000,39.7
"2007-02-28",47.55,48.08,47.01,47.42,3624800,39.76
"2007-03-01",47.18,47.4,46.11,47.01,5999500,39.42
"2007-03-02",47.01,47.61,46.11,46.34,3942200,38.86
"2007-03-05",45.75,46.87,45.38,46.04,3107400,38.61
"2007-03-06",46.7,47.02,46.35,46.6,3521100,39.07
"2007-03-07",46.6,48.14,46.33,47.68,4583100,39.98
"2007-03-08",47.85,48.71,47.72,48.57,3138300,40.73
"2007-03-09",49,49.17,47.85,48.54,2747400,40.7
"2007-03-12",48.34,49.43,48.25,49.01,2846700,41.1
"2007-03-13",48.62,49.09,47.76,48.01,4922400,40.26
"2007-03-14",47.9,48.43,46.06,47.18,6553900,39.56
"2007-03-15",47.18,48.36,47.1,47.92,4982200,40.18
"2007-03-16",47.92,49.19,46.83,48.77,6745700,40.89
"2007-03-19",48.74,49.18,48.03,49.02,5233800,41.1
"2007-03-20",49.02,49.39,48.94,49.13,2819900,41.2
"2007-03-21",49.07,49.94,48.93,49.4,5551400,41.42
"2007-03-22",49.4,50.14,49.04,49.86,4044900,41.81
"2007-03-23",49.86,52.05,49.56,51.97,6854000,43.58
"2007-03-26",51.59,52.3,50.55,50.75,4968200,42.55
"2007-03-27",50.76,50.76,49.99,50.39,3994900,42.25
"2007-03-28",50.4,51.04,50,50.04,4351200,41.96
"2007-03-29",50.8,51.16,49.68,49.93,5280500,41.87
"2007-03-30",50.14,51.74,50.03,50.6,5139300,42.43
"2007-04-02",50.6,50.97,50.27,50.57,4100900,42.4
"2007-04-03",50.88,51.38,50.56,50.83,3728800,42.62
"2007-04-04",51,51.3,50.89,51.06,2917200,42.81
"2007-04-05",49.99,51.5,49.7,50.98,5934800,42.75
"2007-04-09",52.56,54.22,52.5,52.89,7485600,44.35
"2007-04-10",52.31,53.52,52.31,52.74,4739800,44.22
"2007-04-11",52.85,53.07,51.48,51.86,3897300,43.49
"2007-04-12",51.9,54.6,51.19,54.36,7853700,45.58
"2007-04-13",55,55,53.13,53.89,3826700,45.19
"2007-04-16",54.25,54.88,54.17,54.85,4579000,45.99
"2007-04-17",54.8,54.9,53.77,54.04,3814700,45.31
"2007-04-18",54.24,55.98,54.15,55.08,5286900,46.19
"2007-04-19",55.45,56.17,54.37,55.91,5315500,46.88
"2007-04-20",56.4,56.68,55.83,56.06,2940100,47.01
"2007-04-23",55.62,56.13,55.4,55.73,3057400,46.73
"2007-04-24",55.26,56.23,54.93,55.57,3040200,46.6
"2007-04-25",55.66,56.5,53.78,55.62,5232100,46.64
"2007-04-26",55.62,55.62,53.23,53.28,5449100,44.68
"2007-04-27",53.2,54.2,52.67,53.62,4781700,44.96
"2007-04-30",53.65,54.13,53.24,53.25,4839400,44.65
"2007-05-01",53.5,53.9,52.63,52.65,9255600,44.15
"2007-05-02",52.43,53.02,52.18,52.34,4419800,44.07
"2007-05-03",52.81,54.79,52.81,53.72,3489700,45.23
"2007-05-04",53.97,54.08,53.26,53.92,2274400,45.4
"2007-05-07",54,54.15,53.14,53.36,3142800,44.93
"2007-05-08",53.5,55.05,53.31,54.61,5022300,45.98
"2007-05-09",54.75,55.07,54.21,54.77,2661600,46.12
"2007-05-10",54.77,55.07,53.46,54,4137500,45.47
"2007-05-11",54.2,55.25,53.77,55.22,4708400,46.5
"2007-05-14",55.25,55.47,54.7,54.92,2594800,46.24
"2007-05-15",55,56.23,54.98,55.87,4641000,47.04
"2007-05-16",56.57,56.79,56.15,56.79,4596900,47.82
"2007-05-17",56.94,58.81,56.84,58.32,10279500,49.11
"2007-05-18",58.36,58.36,57.25,58.13,4083700,48.95
"2007-05-21",57.89,58.23,57.3,57.5,3715900,48.42
"2007-05-22",57.32,57.56,56.58,57.29,3182900,48.24
"2007-05-23",57.5,58.09,57.26,57.65,3538100,48.54
"2007-05-24",57.85,58.47,56.92,57.33,2584300,48.27
"2007-05-25",57.89,58.35,57.09,57.23,2396400,48.19
"2007-05-29",57.42,57.77,57.01,57.63,2636700,48.53
"2007-05-30",57.6,57.68,56.97,57.46,3539800,48.38
"2007-05-31",57.47,58.36,57.31,57.88,4226000,48.74
"2007-06-01",58,59.19,58,58.64,2809800,49.38
"2007-06-04",58.72,58.95,58.3,58.59,1449100,49.33
"2007-06-05",58.58,58.85,57.47,57.97,2310300,48.81
"2007-06-06",57.6,57.61,55.93,56.53,2694700,47.6
"2007-06-07",55.72,56.17,54.06,54.12,5594500,45.57
"2007-06-08",54.37,55.34,54.21,54.89,3797500,46.22
"2007-06-11",54.64,55.15,54.35,54.5,3496700,45.89
"2007-06-12",54.5,54.5,53.41,53.41,3826000,44.97
"2007-06-13",53.64,54.85,53.29,54.65,3305800,46.02
"2007-06-14",54.65,55.86,54.65,55.41,2866500,46.66
"2007-06-15",55.74,56.75,55.61,55.88,4518900,47.05
"2007-06-18",55.9,55.96,55.04,55.24,1415200,46.51
"2007-06-19",54.42,56.38,54.42,56.24,3040500,47.36
"2007-06-20",56.3,56.54,55,55.13,1847200,46.42
"2007-06-21",55.13,55.61,54.27,55.31,1819900,46.57
"2007-06-22",54.73,55.1,53.74,53.91,3190700,45.39
"2007-06-25",54.47,54.47,53.14,53.35,2713700,44.92
"2007-06-26",53.69,53.93,52.2,52.25,4332200,44
"2007-06-27",52.05,52.92,51.16,52.75,4179500,44.42
"2007-06-28",51.91,53.58,51.52,53.24,2426300,44.83
"2007-06-29",53.66,53.75,52.25,52.57,2391000,44.27
"2007-07-02",52.95,53.92,52.83,53.58,2271300,45.12
"2007-07-03",53.69,54.49,53.57,54.22,1230500,45.65
"2007-07-05",54.42,54.43,53.15,53.5,1867700,45.05
"2007-07-06",53.29,54.2,53.01,54.02,1839900,45.49
"2007-07-09",54.51,55.3,54.4,55.04,2976600,46.35
"2007-07-10",54.9,54.95,53.47,53.53,2491600,45.07
"2007-07-11",53.15,54.93,53.1,54.57,3716700,45.95
"2007-07-12",54.8,55.83,54.54,55.79,4102900,46.98
"2007-07-13",54.96,56,54.47,55.85,2803300,47.03
"2007-07-16",56.13,57.13,55.4,56.66,2490500,47.71
"2007-07-17",57.23,57.78,56.49,56.62,3466900,47.68
"2007-07-18",58,58.95,57.78,58.15,9344900,48.96
"2007-07-19",58.99,59.77,57.3,57.83,2988700,48.69
"2007-07-20",57.06,58.11,56.16,56.84,2059500,47.86
"2007-07-23",57.28,57.65,56.75,56.95,1942200,47.95
"2007-07-24",55.45,56.54,54.64,55.52,4777500,46.75
"2007-07-25",56.1,56.99,53.65,54.48,5177400,45.87
"2007-07-26",53.6,54.48,52.05,52.87,7505000,44.52
"2007-07-27",53.63,53.63,50.7,52.34,8699300,44.07
"2007-07-30",53.9,54.48,52.56,53.86,4929600,45.35
"2007-07-31",54.28,55.37,53.74,53.78,4539100,45.28
"2007-08-01",52.83,54.3,52.52,53.81,7671900,45.53
"2007-08-02",53.04,54.56,52.88,53.8,3667400,45.52
"2007-08-03",54.56,54.57,50.75,50.84,6870100,43.02
"2007-08-06",51.34,51.68,49.88,50.29,6481400,42.55
"2007-08-07",50.16,50.8,49.24,50.14,6625300,42.42
