"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2007-01-03",60.82,61.69,60.77,61.31,1068700,52.46
"2007-01-04",61.11,61.18,60.38,60.77,1426300,52
"2007-01-05",61.27,61.35,59.95,59.97,1709000,51.31
"2007-01-08",59.57,60.62,59.29,60.52,1396400,51.78
"2007-01-09",60.76,61.28,60.68,61.02,1585100,52.21
"2007-01-10",60.71,61.48,60.67,61.31,1179200,52.46
"2007-01-11",61.31,61.68,61.25,61.53,862600,52.65
"2007-01-12",61.24,61.64,61.22,61.57,1014400,52.68
"2007-01-16",61.69,62.69,61.61,62.33,2398700,53.33
"2007-01-17",60.57,61.15,58.66,60.17,5939300,51.48
"2007-01-18",60.39,60.85,60.23,60.59,1991600,51.84
"2007-01-19",60.78,60.8,60.35,60.57,1235700,51.83
"2007-01-22",60.36,60.83,60.35,60.61,1000200,51.86
"2007-01-23",60.62,60.76,60.16,60.37,573000,51.65
"2007-01-24",60.27,60.97,60.24,60.95,689500,52.15
"2007-01-25",60.71,60.8,60.16,60.2,968900,51.51
"2007-01-26",60.22,60.52,59.9,60.03,861700,51.36
"2007-01-29",59.89,60.29,59.77,60.22,825600,51.53
"2007-01-30",60.22,60.5,60,60.47,488000,51.74
"2007-01-31",60.53,60.86,59.93,60.75,859100,51.98
"2007-02-01",60.72,61.55,60.61,61.04,725300,52.23
"2007-02-02",60.97,61.21,60.62,60.66,1274600,51.9
"2007-02-05",62.07,62.58,61.96,61.99,1643700,53.04
"2007-02-06",62.21,62.83,62.08,62.26,1010800,53.27
"2007-02-07",62.3,62.46,62,62.4,548600,53.39
"2007-02-08",62.32,62.47,62.08,62.38,563900,53.37
"2007-02-09",62.37,62.43,61.78,61.94,801600,53
"2007-02-12",61.91,62.25,61.8,62.01,459800,53.06
"2007-02-13",62.25,62.34,61.9,62.17,597500,53.19
"2007-02-14",62.12,63,62.09,62.72,621000,53.66
"2007-02-15",62.67,63.2,62.67,63.09,572400,53.98
"2007-02-16",63.19,63.37,62.95,63.08,708300,53.97
"2007-02-20",63.14,63.49,62.62,63.36,496800,54.21
