"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"2007-01-03",54.66,55.25,53.2,54.5,4668400,42.72
"2007-01-04",54.3,55.08,54,54.92,3401400,43.05
"2007-01-05",54.79,55.69,54.16,54.73,4263700,42.9
"2007-01-08",55.4,56.06,54.78,55.95,4712500,43.86
"2007-01-09",55.11,56.3,54.83,55.65,4505600,43.63
"2007-01-10",55.54,56.01,54.75,55.74,3921900,43.7
"2007-01-11",55.72,56.69,55.31,55.97,3572700,43.88
"2007-01-12",56.07,56.95,55.82,56.3,2856900,44.13
"2007-01-16",56.4,56.44,55.62,55.91,2821400,43.83
"2007-01-17",55.84,56.74,55.83,56.31,2837200,44.14
"2007-01-18",56.49,57.28,55.02,55.36,2831400,43.4
"2007-01-19",55.85,57.38,55.61,57.19,3081600,44.83
"2007-01-22",57.2,57.88,56.64,56.91,2599600,44.61
"2007-01-23",57.08,59.13,56.99,59.1,3330500,46.33
"2007-01-24",58.75,59.88,58.23,59.2,3978500,46.41
"2007-01-25",62.19,64.22,61.5,62.65,7486400,49.11
"2007-01-26",62.66,63,61.17,61.48,4280100,48.2
"2007-01-29",62,63.35,61.64,61.88,4260100,48.51
"2007-01-30",63,64.2,61.75,63.74,5265000,49.97
"2007-01-31",63.11,64.88,63.1,64.54,4409600,50.59
"2007-02-01",64.63,65,63.62,64.82,3176200,50.81
"2007-02-02",64.47,65,63.32,64.83,3513400,50.82
"2007-02-05",64.14,64.99,63.06,63.53,2791700,49.8
"2007-02-06",64.1,64.48,63.24,64.21,2249800,50.34
"2007-02-07",64.25,65.43,63.62,64.22,2804100,50.34
"2007-02-08",63.95,64.13,62.78,63.37,2781500,49.68
"2007-02-09",62.97,63.19,61.38,61.65,2540200,48.33
"2007-02-12",61.9,63.04,61.6,62.33,2147400,48.86
"2007-02-13",63.25,64.66,62.81,64.02,2933400,50.19
"2007-02-14",64.91,65.21,63.71,64.26,2511100,50.37
"2007-02-15",64.43,66.04,64.16,65.3,3998800,51.19
"2007-02-16",64.89,65.25,64.3,64.72,2691100,50.74
"2007-02-20",64.13,64.91,63.12,64.57,3387000,50.62
"2007-02-21",64.42,66.51,63.82,66.37,4221200,52.03
"2007-02-22",66.97,66.99,65.07,65.41,2779300,51.28
"2007-02-23",65.51,66,64.31,64.41,2398100,50.49
"2007-02-26",64.66,65.88,63.66,64.13,4147900,50.27
"2007-02-27",61.85,63.02,59.42,60.03,7161600,47.06
"2007-02-28",60.43,61.6,59.62,60.87,6235700,47.72
"2007-03-01",59.47,61.8,58.75,60.82,4728800,47.68
"2007-03-02",61.07,61.7,58.45,58.74,4852800,46.05
"2007-03-05",58.23,59.27,57.34,57.9,4312200,45.39
"2007-03-06",59.2,60.55,58.21,60.04,4103500,47.07
"2007-03-07",60.04,60.97,59.61,59.95,2960400,47
"2007-03-08",61.7,64.14,61.14,63.12,7038600,49.48
"2007-03-09",63.78,64.6,62.77,64.26,4668500,50.37
"2007-03-12",63,64.55,61.7,63.19,4916800,49.54
"2007-03-13",62.68,63.96,60.6,60.67,4603200,47.56
"2007-03-14",61.78,63.5,60.82,63.32,6851600,49.64
"2007-03-15",62.53,64.25,62.51,63.34,4200100,49.65
"2007-03-16",63.28,63.76,61.38,61.66,4038200,48.34
"2007-03-19",62.98,63.82,62.08,63.72,4440500,49.95
"2007-03-20",64.03,65.25,63.3,63.7,5209000,49.94
"2007-03-21",64.15,65.53,63.82,65.5,3746000,51.35
"2007-03-22",65.12,65.6,64.65,64.7,3261600,50.72
"2007-03-23",65.65,65.65,63.87,65.16,2082600,51.08
"2007-03-26",65.4,65.72,64.4,65.56,4140900,51.39
"2007-03-27",65.53,66.29,65.23,65.7,4051900,51.5
"2007-03-28",65.3,65.4,64,64.85,4198200,51.31
"2007-03-29",65.79,66.85,65.14,66.11,4525200,52.31
"2007-03-30",66.01,66.74,65,65.13,4272400,51.54
"2007-04-02",65,65.3,64.2,64.77,3351700,51.25
"2007-04-03",65.28,65.8,64.38,65.23,3384400,51.61
"2007-04-04",65.33,66.26,64.8,65.66,2693400,51.95
"2007-04-05",65.96,67.34,65.48,66.51,3698000,52.63
"2007-04-09",67.45,68.1,66.94,67.5,3017400,53.41
"2007-04-10",67.93,67.93,66.72,67.05,2561000,53.05
"2007-04-11",66.94,67.75,66.17,66.54,2831000,52.65
"2007-04-12",66.95,67.78,66.43,66.7,3743800,52.78
"2007-04-13",66.89,67.25,66.13,66.79,2149400,52.85
"2007-04-16",66.75,67.7,66.5,67.48,2634900,53.39
"2007-04-17",67.56,68.26,66.51,66.73,2651100,52.8
"2007-04-18",66.39,66.82,65.5,65.78,2861700,52.05
