"","NWL.Open","NWL.High","NWL.Low","NWL.Close","NWL.Volume","NWL.Adjusted"
"2007-01-03",29.05,29.45,28.97,29.26,1264900,24.18
"2007-01-04",29.26,29.28,28.98,29.13,1009100,24.07
"2007-01-05",29.12,29.44,28.9,29.16,1104600,24.1
"2007-01-08",29.1,29.1,28.66,28.84,1207900,23.83
"2007-01-09",28.94,29.32,28.89,29.28,1161700,24.2
"2007-01-10",29.18,29.72,29.11,29.61,889100,24.47
"2007-01-11",29.72,29.89,29.6,29.75,1060000,24.58
"2007-01-12",29.74,29.79,29.62,29.67,727200,24.52
"2007-01-16",29.65,29.82,29.58,29.74,1078100,24.58
"2007-01-17",29.77,30.34,29.59,30.21,1436300,24.96
"2007-01-18",30.34,30.65,30.11,30.5,1588400,25.2
"2007-01-19",30.64,30.64,30.12,30.28,1202300,25.02
"2007-01-22",30.29,30.52,30.21,30.31,1692600,25.05
"2007-01-23",30.31,30.5,30.22,30.31,1051200,25.05
"2007-01-24",30.28,30.32,30.11,30.29,1912800,25.03
"2007-01-25",30.3,30.33,29.95,30.01,1353400,24.8
"2007-01-26",30.02,30.55,29.92,30.43,2101100,25.15
"2007-01-29",30.43,30.47,29.9,29.96,2269100,24.76
"2007-01-30",29.88,29.9,29.25,29.57,3908300,24.44
"2007-01-31",29.47,29.66,29.06,29.54,3255800,24.41
"2007-02-01",29.67,30.03,29.54,30.02,1600300,24.81
"2007-02-02",30.02,30.09,29.93,29.94,1617500,24.74
"2007-02-05",29.85,30.15,29.8,30.09,1177200,24.87
"2007-02-06",30.02,30.46,30.01,30.37,1150500,25.1
"2007-02-07",30.42,30.48,30.13,30.29,1260100,25.03
"2007-02-08",30.29,30.36,30.15,30.29,1576300,25.03
"2007-02-09",30.24,30.34,29.76,29.84,1947300,24.66
"2007-02-12",29.87,30.31,29.87,30.17,1688400,24.93
"2007-02-13",30.22,30.29,29.85,30.16,1675000,24.92
"2007-02-14",30.16,31.73,30.14,31.7,3207900,26.2
"2007-02-15",31.42,31.55,31.1,31.43,1860500,25.97
"2007-02-16",31.29,31.6,31.07,31.51,1725900,26.04
"2007-02-20",31.38,31.83,31.38,31.7,1362400,26.2
"2007-02-21",31.57,31.92,31.44,31.83,1753300,26.3
"2007-02-22",31.89,31.95,31.57,31.75,936500,26.24
"2007-02-23",31.8,31.87,31.56,31.74,1159800,26.23
"2007-02-26",31.56,31.66,31.07,31.1,2278500,25.87
"2007-02-27",30.97,31.1,30.2,30.4,1594400,25.29
"2007-02-28",30.38,30.75,29.75,30.61,2679100,25.46
"2007-03-01",30.12,30.69,29.93,30.58,1557800,25.44
"2007-03-02",30.49,30.75,30.26,30.35,1823700,25.25
"2007-03-05",30.06,30.61,29.93,29.97,2001700,24.93
"2007-03-06",30.05,30.36,29.89,30.36,1438700,25.26
"2007-03-07",30.36,30.7,30.06,30.44,1152200,25.32
"2007-03-08",30.49,30.88,30.32,30.82,936400,25.64
"2007-03-09",30.82,30.87,30.31,30.59,1025600,25.45
"2007-03-12",30.56,31.38,30.56,31.24,2812600,25.99
"2007-03-13",31.11,31.14,30.65,30.67,2117600,25.51
"2007-03-14",30.85,30.96,30.41,30.86,1931200,25.67
"2007-03-15",30.87,30.87,30.36,30.5,2311200,25.37
"2007-03-16",30.5,30.65,30.19,30.21,1920300,25.13
"2007-03-19",30.43,30.56,30.28,30.35,1753800,25.25
"2007-03-20",30.39,31.3,30.36,31.25,2149200,26
"2007-03-21",31.26,32,31.11,31.95,1653400,26.58
"2007-03-22",31.32,32,31.32,31.67,1138300,26.35
"2007-03-23",31.67,31.81,31.45,31.7,994600,26.37
