"","NYX.Open","NYX.High","NYX.Low","NYX.Close","NYX.Volume","NYX.Adjusted"
"2007-01-03",97.7,97.84,92,93.68,6891500,73.72
"2007-01-04",92.95,95.5,91.64,95.1,3432200,74.84
"2007-01-05",97.06,102.95,96.8,102.39,14023100,80.58
"2007-01-08",101.2,106.43,100,105.94,11335000,83.37
"2007-01-09",105.94,108,103.25,104.58,8085300,82.3
"2007-01-10",104.6,109.5,103.08,108.21,8893200,85.16
"2007-01-11",108.99,109.48,106.09,106.68,7006000,83.95
"2007-01-12",106.4,107.57,105,105.31,4771900,82.88
"2007-01-16",105.32,106.78,104.55,105.79,5440400,83.25
"2007-01-17",105.7,106.81,104.9,105.55,5042400,83.06
"2007-01-18",105.74,105.83,100.2,100.55,10620300,79.13
"2007-01-19",100,100.85,98.75,99.96,5435000,78.67
"2007-01-22",100.24,100.75,98.25,99.04,4903700,77.94
"2007-01-23",96.9,99.19,96.36,97.55,5306200,76.77
"2007-01-24",98.44,101.98,98.21,101.19,6956200,79.63
"2007-01-25",102.38,102.38,99.22,99.22,4793100,78.08
"2007-01-26",100,101.72,99.42,101.14,7508800,79.59
"2007-01-29",101.69,102.2,99,100.1,6121700,78.78
"2007-01-30",99.72,101,99.23,100.75,4592900,79.29
"2007-01-31",100.25,101.25,99.64,99.98,5003400,78.68
"2007-02-01",100.99,102.25,100.25,101.69,5166200,80.03
"2007-02-02",99.4,101.92,97.06,99.5,9747600,78.3
"2007-02-05",99.7,100.35,98.6,98.6,3152500,77.6
"2007-02-06",98.92,99.11,97.99,98.02,3189600,77.14
"2007-02-07",97.91,98.15,96.76,97,8064300,76.34
"2007-02-08",96.91,98.32,96.45,97.24,3963900,76.52
"2007-02-09",95.6,96.46,91.75,92.07,8246400,72.46
"2007-02-12",91.39,91.39,88.21,88.42,6330900,69.58
"2007-02-13",89.6,90.19,88.4,90.19,5426500,70.98
"2007-02-14",89.65,91,89.01,89.55,4796300,70.47
"2007-02-15",89.25,89.25,86.52,86.52,8167400,68.09
"2007-02-16",85.86,89.61,85.25,88.01,12627900,69.26
"2007-02-20",88.7,91.98,88.26,91.18,8094300,71.76
"2007-02-21",91.19,94.55,90.85,93.6,8976600,73.66
"2007-02-22",94.2,95.25,92.78,93.21,6475000,73.35
"2007-02-23",93.27,93.32,91.35,91.35,3421500,71.89
"2007-02-26",92.16,92.4,89.6,90.01,4829200,70.84
"2007-02-27",85.89,87.4,84.45,84.45,6877900,66.46
"2007-02-28",84.7,85,82.1,84.9,9386900,66.81
"2007-03-01",80.94,83.45,80.9,81.7,6093500,64.3
"2007-03-02",82.2,85.45,82,82.01,9351500,64.54
"2007-03-05",81.3,82.5,80.51,80.59,4914600,63.42
"2007-03-06",81.36,86.9,80.9,86.34,7967500,67.95
"2007-03-07",85,85.7,83.4,83.4,6484500,65.63
"2007-03-08",85.19,85.48,84.01,84.51,4591800,66.51
"2007-03-09",85.15,85.65,84,84.3,4406400,66.34
"2007-03-12",84.29,85.4,84.21,84.21,4212000,66.27
"2007-03-13",84.24,85.1,82.8,83.66,4839300,65.84
"2007-03-14",82.1,83.25,80.9,82.31,7153500,64.78
"2007-03-15",83.4,84.17,82.03,82.4,6469300,64.85
"2007-03-16",81.5,82.57,80.86,81.93,8603800,64.48
"2007-03-19",82.98,83.62,82.71,83.28,4220400,65.54
"2007-03-20",83.25,84.84,82.9,84.15,3819000,66.22
"2007-03-21",84.58,88.3,84.21,88.29,6099600,69.48
"2007-03-22",89.02,90.06,87.01,87.59,5953200,68.93
"2007-03-23",87.7,88.68,87.3,87.67,2961500,68.99
"2007-03-26",88.38,92.08,87.78,91.74,7271000,72.2
"2007-03-27",92.63,94.49,92.26,93.6,6531100,73.66
"2007-03-28",95.24,97.85,95.24,96.47,9040800,75.92
"2007-03-29",98,98.5,93.12,94.98,9131500,74.75
"2007-03-30",94.44,95.29,93.05,93.75,4542400,73.78
"2007-04-02",94.07,96.06,93.38,95.04,5572300,74.79
"2007-04-03",96,101,95.5,101,12820700,79.48
"2007-04-04",99.3,99.99,97.17,97.55,12350300,76.77
"2007-04-05",97.09,97.22,95.85,96.74,9499300,76.13
"2007-04-09",97.76,97.76,95.42,96.05,3835800,75.59
"2007-04-10",95.43,97,95.14,96.2,3302800,75.71
"2007-04-11",95.83,96.56,93.51,93.61,3908600,73.67
"2007-04-12",93,94.79,91.8,93.83,5141700,73.84
"2007-04-13",94.97,95.45,93.22,93.66,4759800,73.71
"2007-04-16",93.23,94.53,92.75,93.2,3056200,73.35
"2007-04-17",93.2,96.45,92.1,96.15,6917800,75.67
"2007-04-18",95,95.95,93.6,93.96,4218500,73.94
"2007-04-19",93.02,93.86,92.15,92.15,3201900,72.52
"2007-04-20",93.42,93.52,91.9,92.34,3479300,72.67
"2007-04-23",89.5,90.19,86.08,86.3,10709400,67.92
"2007-04-24",86,86.98,84.1,84.45,6043000,66.46
"2007-04-25",85.1,86.8,84.82,86.43,5361600,68.02
"2007-04-26",87.9,88.42,84.5,84.51,6958900,66.51
"2007-04-27",84.89,86.4,84,85.1,3269700,66.97
"2007-04-30",86,86.65,84.01,84.33,4024700,66.37
"2007-05-01",84.6,85,82.61,83.33,4517600,65.58
"2007-05-02",82.91,83.5,81.85,82.69,6155500,65.07
"2007-05-03",83.5,85.04,83.05,84.59,3794200,66.57
"2007-05-04",85.4,86.61,84.21,84.41,3869800,66.43
"2007-05-07",84.72,84.97,82.5,82.8,3262100,65.16
"2007-05-08",82.16,83.35,81.51,82.85,3909300,65.2
"2007-05-09",82.63,84.54,81.98,84.23,4939100,66.29
"2007-05-10",83.64,84.2,81.63,81.8,4496400,64.37
"2007-05-11",82.5,83.42,81.87,82.98,3028400,65.3
"2007-05-14",82.9,83.63,81.1,81.44,4794400,64.09
"2007-05-15",81.6,82.1,79.31,79.55,6093800,62.6
"2007-05-16",80.25,81.98,79.55,81.52,4977800,64.15
"2007-05-17",81.2,82.66,80.68,82,3644500,64.53
"2007-05-18",83.25,83.87,82.41,82.44,4577200,64.88
"2007-05-21",82.78,86.96,82.29,86.43,8864700,68.02
"2007-05-22",86.4,88.27,85.04,86.41,8509200,68
"2007-05-23",87.12,87.7,85.05,85.83,6301200,67.55
"2007-05-24",85.63,85.67,82.5,82.99,6066400,65.31
"2007-05-25",85,85.15,82.82,83.16,4633600,65.44
"2007-05-29",83.6,84.22,82.74,83.48,2554600,65.7
"2007-05-30",82.67,85.65,82.67,85.36,3830300,67.18
"2007-05-31",84.75,84.9,82.97,83.08,4442200,65.38
"2007-06-01",83.53,84.11,83.27,83.74,2783400,65.9
"2007-06-04",83,87.5,82.89,86.19,8593600,67.83
"2007-06-05",85.62,86.8,84.5,85.95,6155100,67.64
"2007-06-06",85.53,85.65,82.3,82.51,7124300,64.93
"2007-06-07",82.7,82.8,79.95,79.95,7078600,62.92
"2007-06-08",80.48,81.35,78.66,80.63,6430400,63.45
"2007-06-11",81.01,82.73,80.86,81.77,4169900,64.35
"2007-06-12",81.21,81.83,80.17,80.77,4681500,63.56
"2007-06-13",81.02,81.65,80,80.68,3854800,63.49
"2007-06-14",80.78,81.1,80.07,80.8,5738600,63.59
"2007-06-15",81.07,82.09,79.9,80,6115200,62.96
"2007-06-18",80.31,80.57,78.2,78.41,5834800,61.71
"2007-06-19",78.56,79.22,77.65,78.02,4460400,61.4
"2007-06-20",79.15,79.54,77.53,77.88,4054900,61.29
"2007-06-21",77.94,77.99,76.16,76.9,5841000,60.52
"2007-06-22",76.61,77.6,75.26,75.37,7861500,59.31
"2007-06-25",75.6,76.47,74.28,75.07,6005100,59.08
"2007-06-26",75.51,75.6,72.67,72.82,6187600,57.5
"2007-06-27",72.83,76.16,72.34,75.8,6218400,59.85
"2007-06-28",75.75,76.07,74.51,74.77,3787100,59.04
"2007-06-29",75.24,75.5,72.77,73.62,4668700,58.13
"2007-07-02",74.1,74.3,73.4,73.55,2449800,58.07
"2007-07-03",73.71,74.38,73.04,73.53,2134800,58.06
"2007-07-05",73.39,74.75,72.99,73.55,3023500,58.07
"2007-07-06",73.72,76.48,73.61,75.72,5319500,59.79
"2007-07-09",76.08,76.7,75.49,76.47,5314700,60.38
"2007-07-10",76.71,79.29,76.04,77.8,9078400,61.43
"2007-07-11",79.09,82.43,78.91,82.11,14184600,64.83
"2007-07-12",81.65,82.27,80.5,81.31,6640500,64.2
"2007-07-13",82.03,83.46,81.32,83.22,5164900,65.71
"2007-07-16",82.81,84.5,82.53,82.91,5764900,65.47
"2007-07-17",82.5,82.87,80.5,80.62,4176800,63.66
"2007-07-18",79.98,81.14,79.55,80.05,3587100,63.21
"2007-07-19",80.79,81.15,79.1,79.3,3124400,62.62
"2007-07-20",79.45,79.45,77.52,78.05,4520100,61.63
"2007-07-23",78.6,80.04,77.84,78.69,3828900,62.13
"2007-07-24",78.39,78.39,74.95,75.4,4342300,59.54
"2007-07-25",75.93,76.5,74,76.3,4115900,60.25
"2007-07-26",74.8,76.37,72.04,73.95,6722800,58.39
"2007-07-27",74.97,77.66,73.81,76.08,7198000,60.07
"2007-07-30",76.59,79.03,76.01,78.26,4735100,61.79
"2007-07-31",78.33,79.41,76.34,77.02,4275500,60.81
"2007-08-01",77,77.36,75.41,76.98,4349000,60.78
"2007-08-02",77.61,77.75,74.59,74.91,5501900,59.15
"2007-08-03",75,75.25,73.25,73.96,5484200,58.4
"2007-08-06",73.83,73.95,69.9,71.15,8233900,56.18
"2007-08-07",72.01,75,71.35,74.12,7515200,58.52
