"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"2007-01-03",43.36,43.65,42.6,43.09,2633700,14.63
"2007-01-04",42.96,43.21,42.54,42.64,1415600,14.48
"2007-01-05",42.6,42.6,41.78,41.86,2287800,14.21
"2007-01-08",41.83,41.84,41.41,41.65,2028100,14.14
"2007-01-09",41.64,41.89,41.27,41.8,1056800,14.19
"2007-01-10",41.58,41.77,41.39,41.48,1318100,14.08
"2007-01-11",41.47,42.05,41,41.5,1200000,14.09
"2007-01-12",41.44,41.85,41.43,41.65,1230100,14.14
"2007-01-16",41.63,42.02,41.59,41.66,951700,14.15
"2007-01-17",41.53,42.15,41.53,41.91,606700,14.23
"2007-01-18",41.85,42.18,41.77,41.93,886300,14.24
"2007-01-19",41.84,42.31,41.75,42.18,991900,14.32
"2007-01-22",42.11,42.48,42.06,42.23,1196100,14.34
"2007-01-23",42.19,42.94,42.19,42.87,1205700,14.56
"2007-01-24",42.92,43.38,42.85,43.27,834000,14.69
"2007-01-25",43.17,43.3,42.64,42.86,928600,14.55
"2007-01-26",42.86,42.99,42.54,42.91,909900,14.57
"2007-01-29",42.71,42.94,42.54,42.78,948500,14.64
"2007-01-30",42.96,43.1,42.86,43.05,937700,14.73
"2007-01-31",42.92,43.16,42.7,42.91,974100,14.69
"2007-02-01",42.95,43.28,42.85,43.1,1373800,14.75
"2007-02-02",43.08,43.26,43.01,43.05,931600,14.73
"2007-02-05",42.98,43.59,42.81,43.17,1351200,14.77
"2007-02-06",43.18,43.53,43.1,43.28,1283100,14.81
"2007-02-07",43.4,43.68,43.3,43.61,2020300,14.93
"2007-02-08",43.61,43.84,43.58,43.76,1078700,14.98
"2007-02-09",43.74,43.85,43.36,43.52,662500,14.89
"2007-02-12",43.32,43.47,43.1,43.24,1058600,14.8
"2007-02-13",43.27,43.56,43.27,43.55,812100,14.9
"2007-02-14",43.49,43.82,43.45,43.53,925900,14.9
"2007-02-15",43.46,43.52,43.14,43.19,1052900,14.78
"2007-02-16",43.18,43.22,42.89,43.15,2574300,14.77
"2007-02-20",43.05,43.24,42.88,43.11,809600,14.75
"2007-02-21",42.92,43.31,42.8,43.2,675700,14.79
"2007-02-22",43.08,43.37,42.8,43.02,833300,14.72
"2007-02-23",42.82,43.05,42.48,42.72,1191500,14.62
"2007-02-26",42.68,42.92,42.47,42.75,1335900,14.63
"2007-02-27",42.63,42.63,41,42.09,2589100,14.41
"2007-02-28",42.08,42.4,41.66,41.66,2628000,14.26
"2007-03-01",41.66,42.52,41.3,42.16,2188000,14.43
"2007-03-02",41.92,42.2,41.67,41.74,1753300,14.29
"2007-03-05",40.86,41.34,40.1,40.12,2015800,13.73
"2007-03-06",39.8,41.02,39.26,40.87,2194600,13.99
"2007-03-07",41.3,43.37,41.1,42.43,3650500,14.52
"2007-03-08",42.75,43.48,42.06,42.93,1403300,14.69
"2007-03-09",43.08,43.48,42.94,43.07,1055400,14.74
"2007-03-12",43.07,44.26,43.07,44.01,1783000,15.06
"2007-03-13",43.86,44.46,43.62,44.26,2057600,15.15
"2007-03-14",44.21,44.8,44,44.56,2718700,15.25
"2007-03-15",44.53,45.37,44.5,45.06,1206400,15.42
"2007-03-16",45.06,45.39,44.74,44.78,1054000,15.33
"2007-03-19",44.87,45.8,44.87,45.79,1152000,15.67
"2007-03-20",44.52,45.43,44.5,45.41,2442700,15.54
"2007-03-21",45.57,46.18,45.21,46,1059500,15.74
"2007-03-22",46.04,46.33,45.71,45.87,1495800,15.7
"2007-03-23",45.87,46.28,45.85,46.13,1159300,15.79
"2007-03-26",46.23,46.26,45.48,45.71,2373500,15.64
"2007-03-27",45.57,46.15,45.41,45.95,1532600,15.73
"2007-03-28",45.96,46.18,45.51,45.76,1812700,15.66
"2007-03-29",45.89,45.9,45.26,45.57,1725200,15.6
"2007-03-30",45.66,45.75,42,45,2181800,15.4
"2007-04-02",45.02,45.36,44.85,45.29,1452000,15.5
