"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted"
"2007-01-03",17.22,17.78,17.1,17.51,51704800,16.71
"2007-01-04",17.55,17.87,17.3,17.68,33407900,16.87
"2007-01-05",17.62,17.76,17.44,17.64,33785000,16.83
"2007-01-08",17.63,17.93,17.45,17.86,31008500,17.04
"2007-01-09",17.93,17.98,17.65,17.82,31415800,17
"2007-01-10",17.66,17.8,17.55,17.77,27822400,16.95
"2007-01-11",17.79,17.81,17.35,17.39,65360400,16.59
"2007-01-12",17.35,17.55,17.28,17.5,42526200,16.7
"2007-01-16",17.39,17.48,17.26,17.3,35727600,16.51
"2007-01-17",17.29,17.71,17.28,17.52,31397200,16.72
"2007-01-18",17.48,17.52,17.1,17.12,61422900,16.33
"2007-01-19",17.06,17.45,17.01,17.27,28871500,16.48
"2007-01-22",17.25,17.81,16.77,17,52762800,16.22
"2007-01-23",17.01,17.31,17.01,17.12,33048300,16.33
"2007-01-24",17.11,17.29,17.09,17.14,31262300,16.35
"2007-01-25",17.13,17.22,16.93,16.98,35843300,16.2
"2007-01-26",17.04,17.3,17.03,17.15,36012500,16.36
"2007-01-29",17.09,17.3,17.03,17.27,33474900,16.48
"2007-01-30",17.32,17.5,17.09,17.16,42643400,16.37
"2007-01-31",17.11,17.2,16.8,17.16,39754600,16.37
"2007-02-01",17.22,17.34,17.03,17.05,29253200,16.27
"2007-02-02",17.14,17.44,17.11,17.42,41148700,16.62
"2007-02-05",17.35,17.43,17.08,17.16,28501900,16.37
"2007-02-06",17.13,17.19,16.86,17.02,31440000,16.24
"2007-02-07",17.11,17.12,16.85,16.91,45206600,16.13
"2007-02-08",16.87,16.92,16.66,16.71,45775500,15.94
"2007-02-09",16.79,16.94,16.54,16.7,41414600,15.93
"2007-02-12",16.65,16.71,16.51,16.65,31930300,15.89
"2007-02-13",16.71,16.71,16.53,16.62,27438100,15.86
"2007-02-14",16.74,16.94,16.68,16.77,42296000,16
"2007-02-15",16.84,16.92,16.68,16.91,33854600,16.13
"2007-02-16",16.89,16.98,16.7,16.7,34113100,15.93
"2007-02-20",16.69,16.98,16.57,16.98,31922200,16.2
"2007-02-21",16.97,17.28,16.95,17.2,50679200,16.41
"2007-02-22",17.26,17.3,17.01,17.27,32969700,16.48
"2007-02-23",17.24,17.26,16.71,16.82,54187800,16.05
"2007-02-26",16.91,17.02,16,16.82,32757900,16.05
"2007-02-27",16.65,16.8,16.29,16.29,39607000,15.54
"2007-02-28",16.37,16.84,16.31,16.43,47460000,15.68
"2007-03-01",16.11,17.04,15.97,16.77,81590200,16
"2007-03-02",16.63,16.89,16.53,16.71,37306100,15.94
