"","PBI.Open","PBI.High","PBI.Low","PBI.Close","PBI.Volume","PBI.Adjusted"
"2007-01-03",46.4,46.49,45.87,46.37,964700,29.78
"2007-01-04",46.35,46.52,45.89,46.32,1068400,29.75
"2007-01-05",46.34,46.49,46.19,46.4,728900,29.8
"2007-01-08",46.35,47.06,46.25,46.86,1054000,30.1
"2007-01-09",47.15,47.55,47.06,47.39,1176800,30.44
"2007-01-10",47.24,47.95,46.91,47.7,1798700,30.64
"2007-01-11",47.7,48.15,47.7,48.08,1323500,30.88
"2007-01-12",47.93,48,47.69,47.8,573300,30.7
"2007-01-16",47.8,48.37,47.67,48.32,1121000,31.03
"2007-01-17",48.25,48.46,48.06,48.28,1006000,31.01
"2007-01-18",48.27,48.27,47.88,48.06,847300,30.87
"2007-01-19",48.06,48.06,47.69,47.94,625500,30.79
"2007-01-22",47.92,48.18,47.82,47.94,669000,30.79
"2007-01-23",48.05,48.5,47.92,48.31,815900,31.03
"2007-01-24",48.32,48.5,48.06,48.28,696400,31.01
"2007-01-25",48.38,48.43,48.04,48.13,1070300,30.91
"2007-01-26",48.11,48.23,47.33,47.62,828500,30.59
"2007-01-29",47.51,47.75,47.32,47.61,706300,30.58
"2007-01-30",47.72,47.93,47.55,47.9,464700,30.77
"2007-01-31",47.89,47.97,47.59,47.87,685500,30.75
"2007-02-01",47.98,48.31,47.87,48.09,1145400,30.89
"2007-02-02",48.12,48.3,47.98,48.22,681100,30.97
"2007-02-05",48.2,48.5,47.57,47.8,659800,30.7
"2007-02-06",48.1,48.95,47.9,48.53,1290600,31.17
"2007-02-07",48.51,48.65,47.95,48.5,1819600,31.15
"2007-02-08",48.5,48.6,48.19,48.47,947900,31.13
"2007-02-09",48.47,48.7,48.13,48.34,769200,31.05
"2007-02-12",48.07,48.37,47.69,47.83,830600,30.72
"2007-02-13",47.98,48.1,47.8,48.03,675300,30.85
"2007-02-14",47.82,48.16,47.7,48.08,623700,31.09
"2007-02-15",48.08,48.32,47.73,47.99,505100,31.04
"2007-02-16",47.81,48.19,47.74,47.91,588300,30.98
"2007-02-20",48,48.13,47.81,48.12,565400,31.12
"2007-02-21",48.01,48.12,47.62,47.79,602600,30.91
"2007-02-22",47.9,48.38,47.66,47.86,550700,30.95
"2007-02-23",47.9,48.05,47.48,47.97,840400,31.02
"2007-02-26",48.01,48.38,47.95,48.32,902800,31.25
"2007-02-27",48,48.32,47.49,47.5,1601100,30.72
"2007-02-28",47.5,47.98,47.16,47.71,1345300,30.86
"2007-03-01",47.35,47.73,46.8,47.42,1171900,30.67
"2007-03-02",47.32,47.39,46.62,46.64,1061400,30.16
"2007-03-05",46.48,46.99,46.27,46.49,1159700,30.07
"2007-03-06",46.86,46.92,46.46,46.88,891700,30.32
"2007-03-07",46.8,46.86,46.42,46.42,639700,30.02
"2007-03-08",46.55,46.73,46.16,46.56,794000,30.11
"2007-03-09",46.76,46.8,46.22,46.49,509300,30.07
"2007-03-12",46.42,46.52,46.02,46.36,624800,29.98
"2007-03-13",46.35,46.41,45.71,45.73,1281300,29.57
"2007-03-14",45.73,45.85,44.73,45.44,1183600,29.39
"2007-03-15",45.4,45.59,45.18,45.32,772500,29.31
"2007-03-16",45.57,45.85,44.95,45.18,1244700,29.22
"2007-03-19",45.4,45.55,45.09,45.3,792900,29.3
"2007-03-20",45.3,45.47,45.17,45.37,943800,29.34
"2007-03-21",45.35,46.1,45.2,46.04,1019700,29.78
"2007-03-22",45.17,46.87,45.17,46.07,670500,29.79
"2007-03-23",46.02,46.2,45.93,46.06,502100,29.79
"2007-03-26",45.98,46.17,45.53,46.12,811900,29.83
"2007-03-27",45.9,45.95,45.51,45.64,456700,29.52
"2007-03-28",45.61,45.61,45.11,45.36,603700,29.34
"2007-03-29",44.61,45.52,44.61,45.44,673300,29.39
"2007-03-30",45.46,45.7,45,45.39,761100,29.35
"2007-04-02",45.34,45.55,45.22,45.35,1004200,29.33
"2007-04-03",45.42,45.9,45.42,45.83,788000,29.64
"2007-04-04",45.77,45.94,45.67,45.89,610800,29.68
"2007-04-05",45.86,46.15,45.6,46.12,546200,29.83
"2007-04-09",45.99,46.22,45.81,46.12,372500,29.83
"2007-04-10",46.05,46.32,45.96,46.29,766700,29.94
"2007-04-11",46.37,46.37,45.9,46.12,854200,29.83
"2007-04-12",46.11,46.53,45.97,46.46,714600,30.05
"2007-04-13",46.43,46.78,46.22,46.69,726800,30.2
