"","PCL.Open","PCL.High","PCL.Low","PCL.Close","PCL.Volume","PCL.Adjusted"
"2007-01-03",40,40.4,39.64,39.85,1423100,29.18
"2007-01-04",39.68,39.75,39.02,39.44,898700,28.88
"2007-01-05",39.26,39.29,38.47,38.65,1490000,28.3
"2007-01-08",38.47,38.65,38.15,38.53,952900,28.22
"2007-01-09",38.59,38.86,38.4,38.8,860900,28.41
"2007-01-10",38.65,38.89,38.38,38.89,1123700,28.48
"2007-01-11",38.89,39.5,38.8,39.43,989800,28.88
"2007-01-12",39.49,39.62,39.18,39.6,886800,29
"2007-01-16",39.5,39.8,39.47,39.79,823000,29.14
"2007-01-17",39.8,39.84,39.33,39.57,703100,28.98
"2007-01-18",39.67,39.8,39.33,39.55,576400,28.96
"2007-01-19",39.74,40.22,39.54,40.2,921000,29.44
"2007-01-22",40.5,40.67,40.07,40.16,638800,29.41
"2007-01-23",40.15,40.6,40.15,40.48,536200,29.64
"2007-01-24",40.36,41.09,40.35,41.09,907600,30.09
"2007-01-25",41.1,41.34,40.93,41.11,1085800,30.11
"2007-01-26",41.33,41.35,40.86,41.32,785300,30.26
"2007-01-29",41.44,41.98,41.26,41.93,1197300,30.71
"2007-01-30",40.3,40.98,39.68,40.29,2719300,29.51
"2007-01-31",40.15,40.39,40.1,40.25,919100,29.48
"2007-02-01",40.1,40.25,39.79,40.19,1134100,29.43
"2007-02-02",40.24,40.54,40.12,40.49,907500,29.65
"2007-02-05",40.5,40.69,40.35,40.42,695500,29.6
"2007-02-06",40.57,40.95,40.57,40.85,828300,29.92
"2007-02-07",40.97,41.53,40.84,41.46,1162500,30.36
"2007-02-08",41.36,41.49,40.97,41.31,1292900,30.25
"2007-02-09",41.43,41.48,40.13,40.58,1502600,29.72
"2007-02-12",40.21,40.38,39.58,40.3,1779200,29.51
"2007-02-13",40.3,40.88,40.06,40.87,1105400,29.93
"2007-02-14",40.5,40.8,40.15,40.43,840200,29.92
"2007-02-15",40.5,40.72,40.22,40.71,746500,30.12
"2007-02-16",40.72,40.72,40.34,40.68,779600,30.1
"2007-02-20",40.82,41.16,40.47,41.1,757000,30.41
"2007-02-21",41.24,41.64,41.09,41.36,1133800,30.6
"2007-02-22",41.28,41.38,40.9,41,508500,30.34
"2007-02-23",41.04,41.06,40.5,40.58,638200,30.03
"2007-02-26",40.6,40.71,39.86,40.28,1117600,29.8
"2007-02-27",40.28,40.85,38.64,39.32,1401900,29.09
"2007-02-28",39.41,39.96,39.09,39.66,1477300,29.35
"2007-03-01",39,39.88,38.5,39.31,1510700,29.09
"2007-03-02",39.2,39.5,38.73,38.75,1012300,28.67
"2007-03-05",38.61,38.7,37.73,37.75,1280400,27.93
"2007-03-06",37.91,39.07,37.91,38.82,1172400,28.72
"2007-03-07",38.87,38.96,38.12,38.14,949100,28.22
"2007-03-08",38.56,38.98,38.17,38.32,1192000,28.35
"2007-03-09",38.58,38.75,38.24,38.62,829600,28.58
"2007-03-12",38.62,38.98,38.33,38.9,726800,28.78
"2007-03-13",38.73,38.73,37.44,37.59,1647600,27.81
"2007-03-14",37.72,38.2,37.13,38.07,1370200,28.17
"2007-03-15",38.04,38.45,38.04,38.28,621400,28.32
"2007-03-16",38.38,38.46,37.95,37.96,1031600,28.09
"2007-03-19",38.17,38.78,38.08,38.42,1194400,28.43
"2007-03-20",38.33,38.67,38.15,38.58,766700,28.55
"2007-03-21",38.54,39.41,38.28,39.23,719700,29.03
"2007-03-22",39.4,39.5,38.69,38.83,911400,28.73
"2007-03-23",38.81,39.35,38.75,39.15,978800,28.97
"2007-03-26",39.28,39.29,38.62,39.02,976400,28.87
"2007-03-27",38.77,39.02,38.44,38.61,877000,28.57
"2007-03-28",38.32,38.75,38.02,38.4,1045400,28.41
"2007-03-29",39.27,39.27,38.59,39.06,1658700,28.9
"2007-03-30",39.06,39.44,39.04,39.42,1071400,29.17
"2007-04-02",39.4,40.02,39.31,39.95,880400,29.56
"2007-04-03",39.98,40.35,39.95,40.13,920800,29.69
"2007-04-04",40.07,40.23,39.74,39.9,677000,29.52
"2007-04-05",39.73,39.89,39.43,39.49,562900,29.22
"2007-04-09",39.59,39.87,39.47,39.5,485300,29.23
"2007-04-10",39.5,39.75,39.43,39.61,600700,29.31
"2007-04-11",39.73,39.88,39.16,39.28,783600,29.06
"2007-04-12",39.3,39.31,38.85,39.17,610900,28.98
"2007-04-13",39.24,39.57,39.17,39.57,529300,29.28
"2007-04-16",39.66,39.89,39.55,39.81,437000,29.46
"2007-04-17",39.75,40.38,39.65,40.26,1082400,29.79
"2007-04-18",40.25,40.37,40,40.28,639400,29.8
"2007-04-19",39.45,41.1,39.45,40.11,891400,29.68
"2007-04-20",40.5,40.61,40.1,40.29,1080000,29.81
"2007-04-23",41.16,41.16,40.25,40.54,978400,30
"2007-04-24",40.35,40.68,39.62,40.23,1299500,29.77
"2007-04-25",40.4,40.55,39.95,40.26,632700,29.79
"2007-04-26",40.08,40.54,39.92,40.33,712900,29.84
"2007-04-27",40.33,40.63,40,40.5,826400,29.97
"2007-04-30",40.48,40.49,39.7,39.7,650200,29.38
"2007-05-01",38.82,39.94,38.82,39.78,2089500,29.43
"2007-05-02",39.76,40.36,39.61,40.1,782700,29.67
"2007-05-03",40.25,40.48,40.16,40.25,1118400,29.78
"2007-05-04",40.4,40.51,40.15,40.4,1576500,29.89
"2007-05-07",40.52,40.63,40.35,40.4,568600,29.89
"2007-05-08",40.35,40.6,40.03,40.46,620700,29.94
"2007-05-09",40.6,41.28,40.59,41.22,1030400,30.5
"2007-05-10",41.2,41.34,40.77,40.77,1117600,30.17
"2007-05-11",40.82,41.36,40.81,41.36,808100,30.6
"2007-05-14",41.08,41.23,40.51,40.64,1034800,30.38
"2007-05-15",40.75,40.9,40.26,40.34,1345800,30.16
"2007-05-16",40.36,40.48,39.87,40.05,1550400,29.94
"2007-05-17",39.9,40.01,39.4,39.43,1896400,29.48
"2007-05-18",39.56,39.82,39.25,39.66,1657800,29.65
"2007-05-21",39.6,40.46,39.25,40.06,1321900,29.95
"2007-05-22",40.3,40.78,39.89,40.61,1732400,30.36
"2007-05-23",40.56,40.82,40.21,40.27,1336000,30.1
"2007-05-24",40.27,40.45,39.54,39.87,1800700,29.8
"2007-05-25",40.19,40.5,39.93,40.12,689800,29.99
"2007-05-29",40.19,41.36,40.19,40.84,955800,30.53
"2007-05-30",40.72,41.78,40.65,41.75,1250300,31.21
"2007-05-31",41.91,42.06,41.54,41.8,1303800,31.25
"2007-06-01",42.07,42.09,41.52,41.63,969500,31.12
