"","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume","PEG.Adjusted"
"2010-03-10",30.6,30.7,30.29,30.55,3263100,25.62
"2010-03-11",30.43,30.71,30.41,30.67,2532000,25.72
"2010-03-15",30.52,30.85,30.52,30.85,2157300,25.87
"2010-03-18",30.94,31.2,30.71,30.99,2269300,25.99
"2010-03-19",31.3,31.34,30.65,30.92,3568900,25.93
"2010-03-22",30.8,30.92,30.5,30.59,2010200,25.65
"2010-03-23",30.59,30.95,30.36,30.53,2770200,25.6
"2010-03-24",30.45,30.63,30.07,30.09,3384400,25.23
"2010-03-25",30.09,30.21,29.18,29.35,5960600,24.61
"2010-03-26",29.44,29.45,29.04,29.11,3177700,24.41
"2010-03-29",29.31,29.51,29.15,29.49,2689700,24.73
"2010-03-30",29.6,29.63,29.36,29.45,2444400,24.7
"2010-03-31",29.58,29.64,29.11,29.52,3954100,24.76
"2010-04-01",29.66,30.15,29.66,30.12,3110800,25.26
"2010-04-05",30.25,30.87,30.23,30.82,3317600,25.85
"2010-04-06",30.69,31.15,30.56,31.1,3975800,26.08
"2010-04-07",30.97,30.97,30.4,30.68,5440700,25.73
"2010-04-08",30.62,30.62,30.23,30.48,2602200,25.56
"2010-04-09",30.52,30.71,30.22,30.69,2686600,25.74
"2010-04-12",30.99,31.06,30.81,31.03,2048000,26.02
"2010-04-13",31.06,31.13,30.66,30.85,2521900,25.87
"2010-04-14",30.83,31.23,30.61,31.22,3131700,26.18
"2010-04-15",31.12,31.18,30.7,30.7,3118200,25.75
"2010-04-16",30.65,30.8,30.16,30.25,2908600,25.37
"2010-04-19",30.12,30.39,30.07,30.26,1610200,25.38
"2010-04-20",30.46,30.81,30.37,30.79,2127000,25.82
"2010-04-21",30.75,30.86,30.59,30.83,1747000,25.86
"2010-04-22",30.84,31.12,30.62,31.07,2338700,26.06
"2010-04-23",31.02,31.55,30.85,31.55,2064300,26.46
"2010-04-26",31.47,31.64,31.33,31.39,2478900,26.33
"2010-04-27",31.31,31.55,31.01,31.07,3475200,26.06
"2010-04-28",31.29,31.53,30.77,31.46,3518700,26.38
"2010-04-29",31.6,32.07,31.6,31.84,2678900,26.7
"2010-04-30",31.94,32.65,31.89,32.13,4937400,26.95
"2010-05-03",32.33,32.87,32.27,32.77,2559700,27.48
"2010-05-04",32.51,32.58,31.95,32.15,2741900,26.96
"2010-05-05",31.77,32.21,31.57,31.89,3174900,26.74
"2010-05-06",31.84,31.97,29.61,31,3644400,26
"2010-05-07",31.01,31.38,30.26,30.7,4797900,25.75
"2010-05-10",31.71,32.08,31.17,31.42,6063500,26.35
"2010-05-11",31.13,31.78,31.13,31.48,4001900,26.4
"2010-05-12",31.46,32.2,31.32,32.15,3551900,26.96
"2010-05-13",32.41,32.72,32,32.1,3647400,26.92
"2010-05-14",31.94,32.19,31.47,31.81,3619300,26.68
"2010-05-17",32.08,32.24,31.33,31.87,5231000,26.73
"2010-05-18",32.01,32.19,31.5,31.57,3671200,26.48
"2010-05-19",31.49,31.62,31.05,31.43,3681400,26.36
"2010-05-20",30.84,30.97,30.35,30.49,7311000,25.57
"2010-05-21",30.07,30.38,29.76,30.26,4815300,25.38
"2010-05-24",30.45,30.72,30.07,30.13,2486900,25.27
"2010-05-25",29.53,30.05,29.02,30.05,4362600,25.2
"2010-05-26",30.3,30.41,29.75,29.89,2880100,25.07
"2010-05-27",30.27,30.62,30.08,30.6,2347000,25.66
"2010-05-28",30.61,30.96,30.49,30.63,2633600,25.69
"2010-06-01",30.44,30.84,30.12,30.28,3910900,25.39
"2010-06-02",30.48,31.13,30.17,31.12,4898400,26.1
"2010-06-03",31.15,31.51,31.11,31.49,2023500,26.41
"2010-06-04",31.08,31.51,30.55,30.67,3386000,25.72
"2010-06-07",30.46,31.12,30.21,30.81,4980500,26.13
"2010-06-08",30.84,31.61,30.65,31.58,4824300,26.78
"2010-06-09",31.8,32.4,31.46,31.86,6026100,27.02
"2010-06-10",32.22,32.45,32.05,32.24,3392400,27.34
"2010-06-11",31.92,32.15,31.57,32.11,2917200,27.23
"2010-06-14",32.37,32.75,32.26,32.32,2706800,27.41
"2010-06-15",32.59,33.12,32.33,33.12,2682300,28.09
"2010-06-16",32.88,33.33,32.54,33.2,2628500,28.16
"2010-06-17",33.22,33.73,32.97,33.64,3113300,28.53
"2010-06-18",33.61,33.8,33.36,33.62,3351300,28.51
"2010-06-21",34.1,34.21,32.95,33.08,4271100,28.06
"2010-06-22",33.05,33.36,32.08,32.19,5555200,27.3
"2010-06-23",32.1,32.18,31.68,31.71,4480800,26.89
"2010-06-24",31.67,32.34,31.63,31.82,3122700,26.99
"2010-06-25",31.91,32.43,31.36,32.4,6229800,27.48
"2010-06-28",32.47,32.63,32.04,32.43,2779500,27.5
"2010-06-29",32.09,32.11,31.48,31.61,4139500,26.81
"2010-06-30",31.76,32.06,31.3,31.33,4804100,26.57
"2010-07-01",31.43,31.47,30.92,31.15,3695100,26.42
"2010-07-02",31.15,31.63,31.13,31.38,2860400,26.61
"2010-07-06",31.54,31.85,31.36,31.71,4111400,26.89
"2010-07-07",31.72,32.85,31.64,32.72,6629900,27.75
"2010-07-08",32.84,33.19,32.84,33.16,3598200,28.12
"2010-07-09",33.04,33.43,32.92,33.34,2794700,28.28
"2010-07-12",33.31,33.58,33.13,33.45,2576600,28.37
"2010-07-13",33.71,33.83,33.32,33.47,3269600,28.39
"2010-07-14",33.31,33.63,33.12,33.52,2047800,28.43
"2010-07-15",33.27,33.86,33.24,33.74,2137800,28.62
"2010-07-16",33.61,33.71,32.96,32.97,3187400,27.96
"2010-07-19",33.16,33.54,32.98,33.3,2418900,28.24
"2010-07-20",33.1,33.53,32.68,33.48,3059400,28.4
"2010-07-21",33.58,33.58,32.8,33,2205400,27.99
"2010-07-22",33.31,33.91,33.18,33.69,3581300,28.57
"2010-07-23",33.62,33.84,33.36,33.77,2144500,28.64
"2010-07-26",33.8,34.08,33.69,34.05,2072100,28.88
"2010-07-27",34.17,34.83,34.12,34.78,2720300,29.5
"2010-07-28",34.7,34.93,34.3,34.39,3851800,29.17
"2010-07-29",34.64,34.75,33.49,33.82,4388400,28.68
"2010-07-30",33.31,33.75,32.2,32.9,5140700,27.9
"2010-08-02",33.15,33.34,32.73,33.31,5799500,28.25
"2010-08-03",33.29,33.54,33.03,33.07,2353900,28.05
"2010-08-04",33.09,33.12,32.3,32.9,3977500,27.9
"2010-08-05",32.68,32.75,32.15,32.4,3294400,27.48
"2010-08-06",32.28,32.84,32.2,32.74,3779800,27.77
"2010-08-09",32.75,32.97,32.6,32.67,2599600,27.71
"2010-08-10",32.47,32.78,32.21,32.52,2870400,27.58
"2010-08-11",32.14,32.2,31.72,31.74,2726900,26.92
"2010-08-12",31.48,32.06,31.18,31.56,4236300,26.77
"2010-08-13",31.5,32.07,31.38,31.71,2645600,26.89
"2010-08-16",31.57,31.82,31.3,31.54,2201700,26.75
"2010-08-17",31.78,32.39,31.64,32.09,2635000,27.22
"2010-08-18",32.01,32.32,31.82,32.18,2833100,27.29
"2010-08-19",31.8,32.24,31.5,31.66,2281500,26.85
"2010-08-20",31.43,31.81,31.38,31.73,2326600,26.91
"2010-08-23",31.8,32.36,31.8,32.2,3047700,27.31
"2010-08-24",31.91,32.46,31.91,32.13,3381100,27.25
"2010-08-25",31.69,31.92,31.28,31.75,8832900,26.93
"2010-08-26",31.91,32,31.28,31.39,3413900,26.62
"2010-08-27",31.54,32.15,31.26,32.07,2723000,27.2
"2010-08-30",32.03,32.16,31.66,31.66,2079400,26.85
"2010-08-31",31.63,32.03,31.36,31.96,3960300,27.11
"2010-09-01",32.25,32.84,32.13,32.83,2665800,27.84
"2010-09-02",32.84,32.95,32.46,32.62,2465600,27.67
"2010-09-03",32.7,32.96,32.56,32.93,2371800,27.93
"2010-09-07",32.39,32.74,32.37,32.48,2628700,27.84
"2010-09-08",32.57,32.69,32.03,32.12,1916500,27.53
