"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2007-01-03",26.15,26.42,25.98,26.29,40644800,19.03
"2007-01-04",26.38,26.57,26.29,26.38,32246200,19.09
"2007-01-05",26.55,26.63,26.17,26.3,31353500,19.03
"2007-01-08",26.29,26.42,25.89,26.16,43223500,18.93
"2007-01-09",26.24,26.34,26.04,26.17,31304200,18.94
"2007-01-10",26.1,26.26,26,26.2,34547300,18.96
"2007-01-11",25.78,26.51,25.78,26.46,37242600,19.15
"2007-01-12",26.38,26.81,26.38,26.64,29799900,19.28
"2007-01-16",26.64,26.82,26.51,26.77,31184100,19.37
"2007-01-17",26.7,27.02,26.67,26.89,36409900,19.46
"2007-01-18",26.84,27.27,26.84,27.17,38578800,19.66
"2007-01-19",27.22,27.41,27.12,27.22,33766000,19.7
"2007-01-22",27.23,27.3,26.66,26.95,47968200,19.5
"2007-01-23",26.62,26.67,26.02,26.37,51396800,19.08
"2007-01-24",26.34,26.84,26.27,26.82,37937400,19.41
"2007-01-25",26.82,26.89,26.29,26.36,35079200,19.08
"2007-01-26",26.33,26.35,26,26.29,33066100,19.03
"2007-01-29",26.24,26.4,26,26.06,33820800,18.86
"2007-01-30",26.02,26.16,26,26.1,26400600,18.89
"2007-01-31",26.01,26.31,26,26.24,34682700,18.99
"2007-02-01",26.39,26.69,26.31,26.62,30714900,19.26
"2007-02-02",26.67,26.87,26.61,26.8,35327100,19.39
"2007-02-05",26.73,27,26.66,26.88,38459300,19.45
"2007-02-06",26.77,26.94,26.72,26.83,23959600,19.42
"2007-02-07",26.56,26.68,26.31,26.52,26899300,19.4
"2007-02-08",26.35,26.52,26.33,26.44,21352800,19.34
"2007-02-09",26.41,26.55,26.34,26.38,23959300,19.3
"2007-02-12",26.42,26.47,26.14,26.22,21912000,19.18
"2007-02-13",26.22,26.41,26.21,26.39,23944000,19.31
"2007-02-14",26.32,26.68,26.29,26.58,29519500,19.45
"2007-02-15",26.58,26.58,26.35,26.53,29467600,19.41
