"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2007-01-03",63.72,64.66,63.7,64.54,9717900,52.37
"2007-01-04",64.34,64.5,63.75,64.05,8711400,51.97
"2007-01-05",63.87,64,63.34,63.5,9907900,51.53
"2007-01-08",63.59,63.78,63.23,63.64,11068200,51.64
"2007-01-09",63.39,63.8,63.11,63.48,10823800,51.51
"2007-01-10",63.27,64.33,63.25,64.24,8139400,52.13
"2007-01-11",64.16,64.8,64.1,64.64,6593000,52.45
"2007-01-12",64.4,65,64.4,65,7904200,52.74
"2007-01-16",64.91,65,64.72,65,10397100,52.74
"2007-01-17",65.21,65.73,64.85,65.36,11403700,53.29
"2007-01-18",65.25,65.65,63.68,65.54,8679900,53.44
"2007-01-19",65.69,66.3,65.54,66.09,9241500,53.89
"2007-01-22",65.95,66.03,65.16,65.72,9324800,53.58
"2007-01-23",66,66,65.29,65.64,5763600,53.52
"2007-01-24",65.55,65.74,65.1,65.51,6366500,53.41
"2007-01-25",65.36,65.49,64.68,64.92,6800500,52.93
"2007-01-26",65,65.14,64.5,64.86,6829500,52.88
"2007-01-29",65.23,65.55,64.83,64.88,9458300,52.9
"2007-01-30",64.41,64.79,63.68,64.59,12003400,52.66
"2007-01-31",64.5,65.16,64.1,64.87,8933600,52.89
"2007-02-01",64.9,65.49,64.68,65.34,8122900,53.27
"2007-02-02",65.58,65.64,65.09,65.34,6379400,53.27
"2007-02-05",65.12,65.42,64.93,65.15,6368900,53.12
"2007-02-06",65.15,65.26,64.48,64.59,8342400,52.66
"2007-02-07",64.82,64.95,64.35,64.48,6747400,52.57
"2007-02-08",64.11,64.75,64.1,64.59,5783700,52.66
"2007-02-09",64.59,64.82,64.22,64.43,5252100,52.53
"2007-02-12",64.36,64.59,64.06,64.16,8014100,52.31
"2007-02-13",64.16,64.74,64.06,64.71,8843900,52.76
"2007-02-14",64.85,65.07,64.62,64.88,5969000,52.9
"2007-02-15",64.8,65.4,64.8,64.99,5174100,52.99
"2007-02-16",64.89,65.5,64.8,65.07,8158200,53.05
"2007-02-20",64.75,65.07,64.36,64.88,9201400,52.9
"2007-02-21",64.75,64.99,64.32,64.69,5655600,52.74
"2007-02-22",64.48,64.73,64.31,64.71,6321700,52.76
"2007-02-23",64.78,64.93,64.46,64.82,5536700,52.85
"2007-02-26",64.66,64.99,64.32,64.44,6545300,52.54
"2007-02-27",64.31,64.73,61.25,61.25,16527200,49.94
"2007-02-28",62.5,63.77,62.25,63.49,17275300,51.77
"2007-03-01",62.75,64.12,62.75,63.68,11245000,51.92
"2007-03-02",63.35,63.71,62.7,63.16,9275000,51.5
"2007-03-05",62.84,63.6,62.66,62.79,9904800,51.2
"2007-03-06",63,63.07,62.45,62.94,11971600,51.32
"2007-03-07",62.8,63.05,62.02,62.08,10622400,50.62
"2007-03-08",62.29,62.48,61.87,62.31,8996800,50.8
"2007-03-09",62.4,62.7,62,62.16,9194400,50.68
"2007-03-12",62.09,62.4,61.98,62.09,5979700,50.62
"2007-03-13",61.75,62.12,61.14,61.17,11281200,49.87
"2007-03-14",61.35,61.59,60.42,61.36,10522000,50.03
"2007-03-15",61.56,62.05,61.25,61.91,12711000,50.48
"2007-03-16",62.14,62.16,61.48,61.61,12357900,50.23
"2007-03-19",61.72,62.15,61.71,61.98,5646600,50.54
"2007-03-20",61.98,62.34,61.8,62.28,6516400,50.78
"2007-03-21",62.34,63,62.15,62.96,8562700,51.33
"2007-03-22",63.5,63.9,63.2,63.85,14690800,52.06
"2007-03-23",63.53,63.98,63.45,63.8,7081600,52.02
"2007-03-26",63.6,63.92,63.27,63.9,7491800,52.1
"2007-03-27",63.55,63.76,63.16,63.27,8039100,51.59
"2007-03-28",63.48,63.48,62.66,63.01,7296800,51.38
"2007-03-29",63.49,63.5,62.9,63.26,5366300,51.58
"2007-03-30",63.11,63.4,62,63.16,8527800,51.5
"2007-04-02",63.22,63.35,62.65,63.02,6484000,51.38
"2007-04-03",63.22,63.44,62.74,62.9,11410000,51.29
"2007-04-04",63.1,63.25,62.85,63.05,9728200,51.41
"2007-04-05",62.81,63.18,62.81,63,6453000,51.37
"2007-04-09",63.03,63.4,62.82,63.26,7690700,51.58
"2007-04-10",63.24,63.54,63.11,63.21,6554400,51.54
"2007-04-11",63.21,63.22,62.75,63.04,9100200,51.4
"2007-04-12",63.03,63.59,62.9,63.52,7570100,51.79
"2007-04-13",63.52,63.52,63.14,63.38,6548000,51.68
"2007-04-16",63.5,63.8,63.29,63.73,8574400,51.96
"2007-04-17",63.58,64.08,63.53,63.9,12344700,52.1
"2007-04-18",63.65,63.9,63.39,63.76,8303800,51.99
"2007-04-19",63.77,64.19,63.5,63.62,8840500,51.87
"2007-04-20",63.99,64,63.49,63.8,18753200,52.02
"2007-04-23",63.8,64,63.55,63.63,6754000,51.88
"2007-04-24",63.48,63.74,62.77,63.73,10107400,51.96
"2007-04-25",63.35,63.75,63.33,63.53,7323400,52.09
