"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2007-01-03",24.5,24.75,24.07,24.21,3855600,18.4
"2007-01-04",24.27,24.36,24.05,24.23,3071000,18.41
"2007-01-05",24.15,24.16,23.6,23.75,2676800,18.05
"2007-01-08",23.78,23.91,23.54,23.91,2389200,18.17
"2007-01-09",24,24,23.44,23.5,2614000,17.86
"2007-01-10",23.48,23.6,23.4,23.44,2046700,17.81
"2007-01-11",23.38,23.42,23.13,23.2,4182600,17.63
"2007-01-12",23.08,23.49,23.05,23.4,3325700,17.78
"2007-01-16",23.5,23.7,23.35,23.38,2658200,17.77
"2007-01-17",23.75,23.85,23.46,23.55,3529900,17.9
"2007-01-18",23.48,23.6,23.09,23.49,4050600,17.85
"2007-01-19",23.6,23.66,23.17,23.28,3281700,17.69
"2007-01-22",23.17,23.3,22.9,23.05,2918600,17.52
"2007-01-23",22.99,23.37,22.95,23.28,2556700,17.69
"2007-01-24",23.24,23.35,23.15,23.35,2443500,17.74
"2007-01-25",23.35,23.48,23.3,23.42,4381500,17.8
"2007-01-26",23.41,23.54,23.27,23.43,3472900,17.8
"2007-01-29",23.42,23.9,23.42,23.52,3571900,17.87
"2007-01-30",23.56,23.59,23.22,23.25,3089900,17.67
"2007-01-31",23.16,23.27,22.92,23.19,4103200,17.62
"2007-02-01",23.34,23.76,23.24,23.67,5030800,17.99
"2007-02-02",23.62,23.69,23.53,23.57,3319400,17.91
"2007-02-05",23.49,23.72,23.45,23.63,3331400,17.96
"2007-02-06",23.6,23.76,23.6,23.67,3300100,17.99
"2007-02-07",23.66,23.75,23.54,23.56,2673600,17.9
"2007-02-08",23.59,23.68,23.46,23.49,2591800,17.85
"2007-02-09",23.5,23.6,23.23,23.32,1541000,17.72
"2007-02-12",23.31,23.45,23,23.07,1864900,17.53
"2007-02-13",23.34,23.36,23.08,23.25,2228700,17.67
"2007-02-14",23.37,23.52,23.18,23.35,3297300,17.74
"2007-02-15",23.35,23.51,23.35,23.42,2153600,17.8
"2007-02-16",23.32,23.42,23.2,23.28,2191700,17.69
"2007-02-20",23.07,23.22,23.04,23.08,3251200,17.54
"2007-02-21",23.02,23.44,23.01,23.36,3545600,17.75
"2007-02-22",23.43,23.52,23.29,23.4,2271000,17.78
"2007-02-23",23.34,23.37,23.12,23.28,1996400,17.69
"2007-02-26",23.3,23.38,23.14,23.18,3773300,17.61
"2007-02-27",23.17,23.28,22.51,22.66,6923900,17.22
"2007-02-28",22.76,23,22.6,22.94,6840100,17.43
"2007-03-01",22.73,23.09,22.55,23,5319000,17.48
"2007-03-02",22.88,22.99,22.66,22.74,3857100,17.28
"2007-03-05",22.58,22.78,22.45,22.48,2982700,17.08
"2007-03-06",22.63,22.72,22.43,22.61,3019900,17.18
"2007-03-07",22.5,22.61,22.3,22.34,3659300,16.98
"2007-03-08",22.48,22.58,22.36,22.45,3117300,17.06
"2007-03-09",22.54,22.58,22.35,22.45,1361200,17.06
"2007-03-12",22.36,22.49,22.16,22.41,2366600,17.03
"2007-03-13",22.23,22.28,21.76,21.78,3233200,16.55
"2007-03-14",21.58,21.72,21.15,21.28,9841600,16.17
"2007-03-15",21.28,21.35,20.91,20.99,9589000,15.95
"2007-03-16",21,21.19,20.92,21.16,9987200,16.08
"2007-03-19",21.13,21.26,21.1,21.19,5093100,16.1
"2007-03-20",21.14,21.73,21.12,21.6,6099000,16.41
"2007-03-21",21.52,21.94,21.52,21.9,4573200,16.64
"2007-03-22",21.94,22.05,21.79,21.82,4215000,16.58
"2007-03-23",21.75,22.26,21.73,22.11,3864500,16.8
"2007-03-26",22.12,22.14,21.72,22.1,3590900,16.79
"2007-03-27",21.95,22.03,21.83,21.96,2635000,16.69
"2007-03-28",21.83,22.04,21.69,21.71,3148200,16.5
"2007-03-29",21.92,21.99,21.66,21.81,3870700,16.57
"2007-03-30",21.79,22.01,21.6,21.82,3798700,16.58
"2007-04-02",21.86,21.9,21.55,21.61,3216800,16.42
"2007-04-03",21.63,21.85,21.6,21.85,2888000,16.6
"2007-04-04",21.74,21.91,21.7,21.88,2826400,16.63
"2007-04-05",21.89,22.05,21.8,21.96,2158000,16.69
"2007-04-09",22,22.05,21.66,21.69,3415700,16.48
"2007-04-10",21.74,21.88,21.68,21.8,2627000,16.57
"2007-04-11",22.7,23,21.97,22.73,10331500,17.27
