"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2007-01-03",77.22,77.87,76.26,76.81,1495600,45.2
"2007-01-04",76.51,76.65,75.69,76.19,1411400,44.84
"2007-01-05",77.1,77.62,76.21,76.38,2350500,44.95
"2007-01-08",76.18,76.98,75.62,76.81,1454000,45.2
"2007-01-09",76.6,77.41,76.03,77.2,1530900,45.43
"2007-01-10",76.64,77.27,76.35,77.25,1334400,45.46
"2007-01-11",77.46,77.91,77.07,77.79,1659300,45.78
"2007-01-12",77.6,78.57,77.38,78.1,1027400,45.96
"2007-01-16",78.1,78.59,77.6,78.37,2557600,46.12
"2007-01-17",81.85,84.65,81.11,81.33,7300000,47.86
"2007-01-18",79.63,81.45,79.34,80.96,3260100,47.64
"2007-01-19",80.94,81.96,80.5,81.85,1959200,48.17
"2007-01-22",82.22,82.22,80.45,81.01,2363600,47.67
"2007-01-23",81.3,83,81.3,82.92,1751000,48.8
"2007-01-24",83.18,83.18,81.94,82.56,1798800,48.59
"2007-01-25",82.31,82.78,81.47,81.58,1405400,48.01
"2007-01-26",82.14,82.68,81.16,81.62,1647200,48.03
"2007-01-29",81.34,81.99,81.22,81.65,1287000,48.05
"2007-01-30",81.7,82.21,81.37,81.67,1490100,48.06
"2007-01-31",81.35,82.76,81.22,82.76,1167400,48.7
"2007-02-01",83.46,85.1,82.92,84.69,1984200,49.84
"2007-02-02",84.58,85.5,84.33,85.26,1771000,50.17
"2007-02-05",84.86,85.61,84.3,85.37,2465200,50.24
"2007-02-06",84.5,84.75,83.2,83.92,2016900,49.39
"2007-02-07",84.31,85.05,84.1,84.82,1322700,49.92
"2007-02-08",84.44,84.68,83.64,84.18,1111800,49.54
"2007-02-09",84.37,84.96,82.94,83.32,1042800,49.03
"2007-02-12",83.4,83.9,82.75,83.12,1035300,48.92
"2007-02-13",83.09,83.69,82.81,83.09,1198400,49.05
"2007-02-14",83.49,84.82,83.44,84.81,986100,50.07
"2007-02-15",84.67,85.62,84.62,85.52,1249000,50.49
"2007-02-16",85.23,85.65,85.02,85.56,1140900,50.51
"2007-02-20",85.7,86.62,85.04,86.54,1346800,51.09
"2007-02-21",86.06,86.66,85.73,86.55,977600,51.09
"2007-02-22",86.94,87,86.15,86.5,1215300,51.06
"2007-02-23",86.25,88.19,86.2,87.78,1816000,51.82
"2007-02-26",88.03,88.16,86.62,86.75,1352100,51.21
"2007-02-27",85.5,85.5,81.81,82.39,1858200,48.64
"2007-02-28",82.39,83.46,81.89,82.37,1814700,48.63
"2007-03-01",81.07,83.02,80.35,82.88,1830400,48.93
"2007-03-02",82.4,83.13,81.99,82.52,1759500,48.71
"2007-03-05",81.8,82.95,81.75,81.83,1532700,48.31
"2007-03-06",82.33,83.34,81.65,82.94,1470900,48.96
"2007-03-07",82.69,83.38,82.43,82.72,1133800,48.83
"2007-03-08",83.3,83.71,82.82,82.96,1249400,48.97
"2007-03-09",83.35,84.88,83.35,84.07,1721600,49.63
"2007-03-12",84,84.22,83.32,83.63,1249000,49.37
"2007-03-13",82.95,83.35,81.85,82,1663600,48.41
"2007-03-14",82.33,82.77,81.15,82.37,1561400,48.63
"2007-03-15",82.16,82.44,81.78,82.29,1389800,48.58
"2007-03-16",82.44,83.05,81.86,82.41,1203400,48.65
"2007-03-19",83.1,83.87,83,83.68,717600,49.4
"2007-03-20",83.68,85.48,83.68,85.08,1434000,50.23
"2007-03-21",85.16,86.91,85,86.66,1411400,51.16
"2007-03-22",86.62,87,86.04,86.54,1241100,51.09
"2007-03-23",86.4,87.14,86.37,86.85,1052100,51.27
"2007-03-26",86.6,86.73,85.78,86.19,1293400,50.88
"2007-03-27",86.08,86.41,85.21,86.13,1715000,50.85
"2007-03-28",86.41,86.78,85.51,85.73,1080000,50.61
"2007-03-29",86.56,86.89,85.53,85.85,1062300,50.68
"2007-03-30",85.86,87.39,85.86,86.31,1261400,50.95
"2007-04-02",86.3,86.7,85.54,86.42,965000,51.02
"2007-04-03",86.4,87.72,86.4,87.72,1020400,51.78
"2007-04-04",87.6,88.65,87.37,88.1,1570000,52.01
"2007-04-05",87.58,87.94,86.93,87.62,1011600,51.73
"2007-04-09",87.87,88.36,87.25,87.64,1013000,51.74
"2007-04-10",87.73,88.02,87.09,87.52,1444000,51.67
"2007-04-11",87.37,87.76,86.81,87.75,1261200,51.8
"2007-04-12",87.31,88.19,87.15,88,2220400,51.95
"2007-04-13",88.26,88.31,87.37,87.84,1168400,51.86
"2007-04-16",88.33,89.59,88.25,89.59,1163400,52.89
"2007-04-17",89.48,90.28,89.09,90.03,1168000,53.15
"2007-04-18",89.6,90.03,89,89.73,856800,52.97
"2007-04-19",89.99,89.99,88.8,89.13,765000,52.62
"2007-04-20",89.99,90.39,89.65,90.06,1125900,53.17
"2007-04-23",90.86,92.36,90.56,91.65,1419900,54.1
"2007-04-24",93.79,94,90.11,90.11,2301400,53.2
"2007-04-25",90.47,91.2,89.5,89.94,2657200,53.09
"2007-04-26",89.21,90.72,89.21,90.57,1911400,53.47
"2007-04-27",90.58,92.68,90.52,92.45,1497900,54.58
"2007-04-30",92.53,93.57,92.14,92.14,1959200,54.39
"2007-05-01",92.47,93.39,91.72,93.36,1557400,55.11
"2007-05-02",93.68,95.39,93.41,94.73,1518900,55.92
"2007-05-03",95.19,95.57,94.7,95.32,1006200,56.27
"2007-05-04",95.95,95.95,94.5,94.92,1347300,56.03
"2007-05-07",95.14,95.67,94.67,95.12,724500,56.15
"2007-05-08",94.67,94.83,93.7,94.5,1175400,55.79
"2007-05-09",94.26,96.63,94,96.63,1763700,57.04
"2007-05-10",96.13,96.13,94.42,94.48,1159800,55.77
"2007-05-11",95.12,95.71,94.94,95.65,1162200,56.47
"2007-05-14",95.33,95.8,94.85,95.55,1578800,56.41
"2007-05-15",96,96.75,95,95.7,1410900,56.65
"2007-05-16",96.3,96.3,94.39,95.4,1275600,56.47
"2007-05-17",95.06,95.7,94.62,95.39,1248900,56.47
"2007-05-18",95.46,96.82,94.98,96.82,1706600,57.31
"2007-05-21",96.46,97.51,96.11,96.66,1510200,57.22
"2007-05-22",96.88,97.54,96.77,97.54,1074400,57.74
"2007-05-23",97.54,98.06,97.04,97.15,1245400,57.51
"2007-05-24",97.36,99.15,96.71,96.88,1503800,57.35
"2007-05-25",96.58,98.66,96.58,98.52,1170900,58.32
"2007-05-29",98.92,100.12,98.87,100.12,1765800,59.27
"2007-05-30",99.39,101,99.12,100.95,1176200,59.76
"2007-05-31",101.11,101.68,100.62,101.36,1582800,60
"2007-06-01",101.36,102.74,101.36,102.59,1286100,60.73
"2007-06-04",103.43,103.43,101.45,102.41,836000,60.62
"2007-06-05",102.36,103.1,101.47,102.22,1104600,60.51
"2007-06-06",100,100.85,98.53,98.93,2311800,58.56
"2007-06-07",98.93,98.93,95.82,95.96,2919900,56.8
"2007-06-08",95.86,97.26,95.7,97.26,1349400,57.57
"2007-06-11",96.96,98.29,96.61,97.9,1182000,57.95
"2007-06-12",97.33,98.37,96.51,97.63,1438600,57.79
"2007-06-13",98.07,99.72,97.74,99.72,1238600,59.03
"2007-06-14",99.84,100.74,99.56,99.93,1036200,59.15
"2007-06-15",100.28,100.93,99.77,100.06,1811800,59.23
"2007-06-18",100.1,100.51,99.79,100.22,903300,59.32
"2007-06-19",100.24,101.33,99.29,101.23,1110300,59.92
"2007-06-20",101.23,102.83,100.49,100.49,1245400,59.48
"2007-06-21",100.5,100.58,99.4,100.2,1126000,59.31
"2007-06-22",99.44,100.2,98.7,99.21,1736600,58.73
"2007-06-25",98.88,99.75,98.16,98.53,1048200,58.32
"2007-06-26",99,99.02,97.35,97.97,1313200,57.99
"2007-06-27",97.21,97.78,96.17,97.3,2037000,57.6
"2007-06-28",97.05,98.62,96.87,97.72,837800,57.84
"2007-06-29",97.95,99.34,97.26,97.91,1156200,57.96
"2007-07-02",98.39,100.04,98.21,99.65,977600,58.99
"2007-07-03",100.04,100.36,99.06,99.33,411400,58.8
"2007-07-05",98.95,99.14,98.32,99.14,864600,58.69
"2007-07-06",99.59,99.95,98.46,99.67,416400,59
"2007-07-09",99.73,101.01,99.58,100.63,857700,59.57
"2007-07-10",100.63,100.95,99.54,99.54,1314200,58.92
"2007-07-11",99.47,100.85,98.93,100.85,1349700,59.7
"2007-07-12",100.76,104.15,100.76,104.15,1374800,61.65
"2007-07-13",104.15,105.25,102.86,104.7,1452800,61.98
"2007-07-16",105.1,105.25,103.36,104.94,1104400,62.12
"2007-07-17",105.16,106.47,104.88,105.87,1906600,62.67
"2007-07-18",106.39,107.02,104.8,106.06,1673000,62.78
"2007-07-19",106.66,107.58,106.52,106.89,1207200,63.27
"2007-07-20",105.39,105.51,102.18,102.95,2048100,60.94
"2007-07-23",103.5,104.83,103.39,104.43,1427800,61.82
"2007-07-24",104.66,105.03,102.51,102.75,1450400,60.82
"2007-07-25",103,103.38,100.31,101.57,1652700,60.12
"2007-07-26",102.34,102.34,98.78,100.09,2352800,59.25
"2007-07-27",99.5,101.3,98.56,98.63,2027200,58.38
"2007-07-30",98.7,100.75,98.11,100.28,1484600,59.36
"2007-07-31",99.71,101.81,98.68,98.68,1648400,58.41
"2007-08-01",98.7,100.12,96.63,99.59,2714700,58.95
"2007-08-02",100.55,101.87,99.93,101.3,1843400,59.96
"2007-08-03",101.75,102,99.5,99.5,2371600,58.9
"2007-08-06",100.35,101.48,99.04,101.44,1747000,60.05
"2007-08-07",100.9,100.95,97.81,99.43,2262800,58.86
"2007-08-08",100,100,93.87,96.21,2820600,56.95
"2007-08-09",93,94.61,89.52,92.75,3888300,54.9
"2007-08-10",93.53,96,90.62,95.57,3757200,56.57
"2007-08-13",95.73,100.05,95.06,95.17,2142900,56.34
"2007-08-14",95.5,95.6,92.89,92.89,2203800,54.99
"2007-08-15",92.79,94.32,91.27,91.4,1521400,54.1
"2007-08-16",91.19,92.17,87.28,90.48,2173400,53.56
