"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume","PHM.Adjusted"
"2007-01-03",33.13,33.35,32.03,32.37,2892000,31.32
"2007-01-04",32.37,32.47,31.73,31.91,2982000,30.87
"2007-01-05",31.72,32.12,31.55,31.94,2011400,30.9
"2007-01-08",32.01,32.01,31.03,31.47,2921900,30.45
"2007-01-09",31.52,31.72,31.18,31.31,2409100,30.29
"2007-01-10",31.31,31.6,31.08,31.37,1487800,30.35
"2007-01-11",31.37,32.09,31.32,31.87,1833700,30.84
"2007-01-12",31.87,32.35,31.85,32.06,1576500,31.02
"2007-01-16",32.06,32.48,31.24,31.5,3160400,30.48
"2007-01-17",31.74,32.9,31.45,32.81,3981600,31.75
"2007-01-18",32.97,33.55,32.88,32.9,2528800,31.83
"2007-01-19",33.15,34.25,32.78,33.96,3691800,32.86
"2007-01-22",33.96,34.17,33.34,33.64,2171400,32.55
"2007-01-23",33.89,34.9,33.82,34.15,2894800,33.04
"2007-01-24",34.18,34.66,33.5,34.2,2329300,33.09
"2007-01-25",34.1,34.1,32.78,33.07,2493800,32
"2007-01-26",33.4,33.5,32.3,32.54,2121000,31.48
"2007-01-29",32.8,33.2,32.47,32.79,1359700,31.73
"2007-01-30",32.79,32.97,32.54,32.79,1326900,31.73
"2007-01-31",32.9,34.69,32.89,34.34,4145600,33.23
"2007-02-01",34.5,35.56,33.78,33.92,4983000,32.82
"2007-02-02",33.97,35.46,33.79,35.1,4271400,33.96
"2007-02-05",35.11,35.11,34.07,34.4,3261900,33.28
"2007-02-06",34.4,34.58,33.84,34.2,2103900,33.09
"2007-02-07",34,34.26,33.54,33.81,1768500,32.71
"2007-02-08",33.78,33.78,32.74,33.01,2938300,31.94
"2007-02-09",33.63,33.66,31.91,32.2,2817000,31.16
"2007-02-12",32.2,32.39,31.57,31.88,2384500,30.85
"2007-02-13",32.08,32.42,31.85,32.19,2297000,31.15
"2007-02-14",32.18,32.74,31.98,32.34,1861300,31.29
"2007-02-15",32.34,32.89,32.32,32.59,2647400,31.53
"2007-02-16",32.5,32.5,31.76,32.34,1579900,31.29
"2007-02-20",32.33,32.97,32.22,32.43,1715900,31.38
"2007-02-21",32.26,32.26,31.49,31.94,2179500,30.9
"2007-02-22",32.11,32.44,31.22,31.59,2513500,30.56
"2007-02-23",32.01,32.01,31.01,31.18,2772400,30.17
"2007-02-26",31.05,31.48,30.97,31.22,2347100,30.21
"2007-02-27",30.69,30.69,29.68,29.93,3509000,28.96
"2007-02-28",29.99,30.2,29.31,29.56,3721800,28.6
"2007-03-01",29.31,30.37,28.69,30.05,3862400,29.07
"2007-03-02",30.06,30.09,29.34,29.5,2559300,28.54
"2007-03-05",29.25,29.31,28.35,28.4,3621300,27.48
"2007-03-06",28.86,29.13,28.46,28.75,2950600,27.82
"2007-03-07",29,29.25,28.5,28.57,2701800,27.64
"2007-03-08",28.73,29.35,28.71,28.98,2108200,28.04
"2007-03-09",28.94,29.13,28.25,28.76,2534700,27.87
"2007-03-12",28.61,28.62,27.14,27.38,4726000,26.53
"2007-03-13",27.07,27.17,25.51,25.99,6344500,25.18
"2007-03-14",26.36,26.81,25.66,26.52,5199900,25.69
"2007-03-15",26.6,27.08,26.39,26.63,2677300,25.8
"2007-03-16",26.79,27.1,26.15,26.31,2943900,25.49
"2007-03-19",26.56,26.9,26.27,26.43,2527600,25.61
"2007-03-20",26.57,26.94,26.05,26.62,3263900,25.79
"2007-03-21",26.66,27.84,26.55,27.75,3543700,26.89
"2007-03-22",28.2,28.29,27.1,27.49,3353600,26.63
"2007-03-23",27.52,28.27,27.28,27.56,2892300,26.7
"2007-03-26",27.5,27.67,26.65,27.25,3399800,26.4
"2007-03-27",27,27.03,26.46,26.79,3462900,25.96
"2007-03-28",26.38,26.38,25.69,26.03,4053000,25.22
"2007-03-29",26.36,26.49,26.11,26.44,4112400,25.62
"2007-03-30",26.44,26.77,26.3,26.46,3106000,25.64
"2007-04-02",26.6,26.7,26.22,26.33,2876400,25.51
"2007-04-03",26.49,27.2,26.35,26.75,2397800,25.92
"2007-04-04",26.78,26.79,26.33,26.53,3582800,25.7
"2007-04-05",26.46,27.09,26.33,26.95,2158000,26.11
"2007-04-09",26.96,27.25,26.55,26.9,2768200,26.06
"2007-04-10",26.7,26.93,26.09,26.25,2904900,25.43
"2007-04-11",26.17,26.18,25.34,25.57,3544200,24.77
"2007-04-12",25.57,26.26,25.16,26.22,3467900,25.4
"2007-04-13",26.16,26.29,25.61,25.76,2564800,24.96
"2007-04-16",25.99,26.2,25.76,26.1,3273300,25.29
"2007-04-17",26.5,26.8,26.4,26.68,2935500,25.85
"2007-04-18",26.68,28.09,26.18,27.95,5230100,27.08
"2007-04-19",27.62,28.46,27.31,27.68,3871800,26.82
"2007-04-20",28.25,28.53,28.07,28.4,4006200,27.52
"2007-04-23",28.4,28.62,27.7,27.96,2505100,27.09
"2007-04-24",28.06,28.17,27.21,27.82,2130500,26.95
"2007-04-25",28.16,28.19,27.38,27.9,2425700,27.03
"2007-04-26",27.9,29.18,27.8,28.82,5178000,27.92
"2007-04-27",28.77,28.89,27.82,27.96,4014700,27.09
"2007-04-30",27.97,28.03,26.8,26.9,3542600,26.06
"2007-05-01",26.91,27.23,26.39,27,3425600,26.16
"2007-05-02",27.06,27.43,26.8,26.91,2687500,26.07
"2007-05-03",27.03,27.59,26.89,26.96,2407500,26.12
"2007-05-04",26.97,27.12,26.18,26.37,2388500,25.55
"2007-05-07",26.57,26.7,25.94,26.05,3365000,25.24
"2007-05-08",25.92,26.23,25.52,26.15,2484500,25.34
"2007-05-09",25.95,26.23,25.54,26.06,2397700,25.25
"2007-05-10",25.78,25.94,25.28,25.61,3727800,24.81
"2007-05-11",25.93,26.34,25.59,25.89,1941100,25.08
"2007-05-14",25.8,26.02,25.48,25.57,1710500,24.77
"2007-05-15",25.56,25.77,25.24,25.51,2017200,24.72
"2007-05-16",25.55,25.84,25.34,25.71,1728400,24.91
"2007-05-17",25.58,26.23,25.53,26.1,2253300,25.29
"2007-05-18",26.21,26.29,25.83,26.04,1514700,25.23
"2007-05-21",26.05,26.88,25.98,26.57,2293300,25.74
"2007-05-22",26.74,27.75,26.53,27.5,3205400,26.64
"2007-05-23",27.86,28.43,27.08,27.18,3871400,26.33
"2007-05-24",27.23,28.6,26.9,27.56,5154700,26.7
"2007-05-25",27.78,28,27.02,27.48,2541500,26.62
"2007-05-29",27.89,27.89,27.19,27.45,2079100,26.6
"2007-05-30",27.23,27.57,27.11,27.43,1860400,26.58
"2007-05-31",27.76,27.9,26.93,27.29,2526600,26.44
"2007-06-01",27.35,27.63,26.87,27.05,3447200,26.21
"2007-06-04",27,27.68,26.91,27.61,2832000,26.75
"2007-06-05",27.55,29.4,27.01,27.12,2280300,26.28
"2007-06-06",27.01,27.01,26.29,26.37,1996600,25.55
"2007-06-07",26.37,26.37,24.97,25.04,4584100,24.26
"2007-06-08",25.05,25.91,24.81,25.85,3895400,25.05
"2007-06-11",25.73,25.73,25,25.39,2573700,24.6
"2007-06-12",25.1,25.14,24.5,24.65,4820500,23.88
"2007-06-13",24.92,25.11,24.53,24.95,2789800,24.17
