"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2007-01-03",22.2,22.36,21.86,21.89,1534600,20.1
"2007-01-04",21.9,22.04,21.47,21.58,1724000,19.82
"2007-01-05",21.5,21.65,21.4,21.56,1294500,19.8
"2007-01-08",21.57,21.62,21.32,21.46,1795000,19.71
"2007-01-09",21.46,21.56,21.32,21.43,628700,19.68
"2007-01-10",21.45,21.45,21.28,21.4,698800,19.65
"2007-01-11",21.39,21.86,21.34,21.85,720900,20.07
"2007-01-12",21.86,22.25,21.85,22.17,762300,20.36
"2007-01-16",22.9,23.24,22.6,22.66,1153900,20.81
"2007-01-17",22.51,22.58,22.17,22.2,932200,20.45
"2007-01-18",22.27,22.43,22.25,22.3,817100,20.54
"2007-01-19",22.38,22.38,22.22,22.31,587500,20.55
"2007-01-22",22.29,22.34,22.06,22.15,537000,20.41
"2007-01-23",22.15,22.43,22.05,22.35,546000,20.59
"2007-01-24",22.35,22.77,22.35,22.67,704300,20.88
"2007-01-25",22.67,23.05,22.5,22.7,1527200,20.91
"2007-01-26",23.35,23.49,22.73,23.1,1791200,21.28
"2007-01-29",23.11,23.49,23.06,23.38,1392100,21.54
"2007-01-30",23.38,23.56,23.34,23.48,583300,21.63
"2007-01-31",23.49,23.94,23.4,23.87,644200,21.99
"2007-02-01",23.87,24.01,23.77,24.01,486900,22.12
"2007-02-02",24.01,24.14,23.91,23.97,1146900,22.08
"2007-02-05",23.97,24.02,23.91,23.99,628500,22.1
"2007-02-06",24.07,24.12,23.97,24,719700,22.11
"2007-02-07",23.99,24.08,23.89,23.99,1102600,22.1
"2007-02-08",23.99,24.1,23.89,24.08,832600,22.18
"2007-02-09",24.15,24.25,24.01,24.16,540500,22.26
"2007-02-12",24.09,24.24,24.01,24.2,594100,22.29
"2007-02-13",24.15,24.25,24.05,24.25,458000,22.34
"2007-02-14",24.25,24.45,24.23,24.42,535300,22.5
"2007-02-15",24.43,24.48,24.32,24.34,434800,22.42
"2007-02-16",24.24,24.44,23.94,24.27,506300,22.36
"2007-02-20",24.2,24.57,24.19,24.54,749400,22.61
"2007-02-21",24.5,24.66,24.37,24.45,634300,22.52
"2007-02-22",24.43,24.58,24.34,24.56,844500,22.63
"2007-02-23",24.59,24.6,24.35,24.54,480100,22.61
"2007-02-26",24.51,24.56,24.24,24.43,402900,22.51
"2007-02-27",24.36,24.37,23.35,23.62,702000,21.76
"2007-02-28",23.63,23.81,23.37,23.74,873400,21.87
"2007-03-01",23.51,23.64,22.77,23.56,797800,21.7
"2007-03-02",23.56,23.6,23.25,23.26,476700,21.43
"2007-03-05",23.22,23.34,22.87,22.87,1246400,21.07
"2007-03-06",22.97,23.2,22.95,23.17,1092100,21.35
"2007-03-07",23.15,23.25,23.07,23.17,830600,21.35
"2007-03-08",23.24,23.33,23.14,23.22,1824900,21.39
"2007-03-09",23.3,23.4,23.18,23.25,812300,21.42
"2007-03-12",23.2,23.38,23.15,23.37,586600,21.53
"2007-03-13",23.3,23.34,23.16,23.19,541300,21.36
"2007-03-14",23.21,23.28,22.91,23.2,420300,21.37
"2007-03-15",23.23,23.35,23.2,23.27,343200,21.44
"2007-03-16",23.28,23.37,23.2,23.25,455500,21.42
"2007-03-19",23.37,23.64,23.32,23.61,389000,21.75
"2007-03-20",23.61,23.61,23.31,23.56,279000,21.7
"2007-03-21",23.49,24.22,23.48,24.13,545800,22.23
"2007-03-22",24.11,24.27,23.88,24.16,662700,22.26
"2007-03-23",24.12,24.41,24,24.38,342000,22.46
"2007-03-26",24.29,24.35,23.99,24.16,394400,22.26
"2007-03-27",24.15,24.2,23.98,24.08,388200,22.18
"2007-03-28",24.05,24.12,23.81,24,335700,22.11
"2007-03-29",24.1,24.12,23.8,23.97,250600,22.08
"2007-03-30",23.98,24.36,23.98,24.22,566200,22.31
"2007-04-02",24.13,24.21,23.86,24.2,526200,22.29
"2007-04-03",24.21,24.49,24.1,24.44,807600,22.52
"2007-04-04",24.45,24.55,24.37,24.54,694000,22.61
"2007-04-05",24.54,24.95,24.43,24.67,1286900,22.73
"2007-04-09",24.67,24.79,24.63,24.68,1665700,22.74
"2007-04-10",24.74,24.85,24.55,24.6,1437000,22.66
"2007-04-11",24.57,24.71,24.4,24.43,648200,22.51
"2007-04-12",24.44,24.69,24.34,24.66,1087300,22.72
"2007-04-13",24.65,25.41,24.56,25.14,1633600,23.16
"2007-04-16",25.12,25.23,25,25.08,869100,23.11
"2007-04-17",25.02,25.25,24.89,24.99,877200,23.02
"2007-04-18",24.93,24.98,24.83,24.95,578900,23.05
"2007-04-19",25.5,25.5,24.58,24.72,748800,22.84
"2007-04-20",24.24,26.44,24.24,24.93,1037200,23.03
"2007-04-23",24.8,24.94,24.77,24.83,603800,22.94
"2007-04-24",24.96,25.04,24.64,24.79,692100,22.9
"2007-04-25",24.8,25.03,24.64,24.95,626900,23.05
"2007-04-26",24.94,25.1,24.89,24.97,546600,23.07
"2007-04-27",24.9,25,24.46,24.49,1172700,22.63
"2007-04-30",24.55,24.55,24.12,24.2,1164500,22.36
"2007-05-01",24.2,24.39,24.15,24.31,1011100,22.46
"2007-05-02",24.33,25.2,24.33,25.02,1590300,23.11
"2007-05-03",25.02,25.24,25,25.11,568700,23.2
"2007-05-04",25.14,25.27,25.11,25.16,472600,23.24
"2007-05-07",25.11,25.43,25.11,25.29,344100,23.36
"2007-05-08",25.29,25.29,25.05,25.19,259400,23.27
"2007-05-09",25.19,25.41,25.15,25.35,470300,23.42
"2007-05-10",25.04,25.2,24.98,25.1,886200,23.19
"2007-05-11",25.22,25.43,25.08,25.4,400600,23.47
"2007-05-14",25.4,25.42,25.08,25.13,434300,23.22
"2007-05-15",25.23,25.49,25.16,25.39,548700,23.46
"2007-05-16",25.38,25.63,25.3,25.63,558900,23.68
"2007-05-17",25.64,25.64,25.19,25.32,497400,23.39
"2007-05-18",25.34,25.58,25.3,25.55,499900,23.6
"2007-05-21",25.52,25.8,25.44,25.54,631600,23.6
"2007-05-22",25.46,25.69,25.31,25.65,466400,23.7
"2007-05-23",25.78,26.21,25.71,26,1471700,24.02
"2007-05-24",26,26.29,25.93,26,795400,24.02
"2007-05-25",26.06,26.11,25.88,26.02,270200,24.04
"2007-05-29",26.01,26.27,26.01,26.1,427700,24.11
"2007-05-30",26.03,26.43,25.89,26.36,632900,24.35
"2007-05-31",26.38,26.6,26.35,26.51,928500,24.49
"2007-06-01",26.51,26.95,26.51,26.91,770900,24.86
"2007-06-04",26.81,27.11,26.79,26.91,1486500,24.86
"2007-06-05",26.8,26.87,26.48,26.68,581000,24.65
"2007-06-06",26.68,26.75,26.44,26.46,801500,24.44
"2007-06-07",26.44,26.61,26.25,26.38,1018400,24.37
"2007-06-08",26.4,26.64,26.31,26.64,609400,24.61
"2007-06-11",26.64,26.64,26.34,26.48,699100,24.46
"2007-06-12",26.37,26.49,26.22,26.36,515500,24.35
"2007-06-13",26.53,26.65,26.2,26.65,508100,24.62
"2007-06-14",26.65,26.79,26.61,26.68,265600,24.65
"2007-06-15",26.9,27.08,26.77,26.83,586000,24.79
"2007-06-18",26.84,26.89,26.65,26.66,466000,24.63
"2007-06-19",26.66,26.75,26.51,26.66,572800,24.63
"2007-06-20",26.7,26.74,26.39,26.39,429800,24.38
"2007-06-21",26.39,26.55,26.32,26.44,774600,24.43
"2007-06-22",26.44,26.44,26.09,26.14,752100,24.15
"2007-06-25",26.15,26.21,25.78,25.88,630000,23.91
"2007-06-26",25.88,26.11,25.79,25.79,817700,23.83
"2007-06-27",25.7,25.78,25.41,25.64,1181700,23.69
"2007-06-28",25.65,25.99,25.57,25.85,805600,23.88
"2007-06-29",25.86,26.25,25.86,26.06,1280700,24.08
"2007-07-02",26.13,26.52,26.07,26.46,1129200,24.44
"2007-07-03",26.47,26.76,26.47,26.71,452400,24.68
"2007-07-05",26.7,27.04,26.65,26.98,779600,24.93
"2007-07-06",26.99,27.37,26.89,27.32,570200,25.24
"2007-07-09",27.3,27.3,26.91,27.02,328900,24.96
"2007-07-10",26.96,27.14,26.85,26.91,677700,24.86
"2007-07-11",26.94,27.27,26.92,27.2,510000,25.13
"2007-07-12",27.32,27.67,27.2,27.67,518400,25.56
"2007-07-13",27.6,27.73,27.36,27.36,558100,25.28
"2007-07-16",27.36,27.52,27.2,27.28,388200,25.2
"2007-07-17",27.23,27.34,27.1,27.28,473300,25.2
"2007-07-18",26.32,27.25,26.32,27.15,629400,25.15
"2007-07-19",27.2,27.3,26.96,26.99,580500,25
"2007-07-20",26.98,27.07,26.76,26.78,713200,24.8
"2007-07-23",26.96,27.1,26.91,27.01,857600,25.02
"2007-07-24",27.16,27.3,26.8,26.85,881100,24.87
"2007-07-25",27.16,27.53,26.92,27.13,1005400,25.13
"2007-07-26",27,27.24,26.2,26.21,1043000,24.28
"2007-07-27",27.72,28.3,26.53,27.95,2968000,25.89
"2007-07-30",28.09,28.52,27.82,28.48,1553800,26.38
"2007-07-31",28.61,28.61,27.79,27.83,1240900,25.78
"2007-08-01",27.85,28.3,27.62,28.1,1182400,26.03
"2007-08-02",27.21,28.56,27.21,28.54,1160100,26.43
"2007-08-03",27.65,28.67,27.65,28.05,1091500,25.98
"2007-08-06",28.04,28.33,27.49,27.96,1383500,25.9
"2007-08-07",27.75,27.8,26.97,27.03,2058900,25.04
"2007-08-08",27.11,27.15,26.6,27.04,2080300,25.05
"2007-08-09",27.93,27.93,25.65,26.83,2505600,24.85
"2007-08-10",26.42,27.52,26.18,27.44,1551000,25.42
"2007-08-13",27.33,27.91,27.05,27.67,942800,25.63
"2007-08-14",27.85,28.43,27.53,27.53,917600,25.5
"2007-08-15",27.57,27.71,26.42,26.52,544300,24.56
"2007-08-16",26.38,26.85,25.95,26.8,1412500,24.82
"2007-08-17",27.15,27.88,27,27.88,1135200,25.82
"2007-08-20",27.87,28.17,27.57,28.02,691600,25.95
"2007-08-21",27.91,28.15,27.64,27.74,720300,25.69
"2007-08-22",27.81,27.94,27.46,27.74,472700,25.69
"2007-08-23",27.84,27.95,27.68,27.74,529300,25.69
"2007-08-24",27.75,27.92,27.7,27.89,523900,25.83
"2007-08-27",27.85,27.86,27.64,27.64,392200,25.6
"2007-08-28",27.58,27.67,27.05,27.06,597300,25.06
"2007-08-29",27.27,27.7,27.27,27.7,857700,25.66
"2007-08-30",27.56,27.95,27.51,27.72,510100,25.67
"2007-08-31",27.75,27.82,27,27.41,1055000,25.39
"2007-09-04",27.27,27.5,27.24,27.48,908300,25.45
"2007-09-05",27.36,27.58,27.18,27.5,987800,25.47
"2007-09-06",27.51,27.93,27.5,27.93,786800,25.87
"2007-09-07",27.55,27.78,27.08,27.12,494100,25.12
"2007-09-10",27.25,27.38,27,27.15,607500,25.15
"2007-09-11",27.21,27.47,27.16,27.42,426800,25.4
"2007-09-12",27.27,27.67,27.03,27.55,625200,25.52
"2007-09-13",27.61,27.81,27.48,27.74,399600,25.69
"2007-09-14",27.55,28.1,27.55,28.06,516500,25.99
"2007-09-17",27.92,28.05,27.82,27.89,583900,25.83
"2007-09-18",27.93,28.65,27.93,28.59,1210600,26.48
"2007-09-19",28.9,29.48,28.75,29.35,861300,27.18
"2007-09-20",29.37,30,29.16,29.3,1434800,27.14
"2007-09-21",29.63,29.63,28.98,28.98,975600,26.84
"2007-09-24",29.07,29.07,28.29,28.48,746600,26.38
"2007-09-25",28.54,28.74,28.31,28.49,752200,26.39
"2007-09-26",28.66,29.18,28.51,29.16,887600,27.01
"2007-09-27",29.33,29.33,28.95,29.1,515500,26.95
"2007-09-28",29.18,29.39,29.12,29.21,596000,27.05
"2007-10-01",29.25,29.99,29.2,29.86,674600,27.66
"2007-10-02",29.99,29.99,27.5,28.91,1762900,26.78
"2007-10-03",28.92,29,28.38,28.61,944500,26.5
"2007-10-04",28.62,28.94,28.62,28.82,479700,26.69
"2007-10-05",29.06,29.26,28.65,29.05,439800,26.91
"2007-10-08",29.15,29.15,28.71,28.94,709300,26.8
"2007-10-09",28.97,29.2,28.71,29.17,556100,27.02
"2007-10-10",29.16,29.24,28.37,28.54,923600,26.43
"2007-10-11",28.62,28.84,28.14,28.21,554700,26.13
"2007-10-12",28.28,28.68,28.23,28.64,405900,26.53
"2007-10-15",28.72,28.78,28.06,28.21,476500,26.13
"2007-10-16",28.25,28.79,28.1,28.66,717800,26.55
"2007-10-17",28.73,28.97,28.47,28.9,804700,26.83
"2007-10-18",28.89,29.3,28.87,29.19,412700,27.1
"2007-10-19",29.16,29.26,28.55,28.55,878300,26.51
"2007-10-22",28.47,28.59,28.24,28.55,595500,26.51
"2007-10-23",28.78,29.52,28.39,29.5,1085300,27.39
"2007-10-24",29.32,29.64,28.73,29.54,1041300,27.43
"2007-10-25",29.47,29.54,28.18,29.27,1154500,27.18
"2007-10-26",29,29.14,27.42,27.82,1688300,25.83
"2007-10-29",27.86,28.05,27.79,27.93,1224600,25.93
"2007-10-30",27.91,27.93,27.79,27.83,910200,25.84
"2007-10-31",27.74,27.89,27.1,27.52,1737600,25.55
"2007-11-01",27.37,27.42,26.7,26.74,902800,24.83
"2007-11-02",27.58,27.6,26.67,26.95,1433900,25.02
"2007-11-05",27,27.83,26.9,27.73,1627100,25.75
"2007-11-06",27.79,28.14,27.49,28.08,1079600,26.07
"2007-11-07",27.87,28.56,27.84,27.84,1137900,25.85
"2007-11-08",27.79,28.17,27.64,28.1,1136400,26.09
"2007-11-09",27.87,28.18,27.53,27.53,784200,25.56
"2007-11-12",27.5,27.61,26.86,26.86,1263600,24.94
"2007-11-13",26.99,27.04,26.44,27.03,1016300,25.1
"2007-11-14",27.09,27.2,26.95,26.98,727000,25.05
"2007-11-15",26.86,27.23,26.65,26.78,594200,24.86
"2007-11-16",26.97,27.13,26.75,27.02,686100,25.09
