"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"2008-03-17",50,52.65,49.24,49.39,1988000,38.54
"2008-03-18",49.85,52,47.75,49.6,8067600,38.7
"2008-03-19",49.6,51,46.9,50.1,3007700,39.09
"2008-03-20",50.2,50.2,48.87,49.15,3007700,38.35
"2008-03-24",49.81,51,49.81,51,1437000,39.79
"2008-03-25",51.4,51.75,50.6,51.75,1100800,40.38
"2008-03-26",51.7,52.47,50.3,50.3,2023200,39.25
"2008-03-27",50.95,52.03,50,50.68,8653300,39.54
"2008-03-28",50.95,52.5,50.56,51.06,9961200,39.84
"2008-03-31",52.4,54.7,50,50.58,19408900,39.46
"2008-04-01",51.1,52.19,49.01,50.58,23322500,39.46
"2008-04-02",51.16,52.07,50.15,51.21,12944700,39.96
"2008-04-03",51,51.5,50.4,51.05,12439100,39.83
"2008-04-04",51.48,51.48,50.8,51.37,6651000,40.08
"2008-04-07",51.6,51.6,50.5,50.67,7099300,39.53
"2008-04-08",50.41,51.01,50.21,50.6,8283300,39.48
"2008-04-09",50.5,50.59,49.15,49.38,8916200,38.53
"2008-04-10",49.49,49.91,48.5,48.66,14321900,37.97
"2008-04-11",48.49,48.89,48.08,48.33,11400700,37.71
"2008-04-14",48.3,48.35,47.43,48,11532500,37.45
"2008-04-15",47.78,48.35,47.78,48.2,9603400,37.61
"2008-04-16",48.41,49.61,48.35,49.46,14837600,38.59
"2008-04-17",49.72,50,49.42,49.85,6660700,38.89
"2008-04-18",50.49,50.94,49.38,49.96,9630700,38.98
"2008-04-21",50.2,50.89,49.13,50.63,6528300,39.5
"2008-04-22",50.6,50.9,49.92,50.07,5504900,39.07
"2008-04-23",51,52.34,50.9,52,13532300,40.57
"2008-04-24",52,52.43,51.5,52,5847500,40.57
"2008-04-25",52.14,52.18,50.75,51.3,11399700,40.03
"2008-04-28",50.94,51.3,50.75,51.07,8382500,39.85
"2008-04-29",51.44,52.2,50.26,52.01,12325300,40.58
"2008-04-30",51.7,52.01,50.91,51.03,8733100,39.81
"2008-05-01",50.83,51.17,50.62,50.75,7120800,39.6
