"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2007-01-03",74.47,75.6,74.44,75.15,1864400,62.76
"2007-01-04",74.91,75.13,74.61,74.96,858200,62.6
"2007-01-05",74.96,74.96,73.86,74.1,900400,61.88
"2007-01-08",74.2,75.01,73.7,74.94,1588500,62.58
"2007-01-09",74.96,75.65,74.57,75.11,2011800,62.72
"2007-01-10",74.56,74.97,74.43,74.97,1265000,63.07
"2007-01-11",75.12,75.46,74.75,74.98,1190500,63.08
"2007-01-12",74.85,74.96,74.6,74.83,1052000,62.95
"2007-01-16",75.02,75.06,74.5,74.76,1197900,62.89
"2007-01-17",74.76,74.99,74.41,74.66,1120100,62.81
"2007-01-18",74.8,75,74.61,74.85,804000,62.97
"2007-01-19",75.15,75.15,74.3,74.82,1241600,62.94
"2007-01-22",74.65,74.65,73.65,73.92,1523300,62.18
"2007-01-23",74.3,74.3,73,73.14,1866600,61.53
"2007-01-24",73.2,73.74,72.91,73.7,1331700,62
"2007-01-25",73.81,73.81,72.32,72.65,1727600,61.12
"2007-01-26",72.68,72.95,72.02,72.9,1393200,61.33
"2007-01-29",72.92,73.12,72.6,72.9,1295900,61.33
"2007-01-30",72.92,73.5,72.8,73.48,857500,61.81
"2007-01-31",73.04,73.92,72.78,73.77,1127100,62.06
"2007-02-01",73.87,74,73.4,73.67,1131300,61.97
"2007-02-02",73.9,74.07,73.78,73.97,738800,62.23
"2007-02-05",74.04,74.37,73.59,74.22,891400,62.44
"2007-02-06",74.31,74.71,74.02,74.29,1109200,62.5
"2007-02-07",74.27,74.93,74,74.77,780300,62.9
"2007-02-08",74.78,74.78,74,74.6,1249800,62.76
"2007-02-09",74.74,75.2,74.33,74.63,1266700,62.78
"2007-02-12",74.75,74.92,74.5,74.87,989100,62.98
"2007-02-13",75,75.76,74.85,75.76,2333100,63.73
"2007-02-14",75.8,76.05,75.51,75.67,1581300,63.66
"2007-02-15",75.72,75.99,75.56,75.61,1250100,63.61
"2007-02-16",75.52,75.87,75.05,75.63,5524400,63.62
"2007-02-20",75.85,76.41,74.24,76.23,1229700,64.13
"2007-02-21",76,76.15,75.73,75.85,1013900,63.81
"2007-02-22",75.91,76.21,75.27,75.7,1226500,63.68
"2007-02-23",75.95,75.95,75.28,75.5,1823500,63.51
"2007-02-26",75.7,75.88,75.36,75.66,1676800,63.65
"2007-02-27",74.54,75.16,73.11,73.35,2178600,61.7
"2007-02-28",74,74.1,72.8,73.29,2173100,61.65
"2007-03-01",72.65,73.61,71.92,73.09,1571300,61.49
"2007-03-02",73.1,73.87,72.57,73.25,8519400,61.62
"2007-03-05",72.12,72.58,71.41,71.7,3040600,60.32
"2007-03-06",72.47,72.76,71.96,72.53,3102700,61.02
"2007-03-07",72.54,72.6,71.62,71.62,1553400,60.25
"2007-03-08",72.25,72.75,71.33,72.03,1967800,60.59
"2007-03-09",72.32,72.45,71.64,71.75,1084100,60.36
"2007-03-12",71.76,72.11,71.1,72.03,1502300,60.59
"2007-03-13",71.75,71.75,69.78,69.9,2742300,58.8
"2007-03-14",70.28,70.43,68.76,69.73,2771400,58.66
"2007-03-15",68.6,71.6,68.6,70.24,2012900,59.09
"2007-03-16",70.38,70.86,69.73,70.1,2135100,58.97
"2007-03-19",70.5,71.25,70.24,71.04,1554500,59.76
"2007-03-20",71.14,71.61,70.87,71.35,1500000,60.02
"2007-03-21",71.36,72.82,71.02,72.54,2032500,61.02
"2007-03-22",72.67,72.8,72.04,72.25,2684000,60.78
"2007-03-23",72.26,72.7,72.04,72.22,1056600,60.75
"2007-03-26",72.01,72.2,71.32,72.18,1395500,60.72
"2007-03-27",72.18,72.62,71.76,72.61,2710200,61.08
"2007-03-28",72.61,72.61,71.4,71.44,1719600,60.1
"2007-03-29",72.07,72.26,71.63,72.15,1879000,60.7
"2007-03-30",72.3,72.44,71.41,71.97,2272900,60.54
"2007-04-02",71.97,71.97,70.57,70.79,2737200,59.55
"2007-04-03",71.05,72.52,71.05,71.86,3084000,60.45
"2007-04-04",72.07,72.58,71.69,72.12,2882900,60.67
