"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"2007-01-03",50.69,51.67,50.41,51.51,788400,35.55
"2007-01-04",51.52,51.65,51.22,51.6,513300,35.61
"2007-01-05",51.5,51.52,50.29,50.46,400100,34.82
"2007-01-08",50.28,50.75,50.11,50.63,526900,34.94
"2007-01-09",50.64,50.71,49.96,50.13,763700,34.6
"2007-01-10",50.1,50.42,50.01,50.28,263600,34.7
"2007-01-11",50.28,50.85,50.2,50.27,315300,34.69
"2007-01-12",50.29,50.54,49.79,49.84,617800,34.4
"2007-01-16",49.91,50.23,49.8,49.91,466400,34.44
"2007-01-17",50.05,50.1,49.72,49.89,389600,34.43
"2007-01-18",50.03,50.03,49.57,49.81,529400,34.37
"2007-01-19",49.91,50.46,49.85,50.45,314900,34.82
"2007-01-22",50.45,50.83,50.23,50.72,617600,35
"2007-01-23",50.79,51.08,50.6,50.91,719500,35.13
"2007-01-24",51.06,51.35,50.83,51.27,391100,35.38
"2007-01-25",51.32,51.32,50.5,50.55,483000,34.89
"2007-01-26",50.6,50.72,50.36,50.59,542800,34.91
"2007-01-29",50.59,51,50.52,50.75,492800,35.02
"2007-01-30",50.22,50.22,48.9,49.12,1384200,34.25
"2007-01-31",49.12,49.27,48.09,48.79,1486100,34.02
"2007-02-01",48.71,48.75,48.13,48.35,1173500,33.72
"2007-02-02",48.36,48.83,48.36,48.7,871100,33.96
"2007-02-05",48.74,48.89,48.31,48.48,640000,33.81
"2007-02-06",48.49,48.67,48.48,48.64,574600,33.92
"2007-02-07",48.64,48.68,48.28,48.4,543200,33.75
"2007-02-08",48.49,48.54,48.18,48.29,995100,33.67
"2007-02-09",48.29,48.39,47.92,48.2,583700,33.61
"2007-02-12",48.32,48.32,47.87,47.92,461700,33.42
"2007-02-13",48.06,48.14,47.89,48.08,694000,33.53
"2007-02-14",48.03,48.23,48.01,48.09,489600,33.53
"2007-02-15",48.1,48.14,47.85,48.03,580400,33.49
"2007-02-16",47.91,48.17,47.8,48.15,749000,33.58
"2007-02-20",48.18,48.43,48.06,48.42,1339600,33.76
"2007-02-21",48.42,48.46,47.95,48.08,557500,33.53
"2007-02-22",48.23,48.38,47.78,47.93,439100,33.42
"2007-02-23",47.93,48.02,47.58,48.02,813200,33.49
"2007-02-26",48.33,49.05,48.22,48.65,787100,33.92
"2007-02-27",48.59,48.6,47.3,47.6,855600,33.19
"2007-02-28",47.54,47.65,47.21,47.42,962000,33.07
"2007-03-01",47.42,48.15,46.88,47.72,875800,33.28
"2007-03-02",47.73,47.85,47.2,47.33,627300,33
"2007-03-05",47.25,47.26,46.43,46.68,772500,32.55
"2007-03-06",46.86,47.14,46.51,47.11,880500,32.85
"2007-03-07",47.11,47.25,46.69,46.72,458800,32.58
"2007-03-08",46.83,47.14,46.52,46.57,649400,32.47
"2007-03-09",46.62,47.12,46.5,46.82,646800,32.65
"2007-03-12",46.84,47.63,46.84,47.56,491800,33.16
"2007-03-13",47.55,47.74,46.75,46.85,725500,32.67
"2007-03-14",47.02,47.29,46.57,47.23,764700,32.93
"2007-03-15",47.19,47.69,47.1,47.46,523700,33.1
"2007-03-16",47.57,47.64,46.94,47,834400,32.77
