"","PRGO.Open","PRGO.High","PRGO.Low","PRGO.Close","PRGO.Volume","PRGO.Adjusted"
"2007-01-03",17.4,17.77,17.28,17.61,645400,16.96
"2007-01-04",17.45,17.85,17.3,17.71,449400,17.06
"2007-01-05",17.61,17.71,17.19,17.43,505400,16.79
"2007-01-08",17.37,17.4,16.98,17.09,629700,16.46
"2007-01-09",16.92,17,16.77,16.94,610700,16.32
"2007-01-10",16.75,16.8,16.61,16.72,563000,16.1
"2007-01-11",16.55,16.79,16.48,16.7,546800,16.08
"2007-01-12",16.67,16.78,16.61,16.7,390100,16.08
"2007-01-16",16.55,16.79,16.5,16.7,496400,16.08
"2007-01-17",16.75,17.3,16.7,17.18,722300,16.55
"2007-01-18",17.21,17.44,17.1,17.33,598100,16.69
"2007-01-19",17.26,17.66,17.21,17.6,477600,16.95
"2007-01-22",17.48,17.48,17.13,17.31,366500,16.67
"2007-01-23",17.2,17.49,17.12,17.36,416200,16.72
"2007-01-24",17.3,17.55,17.25,17.46,327200,16.82
"2007-01-25",17.38,17.38,17.15,17.26,344600,16.62
"2007-01-26",17.27,17.37,17.02,17.34,387900,16.7
"2007-01-29",17.23,17.4,17.08,17.37,478200,16.73
"2007-01-30",17.22,17.37,17.15,17.32,402800,16.68
"2007-01-31",17.29,17.54,16.73,17.28,551200,16.64
"2007-02-01",16.79,17.45,16.68,17.37,1263300,16.73
"2007-02-02",17.41,18.01,17.4,17.65,708900,17
"2007-02-05",17.36,17.38,16.66,16.72,979400,16.1
"2007-02-06",16.76,16.93,16.54,16.56,786900,15.95
"2007-02-07",16.64,16.77,16.51,16.7,651200,16.08
"2007-02-08",16.65,16.87,16.65,16.77,337600,16.15
"2007-02-09",16.76,17.11,16.76,17.11,697800,16.48
"2007-02-12",17.15,17.18,16.82,16.95,684000,16.33
"2007-02-13",16.98,16.98,16.79,16.93,305900,16.31
"2007-02-14",16.83,17.04,16.78,17.01,581400,16.38
"2007-02-15",16.95,17.15,16.78,17.01,555300,16.38
"2007-02-16",17.01,17.07,16.86,17.02,364100,16.39
"2007-02-20",17.18,17.45,17,17.4,794900,16.76
"2007-02-21",17.32,17.4,17.11,17.23,463100,16.64
"2007-02-22",17.45,17.59,17.25,17.38,587800,16.78
"2007-02-23",17.29,17.33,17.01,17.29,535700,16.7
"2007-02-26",17.37,17.45,17.16,17.38,679000,16.78
"2007-02-27",17.11,17.23,16.71,16.95,1250900,16.37
"2007-02-28",17.13,17.33,16.64,16.7,807700,16.13
"2007-03-01",16.55,16.76,16.2,16.72,738500,16.15
"2007-03-02",16.63,16.86,16.4,16.43,572700,15.87
"2007-03-05",16.44,16.77,16.24,16.25,589400,15.69
"2007-03-06",16.44,16.56,16.23,16.47,930300,15.9
"2007-03-07",16.3,16.47,16.11,16.24,871300,15.68
"2007-03-08",16.24,16.46,16.16,16.42,587500,15.86
"2007-03-09",16.59,16.76,16.49,16.55,1298500,15.98
"2007-03-12",16.47,16.69,16.36,16.68,843600,16.11
"2007-03-13",16.52,16.68,16.28,16.35,575500,15.79
"2007-03-14",16.26,16.47,16.09,16.37,782500,15.81
"2007-03-15",16.31,16.48,16.27,16.4,276700,15.84
"2007-03-16",16.39,16.44,16.19,16.27,716100,15.71
"2007-03-19",16.24,16.51,16.21,16.51,399100,15.94
"2007-03-20",16.45,16.61,16.32,16.58,338400,16.01
"2007-03-21",16.59,16.99,16.5,16.95,569800,16.37
"2007-03-22",16.94,16.99,16.85,16.95,458900,16.37
"2007-03-23",16.91,17.94,16.71,17.89,2255400,17.28
"2007-03-26",17.84,17.87,17.17,17.27,1734200,16.68
"2007-03-27",17.19,17.6,17.17,17.54,752700,16.94
"2007-03-28",17.45,17.54,17.3,17.45,713800,16.85
"2007-03-29",17.61,17.65,17.19,17.38,549700,16.78
"2007-03-30",17.39,18.15,17.25,17.66,1167600,17.05
"2007-04-02",17.83,17.99,17.69,17.82,541600,17.21
"2007-04-03",17.87,18.21,17.71,18.18,1475300,17.56
"2007-04-04",18.1,18.27,18,18,430200,17.38
"2007-04-05",18.03,18.25,18.03,18.22,497600,17.59
"2007-04-09",18.21,18.25,18.11,18.15,376300,17.53
"2007-04-10",18.16,18.23,17.98,18.02,599600,17.4
"2007-04-11",18,18.1,17.85,18.1,798900,17.48
"2007-04-12",18.11,18.33,18.05,18.31,300900,17.68
"2007-04-13",18.2,18.62,18.14,18.57,957700,17.93
"2007-04-16",18.78,18.98,18.77,18.8,523600,18.15
"2007-04-17",18.81,19.22,18.81,19.16,848300,18.5
"2007-04-18",19.05,19.2,18.96,19.11,467600,18.45
"2007-04-19",18.92,19.1,18.78,18.96,473000,18.31
"2007-04-20",19.15,19.25,18.97,19.25,392500,18.59
"2007-04-23",19.19,19.37,19.08,19.31,511200,18.65
"2007-04-24",19.35,19.39,19.06,19.17,530600,18.51
"2007-04-25",19.28,19.5,19.2,19.45,590400,18.78
"2007-04-26",19.45,19.6,19.39,19.48,421500,18.81
"2007-04-27",19.49,19.49,19.19,19.27,269900,18.61
"2007-04-30",19.09,19.12,18.75,19,815000,18.35
"2007-05-01",18.98,19.01,18.79,18.98,382600,18.33
"2007-05-02",18.76,19.16,18.69,19.08,400800,18.42
"2007-05-03",19.05,19.21,18.75,19.16,723600,18.5
"2007-05-04",19.2,19.33,19.04,19.33,455600,18.67
"2007-05-07",19.28,19.45,19.21,19.35,450100,18.69
"2007-05-08",19.48,19.87,19.23,19.75,1111900,19.07
"2007-05-09",19.72,19.75,19.47,19.65,1351300,18.98
"2007-05-10",19.61,19.72,19.27,19.29,973000,18.63
"2007-05-11",19.3,19.9,19.26,19.87,597100,19.19
"2007-05-14",19.94,20,19.52,19.54,859700,18.87
"2007-05-15",19.58,19.62,19.05,19.09,1058300,18.43
"2007-05-16",19.31,19.86,19.31,19.85,1455100,19.17
"2007-05-17",19.85,19.96,19.72,19.82,865200,19.14
"2007-05-18",19.91,20.19,19.81,20.16,571000,19.47
"2007-05-21",20.31,20.53,20.22,20.3,594600,19.6
"2007-05-22",20.22,20.65,20.13,20.37,576300,19.67
"2007-05-23",20.26,20.47,20,20.3,1170500,19.65
