"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2007-01-03",98.33,99.38,98.04,99.18,948300,78.89
"2007-01-04",98.65,99,97.85,98.44,834400,78.3
"2007-01-05",98.1,98.1,96.56,97.05,742300,77.2
"2007-01-08",96.05,97.65,96.02,97.4,583600,77.47
"2007-01-09",97.95,99.32,97.42,98.8,737800,78.59
"2007-01-10",98.7,101.32,98.27,101.05,1130300,80.38
"2007-01-11",100.45,103.21,100.45,102.32,966500,81.39
"2007-01-12",102.24,103.35,101.83,102.98,644500,81.91
"2007-01-16",103.15,105.43,103.15,104.86,640600,83.41
"2007-01-17",104.54,105.23,103.47,104.44,589100,83.07
"2007-01-18",104.65,104.78,103.6,103.83,421200,82.59
"2007-01-19",103.23,105.51,103.01,104.12,751900,82.82
"2007-01-22",103.93,104.08,102.33,102.6,800600,81.61
"2007-01-23",102.75,103.41,102.07,103.04,763600,81.96
"2007-01-24",103.16,104.24,102.81,104.2,672900,82.88
"2007-01-25",104.71,106.14,103.85,104.89,1004200,83.43
"2007-01-26",104.89,105.97,104.13,105.77,875700,84.13
"2007-01-29",105.75,106.58,104.87,106.01,638700,84.32
"2007-01-30",106.74,107.6,105.81,107.6,591200,85.59
"2007-01-31",107.7,109.41,107.09,108.76,697000,86.51
"2007-02-01",108.75,109.43,108,109.43,620700,87.04
"2007-02-02",109.8,109.9,108.97,109.62,725000,87.19
"2007-02-05",109.55,110.34,109.55,110.23,551700,87.68
"2007-02-06",110.6,111.89,110.09,111.7,956800,88.85
"2007-02-07",111.8,116.35,111.12,115.26,1643700,91.68
"2007-02-08",115,117.16,114.84,115.29,1355900,91.7
"2007-02-09",115.05,115.59,109.25,112.4,2222300,89.41
"2007-02-12",112.73,112.73,108.5,109.42,1504800,87.03
"2007-02-13",109.7,111.17,108.3,110.87,1226800,88.19
"2007-02-14",112.55,112.55,109.75,110.31,899700,87.74
"2007-02-15",110.74,112.39,110.21,111.62,566600,88.78
"2007-02-16",111.3,112.5,110.33,111.95,856100,89.05
"2007-02-20",111.95,113,110.5,112.78,790700,89.71
"2007-02-21",112.33,112.69,110.94,111.35,619500,88.57
"2007-02-22",111.45,111.5,109.69,109.94,1009800,87.45
"2007-02-23",109.24,109.58,105.56,106.37,1884200,84.61
"2007-02-26",106.55,108.9,104.51,106.35,1413500,84.59
"2007-02-27",105.93,106.76,102,102,1345000,81.13
"2007-02-28",103.98,105.08,100.93,101.27,2939600,80.55
"2007-03-01",99.3,102.06,97.23,100.52,1686900,79.96
"2007-03-02",100,100.46,97.67,97.68,1606600,77.7
"2007-03-05",96.52,97.69,94.45,94.6,1212000,75.25
"2007-03-06",95.5,98.18,95.5,97.84,1328100,77.82
"2007-03-07",97.67,97.81,95.39,96.28,1191100,76.58
"2007-03-08",97.09,99.11,97.09,97.67,981700,77.69
"2007-03-09",97.94,99.27,97.75,99.18,829100,78.89
"2007-03-12",98.98,99.6,97.72,98.7,1329700,78.51
"2007-03-13",97.15,97.69,94.8,94.9,1367300,75.87
"2007-03-14",95.1,96.16,93.56,95.74,1461100,76.54
"2007-03-15",95.48,97.61,95.48,97.47,1202900,77.92
"2007-03-16",97.46,97.71,95.6,95.79,1334000,76.58
"2007-03-19",96.76,97.1,95.95,96.65,803900,77.27
"2007-03-20",94.89,95.9,94.44,95.77,1440300,76.57
"2007-03-21",96,98.16,95.05,97.79,1324900,78.18
"2007-03-22",97.79,98.16,96.89,97.28,683700,77.77
"2007-03-23",97.4,98.47,97.15,97.48,637700,77.93
"2007-03-26",97.58,97.58,94.92,95.82,957300,76.61
"2007-03-27",95.2,95.58,93.75,94.26,859600,75.36
"2007-03-28",93.7,95.01,92.43,93.76,1176900,74.96
"2007-03-29",94.63,95.25,93.55,93.88,821300,75.05
"2007-03-30",93.88,95.12,93.67,94.67,1245800,75.69
"2007-04-02",94.92,96.28,94.15,96.08,770600,76.81
"2007-04-03",96.6,97.58,96.31,97.56,1113700,78
"2007-04-04",97.56,97.65,96.35,97.34,1092000,77.82
"2007-04-05",97.2,97.56,96.45,96.63,557700,77.25
"2007-04-09",96.5,96.6,95.83,96.17,566600,76.89
"2007-04-10",96.5,96.99,95.98,96.6,589900,77.23
"2007-04-11",94.91,96.54,94.14,94.37,730000,75.45
"2007-04-12",94,94.11,92.79,93.4,831400,74.67
"2007-04-13",93.2,94.13,92.84,93.97,745800,75.13
"2007-04-16",94.6,94.99,93.27,93.5,933100,74.75
"2007-04-17",93.5,96.57,93.35,96.33,1825100,77.01
"2007-04-18",94.62,96.78,94.61,96.18,1078500,76.89
"2007-04-19",96,96.16,95.06,95.62,734700,76.45
"2007-04-20",96.6,96.71,95.42,95.71,728200,76.52
"2007-04-23",95.7,97.58,95.66,97.1,527700,77.63
"2007-04-24",97.48,97.53,95.6,96.04,451600,76.78
"2007-04-25",96.72,99.36,95.41,96.25,533900,76.95
"2007-04-26",96.05,96.59,95.41,95.83,384800,76.61
"2007-04-27",95.55,95.78,95.1,95.31,493100,76.2
"2007-04-30",93.62,95.5,93.32,93.32,758000,74.61
"2007-05-01",93.55,93.64,90.79,91.59,1103400,73.22
"2007-05-02",91.69,92,90.72,91.65,1003600,73.27
"2007-05-03",92.15,92.55,91.09,91.68,676400,73.3
"2007-05-04",91.6,91.63,89.29,89.89,1185000,71.86
"2007-05-07",89.89,90.65,89.89,90.36,863300,72.24
"2007-05-08",89.9,90.66,89.88,90.06,732500,72
"2007-05-09",89.75,90.2,88.76,89.82,1205600,71.81
"2007-05-10",89.56,89.73,87.86,87.9,966200,70.27
"2007-05-11",88.89,88.89,87.6,87.98,1291900,70.34
"2007-05-14",88,89.42,88,88.95,1130700,71.11
"2007-05-15",89.15,89.92,87.67,87.72,1238500,70.13
"2007-05-16",88.15,88.19,85.88,86.18,929500,68.9
"2007-05-17",85.73,85.75,82.95,83.74,1499100,66.95
"2007-05-18",83.73,83.85,82.26,83.18,1288700,66.5
"2007-05-21",82.9,85.77,82.9,84.61,1558600,67.64
"2007-05-22",84.86,85.37,83.88,85.05,1927900,68
"2007-05-23",85.67,86.02,84.15,84.3,1240800,67.4
"2007-05-24",84.8,84.8,81.31,82.09,1413500,65.63
"2007-05-25",83.8,83.8,81.87,82.57,1232700,66.01
"2007-05-29",84.07,85.64,83.19,85.08,1055500,68.02
