"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2012-04-12",33.25,34.21,32,34,654700,32.76
"2012-04-13",34,37.45,33.91,37,1685000,35.65
"2012-04-16",37,37,35.99,36.55,550200,35.21
"2012-04-17",36.4,36.75,36,36,179600,34.68
"2012-04-18",36,36.44,34.5,36,207100,34.68
"2012-04-19",36,37.22,35.8,36,598100,34.68
"2012-04-20",36.1,37,36.1,36.32,149700,34.99
"2012-04-23",36.24,36.24,35.42,35.68,95700,34.37
"2012-04-24",36,36,34.68,34.75,124500,33.48
"2012-04-25",34.8,35.5,34.5,34.75,266200,33.48
"2012-04-26",34.61,34.99,34.44,34.95,183900,33.67
"2012-04-27",35.25,35.25,33.97,34.11,536000,32.86
"2012-04-30",34.34,34.9,34,34.05,4105700,32.8
"2012-05-01",33.74,34.1,32.58,32.76,6878600,31.56
"2012-05-02",32.6,32.67,31.63,32,11287600,30.83
"2012-05-03",31.93,31.98,31.05,31.39,11800000,30.24
"2012-05-04",30.85,31.09,30.12,30.16,10881000,29.06
"2012-05-07",30.1,30.55,29.25,29.35,12257200,28.28
"2012-05-08",29.09,30.41,28.75,30.1,14601300,29
"2012-05-09",29.81,32.89,29.73,32.49,13990000,31.3
"2012-05-10",33.05,33.35,31.52,32.48,8862000,31.29
"2012-05-11",31.73,32.15,31.4,31.83,4460100,30.67
"2012-05-14",31.19,31.58,30.77,31.32,6398200,30.17
"2012-05-15",31.35,32.32,31.06,31.67,6362800,30.51
"2012-05-16",31.46,32.39,31.25,32.1,6118600,30.93
"2012-05-17",31.89,32,31.2,31.26,5850500,30.12
"2012-05-18",31.43,31.69,30.99,31.38,7940800,30.23
"2012-05-21",31.23,32.34,30.95,32.19,5480100,31.01
"2012-05-22",31.88,32.27,31.33,31.63,5415000,30.47
"2012-05-23",31.35,31.49,30.88,31.41,5268900,30.26
"2012-05-24",31.42,31.44,30.75,31.13,4210400,29.99
"2012-05-25",31.01,31.41,30.83,31.3,3217900,30.15
"2012-05-29",31.28,31.72,30.86,31.01,3979600,29.88
"2012-05-30",30.79,30.83,30.18,30.44,6000600,29.33
"2012-05-31",30.26,30.35,29.72,30.03,8098000,28.93
"2012-06-01",29.5,30.17,29.38,29.92,5701700,28.83
"2012-06-04",29.3,30.19,29.25,29.53,4844900,28.45
"2012-06-05",29.37,30.1,29.32,29.9,4046500,28.81
"2012-06-06",30.03,32,29.82,31.53,8609400,30.38
"2012-06-07",32.07,32.75,31.74,31.83,7694300,30.67
"2012-06-08",31.66,32.35,31.51,32.12,4302100,30.94
"2012-06-11",32.45,33.05,32.23,32.6,5999000,31.41
"2012-06-12",32.56,33.74,32.49,33.49,6809900,32.26
"2012-06-13",33.27,33.49,32.54,32.77,3696800,31.57
"2012-06-14",32.77,33.64,32.31,33.53,4460000,32.3
"2012-06-15",33.6,34.91,33.38,34.9,9892400,33.62
"2012-06-18",34.38,34.5,33.83,33.86,4254400,32.62
"2012-06-19",34.06,34.53,33.73,33.86,4873500,32.62
"2012-06-20",33.79,34.85,33.48,34.66,4628400,33.39
"2012-06-21",34.7,34.76,33.06,33.48,3489900,32.26
"2012-06-22",33.65,34.71,33.03,34.16,4359500,32.91
"2012-06-25",33.69,33.69,32.76,32.87,3518600,31.67
"2012-06-26",32.81,33.98,32.4,32.58,3274700,31.39
"2012-06-27",32.61,33.4,31.42,31.89,3615600,30.72
"2012-06-28",31.54,32.4,31.29,32.31,3115900,31.13
"2012-06-29",32.78,33.38,32.65,33.24,4599500,32.02
"2012-07-02",33.59,34.32,33.37,34,3868500,32.76
"2012-07-03",34.02,34.63,33.83,34.24,3647400,32.99
"2012-07-05",33.83,34.24,33.54,33.8,2711300,32.56
"2012-07-06",33.4,33.68,32.92,33.37,1907800,32.15
"2012-07-09",33.08,33.76,32.65,33.25,2264600,32.03
"2012-07-10",33.47,33.47,32.5,32.68,2972900,31.48
"2012-07-11",32.66,33.64,32.35,33.48,2583000,32.26
"2012-07-12",33.15,33.19,32.55,33.01,3505600,31.8
"2012-07-13",33.61,35.08,33.51,34.94,4801300,33.66
"2012-07-16",34.69,36.12,34.56,36.1,4895700,34.78
"2012-07-17",36.16,36.8,35.86,36.69,3604100,35.35
"2012-07-18",36.65,37.67,36.59,37.1,2839200,35.74
"2012-07-19",36.92,37,35.5,35.6,3758600,34.48
"2012-07-20",35.18,35.44,34.91,35.32,3290000,34.21
"2012-07-23",34.79,35.28,34.5,35.02,3245900,33.92
"2012-07-24",35.25,35.42,34.61,35.23,2351600,34.13
"2012-07-25",35.6,35.89,34.87,35.4,3551300,34.29
"2012-07-26",35.76,36.06,35.59,35.96,2951300,34.83
"2012-07-27",36.23,36.91,35.9,36.52,6158600,35.37
"2012-07-30",36.86,37.65,36.83,37.65,2830300,36.47
"2012-07-31",37.74,38.36,37.51,37.6,6958400,36.42
"2012-08-01",39.08,40.18,37.78,38.27,6639700,37.07
"2012-08-02",37.94,39.07,37.84,38.3,4434800,37.1
"2012-08-03",38.6,39.85,38.6,39.67,4516000,38.43
"2012-08-06",39.94,40.35,39.77,40.07,3405100,38.81
"2012-08-07",40.39,40.83,39.59,39.77,4636800,38.52
"2012-08-08",39.6,40.2,39.46,40.15,4002600,38.89
"2012-08-09",39.9,40.6,39.88,40.32,2888200,39.06
"2012-08-10",40.26,40.43,39.75,40,2107700,38.75
"2012-08-13",39.86,40.35,39.77,40.15,2213500,38.89
"2012-08-14",40.19,40.45,39.8,39.93,2533900,38.68
"2012-08-15",40.54,40.66,39.93,40.36,4009400,39.09
"2012-08-16",40.53,41.26,40.37,41.18,3862100,39.89
"2012-08-17",41.62,42.93,41.47,42.77,5536300,41.43
"2012-08-20",42.87,43.45,42.75,43.07,3809500,41.72
"2012-08-21",43.38,43.38,41.49,41.55,4469400,40.25
"2012-08-22",41.36,41.53,40.42,41.48,4384500,40.18
"2012-08-23",41.48,41.63,41.05,41.33,1996300,40.03
