"","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume","PVH.Adjusted"
"2007-01-03",50.32,52.07,50.3,51.3,555600,50.23
"2007-01-04",51.1,52.3,50.8,51.95,439000,50.87
"2007-01-05",51.91,52.72,51.44,52.35,679400,51.26
"2007-01-08",52.6,54,52.5,53.74,926900,52.62
"2007-01-09",53.36,53.64,52.53,53.26,568000,52.15
"2007-01-10",52.5,53.22,52.1,52.99,717100,51.89
"2007-01-11",53.19,54.25,53.09,54.13,552500,53
"2007-01-12",54.13,55.02,53.62,54.82,473300,53.68
"2007-01-16",54.94,55.39,54.84,55.2,717500,54.05
"2007-01-17",55,55.5,54.75,54.88,444500,53.74
"2007-01-18",54.73,55.42,54.53,55.23,531600,54.08
"2007-01-19",55.36,55.36,54.46,54.7,662700,53.56
"2007-01-22",54.8,54.8,53.17,53.52,453500,52.4
"2007-01-23",53.25,53.79,52.1,53.52,906400,52.4
"2007-01-24",53.79,54.63,53.61,54.38,382000,53.25
"2007-01-25",54.3,54.49,52.99,53.42,644500,52.31
"2007-01-26",53.94,54.59,53.67,54.3,597600,53.17
"2007-01-29",54.17,54.62,53.99,54.48,520200,53.34
"2007-01-30",54.68,54.77,53.81,54.52,370700,53.38
"2007-01-31",54.72,55.37,54,55.15,619400,54
"2007-02-01",55.6,56.03,55.04,55.66,373500,54.5
"2007-02-02",55.99,56.46,54.74,54.99,465300,53.84
"2007-02-05",55.09,55.25,54.18,54.29,428300,53.16
"2007-02-06",54.29,55.53,54.15,55.5,385700,54.34
"2007-02-07",55.68,55.75,54.92,55.51,251000,54.35
"2007-02-08",55.71,55.78,55.01,55.38,246300,54.23
"2007-02-09",55.43,55.66,53.79,54.06,357000,52.93
"2007-02-12",54.16,54.44,53.36,54.43,589000,53.3
"2007-02-13",54.44,55.54,54.36,55.37,429700,54.22
"2007-02-14",55.37,56.27,55.03,56.22,529300,55.05
"2007-02-15",57.1,57.1,55.95,56.2,281400,55.03
"2007-02-16",56.23,56.73,55.84,56.53,415100,55.35
"2007-02-20",56.23,58.61,56.2,58.41,463400,57.19
"2007-02-21",58.39,58.63,56.5,57.21,668900,56.02
"2007-02-22",57.17,57.81,56,56.62,589800,55.44
"2007-02-23",56.73,56.99,55.55,56.04,553100,54.87
"2007-02-26",56.09,56.49,55.44,56.34,674700,55.17
"2007-02-27",54.95,55.64,54.03,55.07,637500,53.92
"2007-02-28",54.98,55.72,54.01,54.84,668600,53.7
"2007-03-01",53.98,55.32,52.53,54.55,701900,53.41
"2007-03-02",54.4,54.68,52.85,52.89,656100,51.79
"2007-03-05",51.89,53.18,51.47,51.47,603400,50.4
"2007-03-06",52.24,52.59,51.59,52.36,565600,51.27
"2007-03-07",52.3,53.41,52.2,53.02,481500,51.92
"2007-03-08",53.54,56.83,53.54,55.52,1039300,54.36
"2007-03-09",55.85,56.22,54.89,55.67,386900,54.51
"2007-03-12",55.64,56.29,55.36,56.16,435100,54.99
"2007-03-13",55.91,56.18,54.37,54.53,638900,53.39
"2007-03-14",54.69,55.5,53.84,55.09,503400,53.94
"2007-03-15",55.14,56.24,55.14,56.12,256900,54.95
"2007-03-16",56.11,57.06,55.74,56.73,841200,55.55
"2007-03-19",56.99,57.47,56.75,57.18,296900,55.99
"2007-03-20",57.15,57.6,56.61,57.58,437800,56.38
"2007-03-21",57.65,58.2,56.97,58.02,472700,56.85
"2007-03-22",58.31,58.31,56.94,57.2,649800,56.04
"2007-03-23",57.85,58.39,57.05,58.19,597600,57.01
"2007-03-26",59,59.32,58.2,59.3,1599500,58.1
"2007-03-27",57.9,60.7,57.58,57.99,2512200,56.82
"2007-03-28",58.11,59.09,58,58.69,4548900,57.5
"2007-03-29",59.23,59.4,58.11,58.8,951300,57.61
"2007-03-30",58.62,59.38,58.45,58.8,671200,57.61
"2007-04-02",58.81,59,58.13,58.86,523700,57.67
"2007-04-03",59.33,60.15,59.02,59.41,575400,58.21
"2007-04-04",59.55,59.55,58.37,58.62,797000,57.44
"2007-04-05",58.7,58.95,58.2,58.6,468200,57.42
"2007-04-09",58.92,58.92,57.65,58.51,774600,57.33
"2007-04-10",58.74,58.9,58.32,58.65,529300,57.47
"2007-04-11",58.65,58.65,57.3,58.12,1035700,56.95
"2007-04-12",57.8,58.67,56.9,58.57,703800,57.39
"2007-04-13",58.47,58.54,57.06,57.24,1157900,56.08
"2007-04-16",57.3,58.49,57.3,58.4,613900,57.22
"2007-04-17",58.1,58.39,57.17,57.38,1022100,56.22
"2007-04-18",57.15,57.69,56.96,57.11,633200,55.96
"2007-04-19",56.78,57,55.71,55.92,1037800,54.79
"2007-04-20",56.7,57.8,56.21,57.8,1027200,56.63
"2007-04-23",57.6,58.57,57.51,58.19,762500,57.01
"2007-04-24",58.1,58.4,56.88,57.86,518000,56.69
"2007-04-25",58.01,58.06,57.24,58.03,501800,56.86
"2007-04-26",57.92,57.92,57.01,57.55,905500,56.39
"2007-04-27",57.45,57.54,56.75,57.24,452100,56.08
"2007-04-30",57.16,57.38,55.85,55.9,840800,54.77
"2007-05-01",55.4,55.79,52.94,53.42,1757800,52.34
"2007-05-02",53.24,54.45,48.96,53.89,1234800,52.8
"2007-05-03",53.74,54.3,52.61,52.92,924900,51.85
"2007-05-04",53.21,53.43,52.82,53.26,563100,52.18
"2007-05-07",53.01,53.48,52.7,52.88,630000,51.81
"2007-05-08",52.77,53.92,52.43,53.63,1187300,52.55
"2007-05-09",52.79,55.78,52.75,55.15,1759000,54.04
"2007-05-10",55.02,55.02,53.61,53.65,790400,52.57
"2007-05-11",54.02,54.31,53.32,54.31,698500,53.21
"2007-05-14",54.11,54.69,53.71,54.09,619500,53
"2007-05-15",54.19,54.59,53.12,53.26,717400,52.18
"2007-05-16",53.51,54.16,53.34,53.77,682800,52.68
"2007-05-17",53.57,54.44,53.41,53.94,408300,52.85
"2007-05-18",54.19,55,54.02,54.79,549800,53.68
"2007-05-21",54.75,56.01,54.56,55.66,659000,54.57
"2007-05-22",55.66,56.56,55.2,56.35,881200,55.25
"2007-05-23",56.85,56.9,56.04,56.66,917700,55.55
"2007-05-24",56.47,56.69,54.98,55.07,767900,54
"2007-05-25",55.27,55.56,54.6,55.04,670300,53.97
"2007-05-29",55.5,56.91,55.5,56.32,773800,55.22
"2007-05-30",57.71,62.19,57.29,60.59,3256300,59.41
"2007-05-31",60.59,61.45,60.25,61.12,1156000,59.93
"2007-06-01",61.82,61.85,60.53,61.5,667700,60.3
"2007-06-04",60.67,61.9,60.3,61.77,678400,60.56
"2007-06-05",61.35,61.93,60.32,60.91,981400,59.72
"2007-06-06",60.74,60.8,58.84,59.87,851900,58.7
"2007-06-07",59.65,59.94,58.92,59.27,807500,58.11
"2007-06-08",59.09,60.57,59.04,60.45,511200,59.27
"2007-06-11",60.25,60.28,59.22,59.5,378400,58.34
"2007-06-12",58.61,59.14,58.01,58.22,648700,57.08
"2007-06-13",58.85,60.43,58.75,60.22,808700,59.04
"2007-06-14",60.36,60.49,59.57,59.84,577500,58.67
"2007-06-15",60.79,61.6,60.51,60.62,637600,59.44
"2007-06-18",60.63,60.63,59.3,59.99,712500,58.82
"2007-06-19",59.79,60.62,59.38,60.35,604300,59.17
"2007-06-20",60.39,60.59,59.67,59.84,748100,58.67
"2007-06-21",59.32,59.32,58,58.92,723500,57.77
