"","PWR.Open","PWR.High","PWR.Low","PWR.Close","PWR.Volume","PWR.Adjusted"
"2007-01-03",19.79,19.87,18.87,19.16,1472600,19.16
"2007-01-04",19.08,19.41,18.96,19.2,1431400,19.2
"2007-01-05",19.08,19.09,18.71,18.8,892100,18.8
"2007-01-08",18.76,19.18,18.66,19.03,824900,19.03
"2007-01-09",19.01,19.28,18.87,19.17,700700,19.17
"2007-01-10",19.06,19.81,19,19.73,1135400,19.73
"2007-01-11",19.84,19.99,19.6,19.72,1655200,19.72
"2007-01-12",19.73,20.68,19.73,20.6,1264100,20.6
"2007-01-16",20.75,20.9,20.5,20.73,1311600,20.73
"2007-01-17",20.75,20.9,20.57,20.65,713900,20.65
"2007-01-18",20.63,20.82,20.34,20.35,1016400,20.35
"2007-01-19",20.26,20.41,20.08,20.31,985800,20.31
"2007-01-22",20.35,20.41,19.8,20,1425000,20
"2007-01-23",20.04,20.24,19.72,19.9,4327900,19.9
"2007-01-24",20.89,21.23,20.66,20.94,4016200,20.94
"2007-01-25",20.8,20.97,20.6,20.72,2061600,20.72
"2007-01-26",20.82,21,20.63,20.91,1667000,20.91
"2007-01-29",20.98,21,20.67,20.82,1347100,20.82
"2007-01-30",20.82,21,20.65,20.8,3375500,20.8
"2007-01-31",20.82,20.86,20.33,20.57,2675600,20.57
"2007-02-01",20.76,21,20.66,21,1650800,21
"2007-02-02",21,21.57,20.86,20.98,1978600,20.98
"2007-02-05",20.94,21.02,20.7,20.79,770500,20.79
"2007-02-06",20.82,21.17,20.82,21.14,1239000,21.14
"2007-02-07",21.21,21.41,21.1,21.26,685300,21.26
"2007-02-08",21.25,21.38,21.1,21.25,805600,21.25
"2007-02-09",21.29,21.29,20.73,20.93,562200,20.93
"2007-02-12",20.89,20.96,20.55,20.68,808500,20.68
"2007-02-13",20.75,21,20.67,21,696000,21
"2007-02-14",21.13,21.57,20.97,21.5,1142000,21.5
"2007-02-15",21.55,21.98,21.45,21.77,1602600,21.77
"2007-02-16",21.8,21.93,21.47,21.76,915900,21.76
"2007-02-20",21.67,22.38,21.64,22.25,1948100,22.25
"2007-02-21",22.25,22.49,22.12,22.25,967700,22.25
"2007-02-22",23.2,23.43,22.12,23.01,2199100,23.01
"2007-02-23",23.05,23.66,23.01,23.62,1318500,23.62
"2007-02-26",23.8,23.94,23.16,23.68,1746800,23.68
"2007-02-27",23.4,23.4,22,22.68,1968500,22.68
"2007-02-28",22.58,23.21,22.27,23.18,1857000,23.18
"2007-03-01",22.88,23.55,22.5,23.42,1585100,23.42
"2007-03-02",23.31,23.43,22.36,22.38,1138900,22.38
"2007-03-05",22.01,22.4,21.65,21.67,1521400,21.67
"2007-03-06",21.8,23.11,21.8,22.87,1597600,22.87
"2007-03-07",23.08,24.08,23.08,24.02,1976400,24.02
"2007-03-08",24.22,24.48,23.97,24.07,1348500,24.07
"2007-03-09",24.32,24.36,23.95,24.17,885800,24.17
"2007-03-12",24.35,24.55,24.25,24.46,1143400,24.46
"2007-03-13",24.22,24.3,23.87,23.95,793400,23.95
"2007-03-14",24.01,24.43,23.56,24.32,1073100,24.32
"2007-03-15",24.26,25.01,24.26,24.9,1446800,24.9
"2007-03-16",24.99,25.06,24.51,24.64,718400,24.64
"2007-03-19",24.35,26.04,23.82,24.67,7604200,24.67
"2007-03-20",24.67,24.75,24.04,24.28,4001400,24.28
"2007-03-21",24.26,25,24.05,24.86,4562200,24.86
"2007-03-22",24.89,25.5,24.89,25.43,3928000,25.43
"2007-03-23",25.5,25.82,25.36,25.71,3421500,25.71
"2007-03-26",25.76,25.79,25.2,25.47,1902300,25.47
"2007-03-27",25.31,25.59,25.13,25.43,1518700,25.43
"2007-03-28",25.63,25.63,24.98,25.55,1916600,25.55
"2007-03-29",25.72,25.75,25.18,25.29,4333300,25.29
"2007-03-30",25.27,25.61,25.01,25.22,1663500,25.22
"2007-04-02",25.37,25.62,25.27,25.4,971000,25.4
"2007-04-03",25.57,25.67,25.47,25.52,1613500,25.52
"2007-04-04",25.58,25.72,25.36,25.51,2605800,25.51
"2007-04-05",25.59,25.8,25.48,25.72,987400,25.72
"2007-04-09",25.81,25.95,25.41,25.69,862000,25.69
"2007-04-10",25.75,26.1,25.54,25.76,1127000,25.76
"2007-04-11",25.71,25.85,25.32,25.71,1522300,25.71
"2007-04-12",25.65,26.15,25.5,26.15,1347100,26.15
"2007-04-13",26.14,26.28,25.63,26,2266700,26
"2007-04-16",26.2,26.56,26.16,26.5,1280500,26.5
"2007-04-17",26.77,27.13,26.32,26.4,931200,26.4
"2007-04-18",26.35,26.97,25.76,26.58,1058500,26.58
"2007-04-19",26.4,26.86,26.04,26.68,1679400,26.68
"2007-04-20",26.83,27.32,26.64,26.9,1817100,26.9
"2007-04-23",26.85,27.68,26.73,27.61,2470300,27.61
"2007-04-24",27.59,27.84,27.14,27.46,1926700,27.46
"2007-04-25",27.52,28.33,27.32,28.15,1103400,28.15
"2007-04-26",28.25,28.66,27.77,28.19,1304900,28.19
"2007-04-27",27.9,28.12,27.52,27.99,1178500,27.99
"2007-04-30",27.85,28.01,27.41,27.49,1749300,27.49
"2007-05-01",27.44,27.71,27.15,27.23,1972600,27.23
"2007-05-02",27.23,27.49,26.91,27.19,2224400,27.19
"2007-05-03",26.74,30.2,26.03,28.53,4231200,28.53
"2007-05-04",29.05,30.08,28.67,29.38,4064700,29.38
"2007-05-07",29.35,29.92,29.3,29.76,1771800,29.76
"2007-05-08",29.44,29.49,28.6,28.99,2185800,28.99
"2007-05-09",28.13,29.5,28.11,29.37,1668900,29.37
"2007-05-10",29.37,29.43,28.72,28.89,1537300,28.89
"2007-05-11",28.86,29.24,28.7,29.08,1070000,29.08
"2007-05-14",29.15,29.81,29.11,29.67,1975100,29.67
"2007-05-15",29.67,30.37,29.37,29.45,1557400,29.45
"2007-05-16",29.6,29.75,28.86,29.38,981200,29.38
"2007-05-17",29.1,29.35,28.52,28.97,1178000,28.97
"2007-05-18",29.07,29.43,28.86,29.15,1076000,29.15
"2007-05-21",29.2,29.94,29.18,29.57,849000,29.57
"2007-05-22",29.7,29.94,29.37,29.6,887500,29.6
"2007-05-23",29.6,30.15,29.56,29.65,1942100,29.65
"2007-05-24",29.68,29.95,28.65,28.82,1819500,28.82
"2007-05-25",28.98,29.34,28.59,29,781200,29
"2007-05-29",29.13,29.78,29.13,29.66,907700,29.66
"2007-05-30",29.37,30.83,29.28,30.79,2522500,30.79
"2007-05-31",30.82,31.1,29.9,30.01,3834400,30.01
"2007-06-01",30.2,30.76,30.02,30.69,2015800,30.69
"2007-06-04",30.55,31,30.41,30.85,1815600,30.85
"2007-06-05",30.67,30.72,30.18,30.55,1102600,30.55
"2007-06-06",30.54,30.61,29.86,30.04,985300,30.04
"2007-06-07",29.84,29.93,28.69,28.78,1473200,28.78
"2007-06-08",28.4,29.36,27.66,29.27,1189400,29.27
"2007-06-11",29.1,29.58,28.98,29.39,974100,29.39
"2007-06-12",29.3,29.5,28.73,29.12,1036000,29.12
"2007-06-13",29.19,29.86,29.19,29.45,1260900,29.45
"2007-06-14",29.52,30.5,29.45,30.4,2217700,30.4
"2007-06-15",31.06,32.11,30.95,31.62,3660300,31.62
"2007-06-18",31.87,31.88,31.08,31.29,1240000,31.29
"2007-06-19",31.08,31.31,30.58,31,1098800,31
"2007-06-20",31.01,31.18,30.35,30.51,1156700,30.51
"2007-06-21",30.78,30.94,29.8,30.32,2245600,30.32
"2007-06-22",30.58,30.84,29.71,29.75,2238900,29.75
"2007-06-25",29.9,30.1,29.4,30,1886200,30
"2007-06-26",30.34,30.49,29.63,29.82,1606500,29.82
"2007-06-27",29.53,30.36,29.16,30.27,1537300,30.27
"2007-06-28",30.85,31.23,30.38,31.01,1613200,31.01
"2007-06-29",31.19,31.39,30.53,30.67,988900,30.67
"2007-07-02",30.95,31.33,30.85,30.97,1212700,30.97
"2007-07-03",30.98,31.42,30.9,31.08,507100,31.08
"2007-07-05",31.09,31.1,30.39,30.7,991000,30.7
"2007-07-06",30.79,31.15,30.48,31.09,648400,31.09
"2007-07-09",31.28,31.75,31.25,31.57,894400,31.57
"2007-07-10",31.37,31.5,30.87,30.92,1798100,30.92
"2007-07-11",31.07,31.35,30.75,31.15,731500,31.15
"2007-07-12",31.43,32.27,31.43,32.14,1408900,32.14
"2007-07-13",32.05,32.58,31.93,32.19,1052400,32.19
"2007-07-16",32.12,32.56,32.02,32.29,1690400,32.29
"2007-07-17",32.46,32.5,31.95,32.01,1080900,32.01
"2007-07-18",31.92,32.28,31.61,32.17,1034900,32.17
"2007-07-19",32.4,32.44,32.03,32.25,1923800,32.25
"2007-07-20",32.2,32.21,31.09,31.42,1415000,31.42
"2007-07-23",31.13,31.75,31.03,31.39,872900,31.39
"2007-07-24",31.05,31.42,30.5,30.87,1896400,30.87
"2007-07-25",31.03,31.16,29.54,30.28,2452500,30.28
"2007-07-26",29.84,30.14,28.2,28.74,3062900,28.74
"2007-07-27",28.72,28.93,27.57,27.93,1921100,27.93
"2007-07-30",27.68,29.31,27.4,28.94,2288200,28.94
"2007-07-31",29.53,29.94,28.41,28.43,2595800,28.43
"2007-08-01",28.3,28.46,26.18,27.2,3847500,27.2
"2007-08-02",27,27.54,25.46,27.16,4974000,27.16
"2007-08-03",27.05,27.19,26.01,26.35,2282500,26.35
"2007-08-06",25.98,26.56,24.63,25.91,2830500,25.91
"2007-08-07",26.35,26.55,25.44,26.24,2373000,26.24
"2007-08-08",26.5,27.84,26.4,26.95,3466800,26.95
"2007-08-09",26.16,27.25,24.68,25.11,2651300,25.11
"2007-08-10",24.62,26.12,24.1,25.7,3389000,25.7
"2007-08-13",26.18,27.09,25.42,26.03,1772000,26.03
"2007-08-14",26.21,26.21,24.63,25.01,2949300,25.01
"2007-08-15",24.91,25.34,23.58,24.5,3052300,24.5
"2007-08-16",24.45,25.04,23.36,24.16,6408800,24.16
"2007-08-17",25,25.61,23.79,24.98,3024900,24.98
"2007-08-20",25.09,25.55,24.75,25.08,1569200,25.08
"2007-08-21",24.83,25.66,24.71,25.04,1456600,25.04
"2007-08-22",25.25,26.67,25.25,26.44,1809300,26.44
"2007-08-23",26.6,26.71,25.84,25.9,1089600,25.9
"2007-08-24",26.02,27.07,25.95,27.03,1152300,27.03
"2007-08-27",26.59,26.92,26.22,26.3,1103700,26.3
"2007-08-28",26.31,26.44,25.21,25.25,978400,25.25
"2007-08-29",25.65,26.83,25.26,26.67,1721900,26.67
"2007-08-30",26.43,27.54,26.3,27.39,7808100,27.39
"2007-08-31",27.39,28.46,27.3,28.27,1997500,28.27
"2007-09-04",28.22,28.39,27.56,27.87,2069600,27.87
"2007-09-05",27.85,28.08,27.06,27.48,2732100,27.48
"2007-09-06",27.44,27.66,26.69,27.32,2006000,27.32
"2007-09-07",27.04,27.08,25.57,26.21,2100100,26.21
"2007-09-10",26.84,26.84,25.67,26.04,1467600,26.04
"2007-09-11",26.21,26.55,26,26.29,1754600,26.29
"2007-09-12",26.27,26.65,26,26.06,1663400,26.06
"2007-09-13",26.25,27.75,25.85,26.35,1904600,26.35
"2007-09-14",26.22,26.35,25.75,25.98,1273400,25.98
"2007-09-17",25.91,26.2,25.63,25.76,1180200,25.76
"2007-09-18",25.99,27.42,25.71,27.39,1959100,27.39
"2007-09-19",27.45,28.32,27.35,27.81,1677300,27.81
"2007-09-20",27.7,28.13,26.95,27.12,1086100,27.12
"2007-09-21",27.3,28.03,27.16,27.55,1336000,27.55
"2007-09-24",27.5,27.5,26.44,26.65,2028000,26.65
"2007-09-25",26.48,26.63,26.05,26.35,1463700,26.35
"2007-09-26",26.76,27.45,26.49,26.87,1547700,26.87
"2007-09-27",27.12,27.19,26.61,26.83,1604400,26.83
"2007-09-28",26.96,26.96,26.3,26.45,1475000,26.45
