"","QCOM.Open","QCOM.High","QCOM.Low","QCOM.Close","QCOM.Volume","QCOM.Adjusted"
"2007-01-03",37.76,38.77,36.79,37.46,24184800,33.31
"2007-01-04",37.79,39.4,37.4,39.15,26164600,34.81
"2007-01-05",38.9,38.94,37.87,38.69,18403600,34.4
"2007-01-08",38.75,38.75,38,38.26,13545200,34.02
"2007-01-09",38.5,38.65,37.84,37.84,15948700,33.64
"2007-01-10",37.65,38.56,37.59,38.55,14333700,34.27
"2007-01-11",38.66,39.64,38.1,39.48,20549100,35.1
"2007-01-12",39.25,39.94,39.12,39.62,14336000,35.23
"2007-01-16",39.8,39.95,39.04,39.47,13712200,35.09
"2007-01-17",39.17,39.96,39,39.19,17002100,34.84
"2007-01-18",39.1,39.35,38.33,38.49,16412400,34.22
"2007-01-19",38.27,39.18,38.13,38.87,17489500,34.56
"2007-01-22",39.04,39.08,38.12,38.51,19125900,34.24
"2007-01-23",38.49,39.07,38.05,38.13,17228000,33.9
"2007-01-24",38.46,39.3,38.31,38.62,25559900,34.34
"2007-01-25",39.88,39.91,38.15,38.16,28175800,33.93
"2007-01-26",38.27,38.39,37.35,37.51,20681700,33.35
"2007-01-29",37,37.56,36.8,37.15,18989500,33.03
"2007-01-30",37.17,37.41,36.94,37.17,13357700,33.05
"2007-01-31",37.13,37.9,36.81,37.66,15702600,33.48
"2007-02-01",37.8,37.82,37.05,37.41,16678300,33.26
"2007-02-02",37.43,37.52,37,37.19,15597800,33.07
"2007-02-05",37.2,38.12,37,37.91,18370500,33.71
"2007-02-06",37.87,37.97,37.23,37.68,18493800,33.5
"2007-02-07",37.79,37.89,37.34,37.58,16080400,33.41
"2007-02-08",37.56,38.69,37.12,38.26,20890600,34.02
"2007-02-09",38.84,38.99,37.89,38.31,21304300,34.06
"2007-02-12",38.73,38.8,37.91,38.05,16559600,33.83
"2007-02-13",38.26,38.68,38,38.07,16057400,33.85
"2007-02-14",38.25,39.95,38.25,39.66,31705600,35.26
"2007-02-15",40.26,41.44,40.15,41.31,37990000,36.73
"2007-02-16",41.12,43.38,40.85,42.51,53781900,37.8
