"","QEP.Open","QEP.High","QEP.Low","QEP.Close","QEP.Volume","QEP.Adjusted"
"2010-06-16",37,37,34.6,34.61,62900,34.28
"2010-06-17",34.25,34.55,33.8,34,21700,33.68
"2010-06-18",34.25,34.5,34.25,34.5,300,34.18
"2010-06-21",34.31,34.75,33.5,33.75,12000,33.43
"2010-06-22",33.85,33.85,32.3,32.3,81900,32
"2010-06-23",32.17,32.27,31.74,32.27,7300,31.97
"2010-06-24",32.47,34.24,31.98,32,420200,31.7
"2010-06-25",32.25,32.95,32.08,32.51,562300,32.2
"2010-06-28",32.71,32.71,32.1,32.25,361700,31.95
"2010-06-29",32,32,30.07,30.31,818800,30.02
"2010-06-30",30.25,31.15,30.15,30.83,7171100,30.54
"2010-07-01",30.4,31.03,29.22,29.31,2811500,29.03
"2010-07-02",29.5,29.96,28.88,29.02,3081100,28.75
"2010-07-06",29.61,29.61,28.01,28.18,2271400,27.91
"2010-07-07",28.51,29.63,27.9,29.54,2222400,29.26
"2010-07-08",29.95,31.09,29.91,30.3,2271400,30.02
"2010-07-09",30.32,31.21,30.09,30.44,1732700,30.15
"2010-07-12",30.44,30.44,30,30.19,1356300,29.91
"2010-07-13",30.39,30.67,30.33,30.47,1379900,30.18
"2010-07-14",30.25,30.57,30.02,30.47,896500,30.18
"2010-07-15",30.42,30.61,29.69,30.53,1660000,30.24
"2010-07-16",30.22,30.54,29.25,29.72,1342500,29.44
"2010-07-19",29.86,30.32,29.55,29.8,1046400,29.52
"2010-07-20",29.51,30.51,29.11,30.43,1201600,30.14
"2010-07-21",30.56,30.56,29.39,29.72,861500,29.44
"2010-07-22",30.01,30.37,29.81,30.02,852800,29.74
"2010-07-23",29.99,29.99,29.05,29.27,662500,28.99
"2010-07-26",29.18,29.6,28.95,29.58,888800,29.3
"2010-07-27",30.2,31,29.51,30.16,1705700,29.88
"2010-07-28",30.42,31.01,30.35,30.91,1706600,30.62
"2010-07-29",31.49,33.16,31.34,32.5,3203200,32.19
"2010-07-30",32.41,35.15,31.68,34.42,2745800,34.1
"2010-08-02",34.31,34.32,33.62,33.9,1547400,33.58
"2010-08-03",33.97,34.79,33.4,34.56,805900,34.23
"2010-08-04",34.61,34.99,34.24,34.9,833500,34.57
"2010-08-05",34.71,35.06,34.3,34.89,605500,34.56
"2010-08-06",34.83,34.83,33.01,33.97,1409700,33.65
"2010-08-09",34.08,34.46,33.14,34.3,554200,33.98
"2010-08-10",34.21,34.28,33.39,33.61,853000,33.29
"2010-08-11",32.92,32.92,31.57,31.78,860300,31.48
"2010-08-12",31.5,31.5,30.06,30.89,1094900,30.6
"2010-08-13",30.75,31.25,29.92,30.14,1841400,29.86
"2010-08-16",30.07,30.63,29.63,30.32,935700,30.03
"2010-08-17",30.64,31.93,30.29,31.6,1117400,31.3
"2010-08-18",31.42,31.9,30.79,31.5,980500,31.22
"2010-08-19",31.29,31.46,30.76,31.34,441800,31.06
"2010-08-20",30.93,31.37,30.77,31.01,724300,30.74
"2010-08-23",31.09,31.48,30.58,31.17,497900,30.9
"2010-08-24",30.66,30.93,30.33,30.65,893600,30.38
"2010-08-25",30.55,30.9,30.16,30.54,758700,30.27
"2010-08-26",30.71,31.04,30.16,30.41,1205500,30.14
"2010-08-27",30.62,30.68,29.76,30.38,730700,30.11
"2010-08-30",30.34,30.61,29.44,29.45,736600,29.19
"2010-08-31",29.21,29.72,28.57,29.03,1402300,28.78
"2010-09-01",29.5,30.8,29.3,30.76,929200,30.49
"2010-09-02",30.84,31.55,30.33,31.31,546200,31.04
"2010-09-03",31.68,31.85,31.11,31.75,617200,31.47
"2010-09-07",31.47,31.74,31.25,31.31,378800,31.04
"2010-09-08",30.85,31.3,30.26,30.55,874400,30.28
"2010-09-09",30.76,31.03,30,30.08,383800,29.82
"2010-09-10",30.08,30.22,29.83,30.07,986800,29.81
"2010-09-13",30.49,30.49,29.01,29.77,1569700,29.51
"2010-09-14",29.78,29.85,29.27,29.76,937900,29.5
"2010-09-15",29.62,29.89,29.4,29.87,463400,29.61
"2010-09-16",29.61,30.07,29.51,29.7,872600,29.44
"2010-09-17",29.86,30.16,29.06,29.19,2999900,28.93
"2010-09-20",29.31,30,28.85,29.77,834600,29.51
"2010-09-21",29.7,29.71,28.65,29.24,1687000,28.98
"2010-09-22",29.36,29.58,28.99,29.3,1443500,29.04
"2010-09-23",29.17,29.48,29.07,29.3,1345700,29.04
"2010-09-24",29.54,29.73,29.24,29.34,1139500,29.08
"2010-09-27",29.3,29.5,29.13,29.17,616800,28.91
"2010-09-28",29.15,29.88,28.74,29.84,569900,29.58
"2010-09-29",29.81,30.05,29.61,29.88,887100,29.62
"2010-09-30",29.94,30.75,29.81,30.14,951300,29.88
"2010-10-01",30.29,30.89,30.21,30.35,1063200,30.08
"2010-10-04",30.32,30.48,29.94,30.04,560100,29.78
"2010-10-05",30.23,30.57,30.19,30.39,898100,30.12
"2010-10-06",30.39,30.83,30.15,30.79,1242200,30.52
"2010-10-07",30.82,30.98,30.23,30.45,778800,30.18
"2010-10-08",30.46,30.72,30.29,30.35,967100,30.08
"2010-10-11",30.28,30.43,30.1,30.2,508300,29.93
"2010-10-12",30.08,30.18,29.54,29.68,1136600,29.42
"2010-10-13",29.86,30.6,29.69,30.49,1629100,30.22
"2010-10-14",30.38,30.8,30.15,30.53,1098000,30.26
"2010-10-15",30.65,31.19,30.45,31.15,1338100,30.88
"2010-10-18",31.09,32,30.97,31.87,1076500,31.59
"2010-10-19",31.25,31.67,30.71,31.48,1201600,31.2
"2010-10-20",31.6,32,31.34,31.62,798400,31.34
"2010-10-21",31.62,32.24,31.05,31.78,584700,31.5
"2010-10-22",31.92,31.92,31.42,31.8,469100,31.52
"2010-10-25",31.98,32.04,31.38,31.45,439200,31.17
"2010-10-26",32.09,32.7,31.73,32.39,1620800,32.11
"2010-10-27",30.11,32.2,30.11,31.75,1151300,31.47
"2010-10-28",31.89,32.5,31.69,32.41,910600,32.13
"2010-10-29",32.35,33.49,32.28,33.03,926200,32.74
"2010-11-01",33.39,33.82,32.35,32.89,794400,32.6
"2010-11-02",33.17,33.61,32.67,33.41,741700,33.12
"2010-11-03",33.76,34.01,33.07,34.01,683100,33.71
"2010-11-04",34.45,34.73,33.77,34.18,860400,33.88
"2010-11-05",34.18,34.29,33.03,33.46,1034400,33.17
"2010-11-08",33.35,33.53,32.56,33.31,1025100,33.02
"2010-11-09",33.64,34.8,33.03,33.51,1833100,33.22
"2010-11-10",33.39,33.82,32.93,33.66,514800,33.36
"2010-11-11",33.37,34,33.34,33.85,512900,33.55
"2010-11-12",33.54,33.76,32.55,32.99,530500,32.7
"2010-11-15",33.2,34.24,33.2,33.26,1207600,32.97
"2010-11-16",33.12,33.28,32.25,32.88,584400,32.59
"2010-11-17",32.99,34.01,32.91,33.62,1073900,33.32
"2010-11-18",34.01,34.7,33.82,34.26,1023800,33.96
"2010-11-19",34.34,34.81,33.78,34.77,947700,34.46
"2010-11-22",34.69,35.93,34.34,35.54,1358800,35.23
"2010-11-23",35.21,35.28,33.94,34.32,799400,34.04
"2010-11-24",34.52,35.7,34.08,35.55,1082900,35.26
"2010-11-26",35.27,35.49,34.62,34.91,217200,34.62
"2010-11-29",34.77,35.41,34.12,35.23,357900,34.94
"2010-11-30",34.84,35.57,34.42,35.13,1094300,34.84
"2010-12-01",35.68,36.81,35.68,36.45,1537500,36.15
"2010-12-02",36.43,37,36.35,36.91,1181400,36.61
"2010-12-03",36.91,37.12,36.71,37.01,1264400,36.71
"2010-12-06",36.92,37.44,36.92,37.36,1040400,37.05
"2010-12-07",37.74,38.31,37.73,38.12,1523200,37.81
"2010-12-08",38.1,38.33,37.06,37.21,740100,36.9
"2010-12-09",37.47,37.6,37.01,37.29,701600,36.98
"2010-12-10",37.25,37.55,36.85,37.07,861900,36.77
"2010-12-13",37.48,38.06,37.19,37.91,1261400,37.6
"2010-12-14",37.81,38.11,37.24,37.49,583900,37.18
"2010-12-15",37.31,37.77,36.41,36.51,1168100,36.21
"2010-12-16",36.49,36.93,36.23,36.77,727000,36.47
"2010-12-17",36.72,36.8,36.03,36.71,1628800,36.41
"2010-12-20",36.66,37,36.07,36.63,1197500,36.33
"2010-12-21",36.84,37.52,36.19,37.43,740200,37.12
"2010-12-22",37.44,37.7,37.05,37.17,559600,36.86
"2010-12-23",36.87,37.09,36.65,36.95,579000,36.65
"2010-12-27",36.75,36.77,35.97,36.27,544700,35.97
"2010-12-28",36.41,36.46,35.97,36.19,503600,35.89
"2010-12-29",36.31,36.66,36.15,36.23,441200,35.93
"2010-12-30",36.26,36.5,35.65,36.01,591500,35.71
"2010-12-31",35.92,36.96,35.86,36.31,817800,36.01
"2011-01-03",36.58,36.71,36.33,36.52,1263000,36.22
"2011-01-04",36.83,36.83,35.78,36.51,1180400,36.21
"2011-01-05",36.3,36.88,35.86,36.58,833100,36.28
"2011-01-06",36.52,36.95,36.05,36.59,973700,36.29
"2011-01-07",36.02,36.94,36.02,36.92,1059200,36.62
"2011-01-10",36.65,37.46,36.13,37.19,795000,36.88
"2011-01-11",37.31,37.99,37.09,37.83,1105000,37.52
"2011-01-12",38.19,39.39,38.19,39.25,1899800,38.93
"2011-01-13",39.13,39.18,38.28,38.55,1158500,38.23
"2011-01-14",38.54,38.54,37.65,38.24,1058900,37.93
"2011-01-18",38.29,38.7,37.97,38.65,641700,38.33
"2011-01-19",38.77,38.93,37.6,37.89,1082300,37.58
"2011-01-20",37.9,38.1,37.26,37.9,1098400,37.59
"2011-01-21",38.09,38.91,37.25,37.51,1909900,37.2
"2011-01-24",37.61,38.65,37.58,38.61,1016700,38.29
"2011-01-25",38.44,38.82,38.02,38.79,886000,38.47
"2011-01-26",38.91,39.49,38.32,39.29,1077600,38.97
"2011-01-27",39.36,39.66,38.97,39.58,1301900,39.25
"2011-01-28",39.58,39.64,38.82,38.96,936100,38.64
"2011-01-31",39.09,41.04,39.08,40.64,1714500,40.31
"2011-02-01",40.88,41.97,40.64,41.5,1742900,41.16
"2011-02-02",41.4,41.74,40.42,40.82,1560100,40.48
"2011-02-03",40.68,41.03,40.27,40.5,1523800,40.17
"2011-02-04",40.52,40.61,39.89,40.28,751900,39.95
"2011-02-07",40.42,40.61,40.06,40.29,863900,39.96
