"","R.Open","R.High","R.Low","R.Close","R.Volume","R.Adjusted"
"2007-01-03",51.55,53.42,51.55,52.9,885300,44.96
"2007-01-04",52.34,53.7,52.34,53.59,578300,45.55
"2007-01-05",53.54,53.58,52.45,52.62,605300,44.73
"2007-01-08",52.46,52.84,52.08,52.16,619200,44.34
"2007-01-09",52.3,52.68,52,52.22,617500,44.39
"2007-01-10",52.2,52.48,51.75,52.37,405700,44.51
"2007-01-11",52.43,53.25,52.24,52.49,599000,44.62
"2007-01-12",52.4,52.89,52.01,52.64,587300,44.74
"2007-01-16",52.8,53.07,52.44,52.93,619000,44.99
"2007-01-17",52.9,53.29,52.57,52.76,464800,44.85
"2007-01-18",52.89,53.3,52.39,52.99,433600,45.04
"2007-01-19",53.4,53.54,53.11,53.53,581900,45.5
"2007-01-22",53.33,53.67,53.02,53.28,431500,45.29
"2007-01-23",53.32,53.82,53.05,53.74,532400,45.68
"2007-01-24",53.87,54.5,53.81,54.49,796100,46.32
"2007-01-25",54.49,54.49,53.25,53.36,390700,45.36
"2007-01-26",53.36,53.46,52.5,52.92,540000,44.98
"2007-01-29",53.11,54.15,52.66,54.02,741100,45.92
"2007-01-30",54.03,54.1,53.61,54.01,368300,45.91
"2007-01-31",53.75,54.75,53.56,54.54,500400,46.36
"2007-02-01",54.52,55.62,54.38,55.44,967800,47.12
"2007-02-02",54.72,55.26,53.27,53.76,1169700,45.7
"2007-02-05",53.76,53.77,52.8,53.25,640800,45.26
"2007-02-06",53.25,53.48,52.8,53.34,494600,45.34
"2007-02-07",53.43,53.72,53.01,53.16,417800,45.19
"2007-02-08",53.19,53.25,52.68,52.84,474400,44.91
"2007-02-09",52.85,52.92,52.04,52.16,355000,44.34
"2007-02-12",52.25,52.47,52.01,52.25,310800,44.41
"2007-02-13",52.45,53.17,52.38,53.15,359900,45.18
"2007-02-14",53.19,53.42,52.45,53.23,651300,45.25
"2007-02-15",52.91,54.04,52.91,53.69,667300,45.82
"2007-02-16",53.93,53.98,53.33,53.98,422400,46.06
"2007-02-20",53.71,53.79,53.06,53.72,544200,45.84
"2007-02-21",53.6,53.84,53.23,53.79,476200,45.9
"2007-02-22",53.75,53.89,52.78,53.28,739000,45.47
"2007-02-23",54,55.15,53.85,54.8,1211700,46.76
"2007-02-26",54.81,55.1,53.34,53.51,1076300,45.66
"2007-02-27",53.05,53.1,52.02,52.2,1244600,44.55
"2007-02-28",52.11,52.23,51.2,51.49,1099700,43.94
"2007-03-01",51,51.5,50.1,51.32,918400,43.79
"2007-03-02",51.2,51.39,50.31,50.36,480500,42.98
"2007-03-05",50,50.28,49.24,49.31,927100,42.08
"2007-03-06",49.27,50.4,49.06,50.11,738000,42.76
"2007-03-07",50.23,50.94,49.94,50.6,618500,43.18
"2007-03-08",50.85,51.06,50.25,50.36,696300,42.98
"2007-03-09",50.8,50.9,50.02,50.24,380500,42.87
"2007-03-12",50.24,50.33,49.84,50.15,787500,42.8
"2007-03-13",49.81,50,48.59,48.59,613100,41.46
"2007-03-14",48.73,49.01,47.88,48.77,771100,41.62
"2007-03-15",48.78,49.75,48.65,49.5,846300,42.24
"2007-03-16",49.9,50.16,49.25,49.58,1319600,42.31
"2007-03-19",50.05,50.57,49.13,49.35,675300,42.11
"2007-03-20",49.14,50.01,49.09,49.8,443200,42.5
"2007-03-21",49.73,50.7,49.52,50.63,657300,43.21
"2007-03-22",51.36,51.36,50.37,50.64,424400,43.21
"2007-03-23",50.8,50.97,50.28,50.42,654900,43.03
"2007-03-26",50.29,50.39,49.5,49.77,497800,42.47
"2007-03-27",49.71,49.79,49.12,49.32,354400,42.09
"2007-03-28",49.16,49.26,48.67,48.91,426900,41.74
"2007-03-29",49.16,49.37,48.33,48.71,449500,41.57
"2007-03-30",48.79,49.4,48.72,49.34,746500,42.1
"2007-04-02",49.49,49.85,49.24,49.51,523000,42.25
"2007-04-03",49.85,50.4,49.53,50.05,639700,42.71
"2007-04-04",49.86,49.95,49.37,49.48,699900,42.22
"2007-04-05",49.36,50.04,49.26,50.04,378500,42.7
"2007-04-09",50.2,50.8,50.19,50.52,472000,43.11
"2007-04-10",50.44,50.68,50,50.05,385000,42.71
"2007-04-11",50.22,51.3,50.08,51.25,1063900,43.73
"2007-04-12",51.2,51.71,50.66,51.69,649000,44.11
"2007-04-13",51.54,51.54,51.03,51.26,575800,43.74
"2007-04-16",51.32,51.95,51.3,51.88,463000,44.27
"2007-04-17",51.87,52.07,51.61,51.75,479300,44.16
"2007-04-18",51.6,52.89,51.51,52.61,615900,44.9
"2007-04-19",52.5,52.52,51.88,52,599000,44.37
"2007-04-20",52.62,52.9,52.13,52.56,414200,44.85
"2007-04-23",52.66,52.84,52.2,52.35,253700,44.67
"2007-04-24",52.31,52.39,51.5,51.96,453500,44.34
"2007-04-25",52.5,54.2,52.17,54.08,1261300,46.15
"2007-04-26",53.95,54.05,53.46,53.94,706500,46.03
"2007-04-27",53.85,54,53.5,53.82,751100,45.93
"2007-04-30",53.54,53.79,52.55,52.64,920600,44.92
"2007-05-01",52.64,52.74,52.11,52.31,594700,44.64
"2007-05-02",52.32,52.89,52.27,52.64,528300,44.92
"2007-05-03",52.71,53.31,52.62,52.77,606400,45.03
"2007-05-04",52.3,52.63,52.09,52.37,403300,44.69
"2007-05-07",52.49,52.64,52.01,52.22,394300,44.56
"2007-05-08",52.23,53.7,52.22,53.49,810300,45.65
"2007-05-09",53.53,53.75,53.22,53.56,446100,45.71
"2007-05-10",53.42,53.61,52.7,52.86,461200,45.11
"2007-05-11",52.95,53.47,52.8,53.44,365600,45.6
"2007-05-14",53.33,53.48,52.64,52.75,437700,45.01
"2007-05-15",52.94,53.4,52.5,52.53,627900,44.83
"2007-05-16",52.69,53.67,52.41,53.63,589800,45.77
"2007-05-17",53.3,53.68,53.1,53.47,542400,45.81
"2007-05-18",53.79,54.12,53.62,53.92,681200,46.19
"2007-05-21",53.77,54.44,53.42,54.25,543800,46.48
"2007-05-22",54.2,54.54,53.95,54.3,430300,46.52
"2007-05-23",54.45,54.7,53.98,54.06,713400,46.31
"2007-05-24",54.07,54.26,52.88,52.99,719000,45.4
"2007-05-25",53.23,53.5,52.88,52.96,519000,45.37
"2007-05-29",53.23,53.61,52.85,53.38,723500,45.73
"2007-05-30",53.3,54.15,53.1,53.77,755800,46.07
"2007-05-31",53.9,54.25,53.48,53.92,828800,46.19
"2007-06-01",54.05,54.49,53.72,54.07,659700,46.32
"2007-06-04",54.07,54.16,53.78,53.85,617800,46.13
"2007-06-05",53.75,54.24,53.51,53.6,495700,45.92
"2007-06-06",53.5,53.53,52.48,52.7,736400,45.15
"2007-06-07",51.88,52.69,51.88,52.07,699200,44.61
"2007-06-08",52,52.52,51.8,52.35,577000,44.85
"2007-06-11",52.23,52.56,51.89,52.15,408100,44.68
"2007-06-12",52.08,52.4,51.85,51.86,955500,44.43
"2007-06-13",52.02,52.28,51.76,52.18,774600,44.7
"2007-06-14",52.21,52.86,51.68,51.84,971200,44.41
"2007-06-15",52.55,53.2,52.15,52.3,1054400,44.81
"2007-06-18",52.55,52.83,52.07,52.15,578700,44.68
"2007-06-19",52.22,52.39,51.83,51.91,632600,44.47
"2007-06-20",51.94,52.65,51.93,51.97,652300,44.52
"2007-06-21",51.91,52.47,51.82,52.4,352500,44.89
"2007-06-22",53.48,54.5,53.46,54.18,1368100,46.42
"2007-06-25",54.3,55.89,54.25,55.44,1460700,47.5
"2007-06-26",55.45,55.81,54.37,54.56,1087800,46.74
"2007-06-27",54.36,54.45,53.93,54.29,911300,46.51
"2007-06-28",54.18,55.07,54,54.55,766800,46.73
"2007-06-29",54.41,54.64,53.7,53.8,607700,46.09
"2007-07-02",54.19,54.59,53.5,54,664600,46.26
"2007-07-03",54.01,54.63,54,54.43,191400,46.63
"2007-07-05",54.39,54.66,54.09,54.35,536600,46.56
"2007-07-06",54.32,54.5,53.87,54.27,591600,46.49
"2007-07-09",53.89,54.57,53.79,54.53,879100,46.72
"2007-07-10",54.47,54.59,54.04,54.12,805000,46.37
"2007-07-11",54.08,54.88,54.05,54.86,671100,47
"2007-07-12",54.98,55.59,54.86,55.59,750300,47.62
"2007-07-13",55.6,55.69,55.27,55.62,371500,47.65
"2007-07-16",55.5,55.7,55.09,55.29,567500,47.37
"2007-07-17",55.19,55.44,54.91,55.12,668900,47.22
"2007-07-18",55.12,55.52,54.73,55.23,470700,47.32
"2007-07-19",55.45,55.68,54.7,54.74,500700,46.9
"2007-07-20",54.96,55.18,53.81,54.02,788700,46.28
"2007-07-23",54.18,54.4,53.44,53.56,551800,45.89
