"","RDC.Open","RDC.High","RDC.Low","RDC.Close","RDC.Volume","RDC.Adjusted"
"2007-01-03",33.01,33.02,30.91,31.22,4391900,30.47
"2007-01-04",30.8,30.93,30.07,30.44,4655500,29.71
"2007-01-05",30.67,30.82,29.97,30.48,4068300,29.75
"2007-01-08",31.1,31.52,30.63,31.02,4529100,30.28
"2007-01-09",30.52,31.37,30.35,30.96,3375400,30.22
"2007-01-10",30.7,31.09,30.55,30.65,3203600,29.92
"2007-01-11",30.6,32.04,30.55,30.74,4306100,30
"2007-01-12",30.65,31.9,30.65,31.78,2340700,31.02
"2007-01-16",31.5,31.75,30.75,31.04,2392200,30.3
"2007-01-17",31.05,31.55,31.01,31.34,2452600,30.59
"2007-01-18",31.35,31.74,30.62,30.79,2518400,30.05
"2007-01-19",30.95,31.72,30.76,31.51,3327700,30.75
"2007-01-22",31.86,31.91,31.05,31.32,2361600,30.57
"2007-01-23",31.57,32.17,31.36,31.94,3248100,31.17
"2007-01-24",31.92,31.92,31.25,31.62,2980100,30.86
"2007-01-25",31.47,31.62,30.54,30.7,2990000,29.96
"2007-01-26",31.04,31.32,30.73,30.91,2614300,30.17
"2007-01-29",30.91,31.92,30.82,31.33,3625600,30.58
"2007-01-30",31.59,32.74,31.49,32.55,3462000,31.77
"2007-01-31",32.35,33.04,32.11,32.89,3296800,32.1
"2007-02-01",32.66,33.01,32,32.53,3418300,31.85
"2007-02-02",32.64,32.75,31.97,32.45,3330300,31.77
"2007-02-05",32.7,32.97,32.59,32.66,2094000,31.97
"2007-02-06",33.18,33.2,32.22,32.69,1955000,32
"2007-02-07",32.89,33,31.97,32.23,2279800,31.55
"2007-02-08",32.23,32.33,31.59,32,3363700,31.33
"2007-02-09",32.22,32.58,31.99,32.26,2707600,31.58
"2007-02-12",31.8,31.99,30.91,31.26,2735800,30.6
"2007-02-13",31.43,31.6,31.24,31.48,1989900,30.82
"2007-02-14",31.53,31.79,31,31.46,2494000,30.8
"2007-02-15",31.22,31.5,30.87,31.08,2566900,30.43
"2007-02-16",31.14,31.44,31.01,31.28,1756600,30.62
"2007-02-20",30.78,30.89,30.54,30.74,2326300,30.09
"2007-02-21",30.61,30.89,30.27,30.75,3882500,30.1
"2007-02-22",30.7,31.27,30.48,31.11,3077300,30.46
"2007-02-23",31.69,31.73,30.56,30.71,2979000,30.07
"2007-02-26",31.15,31.75,31.04,31.25,2985800,30.59
"2007-02-27",30.25,32.1,30.07,30.41,5283000,29.77
"2007-02-28",31.41,31.41,30.23,30.61,3356400,29.97
"2007-03-01",30.21,31.2,29.98,30.87,3790400,30.22
"2007-03-02",30.84,30.93,30.05,30.37,2901600,29.73
"2007-03-05",29.88,30.61,29.55,30.11,4479000,29.48
"2007-03-06",30.55,30.78,30.13,30.51,2701600,29.87
"2007-03-07",30.32,31.47,30.3,30.84,2786000,30.19
"2007-03-08",31.06,31.26,30.36,30.49,3953200,29.85
"2007-03-09",30.74,30.84,30.13,30.43,4178800,29.79
"2007-03-12",30.11,30.4,30.05,30.24,2436700,29.61
"2007-03-13",30.19,30.75,29.65,29.72,2728400,29.1
"2007-03-14",29.76,30.27,29.48,30.18,3058100,29.55
"2007-03-15",30.32,30.73,30.17,30.51,3078200,29.87
"2007-03-16",30.93,31.04,30.42,30.6,2832700,29.96
"2007-03-19",31.25,31.82,31.2,31.61,3076200,30.95
"2007-03-20",31.65,31.9,31.02,31.34,3315300,30.68
"2007-03-21",31.62,32.84,31.5,32.27,4063700,31.59
"2007-03-22",32.51,33.46,32.3,33.46,4384400,32.76
"2007-03-23",33.47,33.77,32.85,33.27,2791600,32.57
"2007-03-26",33.63,33.65,32.76,33.36,2211600,32.66
"2007-03-27",33.2,33.37,32.79,33.23,2428500,32.53
"2007-03-28",33.51,33.51,32.31,32.44,3360700,31.76
"2007-03-29",32.55,33.27,32.41,32.94,3482100,32.25
"2007-03-30",32.9,33.15,32.37,32.47,3266800,31.79
"2007-04-02",32.65,33.46,32.56,33.39,3314900,32.69
"2007-04-03",33.09,33.6,32.93,33.51,3174200,32.81
"2007-04-04",33.33,33.73,33.11,33.59,2415700,32.88
"2007-04-05",33.44,33.87,33.39,33.7,2221000,32.99
"2007-04-09",33.71,34.38,32.6,33.67,3082100,32.96
"2007-04-10",33.78,34.21,33.65,34.01,3655400,33.3
"2007-04-11",33.94,34.28,33.82,34.01,3139000,33.3
"2007-04-12",34.21,34.85,33.9,34.81,2491400,34.08
"2007-04-13",36,36,34.77,35.12,3894100,34.38
"2007-04-16",35.11,35.48,34.92,35.36,2652200,34.62
"2007-04-17",35.47,35.48,34.63,34.76,4451800,34.03
"2007-04-18",34.44,34.98,34.2,34.78,3314500,34.05
"2007-04-19",34.57,34.6,34.22,34.33,2980200,33.61
"2007-04-20",34.66,34.99,34.15,34.54,3769000,33.82
"2007-04-23",34.54,35,34.38,34.72,3462700,33.99
"2007-04-24",34.89,35.33,34.8,35.31,3857600,34.57
"2007-04-25",35.63,36.74,35.56,36.41,3575700,35.65
"2007-04-26",36.3,37,35.93,36.94,4137700,36.16
"2007-04-27",36.64,37.48,36.45,37.2,3858200,36.42
"2007-04-30",37.05,37.52,36.58,36.64,4842800,35.87
"2007-05-01",36.66,37.23,36.41,37.11,5109100,36.33
"2007-05-02",37.02,37.04,35.98,36.81,3950700,36.04
"2007-05-03",36.62,37.99,36.42,37.66,4042800,36.87
"2007-05-04",37.91,39.09,37.61,38.97,10608600,38.15
"2007-05-07",38.61,39.02,38.38,38.69,3601700,37.88
"2007-05-08",38.22,38.37,37.18,37.32,8529700,36.54
"2007-05-09",37.43,37.51,36.43,37.5,4576900,36.71
"2007-05-10",37.51,37.87,36.25,36.36,3879900,35.6
"2007-05-11",36.39,37.36,36.23,37.27,3769000,36.49
"2007-05-14",37.17,37.76,37.03,37.44,3682900,36.65
