"","RF.Open","RF.High","RF.Low","RF.Close","RF.Volume","RF.Adjusted"
"2007-01-03",37.8,38.17,37.55,38.02,4077400,31.74
"2007-01-04",38,38,37.63,37.84,4770900,31.59
"2007-01-05",37.82,37.82,36.96,37.19,2779200,31.05
"2007-01-08",37.11,37.13,36.6,36.95,1995700,30.85
"2007-01-09",37.05,37.17,36.63,37.06,2328800,30.94
"2007-01-10",37.05,37.25,36.89,37.17,2232000,31.03
"2007-01-11",37.37,37.47,37.06,37.29,1878200,31.13
"2007-01-12",37.09,37.19,36.8,37.06,1601900,30.94
"2007-01-16",37.15,37.15,36.7,36.9,1854700,30.81
"2007-01-17",36.94,36.94,36.3,36.71,2099400,30.65
"2007-01-18",36.82,37.35,36.7,37.23,3138900,31.08
"2007-01-19",36.95,37.22,36.34,36.47,3494900,30.45
"2007-01-22",36.35,36.45,35.95,36.25,2856100,30.27
"2007-01-23",36,36.19,35.76,35.95,3841500,30.02
"2007-01-24",35.87,36.22,35.86,36.22,2688900,30.24
"2007-01-25",36.15,36.27,35.92,36.03,2514300,30.08
"2007-01-26",36,36.21,35.9,36.13,2031400,30.17
"2007-01-29",36.08,36.31,36,36.3,2205500,30.31
"2007-01-30",36.39,36.4,36.1,36.2,1962700,30.22
"2007-01-31",36.22,36.4,35.97,36.26,2347800,30.27
"2007-02-01",36.36,36.4,36.1,36.21,3087600,30.23
"2007-02-02",36.38,36.52,36.22,36.45,1741100,30.43
"2007-02-05",36.51,36.91,36.41,36.78,2537600,30.71
"2007-02-06",36.85,37.17,36.75,37.08,2036300,30.96
"2007-02-07",37.18,37.3,37,37.27,1794400,31.12
"2007-02-08",37.14,37.43,36.93,37.38,3332900,31.21
"2007-02-09",37.37,37.45,37.04,37.09,2863400,30.97
"2007-02-12",37.09,37.14,36.87,37.07,2037300,30.95
"2007-02-13",37.2,37.33,36.99,37.33,1382000,31.17
"2007-02-14",37.3,37.49,37.1,37.35,1370400,31.18
"2007-02-15",37.17,37.35,37.14,37.25,1608600,31.1
"2007-02-16",37.14,37.47,37.14,37.41,2355400,31.23
"2007-02-20",37.49,37.61,37.07,37.58,1883200,31.38
"2007-02-21",37.55,37.57,37.09,37.25,2299300,31.1
"2007-02-22",37.35,37.44,37.22,37.44,2350400,31.26
"2007-02-23",37.49,37.49,36.87,37.05,1572600,30.93
