"","RHT.Open","RHT.High","RHT.Low","RHT.Close","RHT.Volume","RHT.Adjusted"
"2007-01-03",22.91,23.1,21.76,22.17,3728300,22.17
"2007-01-04",22.88,22.88,21.61,22.67,2915900,22.67
"2007-01-05",22.37,22.5,22.1,22.24,2014900,22.24
"2007-01-08",22.23,22.59,22,22.34,2694800,22.34
"2007-01-09",22.09,22.39,21.9,22.11,2806100,22.11
"2007-01-10",22.02,22.34,21.96,22.11,2058000,22.11
"2007-01-11",22,22.65,22,22.37,2963700,22.37
"2007-01-12",22.45,22.45,21.88,22.16,2048900,22.16
"2007-01-16",21.96,22.44,21.95,22.18,1257800,22.18
"2007-01-17",22.36,22.59,22.22,22.48,1841000,22.48
"2007-01-18",22.48,22.48,20.71,20.96,5135500,20.96
"2007-01-19",21.46,21.81,21.3,21.69,3929100,21.69
"2007-01-22",21.69,22,21.58,21.79,3007800,21.79
"2007-01-23",21.8,21.94,21.54,21.73,2549300,21.73
"2007-01-24",21.74,22.19,21.74,22.05,1299200,22.05
"2007-01-25",22,22.27,21.96,22.25,2052900,22.25
"2007-01-26",22.3,22.39,22,22.24,1413800,22.24
"2007-01-29",22.34,22.53,21.93,22.2,1662500,22.2
"2007-01-30",22.14,22.8,22.14,22.72,2432900,22.72
"2007-01-31",22.22,22.75,22.05,22.73,2327700,22.73
"2007-02-01",22.89,22.89,22.57,22.8,1851500,22.8
"2007-02-02",22.79,22.95,22.49,22.68,2071800,22.68
"2007-02-05",22.78,22.87,22.53,22.54,2495500,22.54
"2007-02-06",22.98,22.98,22.48,22.83,2660600,22.83
"2007-02-07",22.84,23.73,22.7,23.35,3449200,23.35
"2007-02-08",23.24,24.22,23.13,24.1,2669200,24.1
"2007-02-09",24.19,24.34,23.74,24,3942300,24
"2007-02-12",24,24.75,23.84,24.58,3688200,24.58
"2007-02-13",25,25.15,24.16,24.27,3107300,24.27
"2007-02-14",24.29,25,24.02,24.23,2702300,24.23
"2007-02-15",24.24,24.54,23.77,23.81,2686600,23.81
"2007-02-16",23.67,24,23.55,24,1889300,24
"2007-02-20",24,24.71,23.96,24.37,1785000,24.37
"2007-02-21",24.27,24.48,23.92,23.95,1169700,23.95
"2007-02-22",23.76,24.13,23.59,23.65,1280300,23.65
"2007-02-23",23.67,24.29,23,23.6,1704700,23.6
"2007-02-26",24.07,24.5,23.75,23.79,2574400,23.79
"2007-02-27",23.49,23.72,22.5,22.85,2066500,22.85
"2007-02-28",22.81,22.95,22.36,22.45,2008400,22.45
"2007-03-01",21.89,22.79,21.3,22.71,1567700,22.71
"2007-03-02",22.52,22.72,21.87,22.01,1534400,22.01
"2007-03-05",21.25,21.9,21.22,21.71,1823300,21.71
"2007-03-06",22.15,22.36,21.71,22.12,1713000,22.12
