"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2007-01-03",61.1,61.61,60.54,60.93,1241200,51.19
"2007-01-04",60.93,60.96,59.81,60.15,1605800,50.54
"2007-01-05",60.1,60.15,59.32,59.8,1445900,50.24
"2007-01-08",59.68,60.43,59.46,59.99,946800,50.4
"2007-01-09",60,60.19,59.69,59.94,821600,50.36
"2007-01-10",59.49,60.18,59.45,60,1231400,50.41
"2007-01-11",60.05,60.94,60.02,60.72,958500,51.02
"2007-01-12",60.6,61.64,60.59,61.18,1127000,51.4
"2007-01-16",60.99,61.47,60.66,61.09,813300,51.33
"2007-01-17",61.09,62.1,60.81,61.93,713500,52.03
"2007-01-18",61.92,62.37,61.82,61.82,1059200,51.94
"2007-01-19",61.95,62.56,61.57,62.46,783800,52.48
"2007-01-22",62.39,62.55,61.36,61.5,825600,51.67
"2007-01-23",61.51,63.01,61.51,63,1088000,52.93
"2007-01-24",60.98,62.03,57.53,60.5,4352200,50.83
"2007-01-25",60.5,60.74,57.62,58.03,4539900,48.76
"2007-01-26",58.42,58.64,56.73,58.33,2851000,49.01
"2007-01-29",58.58,59.35,58.53,59.25,1552500,49.78
"2007-01-30",59.15,60.71,58.81,60.32,2564400,50.68
"2007-01-31",60.1,61.46,60,61.21,1634000,51.43
"2007-02-01",61.21,62.35,61.01,62.2,1613000,52.26
"2007-02-02",62.2,62.58,61.86,62.1,916300,52.18
"2007-02-05",61.99,62.33,61.73,61.97,1178900,52.07
"2007-02-06",61.9,62.64,61.71,62.42,1295600,52.44
"2007-02-07",62.8,63.36,62.65,63.17,1118900,53.07
"2007-02-08",63.17,63.65,62.8,63.4,1181600,53.27
"2007-02-09",63.2,63.63,62.95,63.06,1544300,52.98
"2007-02-12",63.65,63.94,63.16,63.63,1775300,53.46
"2007-02-13",63.98,64.96,63.88,64.62,1344200,54.29
"2007-02-14",64.52,65.31,64.47,65.16,956900,54.75
"2007-02-15",64.88,65.26,64.5,65.12,1147600,54.96
"2007-02-16",64.75,65.23,64.33,64.65,1051500,54.56
"2007-02-20",64.65,64.98,64.25,64.79,794100,54.68
"2007-02-21",64.64,64.76,64.31,64.42,1126100,54.37
"2007-02-22",64.6,65.08,64.42,64.77,1109600,54.66
"2007-02-23",64.52,64.71,64.04,64.31,906900,54.27
"2007-02-26",64.29,64.34,63.29,63.5,1159500,53.59
"2007-02-27",63,63.23,61.17,61.46,1331600,51.87
"2007-02-28",61.81,63.05,61.5,62.05,1714900,52.37
"2007-03-01",61,62.45,60.51,62.07,1526100,52.38
"2007-03-02",61.97,62.15,60.78,60.79,1242600,51.3
"2007-03-05",60.79,61.52,60.32,60.78,1173400,51.29
"2007-03-06",61.25,61.8,61.08,61.62,980800,52
"2007-03-07",61.39,61.97,60.4,60.46,2942100,51.02
"2007-03-08",60.9,61.61,60.81,61,1416100,51.48
"2007-03-09",61.4,61.53,61.01,61.39,1310600,51.81
"2007-03-12",61.25,61.79,61.01,61.24,746700,51.68
"2007-03-13",61.04,61.2,59.82,59.89,1613000,50.54
"2007-03-14",59.95,60.7,59.45,60.47,1414500,51.03
"2007-03-15",60.48,60.8,59.92,60.04,1072300,50.67
"2007-03-16",60.07,60.42,59.71,60.04,1618500,50.67
"2007-03-19",60.62,61.13,60.62,61,1016100,51.48
"2007-03-20",61.01,61.42,60.81,61.3,663900,51.73
"2007-03-21",61.41,62.32,61.07,62.15,644000,52.45
"2007-03-22",62.15,62.19,61.25,61.51,965700,51.91
"2007-03-23",60.6,61.93,60.6,61.53,903400,51.93
"2007-03-26",61.53,61.64,60.41,61.23,779100,51.67
"2007-03-27",60.85,61.14,60.7,60.79,996600,51.3
"2007-03-28",60.69,60.8,60.03,60.41,626100,50.98
"2007-03-29",60.7,60.93,59.7,60.07,1054200,50.7
"2007-03-30",60.2,60.67,59.61,59.87,1022400,50.53
"2007-04-02",59.99,61.03,59.83,60.95,1303200,51.44
"2007-04-03",61.2,61.87,61.13,61.43,736900,51.84
