"","RRC.Open","RRC.High","RRC.Low","RRC.Close","RRC.Volume","RRC.Adjusted"
"2007-01-03",26.7,26.71,25.55,25.83,2743000,25.27
"2007-01-04",25.8,26.03,25.29,25.69,2282300,25.14
"2007-01-05",25.69,26.96,25.69,26.27,2074700,25.7
"2007-01-08",26.6,26.95,26.13,26.32,1178200,25.75
"2007-01-09",26.33,26.64,25.66,26.64,1558300,26.07
"2007-01-10",26.4,26.5,25.83,26.31,1454000,25.74
"2007-01-11",26.26,27.43,26.07,26.45,2059000,25.88
"2007-01-12",26.5,27.48,26.5,27.27,1037500,26.68
"2007-01-16",27.27,27.74,27.13,27.23,1525400,26.64
"2007-01-17",27.23,28.13,27.16,27.76,1194100,27.16
"2007-01-18",27.77,28.1,27.17,27.7,1482400,27.1
"2007-01-19",28,28.96,27.97,28.75,1714000,28.13
"2007-01-22",29.32,29.48,28.28,28.7,1495500,28.08
"2007-01-23",29,30.32,29,30.21,2508500,29.56
"2007-01-24",30.25,30.88,29.84,30.83,2189800,30.17
"2007-01-25",30.82,30.83,29.91,30.21,2601900,29.56
"2007-01-26",30.41,30.98,30.22,30.83,1367400,30.17
"2007-01-29",30.95,31.04,30.36,30.51,1776100,29.85
"2007-01-30",30.58,30.97,30.58,30.74,1642400,30.08
"2007-01-31",30.7,30.91,30.42,30.69,1878700,30.03
"2007-02-01",30.84,31.22,30.37,31,1507100,30.33
"2007-02-02",31.08,31.13,30.49,30.96,930100,30.29
"2007-02-05",30.96,31.25,30.39,30.45,1979000,29.79
"2007-02-06",30.69,30.8,29.91,30.44,1431500,29.78
"2007-02-07",30.51,30.67,29.67,29.92,1411600,29.27
"2007-02-08",29.92,30.38,29.48,30.21,1234000,29.56
"2007-02-09",30.45,30.95,30.31,30.6,1236300,29.94
"2007-02-12",30.13,30.38,29.58,29.86,1136100,29.22
"2007-02-13",30,30.34,29.82,30.33,1046700,29.68
"2007-02-14",30.45,30.98,30.15,30.55,751300,29.89
