"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2007-01-03",40.73,41.26,40.73,41,887200,22.73
"2007-01-04",40.9,41.48,40.73,41.38,1243200,22.94
"2007-01-05",41.3,41.51,41.19,41.28,1061000,22.89
"2007-01-08",41.15,41.3,40.94,41.22,1162200,22.86
"2007-01-09",41.38,42.12,41.26,41.47,991000,22.99
"2007-01-10",41.35,41.77,41.29,41.63,665200,23.08
"2007-01-11",41.88,42.15,41.68,41.98,507000,23.28
"2007-01-12",41.88,41.95,41.55,41.87,1005300,23.22
"2007-01-16",41.95,42.55,41.95,42.43,701100,23.53
"2007-01-17",42.36,42.9,42.32,42.76,835600,23.71
"2007-01-18",42.77,42.78,42.2,42.25,597800,23.43
"2007-01-19",42.25,42.38,42,42.32,425800,23.47
"2007-01-22",42.37,42.59,42.1,42.49,504200,23.56
"2007-01-23",42.5,42.9,42.45,42.8,529600,23.73
"2007-01-24",42.79,42.9,42.48,42.72,411000,23.69
"2007-01-25",42.72,42.77,42.18,42.43,916400,23.53
"2007-01-26",42.46,42.67,42.32,42.51,716100,23.57
"2007-01-29",42.42,43.07,42.41,42.75,689200,23.7
"2007-01-30",42.85,43.4,42.7,43.29,651400,24
"2007-01-31",43.31,43.45,42.94,43.25,652200,23.98
"2007-02-01",43.35,43.5,43,43.25,758800,23.98
"2007-02-02",44.1,44.25,43.62,43.97,1011400,24.38
"2007-02-05",43.89,43.94,43.21,43.8,1452300,24.29
"2007-02-06",43.78,44.1,43.73,43.92,1177000,24.35
"2007-02-07",44.05,44.5,43.91,44.33,1373100,24.58
"2007-02-08",44.29,44.3,43.08,43.47,1945000,24.1
"2007-02-09",43.37,43.57,42.64,43.05,1191200,23.87
"2007-02-12",43.15,43.25,42.72,42.88,677600,23.78
"2007-02-13",43,43.55,43,43.37,576300,24.05
"2007-02-14",43.38,44.22,43.19,43.59,1480600,24.17
"2007-02-15",43.59,43.75,43.33,43.44,1142200,24.09
"2007-02-16",43.45,43.9,43.45,43.72,1493700,24.24
"2007-02-20",43.74,43.8,43.46,43.46,1139200,24.1
"2007-02-21",43.46,43.71,43.37,43.5,1126600,24.12
"2007-02-22",43.46,43.6,42.73,42.87,952500,23.77
