"","RTN.Open","RTN.High","RTN.Low","RTN.Close","RTN.Volume","RTN.Adjusted"
"2007-01-03",52.3,52.97,51.97,52.11,2075600,42.96
"2007-01-04",52.05,52.1,51.31,51.33,2336700,42.31
"2007-01-05",51.34,51.92,51.31,51.63,2136900,42.56
"2007-01-08",51.48,51.48,50.96,51.1,2115500,42.13
"2007-01-09",51.1,51.68,51.1,51.59,2274300,42.53
"2007-01-10",51.45,52.02,51.12,52.01,1856700,42.88
"2007-01-11",52.03,52.34,51.89,52.2,1892000,43.03
"2007-01-12",52.1,52.23,51.45,51.78,2079800,42.69
"2007-01-16",51.72,52.12,51.63,51.78,1504900,42.69
"2007-01-17",51.87,51.92,51.58,51.68,1123100,42.6
"2007-01-18",51.8,51.96,51.4,51.56,1420300,42.5
"2007-01-19",51.8,52.58,51.7,52.3,2470600,43.11
"2007-01-22",52.2,52.29,51.79,51.95,1769100,42.83
"2007-01-23",51.96,53.22,51.89,53.18,1941800,43.84
"2007-01-24",52.95,53.05,52.41,52.77,1207900,43.5
"2007-01-25",52.68,52.9,51.82,51.85,1555100,42.74
"2007-01-26",52.02,52.12,51.4,51.45,1640500,42.41
"2007-01-29",51.39,51.54,51.12,51.37,1211700,42.35
"2007-01-30",51.5,51.79,51.38,51.59,1384900,42.53
"2007-01-31",51.51,52.05,51.47,51.9,1215200,42.78
"2007-02-01",51.92,52.82,51.9,52.56,2723400,43.33
"2007-02-02",53.55,55,53.28,54.85,3595100,45.22
"2007-02-05",54.64,55.44,53.85,54.97,3055900,45.32
"2007-02-06",54.96,55.32,54.76,55.23,1822700,45.53
"2007-02-07",55.13,55.63,54.98,55.05,1849100,45.38
"2007-02-08",55.05,55.19,54.49,54.67,2241400,45.07
"2007-02-09",54.75,55.06,54.5,54.63,2409300,45.04
"2007-02-12",54.74,55.09,54.42,54.54,1617900,44.96
"2007-02-13",54.54,55.26,54.14,55.26,1654700,45.55
"2007-02-14",55.48,55.48,54.95,54.96,1903800,45.31
"2007-02-15",54.76,55.44,54.76,55.29,2188600,45.58
"2007-02-16",55.04,55.39,54.8,55.05,1812900,45.38
"2007-02-20",55.07,55.63,54.96,55.37,1995200,45.65
"2007-02-21",55.25,55.49,55.1,55.21,1690500,45.51
"2007-02-22",54.86,55.4,54.86,55.13,1656600,45.45
"2007-02-23",55.18,55.28,54.46,54.82,1353300,45.19
"2007-02-26",54.83,54.87,54.06,54.42,1738200,44.86
"2007-02-27",54.05,54.25,52.64,53.02,2587900,43.71
"2007-02-28",53.19,54.02,52.64,53.55,2649400,44.14
"2007-03-01",52.85,53.92,52.36,53.35,2428100,43.98
"2007-03-02",53.25,53.55,52.59,52.61,1785800,43.37
"2007-03-05",52.1,53.24,51.75,52.69,2330700,43.44
"2007-03-06",53.24,53.41,52.75,53.34,1507900,43.97
"2007-03-07",53.27,53.27,52.26,52.35,2666100,43.16
"2007-03-08",52.6,52.98,52.31,52.56,1882600,43.33
"2007-03-09",52.98,53.05,52.73,52.95,1466700,43.65
"2007-03-12",52.8,53.23,52.49,53.06,1691800,43.74
"2007-03-13",52.88,52.92,51.7,51.74,3150000,42.65
"2007-03-14",51.93,52.5,51.33,52.28,2014800,43.1
"2007-03-15",52.08,52.66,51.97,52.64,1960700,43.39
"2007-03-16",53.04,53.25,52.67,53.04,3119700,43.72
"2007-03-19",53.15,53.57,52.9,53.3,1826500,43.94
"2007-03-20",53.18,53.27,52.9,53.22,1167900,43.87
"2007-03-21",53.17,54.05,53.07,54.05,1991700,44.56
"2007-03-22",53.44,53.49,52.42,52.64,2680800,43.39
"2007-03-23",52.95,53.12,52.47,52.59,1928900,43.35
"2007-03-26",52.52,52.89,52.05,52.78,2234900,43.51
"2007-03-27",52.49,52.88,52.28,52.78,1838100,43.51
"2007-03-28",52.49,52.65,51.99,52.35,1639300,43.16
"2007-03-29",52.7,52.86,52.39,52.63,2040500,43.39
"2007-03-30",52.33,52.88,52.05,52.46,1889000,43.46
"2007-04-02",52.42,52.74,52.25,52.71,1360800,43.66
"2007-04-03",52.92,53.38,52.72,53.29,2002600,44.14
"2007-04-04",53.32,53.86,53.29,53.75,2165200,44.53
"2007-04-05",53.75,54.09,53.7,54.04,1794400,44.77
"2007-04-09",54.1,54.63,53.99,54.42,1773200,45.08
"2007-04-10",54.55,54.61,54.23,54.3,1482200,44.98
"2007-04-11",54.36,54.4,53.83,54.07,2327500,44.79
