"","SCG.Open","SCG.High","SCG.Low","SCG.Close","SCG.Volume","SCG.Adjusted"
"2007-01-03",40.97,41.52,40.68,41.45,736200,29.38
"2007-01-04",41.36,41.74,41.18,41.69,514900,29.55
"2007-01-05",41.46,41.53,40.81,40.92,496300,29
"2007-01-08",40.81,41.03,40.68,40.75,343900,28.88
"2007-01-09",40.82,41.2,40.65,41.16,624000,29.17
"2007-01-10",40.88,41.25,40.8,40.86,612500,28.96
"2007-01-11",40.89,41.47,40.69,40.92,310700,29
"2007-01-12",40.84,41.02,40.65,40.79,226300,28.91
"2007-01-16",40.76,41.14,40.53,40.56,239600,28.75
"2007-01-17",40.44,40.64,40.35,40.55,284700,28.74
"2007-01-18",40.54,40.61,40.16,40.34,270300,28.59
"2007-01-19",40.22,40.61,40.1,40.49,355400,28.7
"2007-01-22",40.33,40.43,40.09,40.23,280400,28.51
"2007-01-23",40.09,40.45,40.03,40.23,293300,28.51
"2007-01-24",40.35,40.61,40.29,40.6,283500,28.78
"2007-01-25",40.47,40.65,40.26,40.32,250800,28.58
"2007-01-26",40.35,40.35,39.92,40.27,215400,28.54
"2007-01-29",40.27,40.66,40.24,40.46,351300,28.68
"2007-01-30",40.61,40.65,40.42,40.62,222000,28.79
"2007-01-31",40.5,40.96,40.33,40.72,372700,28.86
"2007-02-01",40.75,41.4,40.72,41.37,398000,29.32
"2007-02-02",41.3,41.56,41.22,41.45,395300,29.38
"2007-02-05",41.3,41.87,41.3,41.75,355200,29.59
"2007-02-06",41.75,42.09,41.74,41.98,223100,29.75
"2007-02-07",41.98,42.2,41.92,42.2,205300,29.91
"2007-02-08",42.23,42.42,42.05,42.23,341700,29.93
"2007-02-09",41.6,42.15,41.5,41.79,631600,29.62
"2007-02-12",41.93,42.07,41.55,42.06,372900,29.81
"2007-02-13",42.03,42.34,42,42.33,338100,30
"2007-02-14",42.4,42.44,42.17,42.23,376200,29.93
"2007-02-15",42.17,42.17,41.76,41.85,270600,29.66
"2007-02-16",41.72,41.96,41.65,41.92,285600,29.71
"2007-02-20",41.8,42.24,41.61,42.23,466100,29.93
"2007-02-21",42.03,42.36,42.03,42.35,351000,30.02
"2007-02-22",42.28,42.52,42.23,42.35,353700,30.02
"2007-02-23",42.28,42.64,42.2,42.62,320900,30.21
"2007-02-26",42.8,43.51,42.72,42.87,389800,30.39
"2007-02-27",42.37,42.99,41.68,41.93,516000,29.72
